id(n),name,country,country_id
1432,洛克希德公司,美国,17
1548,美国洛克希德公司,美国,17
1665,美国沃特公司,美国,17
1677,寇蒂斯公司,美国,17
1691,塞斯纳公司,美国,17
1755,洛克希德,美国,17
1769,南京航空航天大学、西北工业大学、湖江机器厂,中国,34
1783,波音公司,美国,17
1829,雷声系统公司，庞巴迪公司,美国,17
1829,雷声系统公司，庞巴迪公司,加拿大,2574
1849,立川飞行机株式会社,日本,170
1860,三菱重工业,日本,170
1895,福克-沃尔夫,德国,101
1985,川崎重工业,日本,170
2068,三菱重工,日本,170
2079,海军航空技术厂,日本,170
2092,立川飞机公司，川崎重工,日本,170
2103,雅科航空器集团,苏/俄,131
2114,波利卡波夫设计局 ,苏/俄,131
3533,波音飞机制造公司,美国,17
3790,格鲁曼公司,美国,17
3834,美国波音公司,美国,17
3964,日本国际航空工业,日本,170
5325,卡莫夫设计局,苏/俄,131
5355,哈尔滨飞机工业集团有限责任公司、欧洲直升机公司,中国,34
5355,哈尔滨飞机工业集团有限责任公司、欧洲直升机公司,法国,47
5405,哈尔滨飞机制造公司,中国,34
5472,贝尔,美国,17
5662,前进飞机制造厂,苏/俄,131
5670,希勒飞机公司,美国,17
5729,贝尔直升机公司,美国,17
5785,波兰直升机制造商（PZL Swidnik）,波兰,696
5820,西科斯基（原产），皮亚塞茨基公司（改装及试验）,美国,17
5828,麦道飞机公司（MD）,美国,17
5836,昌河飞机工业集团公司,中国,34
5852,中国哈尔滨航空工业（集团）有限公司,中国,34
8749,空中客车公司,法国,47
8823,波音民用飞机集团,美国,17
8889,伊尔公司,苏/俄,131
8971,道格拉斯公司,美国,17
10639,成都飞机公司，巴基斯坦航空综合企业,中国,34
10639,成都飞机公司，巴基斯坦航空综合企业,巴基斯坦,4265
10678,洛克希德马丁公司,美国,17
10745,沈阳飞机公司,中国,34
10936,欧洲战斗机公司,德国,101
11036,美国道格拉斯公司,美国,17
11072,美国道格拉斯飞机公司,美国,17
11083,美国原北美航空公司(已并入罗克韦尔国际飞机公司),美国,17
11140,麦克唐纳公司,美国,17
11191,北美航空，瑞安航空,美国,17
11229,钱斯沃特公司,美国,17
11269,美国诺斯罗普公司,美国,17
11460,格鲁曼飞机制造厂,美国,17
11471,康维尔飞机公司,美国,17
11539,共和飞机制造公司（舍维尔斯基）,美国,17
11602,共和飞机制造公司,美国,17
11660,沈阳飞机工业集团,中国,34
11674,福克-沃尔夫飞机制造厂,德国,101
11716,前苏联苏霍伊设计局,苏/俄,131
11742,中岛飞行机株式会社,日本,170
11761,亨舍尔,德国,101
11780,川崎重工,日本,170
11790,阿拉度公司,德国,101
11799,中岛飞机公司,日本,170
11808,阿尔巴特罗斯飞机厂,德国,101
11849,亨克尔公司,德国,101
11858,梅塞斯密特公司（Messerschmitt）,德国,101
11894,容克斯,德国,101
11912,中岛重工,日本,170
11931,哥达（Gothaer Waggonfabrik）,德国,101
11980,梅塞施米特公司,德国,101
11992,梅塞施密特,德国,101
12018,三菱重工，洛克希德·马丁,日本,170
12018,三菱重工，洛克希德·马丁,美国,17
12062,爱知飞机公司,日本,170
12141,泛那维亚财团,英国,79
12141,泛那维亚财团,德国,101
12141,泛那维亚财团,意大利,192
12165,三菱集团，富士重工,日本,170
12171,梅塞施密特公司（Messerschmitt）,德国,101
12190,日本中岛飞机公司 ,日本,170
12217,通用动力公司,美国,17
12240,立川飞机制造厂，满洲飞机制造厂,日本,170
12258,雅克列夫设计局,苏/俄,131
12282,苏联雅克福列夫设计局,苏/俄,131
12387,雅克局,苏/俄,131
12412,英国维克斯-超级马林公司,英国,79
12422,超级马林飞机公司,英国,79
12456,费尔雷航空股份有限公司,英国,79
12485,布莱克本飞机有限公司（Blackburn Aircraft Ltd）,英国,79
12517,普顿保罗飞机公司,英国,79
12526,霍克飞机公司,英国,79
12533,英国弗兰德公司(Folland),英国,79
12543,寇帝斯飞机与发动机公司,美国,17
12549,霍克公司,英国,79
12578,雅克设计局,苏/俄,131
12585,布利斯托尔飞机公司,英国,79
12607,雅克福列夫设计局,苏/俄,131
12622,索普威思航空公司,英国,79
12646,福克飞机厂,德国,101
12657,雷贾那公司,意大利,192
12663,巴伐利亚飞机制造厂,德国,101
12692,福克公司,德国,101
12834,波兰PZL航空制造集团,波兰,696
12873,PZL航空制造集团,波兰,696
12881,波兰PWS飞机制造厂,波兰,696
12917,波利卡波夫设计局,苏/俄,131
12968,米高扬设计局,苏/俄,131
12985,米高扬-古列维奇飞机设计局,苏/俄,131
13004,拉沃奇金设计局,苏/俄,131
13020,拉沃契金设计局,苏/俄,131
13044,米格设计局,苏/俄,131
13107,柯蒂斯飞机与发动机公司,美国,17
13125,印度斯坦航空工业有限公司,印度,2524
13143,以色列飞机工业公司 ,以色列,764
13171,达索公司,法国,47
13188,斯帕德公司,法国,47
13205,共和飞机公司,美国,17
13289,Saab 飞机公司,瑞典,954
13300,洛克希德、臭鼬鼠工厂,美国,17
13328,麦道公司,美国,17
13346,格鲁曼飞机工程公司,美国,17
15769,上海飞机制造厂，成都飞机工业有限责任公司，沈阳飞机工业集团有限公司，西安飞机工业集团有限公司,中国,34
15794,西安飞机工业(集团)有限责任公司,中国,34
15806,波音公司商务喷射机部门,美国,17
15863,西安飞机工业（集团）有限责任公司,中国,34
15988,俄罗斯飞机制造商Aviakor,苏/俄,131
16019,荷兰福克公司,荷兰,227
16065,巴西航空工业公司,巴西,880
16111,俄罗斯沃罗涅什飞机制造公司,苏/俄,131
16147,加拿大庞巴迪宇航公司,加拿大,2574
16158,仙童公司,美国,17
16249,庞巴迪宇航公司,加拿大,2574
16298,图波列夫设计局,苏/俄,131
16414,美国北美航空公司,美国,17
16425,道格拉斯飞机公司,美国,17
16485,赫利奥公司,美国,17
16551,诺思罗普公司,美国,17
16570,爱知航空机,日本,170
16582,伊留申设计局,苏/俄,131
16590,苏霍伊设计局,苏/俄,131
16599,英国航太波音,英国,79
16643,欧洲战斗教练和战术支援飞机公司,英国,79
16643,欧洲战斗教练和战术支援飞机公司,法国,47
16876,北美航空公司,美国,17
16954,美国仙童公司,美国,17
17058,北美公司,美国,17
17095,伏尔提公司,美国,17
17201,太平洋航宇公司,新西兰,17202
17209,瑞士派士飞机有限公司,瑞士,9591
17219,瑞典萨伯-斯康尼亚公司,瑞典,954
17247,美国比奇公司(BeechAircraft雷声公司的前身),美国,17
17269,英国BAE系统公司,英国,79
17276,美国派珀（Piper）飞机公司,美国,17
17285,法国航宇公司（SOCATA）,法国,47
17292,日本川崎重工集团,日本,170
17302,欧洲航空防务与航天公司(EADS)，西班牙CASA军用飞机公司,法国,47
17302,欧洲航空防务与航天公司(EADS)，西班牙CASA军用飞机公司,西班牙,427
17310,印度斯坦航空工业公司,印度,2524
17317,法国达索公司，德国道尼尔公司,法国,47
17317,法国达索公司，德国道尼尔公司,德国,101
17341,韩国航空工业公司（大宇）,韩国,142
17349,韩国航空工业公司,韩国,142
17360,阿根廷军用航空（FMA）,阿根廷,520
17372,智利国家航空公司，美国派珀飞机公司,智利,2878
17372,智利国家航空公司，美国派珀飞机公司,美国,17
17379,美国塞斯纳公司,美国,17
17387,英国航空航天公司(BAE) ,英国,79
17439,富士重工业,日本,170
17451,巴基斯坦航空工业公司,巴基斯坦,4265
17469,日本,日本,170
17477,罗马尼亚克拉约瓦飞机公司,罗马尼亚,593
17523,Flugzeug Union Sud,德国,101
17554,罗马尼亚航星公司,罗马尼亚,593
17582,雅科夫列夫设计局,苏/俄,131
17601,法国原富加公司(现已并入法国国营航宇工业公司),法国,47
17818,达索航太，芬梅卡尼卡,法国,47
17818,达索航太，芬梅卡尼卡,意大利,192
17822,洪都航空工业集团,中国,34
17837,BAE系统公司,英国,79
17903,诺斯罗普·格鲁曼公司,美国,17
17922,英国无人机发动机有限公司,英国,79
17971,美国桑德斯公司,美国,17
17979,航宇环境公司,美国,17
18018,诺思罗普-格鲁曼公司,美国,17
18024,希伯尔电子有限公司,奥地利,574
18051,科达拉(Codarra)高级系统公司,英国,79
18057,中国西安(ASN)技术集团,中国,34
21740,通用动力公司，格鲁曼公司,美国,17
21753,图波列夫公司（图-154）,苏/俄,131
26480,德国亨克尔公司,德国,101
26510,贝尔公司,美国,17
26548,北美航空,美国,17
26563,诺斯洛普·格鲁门公司,美国,17
26898,联合公司,美国,17
26961,美国联合公司,美国,17
26995,格伦马丁公司,美国,17
27054,格鲁曼公司，通用汽车公司,美国,17
27197,诺思罗普公司（道格拉斯公司）,美国,17
27229,佛罗里达航空股份有限公司,美国,17
27240,费舍尔,德国,101
27248,齐柏林—斯卡登（Zeppelin-Staaken）所,德国,101
27268,亨克尔,德国,101
27278,道尼尔飞机公司 ,德国,101
27306,阿拉多工厂,德国,101
27314,梅塞施密特公司,德国,101
27332,道尼尔公司,德国,101
27354,亨克尔飞机制造厂 ,德国,101
27374,容克斯飞机与发动机制造厂 ,德国,101
27386,亨克尔飞机公司,德国,101
27393,亨舍尔飞机有限公司 ,德国,101
27399,容克,德国,101
27427,爱知时计电机株式会社,日本,170
27449,爱知时计电机,日本,170
27465,三菱重工，中岛重工,日本,170
27486,三菱重工 ,日本,170
27526,川崎重工 ,日本,170
27546,寇蒂斯飞机及发动机公司,美国,17
27566,阿米奥公司,法国,47
27752,PWS航空工厂,波兰,696
27756,飞雅特公司,意大利,192
27764,CANT,意大利,192
27865,苏霍伊设计局联合公司,苏/俄,131
27905,苏霍伊设计局 ,苏/俄,131
27926,伊留申设计局 ,苏/俄,131
27934,柯蒂斯-莱特公司,美国,17
28228,比奇飞机公司,美国,17
28313,凯撒-弗雷泽（Kaiser-Frazer）公司、仙童（Fairchild）公司,美国,17
28405,湾流公司,美国,17
28535,麦克唐纳-道格拉斯公司,美国,17
28609,美国西科斯基（Sikorsky）公司,美国,17
28668,南昌飞机制造公司,中国,34
28716,西班牙卡萨（CASA）公司,西班牙,427
28768,肖特兄弟和哈兰德有限公司,英国,79
28786,斯摩棱斯克（Technoavia）,苏/俄,131
28943,英国航空贸易公司,英国,79
28967,俄罗斯/苏联公民通用飞机制造,苏/俄,131
29009,汉翔航空工业股份有限公司,中国,34
29016,肖特兄弟公司,英国,79
29030,空中客车军用飞机公司,法国,47
29037,陕西飞机制造公司,中国,34
29052,伊留申航空集团,苏/俄,131
29084,欧洲直升机工业集团,法国,47
29095,俄罗斯乌兰航空生产联合公司,苏/俄,131
29149,韦斯特兰公司，法国航宇公司,英国,79
29149,韦斯特兰公司，法国航宇公司,法国,47
29254,喀山直升机厂和乌兰乌德飞机厂,苏/俄,131
29306,卡曼飞机公司,美国,17
29315,南方飞机公司、法国航太,法国,47
29354,中航工业直升机所和中航工业昌飞公司,中国,34
29366,国营航宇工业公司,中国,34
29373,欧洲直升飞机公司,法国,47
29389,韦斯特兰公司,英国,79
29394,美国 西科斯基公司,美国,17
29400,美国西科斯基飞机公司,美国,17
29414,福克·阿奇利斯飞机制造所,德国,101
30009,巴西航空工业,巴西,880
30017,中国哈尔滨飞机制造公司,中国,34
30035,多尼尔公司,德国,101
30086,美国亚当,美国,17
30100,亚当飞机工业（AAI）,美国,17
30144,索卡塔(SOCATA)公司,法国,47
30174,法国航宇工业集团,法国,47
30183,安东诺夫设计局波兰航空制造厂,波兰,696
30190,塞斯纳飞行器公司（Cessna）,美国,17
30244,法国兰斯飞机制造公司,法国,47
30270,阿穆尔河畔共青城飞机生产联合体,苏/俄,131
30368,瑞士派士公司,瑞士,9591
30395,澳大利亚政府飞机工厂,澳大利亚,2857
30411,捷克飞机公司,捷克,1313
30425,捷克Let公司,捷克,1313
30504,加拿大庞巴迪公司,加拿大,2574
30594,美国比奇飞机公司,美国,17
30701,法国Robin,法国,47
30726,法国Robin公司,法国,47
30891,莱特,美国,17
30931,穆尼飞机公司,美国,17
30982,美国格鲁曼公司，湾流宇航公司,美国,17
31003,Lake公司,美国,17
31016,Extra飞机公司,德国,101
31024,Piper飞机公司,美国,17
31092,塞斯纳飞行器公司,美国,17
31101,奥地利钻石飞机制造有限公司,奥地利,574
31140,赛斯纳飞行器公司,美国,17
31149,新明和公司,日本,170
31235,雅科夫列夫  ,苏/俄,131
31281,俄罗斯斯摩棱斯克航空工厂,苏/俄,131
31786,诺斯罗普·格鲁门公司,美国,17
31863,格鲁门公司,美国,17
