型宽,名称,大类,编制,舰长,潜航深度,关注度,制造厂,_id,图片,次型,满载排水量,活动范围,下水时间,服役时间,前型,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
24.8米,886 千岛湖号补给舰,舰船舰艇,130人,178米,807米,NULL,NULL,{'$oid': '5cc93216831b973d657f18c4'},http://images.huanqiu.com/sarons/2013/11/80aa4d42f69604cb0159ccbd4e7f27ce.jpg,NULL,NULL,NULL,2003年7月21日,2005年4月30日,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,"

",19节,NULL,NULL,NULL,NULL
20.6米,884镜泊湖号补给舰,舰船舰艇,NULL,156.2米,NULL,NULL,上海求新造船厂,{'$oid': '5cc93216831b973d657f18c5'},,NULL,10975吨,中国南海,NULL,1992年8月,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,"
884镜泊湖号，904型（北约称大运级）运输补给舰，曾用名“南运952”、952、“渔政21”（临时调用）。上海求新造船厂建造，1992年8月服役，配属南海舰队。
",22节,NULL,NULL,服役中,NULL
248米,889 太湖号补给舰 ,舰船舰艇,NULL,178.5米,NULL,NULL,广船国际,{'$oid': '5cc93216831b973d657f18c6'},,NULL,23000吨,NULL,2012年3月22日,2013年6月18日上午,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,"
889 太湖号，903A型（福池级改进型）远洋补给舰，广船国际制造，2012年3月22日下水，2013年6月18日上午，入列命名授旗仪式在青岛某军港码头举行，正式服役于北海舰队。
",NULL,NULL,NULL,NULL,NULL
24.8米,888 抚仙湖号补给舰,舰船舰艇,NULL,171.4米,NULL,NULL,NULL,{'$oid': '5cc93216831b973d657f18c7'},http://images.huanqiu.com/sarons/2013/11/e93cb20f6fa642314a35dd75f0c62a7f.jpg,NULL,15000吨,NULL,NULL,2007年,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,"
抚仙湖号综合补给舰是我国建造的最新一艘补给舰，舷号888，隶属南海舰队，属于综合型的大型补给舰。2007年，904A型舰首舰“抚仙湖”号服役，目前尚未确认有后续舰存在。该舰船体与以前的福池型补给舰相似，但并未设置补给站。中部两舷装备有与福池型相似的吊车，但在福池型前后补给站的位置，“抚仙湖”号 装备有4部门型吊艇架，每舷各2部。目前尚不清楚该吊车用于吊放何种艇型，可能是车辆人员登陆艇。舰上也没有福池型上所见到的补给指挥所。
",NULL,NULL,NULL,现役,NULL
20.6米,883 阳澄湖号补给舰,舰船舰艇,240人,156.2米,6.8米,NULL,上海求新造船厂,{'$oid': '5cc93216831b973d657f18c8'},http://images.huanqiu.com/sarons/2013/11/ad1cb4d8ac459f739e20cc39f42125ee.jpg,NULL,10975吨,NULL,NULL,1992年3月,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,"
883 阳澄湖号，904型（北约称大运级）运输补给舰，曾用名“南运951”、951。上海求新造船厂建造，1992年3月服役，配属南海舰队。
",22节,NULL,NULL,NULL,NULL
13.4米,833 南康号医疗船,舰船舰艇,NULL,86米,3.9米,NULL,广州造船厂,{'$oid': '5cc93216831b973d657f18c9'},http://images.huanqiu.com/sarons/2013/11/c5168c0eaaf1635bceb4ca8e974b286a.jpg,NULL,2150吨,NULL,1981年,1981年,NULL,中国,2000-5000吨,保障辅助舰艇,1980年,NULL,,16节,12天,NULL,NULL,最大3000海里
21.8米,882 鄱阳湖号补给舰,舰船舰艇,180人,168.2米,12米,NULL,大连造船厂,{'$oid': '5cc93216831b973d657f18ca'},http://images.huanqiu.com/sarons/2013/11/912c48c57493a668121a4fd053c7919e.jpg,NULL,21740吨,亚洲,1976年10月19日,1979年12月15日,NULL,中国,10000-50000吨,保障辅助舰艇,1976年6月25日,NULL,882 鄱阳湖号(曾用弦号X615、R327、东运615丰仓号)，905型“太仓”级(北约代号福清级)补给船，为我国第一艘油水干货补给船。,18.5节,90天,15230吨,NULL,NULL
24.6米,887 微山湖号补给舰,舰船舰艇,130人,171.4米,NULL,NULL,黄埔造船厂,{'$oid': '5cc93216831b973d657f18cb'},http://images.huanqiu.com/sarons/2013/11/2b07843065449f7b4ed7401f984885f0.jpg,NULL,20530吨,NULL,2003年7月1日,2004年4月,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,千岛湖号综合补给舰（舷号886），太湖号综合补给舰（舷号889），巢湖号综合补给舰（舷号890）,,19节,NULL,NULL,在役,NULL
25.33米,885 青海湖号补给舰,舰船舰艇,125人,188.9米,NULL,NULL,Komandram Fedko级AOR，乌克兰Kherson船厂,{'$oid': '5cc93217831b973d657f18cc'},http://images.huanqiu.com/sarons/2013/11/1829948605ef86daf106b197f584d5b1.jpg,NULL,37000吨,NULL,NULL,NULL,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,,15.5节,NULL,NULL,NULL,NULL
21.8米,905型“太仓”级补给船,舰船舰艇,180人,168.2米,NULL,(5分),大连造船厂,{'$oid': '5cc93217831b973d657f18cd'},http://images.huanqiu.com/sarons/2014/06/5c9993bea1293c4456495b147b0da290.jpg,NULL,21740吨,NULL,NULL,1979年12月15日,NULL,中国,10000-50000吨,保障辅助舰艇,1976年6月25日,NULL,"
  905型“太仓”级补给船(北约代号福清级)，为我国第一艘油水干货补给船。20世纪70年代初，为了完成远程运载火箭的发射保障任务，中国海军开始建造以“旅大”级导弹驱逐舰和“远望”1、2号测量船为主体的远洋测量保障船队，为了延长编队在远海区域活动的时间，同时开始研制我国第一型综合补给舰——“太仓”级综合补给舰，由大连造船厂负责设计建造。该
",18.5节,NULL,NULL,NULL,18000海里
21.8米,A47 纳色尔号补给船,舰船舰艇,293人,170.45米,NULL,NULL,NULL,{'$oid': '5cc93217831b973d657f18ce'},http://images.huanqiu.com/sarons/2013/11/7e108b5e5053c59064d8dd6b8bbbcbe4.jpg,NULL,21740吨,NULL,1987年11月,NULL,905型福清级远洋油水干货补给舰四号舰,中国,10000-50000吨,保障辅助舰艇,1986年2月25日,T250综合补给船,"
905型远洋油水干货补给舰（718工程配套船只，北约代号“福清”级），该级舰第四艘是为巴基斯坦海军改装建造，1986年2月开工，称为T250型综合补给船A47纳色尔号。
",NULL,NULL,NULL,NULL,NULL
24.8米,890 巢湖号补给舰,舰船舰艇,NULL,178.5米,NULL,NULL,沪东造船厂,{'$oid': '5cc93217831b973d657f18cf'},http://images.huanqiu.com/sarons/2013/11/cff3e2613064c7afe36f1836539ee535.jpg,NULL,23000吨,NULL,2012年5月7日,2013年9月12日,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
10.2米,614I型海洋水文天气调查船,舰船舰艇,NULL,66.22米,NULL,NULL,NULL,{'$oid': '5cc93217831b973d657f18d0'},http://images.huanqiu.com/sarons/2013/11/1b0893098d16ef7e168ce56363a89d2b.jpg,NULL,NULL,NULL,1969年,NULL,NULL,中国,NULL,保障辅助舰艇,1967年,NULL,"
614I型海洋水文天气调查船6月完成扩大初步设计，6月28日，在北京召开614I海洋水文天气船的设计审查会，同年12月完成施工设计，1967年2月由江南造船厂开工建造1艘，1969年12月14日“向阳红01”号船出厂，归东海分局使用。
",15.1节,NULL,1120吨,NULL,NULL
22.6米,远望2号测量船,舰船舰艇,NULL,192米,NULL,NULL,NULL,{'$oid': '5cc93217831b973d657f18d1'},http://images.huanqiu.com/sarons/2013/11/b271c08caedbb185304b0fea33277960.jpg,NULL,21000吨,NULL,1977年,NULL,NULL,中国,10000-50000吨,保障辅助舰艇,1977年,NULL,,20节,100天,NULL,NULL,NULL
15.2米,852 海王星侦察船/向阳红21号/海洋13号,舰船舰艇,150人,112.22米,5.5米,NULL,上海沪东造船厂,{'$oid': '5cc93217831b973d657f18d2'},http://images.huanqiu.com/sarons/2013/11/b5d278e972c5a3e19e2cfba7d9690a1c.jpg,NULL,4590吨,NULL,NULL,NULL,NULL,中国,2000-5000吨,保障辅助舰艇,1982年9月,NULL,,19节,45天,NULL,NULL,NULL
10.5米,勘查二号深潜器母船,舰船舰艇,NULL,71.55米,NULL,NULL,中华造船厂,{'$oid': '5cc93218831b973d657f18d3'},http://images.huanqiu.com/sarons/2013/11/ff59cd3e103b474bd057f1eb82141dee.jpg,NULL,NULL,NULL,1983年5月,NULL,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,,14节,NULL,1327吨,在役,NULL
11米,东救304近海潜水救生船,舰船舰艇,150人,82米,2.7米,NULL,沪东造船厂,{'$oid': '5cc93218831b973d657f18d4'},http://images.huanqiu.com/sarons/2013/11/950d2d267140139f6fb64981c5472393.jpg,NULL,1500吨,NULL,NULL,NULL,NULL,中国,500-2000吨,保障辅助舰艇,1982年12月,NULL,,18节,NULL,NULL,NULL,NULL
NULL,646型扫海测量船,舰船舰艇,NULL,60米,NULL,NULL,708所4室设计，桂江造船厂（449厂）,{'$oid': '5cc93218831b973d657f18d5'},http://images.huanqiu.com/sarons/2013/11/21a21608da38bcfa10014a4392204ced.jpg,NULL,676吨,NULL,1982年7月25日,NULL,NULL,中国,500-2000吨,保障辅助舰艇,1978年12月,NULL,,15.51节,NULL,NULL,NULL,NULL
20.6米,远望4号测量船,舰船舰艇,NULL,156.2米,NULL,NULL,NULL,{'$oid': '5cc93218831b973d657f18d6'},http://images.huanqiu.com/sarons/2013/11/fc23fd2fc1b299fdff7329939ac22458.jpg,NULL,12700吨,NULL,NULL,NULL,NULL,中国,10000-50000吨,保障辅助舰艇,1998年,NULL,,20节,100天,NULL,已退役,NULL
NULL,069型航道测量船,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc93218831b973d657f18d7'},http://images.huanqiu.com/sarons/2013/11/4976bb854ef85c0a9f46e3b767129088.jpg,NULL,NULL,NULL,NULL,NULL,069型登陆艇,中国,NULL,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
16.4米,937号综合训练舰,舰船舰艇,NULL,132米,NULL,NULL,中国沪东中华造船集团,{'$oid': '5cc93218831b973d657f18d8'},,NULL,55000吨,NULL,NULL,2006年7月7日,679型改进型,中国,50000吨以上,保障辅助舰艇,2003年,NULL,,22节,NULL,NULL,现役,NULL
13.4米,832（南运830，南医09），琼沙级医院船,舰船舰艇,NULL,86米,7.3米,NULL,NULL,{'$oid': '5cc93218831b973d657f18d9'},http://images.huanqiu.com/sarons/2013/11/1b6685dd4a75d70f193e3cc02eebec3c.jpg,NULL,2150吨,NULL,NULL,NULL,NULL,中国,2000-5000吨,保障辅助舰艇,NULL,NULL,,16节,12天,NULL,在役,最大3000海里
8.5米,海声582 小型水声工作船,舰船舰艇,NULL,54米,NULL,NULL,NULL,{'$oid': '5cc93219831b973d657f18da'},,NULL,590吨,NULL,NULL,NULL,NULL,中国,500-2000吨,保障辅助舰艇,1965年,NULL,,15节,NULL,NULL,NULL,NULL
24.6米,871 锡米兰号补给舰,舰船舰艇,138人,171.4米,NULL,NULL,NULL,{'$oid': '5cc93219831b973d657f18db'},http://images.huanqiu.com/sarons/2013/11/848195644ce970ebb3d87673249b6432.jpg,NULL,22000吨,印度洋,NULL,1996年8月12日,福池级补给舰,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,,20节,NULL,NULL,在役,最大航程
NULL,635型中型海道测量船,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc93219831b973d657f18dc'},,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,保障辅助舰艇,1970年,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,6610型(曙光级)海洋调查船 ,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc93219831b973d657f18dd'},,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
4.7米,614III型海洋综合调查船,舰船舰艇,NULL,74米,NULL,NULL,广州造船厂，芜湖造船厂,{'$oid': '5cc93219831b973d657f18de'},,NULL,NULL,NULL,1972年4月20日,1974年9月26日,614II海洋水文天气船,中国,NULL,保障辅助舰艇,1971年6月,NULL,,17.8节,NULL,1170吨,现役,NULL
10.2米,595型中型水声调查船,舰船舰艇,82人,65.22米,NULL,NULL,江南造船厂,{'$oid': '5cc93219831b973d657f18df'},,NULL,NULL,NULL,1972年,1973年,NULL,中国,NULL,保障辅助舰艇,1967年9月,NULL,,15节,NULL,1165吨,NULL,NULL
19.5米,向阳红5号海洋调查船,舰船舰艇,NULL,152.6米,NULL,NULL,NULL,{'$oid': '5cc93219831b973d657f18e0'},,NULL,14500吨,NULL,1966年下水,1970年,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,,16节,NULL,NULL,退役,NULL
NULL,勘察三号深水兵器试验船,舰船舰艇,NULL,NULL,NULL,NULL,中华造船厂,{'$oid': '5cc9321a831b973d657f18e1'},http://images.huanqiu.com/sarons/2013/11/2e0607fdc7e0cf67aad69a4d0a13a3fc.jpg,NULL,NULL,NULL,1986年10月,1987年1月,NULL,中国,NULL,保障辅助舰艇,1984年12月,NULL,,NULL,NULL,NULL,NULL,NULL
13.5米,海救512号氦氧救生船,舰船舰艇,NULL,85米,NULL,NULL,NULL,{'$oid': '5cc9321a831b973d657f18e2'},http://images.huanqiu.com/sarons/2013/11/081bd5f152faa6856d82882ba100fa72.jpg,NULL,2500吨,NULL,NULL,NULL,NULL,中国,2000-5000吨,保障辅助舰艇,1965年,NULL,,17节,NULL,NULL,NULL,NULL
NULL,068型航道测量船,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9321a831b973d657f18e3'},,NULL,NULL,NULL,NULL,NULL,068型登陆艇,中国,NULL,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
11.6米,北调900 侦察船,舰船舰艇,152人,94.33米,4.04米,NULL,武昌造船厂,{'$oid': '5cc9321a831b973d657f18e4'},http://images.huanqiu.com/sarons/2013/11/745b68c115b676f5350d16c58c59ec59.jpg,NULL,2198吨,NULL,1986年6月12日,1986年,NULL,中国,2000-5000吨,保障辅助舰艇,1983年12月22曰,NULL,,20.03节,45天,NULL,现役,NULL
14.6米,北救122打捞救生船,舰船舰艇,180人,115米,NULL,NULL,武昌造船厂,{'$oid': '5cc9321a831b973d657f18e5'},http://images.huanqiu.com/sarons/2013/11/700df71257c42a2bd166b9d6eb61884c.jpg,大东级,NULL,NULL,1983年5月20曰,1987年3月16日,沪东级,中国,NULL,保障辅助舰艇,1982年12月20曰,NULL,,16节,NULL,NULL,现役,NULL
13.74米,625/625B型调查船 ,舰船舰艇,NULL,104.27米,NULL,NULL,NULL,{'$oid': '5cc9321a831b973d657f18e6'},,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,,15节,NULL,NULL,NULL,NULL
15.8米,81 郑和号训练舰,舰船舰艇,200人,103.07米,NULL,NULL,上海求新造船厂,{'$oid': '5cc9321a831b973d657f18e7'},http://images.huanqiu.com/sarons/2013/11/f0810b29feafbc08bc10b002c4038970.jpg,NULL,NULL,NULL,1986年7月12日,1987年4月27日,NULL,中国,NULL,保障辅助舰艇,1985年7月6日,NULL,"
郑和号训练舰是中国自行设计建造的第一艘远洋航海训练舰，1987年服役。舰上设有卫星导航仪和GPS全球定位系统等先进设备，以及全自动火炮、火箭深弹发射器等武器装备，教学、通信、机电、生活、医疗设施齐全，并设教学指挥中心和教学彩色电视闭路系统。这是中国人民海军成立以来，为海军院校建造的第一艘远洋航海训练舰，被誉为“中国军校第一舰”。
",17节,30天,NULL,在役,NULL
15.5米,南救503打捞救生船,舰船舰艇,NULL,113.5米,NULL,NULL,广州造船厂,{'$oid': '5cc9321b831b973d657f18e8'},http://images.huanqiu.com/sarons/2013/11/0bc2a401e3318d1271dfa48e08651de1.jpg,NULL,NULL,NULL,1973年9月27日,2006年11月27日,NULL,中国,NULL,保障辅助舰艇,1971年9月20日,NULL,,20节,50天,4450吨,NULL,NULL
15.2米,645型海洋综合调查船,舰船舰艇,NULL,112.05米,NULL,NULL,沪东造船厂,{'$oid': '5cc9321b831b973d657f18e9'},,NULL,4435吨,NULL,1978年,1978年,NULL,中国,2000-5000吨,保障辅助舰艇,1977年,NULL,,18节,60天,NULL,在役,NULL
22.6米,远望1号,舰船舰艇,NULL,191米,NULL,NULL,江南造船厂,{'$oid': '5cc9321b831b973d657f18ea'},http://images.huanqiu.com/sarons/2013/11/e8e07c0f41d6c3e82c69235940ef24c3.jpg,NULL,NULL,NULL,1977年8月31日,1978年,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,"
远望1号，718型航天测量船。主要担负卫星、飞船和火箭飞行器全程飞行试验测量和控制任务。于2010年10月21日在江阴退役。退役后被赠与曾一手打造它的江南造船厂，用作科普和爱国主义教育而供市民参观。
",NULL,NULL,NULL,退役,NULL
20.6米,861 长兴岛号远洋打捞救生船,舰船舰艇,NULL,156.2米,NULL,NULL,NULL,{'$oid': '5cc9321b831b973d657f18eb'},http://images.huanqiu.com/sarons/2013/11/c3d0baee9ec2f450063f6ce9d9fce69b.jpg,NULL,13050吨,NULL,1979年8月27日,1983年10月,NULL,中国,10000-50000吨,保障辅助舰艇,1978年11月,NULL,,20节,90天,10230吨,在役,NULL
10.5米,“勘查一号”深潜器母船,舰船舰艇,NULL,69.9米,NULL,NULL,中华造船厂,{'$oid': '5cc9321b831b973d657f18ec'},http://images.huanqiu.com/sarons/2013/11/3b30b564354a03d5dcb8f4a745ff2ebd.jpg,NULL,1354.8吨,NULL,1981年,NULL,NULL,中国,500-2000吨,保障辅助舰艇,NULL,NULL,,13.5节,NULL,NULL,NULL,NULL
12.4米,东修911潜艇修理舰,舰船舰艇,NULL,84米,NULL,NULL,渤海造船厂,{'$oid': '5cc9321b831b973d657f18ed'},http://images.huanqiu.com/sarons/2013/11/3793e4a981c4dc4c5641bb845beef579.jpg,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,保障辅助舰艇,1980年7月,NULL,,15.1节,20天,1962吨,在役,NULL
20.6米,崇明岛号远洋打捞救生船(862),舰船舰艇,NULL,156.2米,NULL,NULL,江南造船厂,{'$oid': '5cc9321b831b973d657f18ee'},http://images.huanqiu.com/sarons/2013/11/ce221fc35f620a18e69ce632a4fed93b.jpg,NULL,13050吨,NULL,NULL,NULL,NULL,中国,10000-50000吨,保障辅助舰艇,1975年,NULL,,20节,90天,NULL,NULL,NULL
NULL,625C型海洋测量船,舰船舰艇,38人,104米,NULL,NULL,沪东造船厂,{'$oid': '5cc9321b831b973d657f18ef'},,NULL,3324吨,NULL,1981年,1981年,NULL,中国,2000-5000吨,保障辅助舰艇,1980年,NULL,,19节,NULL,NULL,NULL,NULL
10米,614II型海洋水文天气调查船 ,舰船舰艇,NULL,74米,NULL,NULL,广州造船厂,{'$oid': '5cc9321c831b973d657f18f0'},http://images.huanqiu.com/sarons/2013/11/f934d4af511eeef5ae2ffb52338aed45.jpg,NULL,NULL,NULL,1971年,NULL,614I,中国,NULL,保障辅助舰艇,1968年,NULL,,17.5节,NULL,1179吨,现役,NULL
9.5米,南救502近海潜水救生船,舰船舰艇,130人,79米,NULL,NULL,广州造船厂,{'$oid': '5cc9321c831b973d657f18f1'},http://images.huanqiu.com/sarons/2013/11/02e1d4490eca1b3dd225a54fe3dbdb42.jpg,NULL,1100吨,NULL,1977年5月5日,1978年2月,NULL,中国,500-2000吨,保障辅助舰艇,1974年7月25日,NULL,,18节,NULL,NULL,NULL,NULL
20.6米,永兴岛号远洋打捞救生船(863),舰船舰艇,NULL,156.2米,NULL,NULL,江南造船厂,{'$oid': '5cc9321c831b973d657f18f2'},http://images.huanqiu.com/sarons/2013/11/3cc01d6a62efd09b68f6c6324a0769dd.jpg,NULL,13050吨,NULL,1978年,NULL,NULL,中国,10000-50000吨,保障辅助舰艇,1978年,NULL,,20节,90天,NULL,在役,NULL
9.5米,北救137近海潜水救生船,舰船舰艇,180人,79米,NULL,NULL,广州造船厂,{'$oid': '5cc9321c831b973d657f18f3'},,NULL,1100吨,NULL,1977年5月5日,1977年12月26日,NULL,中国,500-2000吨,保障辅助舰艇,1970年1月22日,NULL,,18节,NULL,NULL,NULL,NULL
NULL,海洋岛号潜艇支援舰（864） ,舰船舰艇,NULL,NULL,300米,NULL,NULL,{'$oid': '5cc9321c831b973d657f18f4'},http://images.huanqiu.com/sarons/2013/11/2cf17023031983ad98a5fe4766ad29ab.jpg,NULL,9500吨,NULL,NULL,2010年,NULL,中国,5000-10000吨,保障辅助舰艇,NULL,NULL,海洋岛号潜艇支援舰（864），排水量达9500吨，尾部绞车装置能将救生舱下放至水下300米深度，一次能从潜艇中救出18名船员。这种绞车装置还能操控LR7新式微型救生潜艇。中国从英国至少购买了一艘LR7救生潜艇，这种潜艇能下潜到500米的深度，并能在水下连续工作4天。25吨重的LR7是21吨重LR5的升级版。,NULL,NULL,NULL,在役,NULL
18米,世昌号国防动员船（82）,舰船舰艇,NULL,120米,NULL,NULL,NULL,{'$oid': '5cc9321c831b973d657f18f5'},http://images.huanqiu.com/sarons/2013/11/3e2d404e28e5009fdff63d577191338e.jpg,NULL,9105吨,NULL,NULL,1996年,NULL,中国,5000-10000吨,保障辅助舰艇,NULL,NULL,"
世昌号国防动员舰以其六大功能，成为海上流动基地。世昌舰是海军大型军舰中在航率最高的舰船。“世昌”舰几乎停泊过国内沿海所有的港口。长120多米、宽18米、高近40米的万吨巨轮，是中国第一艘万吨级国防动员船“世昌”号正式交付使用。这艘动员船是国务院批准，由国家计委和海军共同出资建造的。它拥有航海训练、直升机训练、医疗训练、国防动员演练以及运载300个标准集装箱等多种功能。通过加装各种集装箱模块，能迅速地把一艘民用运输船转换成各类战时使用的军用辅助器。
",17.5节,NULL,NULL,NULL,NULL
8.2米,天王星号侦察船（853）,舰船舰艇,150人,112.22米,5.5米,NULL,上海沪东造船厂,{'$oid': '5cc9321c831b973d657f18f6'},,NULL,4590吨,NULL,NULL,1983年,NULL,中国,2000-5000吨,保障辅助舰艇,1982年9月,NULL,,19节,45天,NULL,在役,NULL
25.2米,远望6号,舰船舰艇,NULL,222.2米,NULL,NULL,江南造船厂,{'$oid': '5cc9321d831b973d657f18f7'},http://images.huanqiu.com/sarons/2013/11/f2d857fd2ea69470c5235770701519cf.jpg,NULL,24966吨,NULL,2007年3月16日,2008年7月,NULL,中国,10000-50000吨,保障辅助舰艇,2006年4月,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,毕升号综合试验舰（891）,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9321d831b973d657f18f8'},http://images.huanqiu.com/sarons/2013/11/b3a138fca9a82a272f11aee40b886996.jpg,NULL,4630吨,NULL,NULL,1997年,NULL,中国,2000-5000吨,保障辅助舰艇,NULL,NULL,,18节,NULL,NULL,NULL,NULL
NULL,远望5号,舰船舰艇,NULL,NULL,NULL,NULL,江南造船厂,{'$oid': '5cc9321d831b973d657f18f9'},http://images.huanqiu.com/sarons/2013/11/079612631027a8e280da8de9678faf92.jpg,NULL,25000吨,NULL,NULL,2007年9月29日,NULL,中国,10000-50000吨,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,远望3号,舰船舰艇,NULL,180米,NULL,NULL,NULL,{'$oid': '5cc9321d831b973d657f18fa'},,NULL,17000吨,NULL,NULL,1995年,NULL,中国,10000-50000吨,保障辅助舰艇,1995年5月,NULL,"
远望三号船长180米，最大高度37.8米，满载排水量1.7万吨，吃水深度8米，巡航速度18节，最大航速20节，续航能力1.8万海里。1995年底投入使用以来，远望三号船先后13次远征三大洋，圆满完成了14次国家级大型试验海上测控任务，1999年11月首过“好望角”，总航程达16多万海里，累计海上作业675天。
",18节,NULL,NULL,NULL,NULL
NULL,北救143三体救生船,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9321d831b973d657f18fb'},http://images.huanqiu.com/sarons/2013/11/4dff47df4f0fbc64302655a4439b42cb.jpg,NULL,NULL,NULL,NULL,2012年,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,在役,NULL
NULL,未知型号快速医疗救助艇,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9321d831b973d657f18fc'},http://images.huanqiu.com/sarons/2013/11/52c7726f03d778fe589c9b7dd7b14df2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,华罗庚号综合试验舰（892）,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9321d831b973d657f18fd'},http://images.huanqiu.com/sarons/2013/11/acece2da9ba07c504baa75755b446999.jpg,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
24米,岱山岛号（866）医院船,舰船舰艇,NULL,178米,NULL,NULL,NULL,{'$oid': '5cc9321d831b973d657f18fe'},http://images.huanqiu.com/sarons/2013/11/726319e39e5f39a1f0c36e2a86743c17.jpg,NULL,14219.8吨,NULL,2007年8月,2008年12月22日,NULL,中国,10000-50000吨,保障辅助舰艇,2006年,NULL,,18节,NULL,NULL,在役,NULL
14.6米,北调993 综合试验船,舰船舰艇,30人,86.4米,NULL,NULL,江西江新造船厂,{'$oid': '5cc9321d831b973d657f18ff'},http://images.huanqiu.com/sarons/2013/11/b6eb27d82be24d8578f83b38214ec63b.jpg,NULL,NULL,NULL,NULL,2000年12月28日,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,,16节,NULL,2300吨,在役,1500海里
NULL,试验舰（893）,舰船舰艇,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9321e831b973d657f1900'},http://images.huanqiu.com/sarons/2014/01/730198be558846c33178d76e36c15865.jpg,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,保障辅助舰艇,NULL,NULL,"
893 试验舰，2012年出现在互联网上。
",NULL,NULL,NULL,在役,NULL
