型宽,名称,水雷,大类,编制,舰长,潜航深度,制造厂,_id,图片,满载排水量,活动范围,服役时间,下水时间,枪械,产国,满排吨位,类型,建造时间,简介,航速,水上排水量,现状,续航距离
NULL,瓦德亚级 截击艇,NULL,舰船舰艇,NULL,NULL,NULL,NULL,{'$oid': '5cc93221831b973d657f1918'},,2.4吨,保克海峡和马纳尔湾,1988年,NULL,NULL,印度,2000-5000吨,其他,NULL,"
瓦德亚级截击艇主要是在曼达帕姆杜以及地戈林基地的指挥下执行保克海峡和马纳尔湾区域内的紧急任务。
",NULL,NULL,NULL,NULL
NULL,4级和5级远程可潜水运载工具（LRSC）,NULL,舰船舰艇,2人,9.1米,50米,酋长国海事技术公司(Emirates Marine Technologies)(阿拉伯联合酋长国),{'$oid': '5cc93221831b973d657f1919'},,NULL,亚洲,NULL,NULL,NULL,阿联酋,500吨以内,其他,未知,"
4级和5级LRSC均装有艇载电脑、有效距离150米(492英尺)的声纳、回声测距器、GPS和导航协助装备。两种运载艇定员均为两人。
",6节,3吨,NULL,无
1.4米,R-2Mala级潜水员输送载具（SDV）,NULL,舰船舰艇,NULL,4.9米,NULL,斯普利特造船厂(克罗地亚，斯普利特),{'$oid': '5cc93221831b973d657f191a'},,NULL,欧洲,NULL,NULL,NULL,克罗地亚,NULL,其他,NULL,,NULL,1吨,NULL,23海里
NULL,Mk Ⅷ Mod1型海豹输送艇（SDV）,NULL,舰船舰艇,6人,6.7米,NULL,可能为诺斯洛普格鲁门公司(美国),{'$oid': '5cc93222831b973d657f191b'},,NULL,北美洲，欧洲,NULL,NULL,NULL,美国,NULL,其他,未知,"
美国海军拥有十艘SDV；英国皇家特别舟艇队在1999年收到三艘该艇。在这两个国家中，该艇都取代了老化了的Mk 8Mod O型SDV。新型SDV的航程(在最大9节的速度下，67公里或36英里)是老款SDV的两倍。这些全电气化的Mod1型艇在其水下的藏室内可装载六名全副装备的蛙人。
",9节,NULL,NULL,124.084千米
3米,“长尾鲛”级潜蛙人运送艇,NULL,舰船舰艇,3人,11米,NULL,Uniflite(美国),{'$oid': '5cc93222831b973d657f191c'},,113吨,NULL,NULL,NULL,两挺12.7毫米机枪；两挺7.62毫米机枪。,美国,500吨以内,其他,未知,由Uniflite(美国)制造，主要用于埃及海军战斗蛙人的一款运送艇。,NULL,NULL,NULL,200英里
3米,先进海豹输送系统（ASDS）,NULL,舰船舰艇,10人,20米,NULL,诺斯洛普格鲁门公司（美国）,{'$oid': '5cc93222831b973d657f191d'},http://images.huanqiu.com/sarons/2013/11/c64398b3d8f7d997bb18a9e80137df58.jpg,55吨,北美洲,NULL,NULL,NULL,美国,500吨以内,其他,NULL,"
这防水并可潜水小艇，能够完成从母潜艇到敌方海岸的部署任务。该艇安装有光学通信潜望镜和一个小的声纳。它可以通过C-5或C-17运输机或放置在潜艇的平台上运输。
",8节,NULL,NULL,125英里，8节
NULL,S-10再生式氧气呼吸系统潜承装备,NULL,舰船舰艇,NULL,NULL,NULL,卡尔顿生命维护科技公司（Carleton Life Support T echnologies Ltd，加拿大）,{'$oid': '5cc93222831b973d657f191e'},,NULL,NULL,NULL,NULL,NULL,加拿大,NULL,其他,NULL,"
S-10是一款胸挂再生式氧气呼吸潜水设备，专为特殊兵种和执法机构在浅水区工作设计。它是一款闭合回路的纯氧再生呼吸设备，适用于8米的水深。在明确了用户条例和有氧潜水的规则后，即可使用S-10，经过短暂的适应后还可潜入更深的水中。
",NULL,NULL,NULL,NULL
NULL,潜水员输送载具（SDV）,NULL,舰船舰艇,5人,8米,NULL,未知（伊朗，阿巴斯港口）,{'$oid': '5cc93223831b973d657f191f'},,NULL,亚洲,NULL,2000年8月29日,NULL,伊朗,NULL,其他,未知,"
2000年8月29日，伊朗制造的首款SDV A1 Sabehat在阿巴斯港下水。这艘8米（26.2英尺）长的小艇可以装载两名乘员并能运载三名额外的潜水员。它非常适合海岸侦查、特种部队运输、港口与泊船处布雷（可装载14枚水下爆破弹）任务，但不适合开阔水域任务。
",NULL,NULL,NULL,未知
NULL,Oxymax闭路氧气潜水设备,NULL,舰船舰艇,NULL,NULL,NULL,Divex Ltd（英国）,{'$oid': '5cc93223831b973d657f1920'},,NULL,欧洲,NULL,NULL,NULL,英国,NULL,其他,未知,"
Oxymax3是一款紧凑的氧气呼吸设备，在深达10米（33英尺）的水下可持续工作多达3个小时，还受其他条件影响。该设备在设计时是无磁性的（对于特殊订单也设定为是完全无磁性的），并且其特色是工作时噪音很小。
",NULL,NULL,NULL,NULL
NULL,Stealth Divex循环式呼吸潜水装备,NULL,舰船舰艇,NULL,NULL,100米,Divex Ltd（英国，阿伯丁）,{'$oid': '5cc93223831b973d657f1921'},,NULL,欧洲,NULL,NULL,NULL,英国,NULL,其他,NULL,"
Divex闭路混合气体的循环呼吸器这个系统是为了满足爆炸物处理、特种部队以及对新材料和微处理能力以及最新型水下呼吸装备的要求而设计。Divex再呼吸装备是一款电子控制的闭合回路混合气体系统，为军事性潜水提供了两种选择。
",NULL,NULL,NULL,NULL
2.75米,干甲板掩蔽舱,NULL,舰船舰艇,NULL,11.6米,NULL,通用动力公司电船分公司(美国)，诺斯洛普格鲁门公司(,{'$oid': '5cc93223831b973d657f1922'},,30吨,北美洲欧洲,NULL,NULL,NULL,美国,500吨以内,其他,NULL,"
装有干甲板掩蔽舱(Dry Deck Shelter)的美国“费城”号潜艇。干甲板掩蔽舱是设计出来安装到潜艇上来运输潜水员输送载具(SDV)的。这些掩蔽舱是用来运输和发射SDV或是隔离水下突击队。
",NULL,NULL,NULL,NULL
1.05米,R-1潜水员输送载具（SDV）,12枚水下爆破弹。,舰船舰艇,NULL,3.72米,60米,斯普利特造船厂(克罗地亚，斯普利特),{'$oid': '5cc93223831b973d657f1923'},http://images.huanqiu.com/sarons/2013/11/4ad1ddf0f7437cf1ee691b964e33ac55.jpg,NULL,欧洲,NULL,NULL,NULL,克罗地亚,NULL,其他,未知,"
R-1是一款为侦查、港口保护、雷区监管等隐秘性任务设计的单座椅的水下潜员运载工具。单体船由铝合金材料制造，包括可浸入水中的轻型船头和船尾部分。该船可放置在潜艇的鱼雷管道内运输，可在淡水和海水中使用。
",3节,NULL,NULL,6海里(最大速度下)；8海里(巡航速度下)
15.5米,萨姆达拉级控污艇,NULL,舰船舰艇,111人,94米,NULL,苏拉特的ABG造船厂,{'$oid': '5cc93223831b973d657f1924'},http://images.huanqiu.com/sarons/2014/01/0f588423b1e6b1a5551c5f3b900e25ba.jpg,3300吨,NULL,2007年,2007年3月20日,NULL,印度,2000-5000吨,其他,NULL,该型艇将携带一架用于执行监视任务的直升机，并使用一个档栅系统来存放回收的泄漏油。污染的水能够被抽到船上并送往一个实验室进行分析。油被分离出来并存放到存储罐或充气艇中。为了节约舰上空间，这些存储罐或充气艇被拖在艇的后面。该艇的其它任务还包括监督和执法、反走私和渔业保护、海上救援协助和消防、搜救以及采集数据。载货量：50立方米的热射水，19立方米直升机燃油，500立方米回收油，130立方米洁净水，50立方米分散剂，300立方米燃油，50立方米消泡剂；污染控制能力：该艇携带了用于清理任务的清理工具或膨化油栅以及用于油回收的各种撇油器，还能在多艇执行任务时作为指挥平台执行海岸清理任务，从回收的油水混合物中分离油以及利用专门邮箱或充气式油箱存储回收油。,14节,NULL,NULL,6000海里
NULL,截击船,NULL,舰船舰艇,NULL,26米,NULL,ABG造船厂,{'$oid': '5cc93223831b973d657f1925'},,75吨,印度洋,2002年,NULL,NULL,印度,NULL,其他,NULL,"
该型船由印度果阿的ABG造船厂生产。澳大利亚的桑尼克罗夫特海运集团公司负责设计。该公司以技术转让和全散件组装的形式提供建造所需材料和设备，并提供技术监督，从而确保整个建造工程高效成功。计划从2005年中期开始进一步生产11艘这一类型和级别的舰艇。据ABG造船厂方面称，剩下的11艘艇将从2007年10月开始每三个月交付一艘，直到2010年5月交付完毕。印度海岸警卫队另外又定购了5艘。
",45节,NULL,服役中,500英里（25节）
NULL,布里斯托尔级 截击艇,NULL,舰船舰艇,NULL,15.2米,NULL,NULL,{'$oid': '5cc93223831b973d657f1926'},,5.5吨,喀拉拉邦贝普里,2004年,NULL,NULL,印度,500吨以内,其他,NULL,"
布里斯托尔级主要动力为两台250马力发动机，用于执行海难遇险渔民的搜救任务以及海上监察和安全任务。
",NULL,NULL,在役,120.75公里
NULL,同安梭船,NULL,舰船舰艇,NULL,NULL,NULL,NULL,{'$oid': '5cc93223831b973d657f1927'},,NULL,NULL,NULL,NULL,NULL,中国,NULL,其他,1795年,    同安梭船，又名横洋船，是清代战船的一种，亦是清代福建同安县一带民用海船。同安梭船在嘉庆、道光年间为清军水师的主力战舰。船只按其大小分为一号、二号、三号、集字号以及成字号。,NULL,NULL,NULL,NULL
