高度,_id,图片,乘员与载员,类型,诞生时间,名称,战斗全重,简介,最大行程,大类,宽度,最大速度,研发厂商,产国,底盘类型,车长
2.01米,{'$oid': '5cc93306831b973d657f1ed2'},,3人,其他特种装甲车辆,20世纪60年代末,BRDM-2反坦克导弹发射车,7000千克,"
BRDM-2“耐火箱”反坦克导弹发射车，该去掉了基型车的机枪塔，装有可升降的“耐火箱”反坦克发射装置。发射导轨有6枚待发导弹。车上共携带8枚备用导弹。
",750公里,坦克装甲车辆,2.35米,NULL,NULL,苏/俄,轮式,NULL
NULL,{'$oid': '5cc93306831b973d657f1ed3'},http://images.huanqiu.com/sarons/2013/11/327d6d926bbc48906018926964a66b4a.jpg,NULL,其他特种装甲车辆,NULL,红箭-9轮式重型反坦克导弹发射车,13750千克,"
红箭－9重型反坦克导弹系统，是我军列装的最新式重型反坦克导弹，属于我军第三代反坦克导弹，主要装备我军集团军反坦克旅，90年代末研制成功，是世界上威力最大，功能最全，技术非常先进的反坦克武器系统之一。它是一种射程远，精度高，可昼夜使用，便于快速机动的车载式，远程反坦克武器，能有效击毁2000年前后世界上装备的各种最新式主战坦克和装甲车辆。
",800公里,坦克装甲车辆,3米,95公里/小时,NULL,中国,轮式,6米
2.54米,{'$oid': '5cc93306831b973d657f1ed4'},http://images.huanqiu.com/sarons/2013/11/4352806c545aadf15025f21ed5a6b6ee.jpg,4人,其他特种装甲车辆,1967年,“美洲虎”1自行反坦克导弹发射车,25500千克,“美洲虎”1，是上世纪60年代，由德国莱茵金属公司研制的一款自行反坦克导弹发射车。主要装备德国和比利时的陆军。经过二三十年的演化，该行战车的火炮和装甲都得到大大增强。,400公里,坦克装甲车辆,3.12米,70公里/小时,莱茵金属公司,德国,履带式,6.61米
3.35米,{'$oid': '5cc93306831b973d657f1ed5'},http://images.huanqiu.com/sarons/2013/11/8a56fb347babe2df6cea7569a15b888b.jpg,5人,其他特种装甲车辆,1978年,M901改进型“陶”式导弹发射车,11794千克,1980年3月26日美国陆军器材发展和准备司令部付司命罗伯特·捷·贝尔中将接收了美埃默松公司电子和宇宙空间分公司新研制的第一辆 M901改进型“陶”导弹发射车。“陶”反坦克导弹干1969～1970年间装备美国陆军，此后，由美“休斯”飞机公司生产了20多万枚，装备20多个国家。,NULL,坦克装甲车辆,2.686米,67.59公里/小时,埃默松公司电子和宇宙空间分公司,美国,履带式,4.83米
2.108米,{'$oid': '5cc93306831b973d657f1ed6'},http://images.huanqiu.com/sarons/2013/11/c103ead9dd06d2f2fcda6e22431e72e2.jpg,12人,其他特种装甲车辆,NULL,LMC1200雪地车,NULL,"
LMC1200雪地车辆可装载10人并且是完全封闭的车体。尽管该车在设计时主要是为了执行雪地任务，但LMC1200也可以在其他边缘地形行驶，如沼泽。该车的基本型的前方有一个带有两个座位的完全封闭式驾驶室，通过选装稳定杆，该车可承受两倍于车重的重力。
",NULL,坦克装甲车辆,2.526米,27公里/小时,NULL,美国,履带式,4.114米
2.111米,{'$oid': '5cc93306831b973d657f1ed7'},http://images.huanqiu.com/sarons/2013/11/ef9b264d7fa16e8a870c60e858b23f8d.jpg,8人,其他特种装甲车辆,NULL,LMC1500雪地车 ,5147千克,"
美国LMC1500雪地车由美国洛根制造公司生产制造。最初有三种车型，一种为双座驾驶室车型，该车型带有敞开的载货区；一种为五座驾驶室车型，还有一种为完全封闭全驾驶舱车型，该车型可选择安装一个内置带盖的载货区或是驾驶员与多达7名乘员的舱室。
",NULL,坦克装甲车辆,2.489米,32公里/小时,洛根制造公司,美国,NULL,2972米
2.01米,{'$oid': '5cc93307831b973d657f1ed8'},,6人,其他特种装甲车辆,未知,苏帕凯特MkⅢ全地形移动平台（ATMP）,3050千克,"
苏帕凯特MkⅢ是一款英国全地形移动平台，该车采用了31×15.5×15的宽胎面低压轮胎。苏帕凯特的两栖能力有限，可以通过安装履带来应对极其柔软的环境和很深的雪地。
",NULL,坦克装甲车辆,2米,64公里/小时,NULL,英国,轮式,3.44米
NULL,{'$oid': '5cc93307831b973d657f1ed9'},http://images.huanqiu.com/sarons/2013/11/a3faddffde70b4a8afa179e3d8af8981.jpg,6人,其他特种装甲车辆,1981年2月,红箭-8轮式反坦克导弹发射车,NULL,"
“红箭”8反坦克导弹运载发射车是“红箭”8反坦克导弹武器系统的配套车辆，主要承担运载武器系统和兵组乘员的任务，同时兼有车上发射和转移地面发射导弹的功能。
",NULL,坦克装甲车辆,NULL,NULL,201所,中国,轮式,NULL
2.53米,{'$oid': '5cc93307831b973d657f1eda'},,10人,其他特种装甲车辆,1974年,轮式通用装甲车,10500千克,"
1974年加拿大陆军提出装备轮式通用装甲车的要求，并在分析研究14种车型之后最终选中瑞士莫瓦格公司的皮兰哈 (Piranha)(6×6)车作为底盘。1977年，加拿大国防部同加拿大通用汽车公司柴油机分部签订价值1.71亿美元合同，1982年完成交货，总计提供轮式通用装甲车491辆。 轮式通用装甲车有库加尔(Cougar)火力支援车、灰熊(Grizzly)装甲人员输送车和爱斯基摩人(Husky)抢救修理车3种。
",603公里,坦克装甲车辆,2.53米,101.5公里/小时,瑞士莫瓦格公司,加拿大,NULL,5.968米
2.16米,{'$oid': '5cc93307831b973d657f1edb'},,3人,其他特种装甲车辆,1963年,GT-T履带式雪地两栖车,10200千克,"
GT-T可托载一辆重达4000千克的拖车。KLP-2型轮式/橇式拖车是专门为GT-T设计的。GT-T具备完全两栖能力。在水中的大多数状态下它是靠履带推进，车速为5～6公里/小时。
",500公里,坦克装甲车辆,3.14米,6公里/小时,NULL,苏/俄,履带式,6.34米
