刀锋宽度,_id,图片,类型,名称,生产年限,简介,刀重,刀锋长度,制造商,刀长,大类,产国
6.096毫米,{'$oid': '5cc93289831b973d657f1bff'},,刀具,S37海豹突击队Knife2000匕首,NULL,,362.8克,178毫米,SOG特种刀具和工具公司(SOG Speciality Knives and Tools Inc)(美国，华盛顿),314毫米,枪械与单兵,美国
4.06毫米,{'$oid': '5cc9328a831b973d657f1c00'},http://images.huanqiu.com/sarons/2014/01/21b524d0429d12de13891a08cb89cc8e.jpg,刀具,SOG RFB81 X-42 Recondo,NULL,,178.6克,135毫米,SOG特种刀具和工具公司(美国，华盛顿),267毫米,枪械与单兵,美国
NULL,{'$oid': '5cc9328a831b973d657f1c01'},,刀具,费尔班-赛克斯格斗匕首,NULL,,240.9克,178毫米,威京逊公司(英国，伦敦),295毫米,枪械与单兵,英国
2.2毫米,{'$oid': '5cc9328a831b973d657f1c02'},,刀具,艾克洪索尼根马克3格斗匕首,NULL,,250克,167毫米,德国艾克洪索尼根公司,295毫米,枪械与单兵,德国
3.6毫米,{'$oid': '5cc9328a831b973d657f1c03'},,刀具,KCB77艾克洪索尼根刺刀,NULL,"
KCB77艾克洪索尼根刺刀被很多人认为是目前刺刀中的巅峰之作。为世界范围的特种部队所用。
",300克,176毫米,A Eickhorn GmbH ard Co,302毫米,枪械与单兵,德国
3.5毫米,{'$oid': '5cc9328a831b973d657f1c04'},,刀具,NRS侦察匕首,NULL,,350克,162毫米,俄罗斯图拉兵工厂,284毫米,枪械与单兵,苏/俄
2毫米,{'$oid': '5cc9328a831b973d657f1c05'},,刀具,安普吉特费尔班匕首,NULL,,160克,85毫米,BCB国际有限公司,256毫米,枪械与单兵,英国
6毫米,{'$oid': '5cc9328a831b973d657f1c06'},,刀具,BCB弯刀,NULL,,NULL,330毫米,BCB国际有限公司,400毫米,枪械与单兵,英国
5.84毫米,{'$oid': '5cc9328a831b973d657f1c07'},http://images.huanqiu.com/sarons/2014/01/a7b069b61d47de7ca51bf170ef63209d.jpg,刀具,SOG Scuba/Demo SSD99,1964年,,362.8克,196毫米,SOG特种刀具和工具公司(美国，华盛顿),314毫米,枪械与单兵,美国
3.7毫米,{'$oid': '5cc9328a831b973d657f1c08'},,刀具,艾克洪索尼根Cyprus SF II高级格斗匕首,NULL,,265克,173毫米,德国艾克洪索尼根公司,308毫米,枪械与单兵,德国
2.2毫米,{'$oid': '5cc9328b831b973d657f1c09'},,刀具,艾克洪索尼根USM7刺刀,NULL,,280克,167毫米,德国艾克洪索尼根公司,285毫米,枪械与单兵,德国
