_id,图片,口径,炮口初速,类型,名称,总重,简介,全长,研发单位,型号,最大射程,大类,炮管长度,产国,研发时间
{'$oid': '5cc93318831b973d657f1f48'},,155毫米,903米/秒,加农榴弹炮,PLL01型155毫米牵引式加农榴弹炮,12000千克,"
我国于80年代初，在充分吸收了国际上大口径火炮的先进技术后，采用先进的火炮设计理念，本着“自力更生”的方针，研制成功PLL01型牵引式155毫米加农榴弹炮，使我国大口径火炮的研制和生产水平达到了一个新的高度。
",NULL,NULL,低阻远程全膛榴弹,39000米,火炮,7046毫米,中国,NULL
{'$oid': '5cc93318831b973d657f1f49'},http://images.huanqiu.com/sarons/2013/11/8f399b6705cf7a7065b2e490c86da1b3.jpg,150毫米,865米/秒,加农榴弹炮,150毫米K18加榴炮,18600千克,,8200毫米,NULL,NULL,24500米,火炮,8.195毫米,德国,1933年
{'$oid': '5cc93318831b973d657f1f4a'},,170毫米,925米/秒,加农榴弹炮,17cm K18加榴炮,NULL,"
K18是二战时德军的重型火炮，它和Mrs1821CM火炮使用同样的炮架，担负同样的任务，并于1942年后完全替代了后者。
",12800毫米,NULL,NULL,29600米,火炮,NULL,德国,NULL
{'$oid': '5cc93318831b973d657f1f4b'},,105毫米,835米/秒,加农榴弹炮,105mm S. K18加榴炮,1120千克,,5460毫米,NULL,NULL,19066米,火炮,5.46毫米,德国,NULL
{'$oid': '5cc93319831b973d657f1f4c'},http://images.huanqiu.com/sarons/2013/11/0ad00a0b8d1c2e27a0f6b2de700f50c9.jpg,128毫米,935米/秒,加农榴弹炮,128毫米K44加榴炮,10160千克,,7020毫米,NULL,NULL,24410米,火炮,7.023毫米,德国,NULL
{'$oid': '5cc93319831b973d657f1f4d'},,210毫米,860米/秒,加农榴弹炮,210毫米K39/40加榴炮,39800千克,"
210mm K39/40加榴炮是捷克设计德军在第二次世界大战中所使用的重枪。
",9.53毫米,NULL,NULL,33000米,火炮,9.53毫米,捷克,NULL
{'$oid': '5cc93319831b973d657f1f4e'},,155毫米,897米/秒,加农榴弹炮,GM-45式155毫米牵引加榴炮,8900千克,中国制造，80年代研制定型的155毫米牵引火炮，未装备部队，用以外贸出口。其实这种加榴炮就是把WA021的炮管放在59-I或66式榴炮的上面，内弹道性能、精度、配用弹种与WA021式相同，可装备外军军或集团军以上炮兵部队。,12000毫米,NULL,NULL,39000米,火炮,NULL,中国,NULL
{'$oid': '5cc93319831b973d657f1f4f'},http://images.huanqiu.com/sarons/2013/11/3e0bf8af49c0219f7380e3315b208ecc.jpg,152.4毫米,655米/秒,加农榴弹炮,66式152毫米加榴炮,5650千克,"
66式152毫米加农榴弹炮是根据前苏联D-20式152毫米加农榴弹炮仿制而成，1966年生产定型，大量装备部队，是目前我军的主力加农榴弹炮。
",NULL,NULL,药筒分装式炮弹,17200米,火炮,4240毫米,中国,NULL
{'$oid': '5cc93319831b973d657f1f50'},,150毫米,865米/秒,加农榴弹炮,150mm K39加榴炮,18282千克,,8550毫米,克虏伯公司,NULL,24700米,火炮,8.195毫米,德国,NULL
{'$oid': '5cc93319831b973d657f1f51'},,240毫米,970米/秒,加农榴弹炮,240毫米K3加榴炮,54866千克,,17260毫米,莱茵金属公司,NULL,37000米,火炮,13.102毫米,德国,NULL
{'$oid': '5cc93319831b973d657f1f52'},,155毫米,903米/秒,加农榴弹炮,W88式155毫米牵引加榴炮,12000千克,,9068毫米,NULL,155毫米牵引加榴炮,39000米,火炮,NULL,中国,1985年
{'$oid': '5cc9331a831b973d657f1f53'},,NULL,NULL,加农榴弹炮,PI-20式加榴炮,5600千克,"
PI-20式加榴炮是前苏联研制的一种152mm牵引加榴炮。
",NULL,NULL,NULL,17400米,火炮,NULL,苏/俄,NULL
{'$oid': '5cc9331a831b973d657f1f54'},,210.13毫米,1700米/秒,加农榴弹炮,“巴黎”炮,120千克,德国克虏伯公司研制的一种口径为209.8毫米的重型加农炮。1918年制造，最初以制造公司总裁贝尔塔·克虏伯夫人的名字命名为“贝尔塔”炮。1918年3月23日开始用于炮击法国首都巴黎，后被称为“巴黎”炮。,35700毫米,德国克虏伯公司,NULL,129000米,火炮,NULL,德国,1918年
