_id,图片,口径,炮口初速,类型,名称,简介,全长,研发单位,研发时间,型号,最大射程,大类,炮管长度,产国,总重
{'$oid': '5cc93315831b973d657f1f34'},,149.1毫米,875米/秒,加农炮,明治四十五年式150毫米加农炮,"
海岸防御与压制射击用途。这种大炮装备陆军第7师团函馆重炮兵联队，步兵第1师团横须贺重炮兵联队，步兵第20师团马山重炮兵联队等要塞炮兵联队，这几个师团有80门这种大炮，这种大炮还有改良式分别是大正7年式150毫米重加农炮，90式150毫米重加农炮，机动性比45式150毫米好，野战发射底盘可以随炮机动。这种火炮战争中只在中国战场上使用过。
",NULL,NULL,NULL,NULL,22600米,火炮,71515毫米,日本,8000千克
{'$oid': '5cc93315831b973d657f1f35'},http://images.huanqiu.com/sarons/2013/11/f35d5ff9c709c3635a502537b723b5db.jpg,105毫米,NULL,加农炮,大正十四年式105毫米野战加农炮,"
用于野战防空，要地防空，太平洋战争爆发后，这种高射炮对大多数型号的美军重轰炸机仍有一定威胁。
",NULL,NULL,NULL,榴弹,15300米,火炮,3590毫米,日本,3115千克
{'$oid': '5cc93315831b973d657f1f36'},http://images.huanqiu.com/sarons/2013/11/b5b6d08ebc448348a4cc6fb7b0de09c2.jpg,152毫米,955米/秒,加农炮,83式152毫米加农炮,,9600毫米,NULL,NULL,常规弹药,30000米,火炮,8060毫米,中国,10500千克
{'$oid': '5cc93315831b973d657f1f37'},,85毫米,NULL,加农炮,56式85毫米加农炮,"
56式85毫米加农炮是前苏联D-44式85毫米加农炮的改进产品，1956年定型并投入批量生产，装备部队，主要用于反坦克。 该炮采用带大侧孔冲击式炮口制退器的单筒身管、半自动立楔式炮闩、筒后坐液压节制杆式制退机和液体气压式复进机；炮架部分由筒形摇架、拐脖式上架、下架、防盾、管式大架和滚轮组成；采用蜗杆式方向机、蜗轮自锁单齿弧外啮合式高低机，平衡机为气压式；采用海绵橡胶车轮和半轴扭杆式缓冲器。
",8450毫米,NULL,NULL,NULL,6666米,火炮,4685毫米,中国,1725千克
{'$oid': '5cc93315831b973d657f1f38'},,149.1毫米,860米/秒,加农炮,96式150毫米重加农炮,"
海岸防御与压制射击用途，是89式150mm野战加农炮的改进型。只装备常设师团的重炮兵联队，日军的重炮机动力一般不强，通常只在遇到坚固防线时才会调动重炮兵部队前往炮击，96式重加分机动式与要塞式两种，但都能整炮牵引机动。
",NULL,NULL,NULL,NULL,26200米,火炮,7860毫米,日本,24314千克
{'$oid': '5cc93316831b973d657f1f39'},,121.92毫米,885米/秒,加农炮,60式122毫米加农炮,"
60式122毫米加农炮是根据前苏联D-74式122毫米加农炮仿制而成，1960年生产定型，现在仍有装备部队。
",9900毫米,NULL,NULL,爆破榴弹,23900米,火炮,5690毫米,中国,5620千克
{'$oid': '5cc93316831b973d657f1f3a'},,75毫米,NULL,加农炮,95式75毫米野炮,"
九五式75mm野炮压制射击用途，射程较远，重量轻，身管寿命长。主要装备日军步兵旅团以上单位的野战部队的炮兵部队。
",NULL,NULL,NULL,榴弹,10970米,火炮,2280毫米,日本,1105千克
{'$oid': '5cc93316831b973d657f1f3b'},http://images.huanqiu.com/sarons/2014/01/c6a0fa420a54edb880cb5c1e38229b7f.jpg,130毫米,930米/秒,加农炮,59式130毫米加农炮,,11730毫米,NULL,NULL,NULL,38000米,火炮,6850毫米,中国,7700千克
{'$oid': '5cc93316831b973d657f1f3c'},http://images.huanqiu.com/sarons/2013/11/2984e9c78284fe5f9349c9fd26bec0a9.jpg,105毫米,765米/秒,加农炮,92式105毫米野战加农炮,"
压制射击用途。这种炮精度高，射程远，非常有威力，是当时世界上射程最远的陆军4英寸大炮。
",NULL,NULL,NULL,NULL,18200米,火炮,4725毫米,日本,3730千克
{'$oid': '5cc93316831b973d657f1f3d'},,122毫米,806米/秒,加农炮,A-19式122毫米加农炮,"
A-19系列包含两大型号及A-19/M-1931型和后来的改进型A-19/M-1931/37型。
",NULL,NULL,1927年,NULL,20400米,火炮,5.6毫米,苏/俄,7907千克
{'$oid': '5cc93316831b973d657f1f3e'},http://images.huanqiu.com/sarons/2013/11/62d0e62348647320316e74292a4ed8a0.jpg,149.1毫米,734米/秒,加农炮,89式150毫米野战加农炮,"
压制射击用途。这种炮射程远，而且弹丸威力比日军的150毫米野战榴弹炮的弹丸更大，这种火炮在918事变后开始曾大量用于中国战场。
",NULL,NULL,NULL,NULL,18100米,火炮,5963毫米,日本,10422千克
{'$oid': '5cc93316831b973d657f1f3f'},http://images.huanqiu.com/sarons/2013/11/26c036ac003fd4e56e9634c0f89caddb.jpg,152毫米,955米/秒,加农炮,86式152毫米加农炮,"
86式152毫米加农炮是我国自行设计的第一种大口径远射程加农炮，1986年设计定型。主要性能方面与西方45倍口径155毫米榴弹炮相当，某些方面还稍强一些，在使用的可靠性及炮弹地面散布精度等方面均受到了用户的好评。而且该炮及弹药的成本只有西方155毫米榴弹炮的一半左右，称得上是物美价廉。
",9600毫米,NULL,NULL,榴弹炮,30000米,火炮,8060毫米,中国,9700千克
{'$oid': '5cc93317831b973d657f1f40'},http://images.huanqiu.com/sarons/2013/11/3e57effa11b028840f9f3998a29ac332.jpg,76.2毫米,NULL,加农炮,F-22式/M1936加农炮,"
1934年，GVMU设计局（负责人V.G.格拉宾）开发了一个新的76.2mm炮的项目，也就是后来的F-22。这是该设计局第一次完整地开发火炮。在V.G.格拉宾地印象里，他把这种炮归类到师属火炮。实际上，这种炮是被当作师属火炮使用，但一开始它更象个通用的“万能火炮”。
",NULL,NULL,NULL,NULL,NULL,火炮,NULL,苏/俄,NULL
{'$oid': '5cc93317831b973d657f1f41'},,240毫米,970米/秒,加农炮,240毫米K3重炮,"
240毫米K3重炮是二战爆发前1934年中期由德国的莱茵金属公司(Rh=Rheinmetall AG)开始进行研制的，直到1939年才制造出第一门样炮。1941年，德国莱茵金属公司与国防军关于240毫米K3重炮的生产合同转移给克虏伯公司，由克虏伯公司继续生产。
",13.01毫米,莱茵金属公司,1934年,NULL,37000米,火炮,13102毫米,德国,54866千克
{'$oid': '5cc93317831b973d657f1f42'},http://images.huanqiu.com/sarons/2014/02/673fe3ab5fd3e109ade5ec310456b655.jpg,152毫米,NULL,加农炮,2A36式“风信子”-B加农炮,"
2A36式风信子-B加农炮是前苏联研制的一种152mm牵引加农炮。该型加农炮战斗全重9800kg，发射榴弹时最大射程28.5km，发射火箭增程弹时最大射程33km，最大射速6发/min。
",NULL,NULL,1968年-19​​75年,NULL,33000米,火炮,NULL,苏/俄,9800千克
{'$oid': '5cc93317831b973d657f1f43'},http://images.huanqiu.com/sarons/2014/02/a02697595f5f258ce53c9abdddf36e45.jpg,152毫米,942米/秒,加农炮,2S5式“风信子”加农炮,"
2S5式“风信子”加农炮是前苏联研制的一种152毫米自行加农炮。该型加农炮属于敞开式半装甲履带式自行火炮，能昼夜射击，但由于无装甲防护，所以战场生存力较差。
",NULL,NULL,NULL,炮射导弹,37000米,火炮,NULL,苏/俄,28200千克
{'$oid': '5cc93317831b973d657f1f44'},http://images.huanqiu.com/sarons/2013/11/e8906a68e4d187b3651a004a775f0d89.jpg,NULL,NULL,加农炮,2S7式“芍药”加农炮,"
2S7式“芍药”加农炮是前苏联于20世纪70年代中期开始研制的一种203毫米自行加农炮。该型加农炮使用履带式专用底盘，车外形结构略同美国M110式榴弹炮，具有体积大、射程远的特点，但无装甲防护，三防能力弱。
",NULL,NULL,NULL,常规弹药,47500米,火炮,NULL,苏/俄,46000千克
{'$oid': '5cc93317831b973d657f1f45'},,155毫米,291米/秒,加农炮,155mm1890年式加农炮,,NULL,NULL,NULL,NULL,6280米,火炮,1800毫米,法国,3115千克
{'$oid': '5cc93318831b973d657f1f46'},,155毫米,NULL,加农炮,155mm1898年式加农炮,,NULL,NULL,NULL,NULL,7000米,火炮,2000毫米,法国,2990千克
{'$oid': '5cc93318831b973d657f1f47'},,100.2毫米,NULL,加农炮,五式100mm重加农炮,,65毫米,NULL,NULL,爆破弹,NULL,火炮,65毫米,日本,NULL
