名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
UF-1/2和U-16“信天翁”反潜机,飞行器,379千米每小时,29.46米,两台莱特R-1820-76A发动机,1947年10月24日,双发,NULL,NULL,4587千米,{'$oid': '5cc930ff831b973d657f11f9'},NULL,http://images.huanqiu.com/sarons/2013/08/f835070667e94e6d8ece6bc61913e6a5.jpg,7.87米,10380千克,1949年7月,美国,亚音速,反潜机,"
由于第二次世界大战中为盟军生产了大量的JRF“鹅式（Goose）”飞机，格鲁曼公司获得了制造两栖机的宝贵经验，公司决定着手研究全新的后继机，以取代早期生产的犁号，这种新飞机在尺寸上是它的前辈的三倍。这一研究结果就是G-64“信天翁”，它们继承了早期格鲁曼两栖机的特色，有着悬壁式高翼、主起落架可收入机身两侧。命名为UF-1／2（后来又重新命名为U-16）。
",格鲁曼公司,平直翼,4人,18.68米,16194千克
JF/J2F“鸭子”,飞行器,303千米每小时,11.89米,莱特R-1850-54“旋风”发动机,1933年4月24日,单发,NULL,NULL,1255千米,{'$oid': '5cc930ff831b973d657f11fa'},格鲁曼公司,,4.6米,2470千克,NULL,美国,亚音速,反潜机,"
传奇般的海军飞机制造商格鲁曼飞机制造厂设计的第一种两栖机“鸭子”深受该公司先前的机型FF-1影响。格鲁曼飞机制造厂也借鉴了美国海军当时的两栖机“郎宁（Leoning）”OL-9，以及格鲁曼自己制造两栖飞艇的经验。1933年4月24日完成首飞任务。
",格鲁曼公司,双翼,3人,10.36米,3493千克
朗宁OA/OL,飞行器,192千米每小时,13.72米,自由V-1650-1发动机,1923年（XCOA-1）,单发,NULL,NULL,960千米,{'$oid': '5cc930ff831b973d657f11fb'},NULL,http://images.huanqiu.com/sarons/2013/08/ba89fa18cb0c833e22df08cb14381bfb.jpg,3.89米,1560千克,NULL,美国,亚音速,反潜机,,郎宁航空工程公司,平直翼,2人,10.4米,2273千克
S-3“维京”反潜机,飞行器,833千米每小时,20.93米,两台通用电气TF34-GE-400B发动机,1972年1月21日,双发,NULL,NULL,6085千米,{'$oid': '5cc93100831b973d657f11fc'},NULL,http://images.huanqiu.com/sarons/2013/08/3e16d35321f676d0f9c1d845e4824dd9.jpg,6.93米,12088千克,1974年7月,美国,亚音速,反潜机,,美国洛克希德公司,后掠翼,4人,15.06米,23832千克
A-28／29／AT-18和PBO“郝德逊”海上巡逻轰炸机,飞行器,407千米每小时,19.96米,两台莱特GR-1820-87“旋风”9发动机,1938年10月10日（郝德逊）,双发,NULL,NULL,2494千米,{'$oid': '5cc93100831b973d657f11fd'},NULL,http://images.huanqiu.com/sarons/2013/08/2f1829e109500855880ea5b9de960516.jpg,3.63米,5817千克,NULL,美国,亚音速,反潜机,"
“郝德逊” 飞机由上世纪30年代末，洛克希德公司代号为14的“超级莱克伊特（SuperElectra）”飞机发展而来。主要用于反潜巡逻和训练领航员。1941年-1942年，美国陆军航空部队也收到了几百架本来为英国生产的“郝德逊”，给它们命名为A-28／29。美国陆军也拿到217架带有炮塔的“郝德逊”，命名为AT-18，用作飞机炮手教练机和靶机，另有83架无炮塔的AT-18A被用来训练领航员。
",美国洛克希德公司,平直翼,4人,13.51米,9299千克
P-8“海神”反潜巡逻机,飞行器,907千米每小时,37.64米,CFM56-7B 涡轮扇发动机,2009年,双发,NULL,(4.8分),2222千米,{'$oid': '5cc93100831b973d657f11fe'},美国波音公司,http://images.huanqiu.com/sarons/2014/04/772df422bdc5af2169783b6cc8d4187a.jpg,12.83米,62730千克,2013年,美国,亚音速,反潜机,,美国波音公司,后掠翼,11人,39.47米,85820千克
SO3C“海鸥”,飞行器,277千米每小时,11.58米,Ranger SGV-770-8发动机,1939年,单发,NULL,NULL,1851千米,{'$oid': '5cc93100831b973d657f11ff'},NULL,,4.57米,1943千克,1942年,美国,亚音速,反潜机,"
寇蒂斯公司的XSO3C-1是为取代寇蒂斯SOC“海鸥”而设计的，它的原型机于1939年年底打败了沃特公司的XSO2U-1，赢得了美国海军的合同。尽管算是成功的设计，这种飞机还是有一些严重的不稳定问题，只能通过采用可以往上翻的翼尖和加大尾翼面积来解决。这些问题阻碍了生产，直到1942年7月，生产型才得以交付。
",寇蒂斯公司,平直翼,2人,11.23米,2599千克
寇蒂斯HS系列,飞行器,132千米每小时,22.57米,一台自由12发动机,1917年 年初,单发,NULL,NULL,827千米,{'$oid': '5cc93100831b973d657f1200'},NULL,http://images.huanqiu.com/sarons/2013/08/cd4175c9dfabf44efa976ea4092661b2.jpg,4.48米,1950千克,NULL,美国,亚音速,反潜机,,寇蒂斯公司,双翼,2人,11.88米,2918千克
P-3“猎户座” 海上巡逻和反潜战飞机,飞行器,761千米每小时,30.37米,四台阿里逊T56-A-14发动机,1959年11月25日,四发,NULL,(4.2分),8945千米,{'$oid': '5cc93100831b973d657f1201'},美国洛克希德公司,http://images.huanqiu.com/sarons/2013/08/3620d54ea5a6595323871f8f27d8c806.jpg,10.27米,35000千克,1962年,美国,亚音速,反潜机,"
P-3是美国洛克希德公司应美国海军的要求研制的海上巡逻和反潜飞机。该机是在“依列克特拉”民航机的基础上设计的，1957年开始设计，1958年中标，同年8月9日气动力原型机首飞，装全部设备的YP-3A于次年11月25日试飞，1961年4月以后开始交付。该机为正常式布局，悬臂式下单翼，传统铝合金结构，按破损安全原则设计，增压机舱，乘员10名。
",NULL,后掠翼,10人,35.61米,64400千克
OA-14/J4F“野鸭”,飞行器,246千米每小时,12.19米,两台兰格L-440C-5发动机,1940年6月28日,单发,NULL,NULL,1481千米,{'$oid': '5cc93100831b973d657f1202'},NULL,http://images.huanqiu.com/sarons/2013/08/46c298defe0ca65ea1713fbdf17765f6.jpg,3.48米,1447千克,NULL,美国,亚音速,反潜机,"
“野鸭”飞机，是上世纪40年代美国格鲁曼公司为美国海军和海岸警卫队生产的一款两栖型反潜水上飞机。它是当时民用市场上的成功机型“鹅式（Goose）”两栖飞机的小型版，美国海岸警卫队称之为J4F。
",美国格鲁曼公司,平直翼,5人,9.47米,2041千克
AF-2“守护者”反潜机,飞行器,510千米每小时,18.49米,普-惠R-2800-48W“双黄蜂”发动机,1946年12月19日,单发,NULL,NULL,2415千米,{'$oid': '5cc93100831b973d657f1203'},NULL,http://images.huanqiu.com/sarons/2013/08/5e611bbb4df5dd7b311ba574402be93f.jpg,4.93米,6613千克,1950年9月27日,美国,亚音速,反潜机,"
格鲁曼AF“守护者”是美国海军列装的首款反潜战舰载机。这是一款双翼飞机，一根翼肋用于搭载探测设备，另外一根翼肋用于搭载武器系统。1955年8月，“守护者”被格鲁曼双发S-2“跟踪者”反潜机取代。“守护者”是美国海军有史以来列装的体积最大的单发活塞动力舰载机。
",格鲁曼公司,平直翼,2人,13.2米,11567千克
海军飞机制造厂PN ,飞行器,183千米每小时,22.2米,两台莱特R-1820-D“旋风”发动机,1922年（PN-7）,单发,NULL,NULL,3117千米,{'$oid': '5cc93101831b973d657f1204'},NULL,,5.1米,3479千克,NULL,美国,亚音速,反潜机,"
PN系列飞艇一战中为美国海军做出突出贡献的F-5/6L飞艇的改进版。它的机翼是金属框架、深截面，第一架是1922年出现的PN-7，紧接着是金属机体和更改了发动机的PN-8。之后的PN-12的制造任务被分给了道格拉斯公司、马丁公司和凯斯通公司。PN系列飞艇在太平洋战区和大西洋战区以及海外得到了广泛使用，直到20世纪30年代末。
",海军飞机制造厂，道格拉斯公司，马丁公司，凯斯通公司,双翼,4人,14.95米,6406千克
S-3B“北欧海盗”舰载反潜机,飞行器,814千米每小时,20.9米,TF34-GE-24涡轮风扇发动机(推力:41.26kN),1984年9月13日,双发,在2009年之前,NULL,3700千米,{'$oid': '5cc93101831b973d657f1205'},NULL,http://images.huanqiu.com/sarons/2014/01/e791c518ade76ff89371f912669c75bd.jpg,6.93米,12057千克,NULL,美国,亚音速,反潜机,,洛克希德,平直翼,4人,16.2米,19500千克
“大西洋”1&2 (法国) 反潜机/海上巡逻机,飞行器,556千米每小时,36.3米,NULL,1961年10月21日,双发,NULL,NULL,7778千米,{'$oid': '5cc93101831b973d657f1206'},NULL,,11.3米,NULL,1965年,法国,亚音速,反潜机,,达索（布雷盖）,平直翼,12人,31.8米,NULL
二式飞行艇 H8K,飞行器,465千米每小时,38米,三菱MK4Q火星 22 14汽缸复列星型引擎,1941年,四发,1945年 (日本),NULL,7150千米,{'$oid': '5cc93101831b973d657f1207'},NULL,http://images.huanqiu.com/sarons/2014/01/b910abe0f0da6303e41745b74690b981.jpg,9.15米,18380千克,NULL,日本,亚音速,反潜机,,川西航空机工厂,平直翼,10人,28.15米,32500千克
Q1W东海反潜机,飞行器,322千米每小时,16米,2台日立Amakaze-31发动机，每台455 kW,1942年,双发,NULL,NULL,1342千米,{'$oid': '5cc93101831b973d657f1208'},NULL,http://images.huanqiu.com/sarons/2014/01/486e51a53917ac99d500a4d6ae80ec06.jpg,4.12米,3102千克,NULL,日本,亚音速,反潜机,,九州公司,平直翼,3人,12.09米,5318千克
“猎迷”MR.2/MRA.4海上巡逻机和反潜机,飞行器,480千米每小时,36.58米,4台罗尔斯·罗伊斯Griffon 57发动机,1967年5月23日,四发,NULL,NULL,3620千米,{'$oid': '5cc93101831b973d657f1209'},NULL,http://images.huanqiu.com/sarons/2014/01/85ef052df7d7888458989f2658c22f5f.jpg,5.33米,23300千克,1969年,英国,亚音速,反潜机,,BAE(HSA),后掠翼,10人,26.61米,39000千克
ki-76/3式指挥连络机,飞行器,178千米每小时,15米,日立HA-42B 气冷星型9汽缸（280马力）,NULL,单发,NULL,NULL,750千米,{'$oid': '5cc93101831b973d657f120a'},日本国际航空工业,http://images.huanqiu.com/sarons/2014/01/4857b2a8ae48d6bcef754da26ec5d5aa.jpg,3.3米,1110千克,NULL,日本,亚音速,反潜机,"
三式指挥连络机，编号为ki-76，为第二次世界大战时期旧日本陆军的指挥连络机，由日本国际航空工业设计制造。本机兼具空中指挥、侦察、连络、著弹点观测等多用途，并可于未修筑跑道之一般地面进行短场起降。1940年8月开始与预订进行国产的Fi-156联络观测机进行开发竞争，1941年完成的试作机与隔年6月到达的Fi-156进行比较审查的结果，因其性能较佳而予以采用。
",日本国际航空工业,平直翼,2人,9.56米,1540千克
S-2T“跟踪者” 海上巡逻机＆反潜飞机,飞行器,481千米每小时,22.1米,NULL,1952年12月4日,双发,1967年,NULL,2581千米,{'$oid': '5cc93102831b973d657f120b'},NULL,http://images.huanqiu.com/sarons/2014/01/6f1f72d8e0ca9046bc7c28a6a38c12a3.jpg,5.1米,NULL,NULL,美国,亚音速,反潜机,,NULL,平直翼,NULL,13.3米,NULL
运8-X,飞行器,648千米每小时,37.42米,2×罗尔斯·罗伊斯Tyne RTy.20 Mk 21发动机,NULL,四发,NULL,NULL,9075千米,{'$oid': '5cc93102831b973d657f120c'},NULL,http://images.huanqiu.com/sarons/2013/11/c33e636bf6fc75350cd93c54629cefff.jpg,10.89米,25700千克,20世纪80年代中期,中国,亚音速,反潜机,,陕西飞机工业（集团）有限公司,平直翼,12人,31.62米,46200千克
海军飞机制造厂TS,飞行器,198千米每小时,7.62米,莱特（劳伦斯，Lawrance）J-4发动机,1922年5月,单发,1929年,NULL,775千米,{'$oid': '5cc93102831b973d657f120d'},NULL,,2.9米,562千克,1922年12月,美国,亚音速,反潜机,,海军飞机制造厂,平直翼,1人,6.73米,967千克
