_id,图片,类型,产国,名称,弹长,简介,研发单位,弹重,引信,大类,弹径,制导系统,最大速度,关注度,射程,研制时间,翼展
{'$oid': '5cc93367831b973d657f20fb'},http://images.huanqiu.com/sarons/2013/11/8ed0fd50c09ac99bc99ffab07e776eb5.jpg,地地导弹,中国,东风-21号（DF-21）中程地地战略导弹,10.7米,东风-21号中程地地战略导弹中国在巨浪-1号潜地导弹基础上发展的第二代中程地地战略导弹。1985年5月20日试射成功，1989年定型。,NULL,NULL,NULL,导弹武器,1.4米,NULL,NULL,(4.9分),1800千米,1985年,NULL
{'$oid': '5cc93367831b973d657f20fc'},,地地导弹,中国,东风-1号（DF-1）近程地地战略导弹,17.68米,东风-1号（DF-1）近程地地战略导弹是中国根据苏联P-2导弹仿制的近程地地战略导弹。该导弹没有实战部署过。但是中国通过彷制P-2导弹建立了导弹研究体系，培养了一批导弹专家。,国防部第五研究院,20400千克,NULL,导弹武器,1.65米,NULL,NULL,NULL,600千米,1958年4月,NULL
{'$oid': '5cc93367831b973d657f20fd'},,地地导弹,中国,东风-25(DF-25)地地导弹,NULL,东风-25是在DF-21基础上改进的中程导弹，改进了推进剂，固体火箭发动机。东风二十五的弹头舱能够携带三枚分导式核弹头，它是目前世界上唯一能够携带多枚弹头的中程导弹。东风-25型导弹，代号DF-25，它是中国研制的第二代战略导弹，是一种先进的中程地地战略导弹，它是在原东风-21基础上改进而成。 它以机动发射，可带常规弹头，也可带核弹头和分导弹头，导弹命中准确而且战场存活系数高。,NULL,NULL,NULL,导弹武器,NULL,联合惯性/全球定位制导系统,NULL,NULL,3200千米,2006年,NULL
{'$oid': '5cc93367831b973d657f20fe'},,地地导弹,中国,B611“枕木”短程战术弹道导弹,6.75米,"
B611短程弹道导弹是中国航天科工集团第二研究院开发研制的一种固体近程战术地地导弹武器系统。早期型号为一车一弹，采用导轨式发射。重达24吨的6轮运输安装发射车直到2003年才完成。2004年珠海国际航空航天展上，首次亮相的国产B611型短程战术弹道导弹系统引起了人们的广泛关注。据参展方称，这型外号为“枕木”的导弹主要用于外销出口。
",中国航天科工集团第二研究院,380千克,NULL,导弹武器,0.6米,NULL,NULL,NULL,150千米,1998年,NULL
{'$oid': '5cc93367831b973d657f20ff'},http://images.huanqiu.com/sarons/2014/03/8046ed6b9bcfa234ac52e30c993c2e18.jpg,地地导弹,中国,红箭8反坦克导弹,0.875米,"
红箭8型反坦克导弹是我国自行研制的第二代反坦克导弹，1984年定型。 导弹采用光学瞄准跟踪，红外半自动制导、有线传输指令。控制方式为燃气扰流片，管式发射。导弹采用多种发射平台，可由步兵携带、履带和轮式发射车、直升机等多种方式发射。
",NULL,11.2千克,NULL,导弹武器,0.12米,有线传输指令,NULL,(5分),3千米,NULL,NULL
{'$oid': '5cc93367831b973d657f2100'},,地地导弹,中国,东风-4号（DF-4）远程地地战略导弹,28米,东风-4是中国第一种两级火箭（使用东风-3作为第一级火箭），北约代号CSS-3。其研制工作要求实现一系列技术突破（如发动机可靠性、性能更好的耐高温材料及改进型制导系统等）。该型导弹是一种采用液氢燃料和捷联式惯性制导系统的中程弹道导弹（IRBM）。东风-4原设计射程超过4000公里，以美军驻关岛的B-52轰炸机基地为目标。此后其射程增至5000公里以上，以将莫斯科及其他苏联西部城市纳入射程范围。,NULL,82000千克,NULL,导弹武器,2.4米,NULL,NULL,NULL,4750千米,1965年3月,NULL
{'$oid': '5cc93367831b973d657f2101'},http://images.huanqiu.com/sarons/2013/11/1928390a5b968670b101aeb62e634f9e.jpg,地地导弹,中国,东风-31（DF-31）准洲际弹道导弹,13米,"
东风-31（DF-31，北约代号CSS-10）是中国的一种三段固体推进剂洲际弹道导弹。也是中国首种远程固体弹道导弹，作为中国第二代战略武器，应用了许多新技术。与其前辈东风5洲际弹道导弹相比，东风31在体积、打击精度、生存性能和突防能力等方面均有明显突破。
",NULL,42000千克,NULL,导弹武器,2.25米,惯性制导激光制导北斗导航,NULL,NULL,12000千米,1978年,NULL
{'$oid': '5cc93367831b973d657f2102'},,地地导弹,中国,M-7（8610/CSS-8）短程弹道导弹 ,10.8米,"
M-7导弹是M族战术弹道导弹当中唯一以倾斜方式发射的导弹，其他的M族导弹均采取垂直发射的方式。M-7倾斜发射的原因是红旗-2防空导弹采用倾斜发射方式，而M-7弹道导弹是从红旗-2防空导弹改造而来的，改造名字叫做8610工程，工程从1986年开始。
",NULL,2650千克,NULL,导弹武器,0.65米,NULL,NULL,NULL,150千米,1986年,NULL
{'$oid': '5cc93368831b973d657f2103'},,地地导弹,苏/俄,9K79地地战术弹道导弹,6.4米,"
SS-21地地战术弹道导弹（前苏军称它为""圆点""或""托契卡""导弹）是前苏联陆军于20世纪70年代装备的近程地地战术导弹。北约代号:SS-21“圣甲虫”。 
",NULL,1800千克,NULL,导弹武器,0.65米,NULL,NULL,(4.9分),185千米,1970年,NULL
{'$oid': '5cc93368831b973d657f2104'},,地地导弹,中国,东风-3号（DF-3）中程地地战略导弹,24米,东风-3是中国第一种中程弹道导弹，也是中国完全自行设计的第一种战略导弹。采用机动发射、单级、液体燃料。东风-3最大射程2700千米，4000公里（东风-3A）。可携带1枚威力为200万吨TNT当量的核弹头，或3枚威力为5-10万吨TNT当量分导核弹头（东风-3A），命中精度1500-3000米。 东风-3北约代号CSS-2。,NULL,6400千克,NULL,导弹武器,2.25米,惯性陀螺积分仪,NULL,NULL,2650千米,1965年,NULL
