名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,W-3W,产国,飞行速度,类型,简介,研发单位,战地机型,气动布局,机长,最大起飞重量,乘员
SH-2G“超海妖”轻型机载多用途直升机,飞行器,256千米每小时,NULL,一台通用电气 T58-GE-8B 涡轮轴发动机,1959年7月2日,双发,13.5米,NULL,NULL,885千米,{'$oid': '5cc93163831b973d657f1428'},NULL,http://images.huanqiu.com/sarons/2013/07/535ac7952924d6bba6c615f4278bed37.jpg,4.6米,2127千克,NULL,NULL,美国,亚音速,多用途直升机,"
卡曼SH-2G“超海妖”是美国卡曼公司于1959年7月2日研制成功的一款多用途海军直升机，用以满足美国海军全天候作战的要求。可用于执行搜索求援、观察和通用任务，现在主要是支援美国舰队在地中海、大西洋和太平洋执行反潜和反舰导弹防御任务。
",卡曼公司,NULL,单旋翼,16.1米,4627千克,NULL
阿古斯塔A-109轻型通用直升机,飞行器,311千米每小时,NULL,两台阿里逊250-C涡轮轴发动机,1971年8月4日,双发,11米,NULL,NULL,652千米,{'$oid': '5cc93163831b973d657f1429'},NULL,http://images.huanqiu.com/sarons/2013/07/ecf1d52ca3ea31d25ca24eb1cbff2134.jpg,3.5米,1590千克,1976年,NULL,意大利,亚音速,多用途直升机,"
阿古斯塔-韦斯特兰公司的AW109是一种重量轻，双引擎，8个座位的多用途直升机。它由盎格鲁-意大利制造商阿古斯塔-韦斯特兰公司研发制造。阿古斯塔A109于1971年首飞，在运输，医疗后送，搜索，救援和军事角色的扮演上都起到了重要的作用。
",意大利阿古斯塔公司,NULL,单旋翼,11.4米,3000千克,NULL
ALH“北极星”多用途通用直升机,飞行器,330千米每小时,NULL,两台TM333-2B涡轴发动机,1992年8月20日,双发,13.2米,NULL,NULL,800千米,{'$oid': '5cc93163831b973d657f142a'},NULL,http://images.huanqiu.com/sarons/2013/07/f847dd1c198bb81fbc52b3406ed8db5c.jpg,4.9米,2450千克,NULL,NULL,印度,亚音速,多用途直升机,"
ALH(先进轻型直升机)是印度斯坦航空公司在原德国MBB公司(现欧洲直升机德国公司)的协助下研制的单旋翼带尾桨的双发多用途轻型直升机，又称“北极星”或者“Dhruv”。
",印度斯坦航空工业公司,NULL,单旋翼,15.9米,5500千克,NULL
卡-27/-28/-32舰载反潜直升机,飞行器,270千米每小时,NULL,两台克里莫夫TV-117V涡轮轴发动机,1973年8月8日,双发,15.9米,NULL,NULL,800千米,{'$oid': '5cc93163831b973d657f142b'},NULL,http://images.huanqiu.com/sarons/2013/07/ddaa044fad2ab299f5c97dcbb5c5d002.jpg,5.5米,6500千克,NULL,NULL,苏/俄,亚音速,多用途直升机,"
卡-27/-28/-32，是卡莫夫设计局为了取代服役已十年之久的卡-25，而设计的新一代反潜直升机。
",卡莫夫设计局,NULL,共轴双旋翼,11.3米,12000千克,NULL
SA 316/3 19“云雀”III多用途直升机,飞行器,210千米每小时,NULL,单台透博梅卡·阿都斯特III B(SA316)或阿斯塔左XIV (SA319)涡轮轴发动机,1959年2月28日,单发,11米,NULL,NULL,540千米,{'$oid': '5cc93164831b973d657f142c'},NULL,,3米,11430千克,1960年,NULL,法国,亚音速,多用途直升机,"
法国宇航云雀III型（Aérospatiale Alouette III）是由法国宇航公司生产的轻型、单发及七座多用途直升机。1985年停产，是云雀II型的后续机型。
",法国航宇公司,NULL,单旋翼,12.8米,22000千克,7人
AS 565“黑豹”通用直升机,飞行器,287千米每小时,NULL,两台“阿赫耶”1C2或2C涡轮轴发动机,1979年3月31日,双发,11.9米,NULL,NULL,859千米,{'$oid': '5cc93164831b973d657f142d'},NULL,http://images.huanqiu.com/sarons/2013/07/3e9cb41fc1775f530ba1d6c6da728c13.jpg,4.1米,2255千克,NULL,NULL,法国,亚音速,多用途直升机,"
AS565“黑豹”早期的代号为AS 365N“海豚” 2，是欧洲直升机法国公司于1979年研制成功的一款多用途战斗直升机，平时执行救援运输任务，战时为特种部队提供支援。
",欧洲直升机法国公司,NULL,单旋翼,13.7米,4300千克,NULL
UH-1“易洛魁人”通用直升机,飞行器,205千米每小时,NULL,德事隆-莱康明 VT53-L-13发动机,1956年10月22日,双发,14.63米,NULL,NULL,420千米,{'$oid': '5cc93164831b973d657f142e'},NULL,http://images.huanqiu.com/sarons/2013/08/c5e74f48be0eb372717a3c5609a7ff76.jpg,4.41米,2363千克,NULL,NULL,美国,亚音速,多用途直升机,"
UH-1(UH-1 Iroquois)是美国的贝尔直升机公司所设计制造的军用直升机，它的民用版本是贝尔204，Iroquois为美国原住民族之一的易洛魁族名称，而美国海军陆战队命名为“休伊”（Huey）。此直升机为多用途设计，其U代表通用（Utility），可以执行攻击任务、运补作业等等。
",美国贝尔公司,NULL,单旋翼,12.65米,4310千克,NULL
贝尔HTL/HUL/H-13通用直升机,飞行器,160千米每小时,NULL,莱康明 VO-435发动机,1945年10月8号,单发,10.69米,NULL,NULL,382千米,{'$oid': '5cc93164831b973d657f142f'},NULL,http://images.huanqiu.com/sarons/2013/07/a589b3f4b065d4a926653ba623443acd.jpg,2.92米,709千克,NULL,NULL,美国,亚音速,多用途直升机,美国贝尔公司研发的三座单发轻型通用直升机，型号有：HTL、HUL、H-13，合称“苏族”。1946年，美国陆军航空兵订购了28架47B型用于评估，这些直升机被命名为YR-13，其中10架转给了美国海军，重新命名为HTL-1。1949年，美国海军再次订购了12架近似的HTL-2。海军的HTl（从1955年起改为HUL）与它的陆军兄弟们大为不同，它的购买量极小，在20世纪50年代，一共购买了209架美国。H-13被广泛应用于医疗救护，在这个关键任务中，已经取代了固定翼的“蚱蜢”。,美国贝尔公司,NULL,单旋翼,8.43米,1111千克,3人
SA 341/42“小羚羊”轻型多用途直升机,飞行器,310千米每小时,NULL,一台透博梅卡·阿斯塔左III A(SA 341机型)或XIVM(SA 342L机型)涡轮轴发动机,1967年4月7日,单发,10.5米,NULL,NULL,360千米,{'$oid': '5cc93164831b973d657f1430'},NULL,http://images.huanqiu.com/sarons/2013/07/fb8cacb07a7abf3e84e894bd7be9ba8c.jpg,3.1米,991千克,NULL,NULL,英国,亚音速,多用途直升机,,法国航宇公司,NULL,单旋翼,12米,1900千克,NULL
AS 550/555“松鼠”/“小狐”轻型通用直升机,飞行器,287千米每小时,NULL,一台透博梅卡阿赫耶1D1发动机,1974年6月27日,双发,10.7米,NULL,NULL,670千米,{'$oid': '5cc93164831b973d657f1431'},NULL,http://images.huanqiu.com/sarons/2013/07/16b3589c40d6a3714219fb32b542d1c8.jpg,3.4米,907千克,NULL,NULL,法国,亚音速,多用途直升机,"
AS 350“松鼠”以高性能、坚实耐用、可靠性高、使用成本低等特点著称。高度灵活性和低采购成本使该款直升机成为执行广泛任务的热门机型。AS350 B3型适用于高温、高原作业，创造了一项历史记录：成功地在珠穆朗玛峰（8848米）上进行了起降。
",欧洲直升机法国公司,NULL,单旋翼,12.9米,2250千克,6人
