_id,运载火箭,图片,发射地点,类型,经度,名称,简介,首次轨道发射,轨道,纬度,长度,制造商,大类,关注度,产国,发射日期,中心直径
{'$oid': '5cc933fd831b973d657f2416'},土星5号,http://images.huanqiu.com/sarons/2013/11/bfebea008353eb78748658807a9b1355.jpg,佛罗里达州，肯尼迪航天中心,宇宙飞船,NULL,阿波罗11号（Apoiio 11）,"


",NULL,111公里×314公里(69英里×195英里),NULL,NULL,格鲁曼公司 ,太空装备,NULL,美国,1969年7月16日,NULL
{'$oid': '5cc933fe831b973d657f2417'},红石,http://images.huanqiu.com/sarons/2013/11/75ba0ee1d2a7e58db7ed550697a818dd.jpg,佛罗里达州，卡纳维拉尔角,宇宙飞船,NULL,水星-红石3（Mercury Redstone，自由7号）,"
“水星计划”是美国的第一个载人航天计划。太空舱设计得尽可能小，以符合“红石”运载火箭(执行亚轨道飞行任务时使用)和“阿特拉斯”运载火箭(执行轨道飞行任务时使用)的负载能力。
",NULL,亚轨道，高度187.5公里(116.5英里),NULL,NULL,麦克唐纳飞行器公司,太空装备,NULL,美国,1961年5月5日,NULL
{'$oid': '5cc933fe831b973d657f2418'},长征2F,,中国酒泉,宇宙飞船,NULL,神舟宇宙飞船,"
神舟号飞船是采用三舱一段，即由返回舱、轨道舱、推进舱和附加段构成，由13个分系统组成。 神舟号飞船与国外第三代飞船相比，具有起点高、具备留轨利用能力等特点。神舟系列载人飞船由专门为其研制的长征二号F火箭发射升空，发射基地是酒泉卫星发射中心，回收地点在内蒙古中部的草原上。
",NULL,350公里(212英里×217英里)，轨道倾角4最高342公里×2.4°,NULL,NULL,中国空间技术研究院,太空装备,NULL,中国,2005年10月12日,NULL
{'$oid': '5cc933fe831b973d657f2419'},长征二号F火箭,,酒泉卫星发射中心,宇宙飞船,100°17′30″E,神舟十号,"
神舟十号飞船是中国“神舟”号系列飞船之一，它是中国第五艘搭载航天员的飞船。飞船由推进舱、返回舱、轨道舱和附加段组成。升空后再和目标飞行器天宫一号对接，并对其进行短暂的有人照管试验。对接完成之后的任务将是打造太空实验室。神舟十号在酒泉卫星发射中心“921工位”，于2013年6月11日17时38分02.666秒，由长征二号F改进型运载火箭（遥十）“神箭”成功发射。在轨飞行15天，并首次开展中国航天员太空授课活动。飞行乘组由男航天员聂海胜、张晓光和女航天员王亚平组成，聂海胜担任指令长；6月26日，神舟十号载人飞船返回舱返回地面。
",NULL,NULL,40°57′28″N,23米,中国航天科技集团公司,太空装备,(5分),中国,2013年6月11日17时38分02.666秒 ,2.9米
{'$oid': '5cc933fe831b973d657f241a'},“联盟”号,http://images.huanqiu.com/sarons/2013/11/9fe1bb5d9393a1145acdcf4b6fe4eb7a.jpg,哈萨克斯坦，拜科努尔,宇宙飞船,NULL,联盟TMA宇宙飞船,"
现在的“联盟”号宇宙飞船的基本设计与20世纪60年代发射的第一艘“联盟”号飞船非常相似。这一系列飞船第4次升级后的型号与2002年第一次发射。这个型号装备了新型软着陆系统和更大的舱内空间，能够容纳3位宇航员。
",NULL,最高400公里(250英里)，轨道倾角51.6°,NULL,NULL,RSC Energia公司,太空装备,(5分),苏/俄,2002年10月30日,NULL
{'$oid': '5cc933fe831b973d657f241b'},H-II B,http://images.huanqiu.com/sarons/2013/11/a1feeab0bc1921614dbccbd4f65f04e7.jpg,日本种子岛,宇宙飞船,NULL,HTV（H-Ⅱ转移飞船）,,NULL,400公里(250英里)，轨道倾角51.6°,NULL,NULL,三菱重工,太空装备,NULL,日本,2009年09月18日,NULL
{'$oid': '5cc933fe831b973d657f241c'},联盟U或联盟FG,http://images.huanqiu.com/sarons/2013/11/53c9fd4134767ac275f045bf5d6f0b34.jpg,哈萨克斯坦拜科努尔,宇宙飞船,NULL,进步M 宇宙飞船,"
“进步”号货运字宙飞船是基于“联盟”号宇宙色船设计的。第一艘“进步”号飞船于1978年1月20日发射到“礼炮”号空间站。从那以后，又有两艘更先进的型号投入飞行。今天，“进步”号已经是国际空间站补给任务最常用的运输工具。
",NULL,最高460公里(286英里)，轨道倾角51.6°,NULL,NULL,RSC Energia公司,太空装备,NULL,苏/俄,2000年2月1日,NULL
{'$oid': '5cc933ff831b973d657f241d'},上升号(R-7，“月神”第二级),,哈萨克斯坦，拜科努尔,宇宙飞船,NULL,上升号多人宇宙飞船（Voskhod）,"
“上升号”(“日出号”)宇宙飞船是为了超过美国的“双子座”号飞船而在“东方号”宇宙飞船的基础上改良而来的。参加“上升1号”任务的宇航员有鲍里斯·叶戈罗夫、康斯坦丁·费奥克基斯托夫和弗拉迪米尔·卡马洛夫。
",NULL,167公里×475公里(103英里×295英里)，倾角64.8°,NULL,NULL,OKB-1(Korolev),太空装备,NULL,苏/俄,1965年3月18日,NULL
{'$oid': '5cc933ff831b973d657f241e'},长征二号F,,酒泉卫星发射中心,宇宙飞船,100°17′30″E,神舟二号飞船,,NULL,距地球表面高度近地点为200公里、远地点为340公里的椭圆轨道,40°57′28″N,NULL,中国航天科技集团公司,太空装备,NULL,中国,2001年1月10日1时0分3秒,NULL
{'$oid': '5cc933ff831b973d657f241f'},东方号(R-7),,哈萨克斯坦，拜科努尔,宇宙飞船,NULL,东方1号,"
“东方1号”由一个球形返回舱(宇航员舱)、一个设备舱和一个火箭发动机组成，由一枚改进的R-7弹道导弹发射。这艘宇宙飞船设计为自动运行，使宇航员的介入减到最少。控制系统解锁的密码装在一个信封里，以备紧急情况下使用。
",NULL,181公里×327公里(112英里×203英里)，倾角64.95°,NULL,NULL,OKB-1(Korolev),太空装备,NULL,苏/俄,1961年4月12日,2.3米
