型宽,名称,大类,编制,舰长,潜航深度,制造厂,_id,图片,次型,满载排水量,活动范围,服役时间,前型,下水时间,枪械,产国,火炮,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
6.1米,“风暴”(storm)级通用快速巡逻舰,舰船舰艇,19人,36.5米,NULL,挪威船厂,{'$oid': '5cc93206831b973d657f185c'},http://images.huanqiu.com/sarons/2013/07/d006813d2a84db1345cec36297ba3f4b.jpg,NULL,135吨,NULL,NULL,NULL,NULL,NULL,挪威,NULL,500吨以内,巡逻舰/艇,1965年-1967年,NULL,"
“风暴”(storm)级通用快速巡逻舰是为挪威皇家海军所建造的，共有20艘，首舰与1965年开始建造，于1967年开始服役，现已全部从挪威皇家海军中退役。
",32节,NULL,NULL,在役,25节航速下航程800英里
11.8米,“仙后座”(Cassiopea)级近岸巡逻舰,舰船舰艇,60人,79.8米,NULL,芬坎泰里(Fincantieri)造船公司旗下的斯佩齐亚（Muggiano）船厂,{'$oid': '5cc93206831b973d657f185d'},http://images.huanqiu.com/sarons/2013/07/66ff8d5edc7d7ba595778e2a592181f5.jpg,NULL,1475吨,NULL,NULL,信天翁级护卫舰,NULL,NULL,意大利,NULL,500-2000吨,巡逻舰/艇,1987年,“仙后座”号，“天秤座”号，“角宿一”号，“维加”号,,25节,NULL,NULL,在役,17节航速下3300英里
7.5米,巡逻快艇,舰船舰艇,NULL,46米,NULL,NULL,{'$oid': '5cc93206831b973d657f185e'},http://images.huanqiu.com/sarons/2014/01/fc361c0a584d0aeebfde0562433b7b7e.jpg,NULL,NULL,NULL,1993年5月25日（普瑞瓦达斯尼 221）,NULL,NULL,NULL,印度,NULL,NULL,巡逻舰/艇,NULL,NULL,,23节,NULL,NULL,在役,NULL
13.6米,“江河”(River)级巡逻舰,舰船舰艇,5人,79.75米,NULL,霍氏克罗夫特造船厂,{'$oid': '5cc93206831b973d657f185f'},http://images.huanqiu.com/sarons/2013/07/7da33ed91b29d06ee35ee68e6004e9be.jpg,NULL,1700吨,印度洋大西洋,2003年7月4日,“城堡”级,2002年4月27日,NULL,英国,NULL,500-2000吨,巡逻舰/艇,未知,“泰恩”号(P281)“斯文尔恩”号(P282)“马斯”号(P 283)“克莱德”号(P 284),,20节,NULL,NULL,现役,15节航速下航程5500英里
10.8米,“穆西塔里”(Musytari)级近岸巡逻舰,舰船舰艇,76人,75米,NULL,NULL,{'$oid': '5cc93207831b973d657f1860'},http://images.huanqiu.com/sarons/2013/07/56ce9ac03b9d8b10ffa09ba1220d5367.jpg,NULL,1300吨,太平洋,1985年12月19日,NULL,NULL,NULL,韩国,NULL,500-2000吨,巡逻舰/艇,1984年7月19日,NULL,"
“穆西塔里”（Musytari）级近岸巡逻舰，原产国为韩国，该级舰共建成2艘，现服役于马来西亚海军。1999年10月，由护卫舰“汉都亚”号、多用途指挥支援舰“马哈旺萨州”号和巡逻艇“穆西塔里”号等舰艇组成的马来西亚皇家海军舰艇编队对我广州海军某基地进行了友好访问。
",22节,NULL,NULL,在役,15节航速下5 000英里
6.9米,“克比尔”(kebir)级巡逻舰,舰船舰艇,27人,37.05米,NULL,NULL,{'$oid': '5cc93207831b973d657f1861'},http://images.huanqiu.com/sarons/2013/07/8aa91bd0ad39651e36935c0d32d0d777.jpg,NULL,190吨,NULL,1986年,NULL,NULL,NULL,英国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,27节,NULL,NULL,NULL,15节航速下3 300英里
11.5米,“苏堪亚”(Sukanya)级近岸巡逻舰,舰船舰艇,70人,101.1米,NULL,NULL,{'$oid': '5cc93207831b973d657f1862'},http://images.huanqiu.com/sarons/2013/07/cc2e1153a4665e0ed697e2a3a7cc6cc7.jpg,NULL,1890吨,NULL,1989年8月31日,NULL,NULL,NULL,韩国,NULL,500-2000吨,巡逻舰/艇,1989年,NULL,"
“苏堪亚”(Sukanya)级巡逻舰是印度海军现役的大型海上巡逻舰，该级的前三艘是由韩国塔科马（Korea Tacoma）公司建造的，现在是韩进集团（Hanjin
Group）的一部分。“苏堪亚”(sukanya)级巡逻舰的各艘船是根据印度史诗中的著名女性名称命名的。
",21节,NULL,NULL,现役,15节航速时航程5 800英里
7.5米,“梅格纳/格拉哲”（Meghna／Grajau)级通用巡逻舰,舰船舰艇,48人,46.5米,NULL,新加坡霍氏（Vosper PTY）公司丹戎禺（Tanjong Rhu )船厂,{'$oid': '5cc93207831b973d657f1863'},http://images.huanqiu.com/sarons/2013/07/afe2fc1799adf34e53aed2a31c996f95.jpg,NULL,410吨,印度洋，大西洋，太平洋,NULL,NULL,1984年1月19日,NULL,英国,1门博福斯40毫米／70炮；2门厄利空20毫米炮（巴西海军P 40-44号）；2门厄利空／BMARC 20毫米GAM-B01炮（巴西海军P 45-51号）；1门博福斯57毫米/70 Mk 1炮；1门博福斯40毫米70炮和2挺7.62毫米口径机枪（孟加拉）。,500吨以内,巡逻舰/艇,未知,NULL,,22节,NULL,NULL,NULL,12节航速下2000英里
8米,“莫图莫蒂／海龙”级通用巡逻舰／近岸巡逻舰,舰船舰艇,43人,60.8米,NULL,NULL,{'$oid': '5cc93207831b973d657f1864'},http://images.huanqiu.com/sarons/2013/07/5c9362bbddf2db61d16176503d799ce3.jpg,NULL,640吨,NULL,1998年2月18日,NULL,1997年8月31日,NULL,韩国,1门博福斯57毫米/70 Mk 1炮；1门博福斯40毫米/70炮；2门厄利空20毫米炮（孟加拉）；1门博福斯40毫米/60炮；2门厄利空20毫米炮；2挺布朗宁12.7毫米口径机枪（韩国）。,500-2000吨,巡逻舰/艇,1995年,NULL,,24节,NULL,NULL,在役,15节航速下6000英里
6.1米,“西巴劳”(Sibarau)级通用巡逻舰,舰船舰艇,19人,32.8米,NULL,NULL,{'$oid': '5cc93207831b973d657f1865'},http://images.huanqiu.com/sarons/2013/07/9053db06d3c3baa6f236e3d9892326d8.jpg,NULL,146吨,NULL,1968年12月14日,NULL,NULL,NULL,澳大利亚,NULL,500吨以内,巡逻舰/艇,1968年10月2日,NULL,,21节,NULL,NULL,退役,13节航速下1200英里
