型宽,名称,鱼雷,水雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,关注度,制造厂,_id,图片,武装,次型,满载排水量,活动范围,下水时间,服役时间,前型,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
7.5米,039型“宋”级潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,300米,2250吨,NULL,江南造船厂和武昌造船厂,{'$oid': '5cc931ea831b973d657f1798'},http://images.huanqiu.com/sarons/2013/07/dbc299d1af6bbe4358f08e559b48c127.jpg,NULL,039A型潜艇（元级潜艇）,NULL,太平洋,1994年,1999年5月,035型潜艇（明级潜艇）,中国,NULL,常规潜艇,1992年,NULL,,22节,28天,1700吨,NULL,4节航速水下航行3300海里
6.3米,214级常规攻击型潜艇,NULL,NULL,舰船舰艇,22人,65米,NULL,400米,1800吨,NULL,哈德威造船厂（HDW）,{'$oid': '5cc931ea831b973d657f1799'},http://images.huanqiu.com/sarons/2013/07/0a0d495322a14263ab7feae47519ae31.jpg,NULL,NULL,NULL,印度洋，太平洋，大西洋，地中海,NULL,2010年11月2日,209级,德国,NULL,常规潜艇,2001年1月16日,212级,"214级潜艇是德国在畅销全球的209级潜艇基础上设计出来的新一代潜艇，哈德威造船厂（HDW,Howaldtswerke-Deutsche Werft）在209型潜艇基础上做动力性能提升的潜艇，同时将212A远洋型潜艇的优点引进214潜艇设计里，因此214型被看作是209型的接替产品，目前已经出口多国。",20节,84天,1700吨,现役,4节航速行驶1248海里
7米,212A级常规攻击型潜艇,NULL,NULL,舰船舰艇,18人,55.9米,NULL,700米,1830吨,NULL,哈德威造船厂（HDW）,{'$oid': '5cc931ea831b973d657f179a'},http://images.huanqiu.com/sarons/2013/07/f4f77b86c0eebec556dcf2a6f0fcf2a1.jpg,NULL,NULL,NULL,大西洋波罗的海地中海,2005年,NULL,209级,德国,NULL,常规潜艇,2003年,212A级,"
212级潜艇，是1990年由德国哈德威造船厂（HDW）和北海工程公司（NSWE）以209级1200型潜艇为母型，所设计制造的新一级柴电动力潜艇。德国海军将其作为走向21世纪的主力潜艇。
",20节,21天,1450吨,现役,8节航速水面航行时航程8000英里
6.25米,209级潜艇,NULL,NULL,舰船舰艇,22人,62米,NULL,320米,1586吨,NULL,哈德威造船厂（HDW ）,{'$oid': '5cc931eb831b973d657f179b'},http://images.huanqiu.com/sarons/2013/07/d6f6b9f64cf2f09996f54418f2e4c389.jpg,NULL,NULL,NULL,NULL,NULL,1994年7月,206型,德国,500-2000吨,常规潜艇,1971年,214型,209型潜艇是一种柴电动力的攻击型潜艇，由德国哈德威造船厂（HDW）设计研制，20世纪60年代末外销。到2009年为止，209型潜艇已成功出口到13个国家和地区，在全球各地，已生产同型舰艇近60艘，是西方外销量最大的潜艇。,22.5节,50天,1454吨,NULL,8节航速水下通气管航行时航程8 000英里
4.6米,206A级常规攻击型潜艇,NULL,NULL,舰船舰艇,23人,48.6米,NULL,200米,498吨,NULL,德国哈德威造船厂（HDW）,{'$oid': '5cc931eb831b973d657f179c'},http://images.huanqiu.com/sarons/2013/07/be9afbaf9d8b521fc2b1a39c89d5eeef.jpg,NULL,212A型潜艇， 209型潜艇（外销型）,NULL,大西洋，波罗的海，地中海，印度洋,NULL,1973年4月19日,205型潜艇,德国,NULL,常规潜艇,20世纪60年代,206型潜艇,"
德国的206A级潜艇原为206型潜艇，即U型潜艇，206A级潜艇是它的升级版。206A级潜艇是一种小型近岸柴电动力潜艇，最早由德国哈德威造船厂（HDW）以之前205型潜艇为基础建造而成，首艇U13(S192)于1962年开发设计完成，1973年开始服役于德国海军。
",17节,5天,450吨,全部退役,5节航速水面航行时航程4500英里
9.9米,“基洛”级常规潜艇,NULL,NULL,舰船舰艇,39人,72.6米,NULL,240米,3076吨,(4.9分),红宝石设计局,{'$oid': '5cc931eb831b973d657f179d'},http://images.huanqiu.com/sarons/2013/07/a54bbf212a121365d9d3fd94335f35d5.jpg,NULL,NULL,NULL,北冰洋太平洋,1979年,1982年,T型,苏/俄,2000-5000吨,常规潜艇,1974,NULL,基洛级常规动力攻击潜艇（Kilo class，基洛为Kilo的音译）目前是俄罗斯海军战后第三代主力柴电潜艇。基洛级潜艇以火力强大、噪音小而闻名，是目前俄罗斯出口量最大的潜艇。,17节,45天,2325吨,NULL,7节航速水下通气管航行航程6000英里；3节航速水下潜航航程400英里
8.4米,“元”级（041型）常规攻击型潜艇,NULL,NULL,舰船舰艇,65人,72米,NULL,300米,3600吨,NULL,武昌造船厂,{'$oid': '5cc931eb831b973d657f179e'},http://images.huanqiu.com/sarons/2013/07/db00e8a51560faec98cdae57fcf73ea9.jpg,NULL,NULL,NULL,NULL,2004年5月31日,NULL,NULL,中国,NULL,常规潜艇,NULL,NULL,,20节,NULL,2300吨,NULL,未知
6.8米,“阿戈斯塔”级常规动力潜艇,NULL,NULL,舰船舰艇,47人,67.7米,NULL,350米,1760吨,NULL,NULL,{'$oid': '5cc931eb831b973d657f179f'},http://images.huanqiu.com/sarons/2013/07/dc11be08f5194e52d95210d2e043e5b8.jpg,NULL,鲉鱼级潜艇，红宝石级核子攻击潜艇，S-80型潜艇（西班牙）,NULL,NULL,NULL,1977年,达弗尼级潜艇,法国,500-2000吨,常规潜艇,1971年,NULL,"
“阿戈斯塔”级潜艇（又称称“奥古斯塔”级潜艇Agosta class submarine，西班牙称S-70型潜艇），为法国DCNS公司研发制造的常规动力潜艇，是法国政府在1971~1975年的第三个5年建设计划中的产物,1977年开始进入海军服役。
",20节,45天,1510吨,NULL,9节航速水下通气管航行时航程8 500英里
7.8米,“柯林斯”级常规潜艇,NULL,NULL,舰船舰艇,36人,77.8米,NULL,300米,3353吨,NULL,澳大利亚工业部,{'$oid': '5cc931eb831b973d657f17a0'},http://images.huanqiu.com/sarons/2013/07/d9812fa91011889317bf778b81379d86.jpg,NULL,NULL,3353吨,太平洋,1993年8月28日,1995年,NULL,澳大利亚,2000-5000吨,常规潜艇,1989,NULL,"柯林斯级潜艇是由澳大利亚工业部门生产的，被普遍认为是世界上常规潜艇中能力最强的一种潜艇。澳大利亚官员称，世界上没有其他常规潜艇在技术方面能超过""柯林斯""级潜艇，在水中，柯林斯级常规潜艇几乎无法被发现。",20节,70天,3051吨,NULL,10节航速水下通气管航行9000英里
7.2米,“维多利亚”级常规攻击型潜艇,NULL,NULL,舰船舰艇,55人,70.26米,NULL,200米,2400吨,NULL,英国维克斯造船与工程有限公司（VSEL）,{'$oid': '5cc931eb831b973d657f17a1'},http://images.huanqiu.com/sarons/2013/07/9c00b43968d151a7d4ec4f5d2d8c234f.jpg,NULL,NULL,NULL,大西洋太平洋,1986年12月,NULL,NULL,英国,2000-5000吨,常规潜艇,1983年11月,NULL,“维多利亚”级潜艇，原名“支持者”级，共四艘，是英国维克斯造船与工程有限公（VSEL）在上世纪70年代末为英国海军研制一款新型常规攻击型潜艇。尽管性能优越，但刚列装不久，即面临被淘汰的命运。最终，于1998年，被加拿大政府低价购回，重新命名为“维多利亚”级潜艇，进入加拿大皇家海军服役。,20节,49天,2200吨,NULL,8节航速水下通气管，航行航程8 000英里
