_id,运载火箭,图片,发射地点,类型,经度,名称,简介,首次轨道发射,轨道,纬度,长度,制造商,大类,关注度,产国,发射日期,中心直径
{'$oid': '5cc933d7831b973d657f2360'},雷声—艾布尔,,佛罗里达州，卡纳维拉尔角,应用卫星,NULL,泰罗斯1号气象卫星,"
泰罗斯1号是NASA/DOD一个开发气象和观测卫星的联合项目的产物。它由电池驱动，并由装配在卫星侧面和顶部的9200块太阳能电池板为电池充电，由底座上安装的3对固体火箭推进器控制卫星的旋转。
",NULL,692公里×740公里(430英里×460英里)，倾角48.4°,NULL,NULL,NASA,太空装备,NULL,美国,1960年4月1日,NULL
{'$oid': '5cc933d7831b973d657f2361'},PSLV-C7,,印度，斯里哈里科塔,应用卫星,NULL,CARTOSAT立体视觉地球观测卫星,,NULL,635公里（395英里）轨道倾角97.9°太阳同步轨道,NULL,NULL,印度空间研究组织,太空装备,NULL,印度,2007年1月10日,NULL
{'$oid': '5cc933d7831b973d657f2362'},长征3A,,中国，西昌,应用卫星,NULL,风云2号,"
到2007年初为止，中国已经发射了8颗“风云”气象卫星，包括4颗“风云1号”系列卫星和4颗“风云2号”系列卫星。奇数命名的系列卫星运行在极轨道，而偶数命名的系列卫星则运行在地球同步轨道。这些卫星都应用在天气预报、自然灾害预警和环境监视中。
",NULL,350公里×4175公里(217英里×2594英里)，轨道倾角86.5°(地球静止转移轨道),NULL,NULL,上海空间飞行技术研究院,太空装备,(5分),中国,2006年12月8日,NULL
{'$oid': '5cc933d8831b973d657f2363'},长征4B,http://images.huanqiu.com/sarons/2013/11/fa63aa9383c8dbf208ce90ffef08defa.jpg,中国，太原,应用卫星,NULL,CBERS 资源卫星,,NULL,778公里(483英里)，轨道倾角98.5°，太阳同步轨道,NULL,NULL,ADEFuncate；DigiconCAST,太空装备,NULL,中国,1999年10月14日,NULL
{'$oid': '5cc933d8831b973d657f2364'},德尔塔Ⅱ 7925,,佛罗里达州，卡纳维拉尔角,应用卫星,NULL,全球定位系统（GPS ）,,NULL,20182公里(12540英里)，倾角55°(B4轨道面),NULL,NULL,洛克希德·马丁太空系统分部,太空装备,(5分),美国,2006年11月17日,NULL
{'$oid': '5cc933d8831b973d657f2365'},NULL,,俄罗斯，普列谢茨克航天发射场,应用卫星,NULL,闪电（Molniya）卫星系统,"
闪电是前苏联第一个通信卫星网络。它在大倾角的椭圆轨道上运行，其设计目的是为北部地区几个大国提供通信服务。然而，随着越来越多的通讯卫星发射进入太空，该卫星的重要性正在逐渐降低。
",NULL,651公里×39703公里,NULL,NULL,俄罗斯雷席特涅夫应用机械研究与生产联合会,太空装备,NULL,苏/俄,2003年6月19日,NULL
{'$oid': '5cc933d8831b973d657f2366'},德尔塔,http://images.huanqiu.com/sarons/2013/11/257321a2e19aef6f1800237c7226f6ea.jpg,佛罗里达州，卡纳维拉尔角,应用卫星,NULL,Telstar 1通讯卫星,"
Telstar是第一次由个人赞助的空间发射，也是第一颗为了传输电话和高速数据信号的商业通信卫星。这个项目由美国美国电话电报公司所有，涉及贝尔通信实验室，NASA，英国邮局以及法国国家邮政、电报和电信局。主接收站设在英格兰南部的Goonhilly。
",NULL,952公里×5632公里(592英里×3500英里)，倾角44.8°,NULL,NULL,贝尔通信实验室,太空装备,NULL,美国,1962年7月10日,0.9米
{'$oid': '5cc933d8831b973d657f2367'},“长征四号乙”运载火箭,,太原卫星发射中心,应用卫星,111°36′30.59″W,遥感卫星1号,"
遥感卫星一号是遥感系列卫星的第一颗。“遥感卫星一号”和用于发射卫星的“长征四号乙”运载火箭，由中国航天科技集团公司所属上海航天技术研究院为主，中国科学院、中国电子科技集团、中国空间技术研究院等单位参与研制。卫星质量为2700余公斤，主要用于科学试验、国土资源普查、农作物估产和防灾减灾等领域，将对中国国民经济发展发挥积极作用。
",NULL,NULL,38°50′56.71″N,NULL,中国航天科技集团公司,太空装备,(5分),中国,2006年4月27日6时48分,NULL
{'$oid': '5cc933d8831b973d657f2368'},雷声-德尔塔,,佛罗里达州，卡纳维拉尔角,应用卫星,28°35'11.35N,辛科姆1-3号 地球同步通信卫星,"

",1963年2月14日,35742公里×36782公里(22210英里×22856英里)，倾角33°, 80°39'6.68W,NULL,休斯太空通讯公司,太空装备,NULL,美国,1963年7月26日,NULL
{'$oid': '5cc933d9831b973d657f2369'},斯普特尼克(R-7),,哈萨克斯坦，拜科努尔,应用卫星,NULL,斯普特尼克1号人造轨道卫星,,NULL,947×228公里(588×142英里)，倾角65°,NULL,NULL,OKB-1(Ko rolev),太空装备,NULL,苏/俄,1957年10月4日,NULL
