_id,图片,口径,炮口初速,类型,名称,简介,研发单位,全长,研发时间,最大射程,大类,炮管长度,产国,总重
{'$oid': '5cc93364831b973d657f20f0'},,35毫米,NULL,弹炮结合系统,“天盾”35阿海德弹炮结合防空武器系统,,瑞士厄利空和康特拉夫斯公司,NULL,20世纪90年代,4000米,火炮,NULL,瑞士,NULL
{'$oid': '5cc93364831b973d657f20f1'},,25毫米,1097米/秒,弹炮结合系统,“运动衫”25弹炮结合防空武器系统,,美国通用公司,6453毫米,20世纪80年代,3000米,火炮,2134毫米,美国,NULL
{'$oid': '5cc93365831b973d657f20f2'},,20毫米,680米/秒,弹炮结合系统,ADAM/HVSD弹炮结合防空武器系统,,美国通用动力公司和以色列拉法尔军火研制局,NULL,20世纪90年代初,12000米,火炮,NULL,美国,97.8千克
{'$oid': '5cc93365831b973d657f20f3'},,30毫米,2400米/秒,弹炮结合系统,“运动衫”30弹炮结合防空武器系统,,美国通用电气公司,6365毫米,20世纪80年代,NULL,火炮,2794毫米,美国,NULL
{'$oid': '5cc93365831b973d657f20f4'},,30毫米,960米/秒,弹炮结合系统,2S6式弹炮结合防空武器系统,,NULL,7840毫米,20世纪70年代,4000米,火炮,NULL,苏/俄,NULL
{'$oid': '5cc93365831b973d657f20f5'},,23毫米,NULL,弹炮结合系统,“绍波尔”弹炮结合防空武器系统,,波兰塔尔诺机械厂和斯塔洛克-伍拉钢铁厂,7610毫米,1986年,2500米,火炮,NULL,波兰,16000千克
{'$oid': '5cc93365831b973d657f20f6'},http://images.huanqiu.com/sarons/2014/03/3d018d1b86c94a3fbc3cf93462f16976.jpg,30毫米,970米/秒,弹炮结合系统,"SA-N-11""嘎什坦“弹炮结合防空武器系统",,苏联图拉仪器制造设计院,NULL,NULL,2500米,火炮,NULL,苏/俄,NULL
{'$oid': '5cc93366831b973d657f20f7'},,35毫米,1175米/秒,弹炮结合系统,“空中卫士/阿芒”弹炮结合防空武器系统,,NULL,NULL,1978年,4000米,火炮,NULL,意大利,5500千克
{'$oid': '5cc93366831b973d657f20f8'},,25毫米,897米/秒,弹炮结合系统,改进型“运动衫”弹炮结合防空武器系统,,NULL,NULL,1992年,39000米,火炮,1125毫米,美国,8222千克
{'$oid': '5cc93366831b973d657f20f9'},,30毫米,NULL,弹炮结合系统,“铠甲”-S1弹炮结合防空武器系统,,俄罗斯阿尔马兹-法克尔工厂,NULL,20世纪90年代,4000米,火炮,NULL,苏/俄,20000千克
