名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
歼-16战机,飞行器,1438千米每小时,14.7米,AL-31F涡扇发动机,2011年10月17日,双发,NULL,NULL,(5分),4288千米,{'$oid': '5cc9308f831b973d657f0f4e'},NULL,http://images.huanqiu.com/sarons/2014/05/78c43ad2aad6411d2cda1328555a0bef.jpg,5.9米,NULL,NULL,中国,超音速,战斗机,"
歼16沈阳飞机公司为海军航空兵所研发的一款新型多用途战机，是歼-11BS战斗机的攻击机版本（歼-11BS又是苏-27的双座版本），由于此前的歼-11BS双座战斗机的外挂架数量和挂载能力偏低，主要用于对空作战，因而对地、对海攻击能力有限。

  结合了俄制苏-30MKK战斗机的机身和空中格斗能力，以及西安产歼轰-7A歼击轰炸机的通用弹药，在载弹种类、数量上将超越中国现役的同类机型，推测其可以挂载除战略武器以外的所有空基发射武器，将具备远距离超视距攻击能力和强大的对地、对海打击能力。

   2013年，网上也曝出一组关于歼-16携霹雳-13惊艳亮相的图片，引发外界强烈关注。分析称，该新型导弹搭档中国歼-16，战力大增，一旦上战场作战，击沉美军航母也不是不可能。
",中国沈阳飞机公司,后掠翼,2人,21.19米,NULL
FC-1“枭龙”/JF-17“雷电”多用途攻击机,飞行器,1960千米每小时,9.46米,俄制RD-93发动机,2003年8月25日,单发,NULL,NULL,(4分),3482千米,{'$oid': '5cc9308f831b973d657f0f4f'},成都飞机公司，巴基斯坦航空综合企业,http://images.huanqiu.com/sarons/2013/07/b55691d07181302014e736c49034c16a.jpg,4.78米,6586千克,2007年3月12日,中国,超音速,战斗机,"
FC-1枭龙战斗机是中国研制的一种全天候、单发、单座、轻型超音速战斗机，具有完全自主知识产权的多用途轻型战斗机，由中国航空工业第一集团公司与巴基斯坦空军共同出资，由成都飞机设计研究所、成都飞机工业集团公司与巴基斯坦航空综合企业（Pakistan Aeronautical Complex）合作研制的多用途单座单发轻型战机。

FC-1枭龙战斗机2002年5月31日完成设计，2003年8月25日首次试飞。2007年开始交付巴基斯坦空军。2013年5月22日，李克强总理从印度飞往巴基斯坦开始访问，进入巴境后，巴基斯坦6架枭龙战机为李总理专机全程护航。
",成都飞机公司,后掠翼,1人,14.93米,12383千克
苏-27战斗机,飞行器,2500千米每小时,14.7米,2个АL-31F涡轮扇叶发动机,1977年5月20日,双发,NULL,NULL,(4.2分),3790千米,{'$oid': '5cc9308f831b973d657f0f50'},NULL,http://images.huanqiu.com/sarons/2013/11/1bfcf3ea2b838815ec574f87bac27161.jpg,5.93米,13608千克,1985年,苏/俄,超音速,战斗机,,苏霍伊设计局,后掠翼,1人,21.93米,30000千克
LCA战斗机,飞行器,1576.4千米每小时,8.2米,NULL,2001年,单发,NULL,NULL,(4.2分),NULL,{'$oid': '5cc9308f831b973d657f0f51'},NULL,http://images.huanqiu.com/sarons/2014/01/7aae705bc69e461066b1944180a04d25.jpg,4.4米,6500千克,NULL,印度,超音速,战斗机,,印度HAL公司,后掠翼,2人,13.2米,8500千克
苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,飞行器,2500千米每小时,14.7米,2台AL-31FL 涡轮风扇发动机,1989年,双发,NULL,NULL,(4.8分),3000千米,{'$oid': '5cc9308f831b973d657f0f52'},NULL,http://images.huanqiu.com/sarons/2013/07/fd2649a7fb6c4f14f804916909116fc5.jpg,6.36米,17700千克,NULL,苏/俄,超音速,战斗机,"
苏-30战斗机是俄罗斯针对美国F-15战斗机而研制的一种多用途重型歼击战斗机，具有超低空持续飞行能力、极强的防护能力和出色的隐身性能，在缺乏地面指挥系统信息时仍可独立完成歼击与攻击任务，其中包括在敌领域纵深执行战斗任务。苏-30最初称为苏-27PU，为串列双座远程拦截机，1989年12月31日首飞。

苏-30出口型，命名为苏-30K(K是俄文出口、商业的意思)。出口型增强对地作战功能。苏-30K又衍生了新改型，换装新型机载雷达，增加了武器的种类，发展出苏-30M战斗机，出口型称苏-30MK。其中出口印度的型号为苏-30MKI，出口中国的为苏-30MKK。苏-30MK的作用类似于F-15E，突出了对空对地双重用途的能力。苏-MKI“侧卫-H”的特征是带有鸭翼，苏-33(苏-27K“侧卫-D”)是舰载机型。
",苏霍伊设计局,后掠翼,2人,22.93米,34500千克
F-16“战隼”,飞行器,2125千米每小时,9.45米,通用电气F110-GE-100发动机,1974年1月20日,单发,NULL,NULL,NULL,3890千米,{'$oid': '5cc93090831b973d657f0f53'},洛克希德马丁公司,http://images.huanqiu.com/sarons/2013/08/42c9c00d9252c48bb6d152c2fd6106e8.jpg,5.01米,8665千克,1979年1月,美国,亚音速,战斗机,"
F-16战隼（F-16 Fighting Falcon）是美国制造的现代化多功能喷气战斗机。原先设计为一款轻型战斗机，辅助美国空军主流派心目中的主力战机F-15，形成高低配置，后来演化为成功的多功能飞机。在战机世代上为第四代战机（美国旧标准为第三代战机）。
",通用动力公司,三角面,1人,15.03米,19190千克
麦克唐纳F-15E“打击鹰” 双座双发打击战斗机,飞行器,2654千米每小时,13米,两台普-惠F100-PW-229发动机,1986年12月11日,NULL,NULL,NULL,(1分),4445千米,{'$oid': '5cc93090831b973d657f0f54'},NULL,http://images.huanqiu.com/sarons/2013/08/4bf0376e193ea8a560b9ca32ca77ffed.jpg,5.63米,14379千克,1988年4月,美国,NULL,战斗机,"
F-15E“打击鹰”是美国麦克唐纳-道格拉斯公司在F-15“鹰”的基础上改型设计的以对地攻击为主要任务的双座超音速战斗轰炸机，兼具对地攻击和空中优势能力，称为双重任务战斗机。该机在外形上与F-15D基本相同，重新设计了发动机舱以及部分结构，使航程增加了33%，武器挂架增加了1倍，除原挂架外，在每个保形油箱边还有6个挂架，采用了具有自动地形跟踪能力3余度的数字式电传操纵 系统和先进的电子座舱显示系统。
",麦克唐纳-道格拉斯公司,NULL,2人,19.43米,36741千克
歼-31战斗机,飞行器,2205千米每小时,11.5米,9500KGF发动机,2012年10月31日,双发,NULL,NULL,(4.8分),NULL,{'$oid': '5cc93090831b973d657f0f55'},NULL,http://images.huanqiu.com/sarons/2013/11/d9213468f1b322732e5dfd1e5b14fe8f.jpg,4.8米,12500千克,NULL,中国,超音速,战斗机,"
据报道歼-31是沈阳飞机工业集团研制的第四代（中国采用欧美主流的战斗机划分标准）双发中型隐形战斗机，代号“鹘鹰”，其采用双发、单座、固定双斜垂尾、无鸭翼、蚌式进气道。目前猜测主要用途有三种：一是与中国重型隐形战斗机歼-20形成高低搭配，尽管军方没有立项；二是拟推出的隐形战机出口型号；三是发展为替代歼15战斗机的新一代隐形舰载战斗机。2012年10月31日上午10时32分，歼-31成功首飞。中国成为世界第二个同时试飞两种四代机原型机的国家。
",沈阳飞机公司,后掠翼,1人,16.9米,28000千克
F-15鹰式战斗机,飞行器,1482千米每小时,13.5米,两台普惠F100涡轮风扇发动机,1972年7月,双发,NULL,NULL,(3.2分),7780.5千米,{'$oid': '5cc93090831b973d657f0f56'},NULL,http://images.huanqiu.com/sarons/2013/07/ddaec3060225cb2eb7ee98de37029f17.jpg,5.6米,12973千克,1974年11月,美国,超音速,战斗机,"
F-15鹰式战斗机，是一款美国开发生产的全天候、高机动性的战术战斗机。针对获得与维持空优而设计的它，是美国空军现役的主力战斗机之一。F-15是由1962年展开的F-X计划发展出来。按照原先的欧美标准被归类为第三代战斗机（现在已和俄罗斯标准统一为第四代战机），与F-16，美国海军的F-14、F-18，法国的幻影2000，俄罗斯的米格-29、米格-31、米格-35、Su-27、Su-30，中国的J-10、J-11等是同一世代。F-15已经出口到日本、以色列、韩国、新加坡、沙特等国家。
",美国波音公司,后掠翼,2人,19.4米,30845千克
歼-20战斗机,飞行器,3062.7千米每小时,12.88米,涡扇15发动机,2011年1月11日,NULL,NULL,NULL,(4.8分),6000千米,{'$oid': '5cc93090831b973d657f0f57'},NULL,http://images.huanqiu.com/sarons/2014/03/7d64f08e045ed5a6b1abdda9815063cf.jpg,4.45米,17000千克,NULL,中国,NULL,战斗机,"
歼-20(J-20)，绰号“威龙”，北约代号“火牙”（FIRE FANG）。是成都飞机工业集团为中国人民解放军研制的最新一代（欧美旧标准为第四代，新标准以及俄罗斯标准为第五代）双发重型隐形战斗机，用于接替歼10、歼11等第三代空中优势/多用途歼击机的未来重型歼击机型号，该机将担负我军未来对空、对海的主权维护任务。预计歼-20将在2017~2019年间投入使用，2020年后逐步形成战斗力。首架原型机于2011年1月11日在成都实现首飞。
",成都飞机工业集团,NULL,1人,20.3米,37000千克
