_id,数量,图片,口径,类型,参战情况,名称,生产年限,简介,全枪重,有效射程,全枪长,制造商,弹匣容弹量,大类,发射性能,战斗射速,产国,关注度
{'$oid': '5cc9324a831b973d657f1a42'},NULL,,9毫米,手枪,NULL,HS 95手枪,1995年,"
HS95是一款采用现代设计的传统全钢自动手枪，由位于克尔洛瓦茨城的IM金属工业公司生产，该枪主要装备克罗地亚陆军，同时用于出口。  
",1千克,NULL,180毫米,IM金属工业公司,15发,枪械与单兵,自动,NULL,克罗地亚,NULL
{'$oid': '5cc9324a831b973d657f1a43'},NULL,http://images.huanqiu.com/sarons/2013/07/5838a1a54c1bbe2fcf5ee44a33194c82.jpg,9毫米,手枪,NULL,雅利金“格拉奇”6P35手枪,2002年,,0.84千克,NULL,196毫米,俄罗斯伊热夫斯克兵工厂,17发,枪械与单兵,NULL,NULL,苏/俄,NULL
{'$oid': '5cc9324a831b973d657f1a44'},NULL,http://images.huanqiu.com/sarons/2013/07/ee3f42f9e38dc1f245211411bc00fd90.jpg,9毫米,手枪,NULL,CZ75手枪,1966年,"
CZ75手枪是由一对工程师兄弟约瑟夫·库斯基（Josef Koucky）和弗朗泰斯克·库斯基（Frantisek Koucky）一起研制的，当时他们按照中央政府要求设计一种采用大容量弹匣、双动板机的制式手枪，虽然当时的捷克斯洛伐克是华约成员国，但这一型手枪却要求设计成发射9毫米北约标准手枪弹。
",1.12千克,NULL,206毫米,Ceska Zbrojovka,15发,枪械与单兵,半自动,NULL,捷克,NULL
{'$oid': '5cc9324a831b973d657f1a45'},NULL,,9毫米,手枪,NULL,HS 2000手枪,2000年,,0.775千克,NULL,180毫米,I.M. 金属工厂,15发,枪械与单兵,半自动,NULL,美国,NULL
{'$oid': '5cc9324a831b973d657f1a46'},200000,http://images.huanqiu.com/sarons/2013/08/63d728b778c16abf2373232dc95709b1.jpg,7.62毫米,手枪,NULL,CZ 52手枪,1953年-1970年,,0.96千克,NULL,209毫米,Ceska Zbrojovka,8发,枪械与单兵,NULL,NULL,捷克,NULL
{'$oid': '5cc9324b831b973d657f1a47'},NULL,http://images.huanqiu.com/sarons/2013/08/4b0c84c678cbe8e60a799dc1a9ae42c9.jpg,9毫米,手枪,第二次世界大战1945年法越战争朝鲜战争古巴革命越南战争1962年中印边境战争1954年阿尔及利亚战争1965年印巴战争1980年伊朗大使馆包围战1982年马岛战争1991年塞拉利昂内战2011年利比亚内战,勃朗宁(大威力)1935型手枪,1935年至今,,1千克,NULL,197毫米,比利时国营赫斯塔尔公司(FN公司),13发,枪械与单兵,半自动,NULL,美国,NULL
{'$oid': '5cc9324b831b973d657f1a48'},NULL,http://images.huanqiu.com/sarons/2013/07/fe6d43133f5b7faa9d8711dc32a7ed5f.jpg,9毫米,手枪,NULL,巴拉贝鲁P’08加长型手枪,1913年-1945年,"
巴拉贝鲁P’08加长型手枪是巴拉贝鲁姆P’08标准型的基础上配以长枪管和可调整照门，改进而成。配发给支援部队的炮兵和骑兵，以取代其使用的卡宾枪。德国海军也有装备。
",1.1千克,NULL,313毫米,德意志武器弹药公司,32发,枪械与单兵,NULL,NULL,德国,NULL
{'$oid': '5cc9324b831b973d657f1a49'},NULL,,7.62毫米,手枪,NULL,64式手枪,1964年,"
1964年式7.62毫米手枪（64式手枪），是由中国以52式手枪（瓦尔特PPK的仿制型）改良而成的第一种半自动手枪。其外形小巧玲珑，便于隐蔽携带，加上其使用的1964年式7.62毫米手枪弹装药量较少，射击时声响不大，所以被广大公安民警称为“小砸炮”。该枪也是我国常见的警用武器之一，深受使用者喜爱。 又因该枪曾作为礼品赠送国外要人，故爱称其为“将军手枪”。
",1.12千克,NULL,222毫米,NULL,9发,枪械与单兵,NULL,NULL,中国,(4.1分)
{'$oid': '5cc9324b831b973d657f1a4a'},NULL,http://images.huanqiu.com/sarons/2013/08/ad50f54d6bc97728e1b5a81057fee4c0.jpg,11.43毫米,手枪,NULL,LAR Grizziy Win Mag手枪,1983年-1999年,,1.4千克,NULL,266毫米,美国L.A.R.公司,7发,枪械与单兵,半自动手枪,NULL,美国,(4.5分)
{'$oid': '5cc9324b831b973d657f1a4b'},NULL,http://images.huanqiu.com/sarons/2013/07/2f10a355b8dff2600bf0aabc92404c27.jpg,9毫米,手枪,NULL,CZ83手枪,1984年,"
CZ公司全名为Ceska Zbrojovka，通常的汉语译法为“塞斯卡-直波尔约夫卡”兵工厂，其出产的枪械都印有该公司的缩写CZ。20世纪70年代""Koucky""兄弟推出了一支集其它世界名枪优点于一身的CZ75型9毫米手枪。CZ75手枪精巧的布局，合理的人机工效及能够实施转换套件的设计思想，令其一发而不可收，此后又出现了CZ85、CZ97B、CZ85B、CZ83、CZ100等各种型号，而其中的CZ83是最具有代表性产品。CZ83为常规双动枪机后坐式紧凑型自动手枪是捷克共和国的马卡洛夫型，在捷克军队中占有同样重要的地位。
",0.75千克,NULL,172毫米,Ceska Zbrojovka,15发,枪械与单兵,NULL,NULL,捷克,NULL
{'$oid': '5cc9324b831b973d657f1a4c'},NULL,,9毫米,手枪,NULL,CZ 100/101手枪, 1995年,,1.29千克,NULL,177毫米,Ceska Zbrojovka,13发,枪械与单兵,手动,NULL,捷克,NULL
{'$oid': '5cc9324b831b973d657f1a4d'},NULL,http://images.huanqiu.com/sarons/2013/08/300ce15c40693d535a32b57e94cf1f37.jpg,9.56毫米,手枪,NULL,弥勒 0.38英寸特警用转轮手枪,1967年-1984年,该枪是为装备日本警察部队而研制的。1945年美国占领日本后，日本警察部队装备的是转轮手枪，后来又配备了自动手枪，因此这种转轮手枪几乎都以商标“FIG”和“Liberty Chief”出口到美国。这种转轮手枪价格低廉，操作方便，大约服役了20年。,0.97千克,NULL,195毫米,弥勒公司（Miroku）,5发,枪械与单兵,转轮枪支,NULL,日本,(4.8分)
{'$oid': '5cc9324b831b973d657f1a4e'},NULL,http://images.huanqiu.com/sarons/2013/08/4f8b423d20ad3f96b644a6a5c4261b39.jpg,9毫米,手枪,NULL,阿斯特拉357警用转轮手枪,1980年-1995年,阿斯特拉357转轮手枪，是上世纪80年代，西班牙阿斯特拉公司生产的一款警用型转轮手枪。该型枪是早期型号的替代品，90年代停止生产。如今，该型枪的制造商已倒闭。,1千克,NULL,212毫米,西班牙阿斯特拉公司,6发,枪械与单兵,转轮枪支,NULL,西班牙,NULL
{'$oid': '5cc9324c831b973d657f1a4f'},NULL,,7.62毫米,手枪,NULL,亚米纽斯M10转轮手枪,1895年-1945年,"
亚米纽斯M10转轮手枪,是19世纪90年代至1945年期间德国弗里德里希·皮克特公司生产的诸多廉价转轮手枪中的一款。虽然价格低廉、构造简单，但用料讲究，曾大量生产并投入使用。
",0.92千克,NULL,155毫米,德国弗里德里希·皮克特公司,5发,枪械与单兵,转轮枪支,NULL,德国,NULL
{'$oid': '5cc9324c831b973d657f1a50'},NULL,,9.65毫米,手枪,NULL,阿斯特拉M960转轮手枪,1973年-1995年,阿斯特拉M960转轮手枪，是上世纪70年代由西班牙阿斯特拉公司生产的一款双动式转轮手枪。可以说世界手枪家族中的老字辈，西班牙阿斯特拉系列手枪中的一员。,1.15千克,NULL,241毫米,西班牙阿斯特拉公司,6发,枪械与单兵,转轮枪支,NULL,西班牙,NULL
{'$oid': '5cc9324c831b973d657f1a51'},NULL,http://images.huanqiu.com/sarons/2013/08/ce6d6b14453ecc7f3b4e03bbe19a8ed3.jpg,5.58毫米,手枪,NULL,魏劳奇 HW-9转轮手枪,1970年至今,魏劳奇HW-9转轮手枪，由上世纪70年代德国亚米纽斯公司研制，使用0.38英寸枪身配以0.22英寸口径的枪管，因此质量较大，射击精确。加之价格较低，该枪及其变型（枪管长度、瞄具和握把各不相同）在西欧各国有一定的市场。,1.1千克,NULL,295毫米,德国亚米纽斯公司,6发,枪械与单兵,转轮枪支,NULL,德国,NULL
