_id,运载火箭,图片,发射地点,类型,名称,简介,中心直径,首次轨道发射,轨道,制造商,大类,产国,发射日期,长度
{'$oid': '5cc933c3831b973d657f2308'},印度C3系列PSLV运载火箭,http://images.huanqiu.com/sarons/2013/11/f8ea6ffd2da9edd50798fb39e6ec0243.jpg,印度斯里哈里科塔航天中心,技术试验卫星,PROBA卫星,"
PROBA作为欧洲航天局“通用支持技术计划(GSTP)”的技术演示卫星，用来验证其平台适合小型科研和应用任务。主要结构、轨道和高度控制系统、星载计算机，以及遥测技术都是由欧洲航天局开发和资助的。卫星有效载荷中的四个地球观测仪器用来测试平台指向和数据管理能力。有效载荷不是由欧洲航天局出资，而是由PROBA免费搭载进入太空。
",NULL,NULL,550公里×670公里(342英里×416英里)，倾角98.75°(太阳同步轨道),比利时维赫特(Verhacrt)公司,太空装备,比利时,2001年10月22日,NULL
{'$oid': '5cc933c4831b973d657f2309'},德尔塔II 7326,,佛罗里达州，卡纳维拉尔角,技术试验卫星,深空1号卫星,“深空1号”是NASA新千年计划所发射的第一颗飞行器，它的主要任务是测试12项先进的新技术。这些技术大部分都是在“深空一号”发射后的最初几个月进行验证的。,NULL,1998年10月24日,太阳轨道,光谱航天公司（Spectrum Astro）,太空装备,美国,1998年10月24日,NULL
{'$oid': '5cc933c4831b973d657f230a'},计划使用“呼啸号”,,哈萨克斯坦，拜科努尔发射场,技术试验卫星,激光干涉仪空间天线开拓者,,NULL,NULL,L1拉格朗日点，李萨如轨道,EADS阿斯特里厄姆公司,太空装备,美国,NULL,NULL
{'$oid': '5cc933c4831b973d657f230b'},阿丽亚娜5号,http://images.huanqiu.com/sarons/2013/11/f951cc69778b01dc4fe6f8fbdb1871db.jpg,法属圭亚那，库鲁,技术试验卫星,阿蒂米斯中继卫星,“阿蒂米斯”试验光学通信卫星是为了论证数据中继和移动通信的新技术而设计的。它也是欧空局的第一颗装备可控制电子推进器的飞行器。由于在发射时“阿丽亚娜5号”运载火箭的上面级发生故障，这颗卫星被留在了590公里×17487公里(367英里×10866英里)的低转移轨道上。为了完成任务，它的液体燃料远地点发动机进行了8次点火。在31000公里(19263英里)的圆形轨道上，“阿蒂米斯”使用它的离子助推器来达到了地球静止转移轨道上的运行高度。剩下的燃料和氙气还可供长达10年时间的正常运行使用。,NULL,NULL,NULL,意大利阿莱尼亚太空中心,太空装备,意大利,2001年7月12日,NULL
{'$oid': '5cc933c4831b973d657f230c'},M-V-5,,日本，鹿儿岛,技术试验卫星,隼（Hayabusa，Muses-C）近距离观测任务,"
“隼”是日本的一项25143号近地小行星“系川(Itokawa)”的近距离观测任务，它负责收集和返回表面样本并进行各种新技术的验证。
",NULL,2003年5月9日,太阳轨道，小行星轨道（可变）,日本空间和宇航科学研究院,太空装备,日本,2003年5月9日,NULL
{'$oid': '5cc933c5831b973d657f230d'},长征二号丁运载火箭,,酒泉卫星发射中心,技术试验卫星,实践12号卫星,“实践十二号卫星”是由中国航天科技集团公司所属上海航天技术研究院为主研制。2010年6月15日9时39分，我国在位于大漠中心的酒泉卫星发射中心用“长征二号丁”运载火箭成功将“实践十二号卫星”送入太空。,NULL,NULL,NULL,上海航天技术研究院,太空装备,中国,2010年,NULL
{'$oid': '5cc933c5831b973d657f230e'},NULL,http://images.huanqiu.com/sarons/2013/11/2945abe0c5c4b802bc854c40473e2922.jpg,NULL,技术试验卫星,实践2号卫星,,NULL,NULL,倾60°,中国航天科技集团公司,太空装备,中国,1981年9月20日,NULL
{'$oid': '5cc933c5831b973d657f230f'},Athena 2,,范登堡，加利福尼亚州,技术试验卫星,IKONOS ,"
IKONOS卫星拍摄得到的数据还能够被融合，生成分辨率为1米的彩色相片。这两部传感器都能够覆盖宽度为12千米的带状区域。这颗卫星由GeoEye公司(原来的spaceImagingIne.)所有并运营。这颗卫星的名字来自希腊语，意为“图像”。
",NULL,NULL,681千米×709千米（423英里×441英里)98.1°,洛克希德·马丁空间系统公司,太空装备,美国,1999年9月24日,NULL
{'$oid': '5cc933c5831b973d657f2310'},大力神(阿特拉斯V 401),,佛罗里达州，卡纳维拉尔角,技术试验卫星,轨道快车卫星,"
轨道快车（ASTRO运载火箭和NextSat航天器）卫星。“轨道快车”计划由美国国防高级研究计划局组织，为在轨卫星远程控制能力的充分显示提供服务。由于使用了NASA马歇尔太空飞行中心研制的自主软件，“轨道快车”计划能够充分验证在轨自主卫星服务的能力。
",NULL,NULL,490公里×498公里,波音幻影工厂，巴尔航天公司,太空装备,美国,2007年3月8日（运载火箭），2007年3月8日（航天器）,NULL
{'$oid': '5cc933c5831b973d657f2311'},NULL,,中国西昌卫星发射中心,技术试验卫星,实践四号卫星（SJ-4）,,NULL,NULL,近地点高度200km、远地点高度36000km、倾角28.5°,NULL,太空装备,中国,1994年2月8日 ,NULL
