名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
ARJ21支线飞机,飞行器,1004.7千米每小时,27.28米,通用电气CF34-10A,2008年11月28日,双发,NULL,NULL,3700千米,{'$oid': '5cc93148831b973d657f139a'},上海飞机制造厂，成都飞机工业有限责任公司，沈阳飞机工业集团有限公司，西安飞机工业集团有限公司,http://images.huanqiu.com/sarons/2013/11/5f93e86c61a47ef418f16a44b6d200e6.jpg,8.44米,24955千克,NULL,中国,亚音速,支线,"
翔凤，科研代号ARJ21（全写为“Advanced Regional Jet”，即“21世纪新一代支线喷气机”），是由中国商用飞机有限责任公司研制的新型涡扇支线飞机，亦为中国大陆第一次完全自主设计并制造的支线飞机。翔凤一名通过公开征集而得。ARJ21于2008年11月28日12时23分在上海大场机场成功首飞，并将在2009年转场中国飞行试验研究院进行全面试飞，同时进行适航符合性验证。取得适航证后，将交付客户投入商业运营。ARJ21有四种容量不同的机型，客机型大约能设置70-100个座位。飞机园计划于2002年开始，2009年开始量产。到目前为止，飞机还处于试航取证阶段，预计在2015年投入使用。
",中国商用飞机有限责任公司,后掠翼,90人,33.46米,43500千克
运-12E型运输机,飞行器,328千米每小时,17.24米,PT6A-27发动机,2000年,双发,NULL,NULL,1340千米,{'$oid': '5cc93149831b973d657f139b'},NULL,http://images.huanqiu.com/sarons/2013/11/04b6ab62caed0a594c5269263f0bdb9e.jpg,5.575米,2840千克,NULL,中国,亚音速,支线,"
在运-12IV型飞机基础上研制，为适应高温高原环境设计制造的。经过高温高原试飞证明，运12E型飞机是目前唯一适合云、贵、川等西部高原多山地区短途客运市场和旅游用的轻型固定翼飞机，同时也适合国外用户如尼泊尔、厄瓜多尔等多山国家的使用。
",中国哈尔滨飞机制造公司,平直翼,19人,14.86米,5500千克
新舟600,飞行器,514千米每小时,29.2米,2台涡桨发动机,2008年10月9日,双发,在役,NULL,3000千米,{'$oid': '5cc93149831b973d657f139c'},西安飞机工业(集团)有限责任公司,http://images.huanqiu.com/sarons/2013/11/0944ca35398f17bce0b6aa058f160f6f.jpg,8.85米,14000千克,2009年,中国,亚音速,支线,"
新舟600（MA600）是中国一航西安飞机工业(集团)有限责任公司研制生产的双发涡桨支线飞机。新舟600是“新舟”系列涡桨支线客机的成员，是由新舟60（MA60）飞机根据市场及用户的需求升级换代改进而来。首架新舟600于2008年6月29日出厂，于2009年投入服务。
",西安飞机工业(集团)有限责任公司,平直翼,52人,24.7米,21800千克
波音737-600/700/800/900（波音737新世代）中短程窄体喷气式飞机,飞行器,870千米每小时,34.3米,两台CFM56-7涡轮风岛发动机,1997年2月9日,双发,NULL,NULL,2852千米,{'$oid': '5cc93149831b973d657f139d'},波音公司商务喷射机部门,http://images.huanqiu.com/sarons/2013/12/16d60d9f367987d39c548cdb4f678726.jpg,12.6米,38147千克,1998年,美国,亚音速,支线,"
波音737-600／700／800／900就是目前所谓的波音737新世代（波音737 Next Generation，通常缩写为波音737NG）最初称为737X，加长了机翼，装载了新的大升力设备，航程和速度都更大。

这一系列飞机多为中短程窄体喷气式飞机，1996起由波音商用飞机生产。1997年2月9日首飞，同年10月波音737-700率先开始在美国西南航空公司服役。截至2011年1月，总共交付了3528架波音737NG。（图为柏林航空波音737-700）
",NULL,后掠翼,149人,33.6米,70080千克
运-8F200民用货运飞机,飞行器,550千米每小时,38米,4 xWJ6型涡轮螺桨发动机,NULL,四发,NULL,NULL,3440千米,{'$oid': '5cc93149831b973d657f139e'},NULL,,11.6米,35490千克,NULL,中国,亚音速,支线,"
运8F200型飞机是在运8C型机基础上研制生产的气密型民用货运飞机。设计符合中国民用航空条例CCAR25部要求。可空运集中或散装货物、集装货物，全机可运载A型或M型国际标准集装板（箱）4块。最大载重15吨。
",NULL,NULL,5人,34.02米,61000千克
空中客车A318,飞行器,870千米每小时,34.1米,普惠公司PW6000或CFM56-5涡轮风扇发动机,2002年1月15日,双发,NULL,NULL,2778千米,{'$oid': '5cc93149831b973d657f139f'},空中客车公司,http://images.huanqiu.com/sarons/2013/12/9319a712efae226bc36cb9ae1d6b711a.jpg,12.6米,39500千克,2003年7月29日,英国,亚音速,支线,,空中客车公司,后掠翼,131人,31.5米,68000千克
伊留申设计局伊尔-114双发涡桨短程支线客机,飞行器,500千米每小时,30米,TV7-117六桨叶涡轮螺旋桨发动机,1990年3月29日,双发,NULL,NULL,4800千米,{'$oid': '5cc93149831b973d657f13a0'},NULL,http://images.huanqiu.com/sarons/2013/12/4fdeffc2f2a0b6f3a3e1dabbe9e8e4bc.jpg,9.32米,13700千克,1998年8月27日,苏/俄,亚音速,支线,,伊留申设计局,后掠翼,77人,26.31米,21000千克
运-8D/DI/DII民用飞机,飞行器,662千米每小时,38米,4×涡桨-6C 涡轮螺旋桨发动机,NULL,四发,NULL,NULL,5620千米,{'$oid': '5cc93149831b973d657f13a1'},NULL,,11.16米,35488千克,NULL,中国,亚音速,支线,"
运-8D是出口型号，货舱内增加了简易座椅，主要用于空运乘客和货物。运-8DI型则是D型的改型。运-8DⅡ型进一步对货运导航、通讯和雷达等设备进行了改进，电子设备达到了国际80年代末期水平。因此符合全球各地机场和空中管制通用标准，能在全球各地安全使用。
",西安飞机工业公司,平直翼,3人,34.02米,61000千克
三菱支线喷气客机,飞行器,878.28千米每小时,29.2米,NULL,预计2014年,双发,NULL,(5分),3630千米,{'$oid': '5cc93149831b973d657f13a2'},NULL,http://images.huanqiu.com/sarons/2014/05/efe9430d7753ac456dc651765b55afff.jpg,10.5米,NULL,NULL,日本,亚音速,支线,"
当中国的新型涡扇支线飞机ARJ21首飞时，日本也要发展的自己的支线客机，试图与中国竞争。日本首架自主研制的小型支线飞机“MRJ”(三菱支线喷气客机)由日本三菱重工主导研发。MRJ项目于2008年3月正式宣布启动，单架价格约为4200万美元。2014年5月，首架MRJ飞机已基本完成，将于夏季接受测试。

该公司预见到了大型支线飞机的发展趋势，并计划生产一系列支线飞机，来满足市场的这一需求。据估计，首先进入市场的将是拥有92个座位的MRJ90，接着是拥有76个座位的MRJ70。作为更先进的第二代产品，MRJ100x还停留在概念阶段。这三个型号的飞机有很多共同点，都使用普惠公司“静洁动力”PW1217G齿轮传动涡扇发动机，以及相同的维护程序。
",三菱重工,后掠翼,NULL,35.8米,NULL
新舟700(MA700)飞机,飞行器,600千米每小时,NULL,NULL,NULL,双发,NULL,NULL,800千米,{'$oid': '5cc93149831b973d657f13a3'},西安飞机工业(集团)有限责任公司,http://images.huanqiu.com/sarons/2013/11/2278db5d449527cbe4b66fe51a8b03ad.jpg,NULL,NULL,NULL,中国,亚音速,支线,"
新舟700是西安飞机工业（集团）有限责任公司继新舟60、新舟600后系列发展的全新涡轮螺旋桨支线飞机，将按照基本型、加长型和缩短型三个方向发展。该机型研制工作于2013年12月19日全面启动。

该型飞机将采用高效的气动力设计技术、智能化管理系统、先进的驾驶舱综合技术、节能高效的涡桨推进系统和首次应用于涡桨支线飞机上的电传操纵技术。新舟700设计具备600km/h以上的巡航速度和13分钟爬升到巡航高度的能力。
",西安飞机工业(集团)有限责任公司,平直翼,70人,NULL,26.5千克
