名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,机长,最大起飞重量,乘员
靶-6无人驾驶靶机,飞行器,NULL,2.65米,CF-03B冲压式喷气发动机,1969年9月,单发,NULL,NULL,NULL,{'$oid': '5cc93104831b973d657f1219'},NULL,,2.47米,662千克,NULL,中国,超音速,无人机,靶6是我国在萨姆-2(红旗-2)地空导弹基础上加装新翼面、冲压喷气发动机而发展出来的三倍音速无人靶机。该机的研制目的是用于模仿美国SR-71“黑鸟”三倍音速高空侦察机，为针对“黑鸟”的红旗-3、红旗-4地空导弹试验定型工作服务。,北京航空学院,后掠翼,10.87米,1585千克,NULL
RQ/MQ-9“捕食者B” 无人驾驶飞行器,飞行器,482千米每小时,20米,霍尼韦尔TPE331-10T发动机,2001年2月2日,单发,NULL,NULL,1852千米,{'$oid': '5cc93105831b973d657f121a'},NULL,http://images.huanqiu.com/sarons/2013/07/738800606dfdff8ff296691a2a16e930.jpg,3.6米,2223千克,2002年,美国,亚音速,无人机,RQ/MQ-9无人机由通用原子航空系统为美国空军、美国海军和英国皇家空军开发。机是一种极具杀伤力的新型无人作战飞机，并可以执行情报、监视与侦察任务。美国空军在其作战试验刚刚结束后，就决定将其投入实战，并于去年3月组建了“死神”无人机攻击中队，即内华达州克里奇空军基地第42航空攻击机中队，还成立了专门的“死神”无人机工作组，开始研究战术、训练机组人员和进行实战演练。,美国通用原子公司,平直翼,11米,4760千克,NULL
ASN-206无人机,飞行器,210千米每小时,6米,水平对置气冷4缸2冲程51马力的HS700型活塞发动机,NULL,单发,NULL,NULL,150千米,{'$oid': '5cc93105831b973d657f121b'},NULL,http://images.huanqiu.com/sarons/2013/11/005f25db510ac1128e932a0d9e7ad050.jpg,1.4米,1060千克,1996年,中国,亚音速,无人机,ASN-206是西北工业大学西安爱生技术集团研制的多用途无人驾驶飞机。1994年12月完成研制工作。该机是一种配套完整、功能齐全、性能先进、适合野外条件使用的无人机。尤其是它的实时视频侦察系统，为我军前线侦察提供了一种利器。1996年该机获国家科技进步一等奖。1996年在珠海国际航展上展出，现已投入批量生产。,西北工业大学，西安爱生技术集团,平直翼,3.8米,222千克,NULL
 RQ-8“火力侦察兵”,飞行器,213千米每小时,8.38米,阿里逊／罗-罗250-C20W发动机, 2002年5月19日,单发,NULL,NULL,639千米,{'$oid': '5cc93105831b973d657f121c'},NULL,http://images.huanqiu.com/sarons/2013/07/e03a3ff482d013bb1de21370a783bf89.jpg,2.87米,661千克,NULL,美国,亚音速,无人机,"
RQ-8A“火力侦察兵”无人机是美国诺斯罗普-格鲁曼公司的瑞恩航空中心为美国海军研制的下一代舰载垂直起降战术无人机，用于执行侦查和瞄准任务，军方编号RQ-8A。该机的机械部分大量采用了民用Schweitzer 
333型直升机的成熟技术。 
",美国诺斯罗普－格鲁曼公司,单旋翼,6.97米,1157千克,NULL
ASN-105,飞行器,170千米每小时,4.3米,四缸二行程气冷活塞式发动机,1982年10月,单发,NULL,NULL,300千米,{'$oid': '5cc93105831b973d657f121d'},NULL,http://images.huanqiu.com/sarons/2013/11/88547b065de091dea853476ff21e36c5.jpg,0.9米,NULL,NULL,中国,亚音速,无人机,"
ASN-105侦察无人机系统是西安爱生技术集团公司在D-4基础上研制的侦察无人机系统。主要用于前线和敌后侦察，可完成战区实时监视、攻击前后战效分析任务。可提供实时无线电图象和硬拷贝图象，可装备夜视设备。系统包括六架无人机和一个地面站。ASN-105的遥控距离为100千米，机上装有全方位航向飞行控制系统、无线电系统、航空照相机及电视摄像机等，该机不需机场和跑道，借助火箭助推，在发射架上发射。
",西北工业大学，西安爱生技术集团公司,平直翼,3.3米,140千克,NULL
RQ-4“全球鹰” 无人驾驶飞行器,飞行器,644千米每小时,35.43米,阿里逊／罗-罗AE3007H发动机,1998年2月28日,单发,NULL,NULL,24985千米,{'$oid': '5cc93105831b973d657f121e'},NULL,http://images.huanqiu.com/sarons/2013/07/4a2f2048d6a847fb04bb3d66e4ccdbdb.jpg,4.63米,4173千克,NULL,美国,亚音速,无人机,"
 “全球鹰”无人机是美国诺斯罗谱•格鲁曼公司研制的高空高速无人侦察机。“全球鹰”相貌不凡，看起来很像一头虎鲸，它身体庞大、双翼直挺，翼展超过波音747飞机，球状机头将直径达1.2米的雷达天线隐藏了起来。“全球鹰”飞行控制系统采用GPS全球定位系统和惯性导航系统，可自动完成从起飞到着陆的整个飞行过程。通过使用一个卫星链路，自动将无人机的飞行状态数据发送到任务控制单元。
",美国诺斯罗谱•格鲁曼公司,NULL,13.41米,11612千克,NULL
I-蚊蚋-ER无人驾驶飞行器,飞行器,336千米每小时,14.85米,Rotax 914发动机,NULL,单发,NULL,NULL,13440千米,{'$oid': '5cc93105831b973d657f121f'},NULL,,0.65米,254千克,NULL,美国,亚音速,无人机,"
通用原子公司的“I-蚊蚋-ER”系统是“蚊蚋-750”的改进型号，与该公司集续航时间长、有效载荷大、易于使用、维护成本低于一身的“蚊蚋-750”相比，它就是一个放大版。
",美国通用原子公司,平直翼,5.76米,748千克,NULL
“蚊蚋-750” 无人驾驶飞行器,飞行器,192千米每小时,10.77米,Rotax 582发动机,1989年年中,单发,NULL,NULL,9216千米,{'$oid': '5cc93105831b973d657f1220'},NULL,http://images.huanqiu.com/sarons/2013/07/187e6e3ef4e28bd6df53e797fd081b47.jpg,0.75米,907千克,1994年,美国,亚音速,无人机,“蚊蚋-750”最初是由无人驾驶飞行器（UAV）制造商中的先驱--领先系统公司研发，作为该公司国防先进研究计划的成功机型、在1980年代秘密生产的“琥珀”无人驾驶飞行器的后继机发展的，“蚊蚋（也译为‘蚊子’）-750”基本上是从该公司的“蚊蚋-400”衍生出的。,美国通用原子航空系统公司,平直翼,5米,517千克,NULL
Sojka III侦察无人飞机,飞行器,180千米每小时,4.12米,一台22千瓦(29.5马力)的UVMvVM115双缸双冲程引擎；双叶片固定斜度的木制推进螺旋桨,2006年,单发,NULL,NULL,100千米,{'$oid': '5cc93105831b973d657f1221'},NULL,,1.08米,NULL,NULL,捷克,亚音速,无人机,,捷克空军研究院(捷克共和国，布拉格),平直翼,2.1米,145千克,NULL
长虹-1,飞行器,800千米每小时,9.76米,涡喷-11小型涡喷发动机,1972年11月28日,单发,NULL,NULL,2500千米,{'$oid': '5cc93106831b973d657f1222'},NULL,http://images.huanqiu.com/sarons/2013/11/443918744b83941da036bdbf6b3929f1.jpg,2.18米,1060千克,1980年,中国,亚音速,无人机,"
长虹-1号由中国北京航空航天大学无人驾驶飞行器设计研究研制，是高空多用途无人驾驶飞机。该机在军内称无侦-5，英文DR-5。长虹-1可用于军事侦察、高空摄影、靶机或地质勘测、大气采样等科学研究。
",北京航空航天大学,平直翼,8.97米,1700千克,NULL
