_id,图片,口径,炮口初速,类型,名称,总重,简介,研发单位,全长,型号,最大射程,大类,炮管长度,产国,研发时间
{'$oid': '5cc93341831b973d657f2028'},,82毫米,252米/秒,无后坐炮,78式82毫米无后坐力炮 ,34.3千克,,NULL,NULL,破甲弹,500米,火炮,1445毫米,中国,NULL
{'$oid': '5cc93341831b973d657f2029'},,105毫米,320米/秒,无后坐炮,75式105毫米无后坐力炮,2185千克,,NULL,NULL,NULL,7400米,火炮,3409毫米,中国,1975年
{'$oid': '5cc93342831b973d657f202a'},http://images.huanqiu.com/sarons/2014/03/a6cf083f27967773f23674ef8ad2b69f.jpg,106毫米,NULL,无后坐炮,M40式106毫米无坐力炮,NULL,"
美国沃特夫利特兵工厂于20世纪50年代研制的口径106毫米无坐力炮。是50年代至70年代中期美国陆军营级制式反坦克武器。用于攻击坦克等装甲车目标，摧毁坚固防御工事和杀伤人员。
",沃特夫利特兵工厂,3404毫米,NULL,7700米,火炮,2692毫米,美国,20世纪50年代
{'$oid': '5cc93342831b973d657f202b'},,95毫米,344米/秒,无后坐炮,80式95毫米无后坐力炮 ,48千克,"
80式95毫米无后坐力炮于1979年设计定型，没有装备部队。
",NULL,NULL,破甲弹,NULL,火炮,1810毫米,中国,NULL
{'$oid': '5cc93342831b973d657f202c'},,81毫米,NULL,无后坐炮,试制81mm无后坐力炮 ,NULL,"
主要用来射击敌军重型坦克，需要3人操作，战争末期才开始紧急发展，用于准备本土决战，战争期间没有实战使用记录。
",NULL,NULL,破甲弹 ,NULL,火炮,NULL,日本,NULL
{'$oid': '5cc93342831b973d657f202d'},,120毫米,462米/秒,无后坐炮,L6式120毫米无坐力炮,295千克,"
英国皇家兵工厂于1964年在“巴特”L1式和“莫巴特”L4式120毫米无坐力炮的基础上研制的口径120毫米的车载式无坐力炮。装备英国陆军，还出口澳大利亚、约旦、新西兰等国家。
",英国皇家兵工厂,NULL,NULL,NULL,火炮,3860毫米,英国,1964年
{'$oid': '5cc93342831b973d657f202e'},http://images.huanqiu.com/sarons/2014/03/8dc386a6cad62b6f594a07553b157687.jpg,90毫米,213米/秒,无后坐炮,M67式90毫米无坐力炮,NULL,"
美国法兰克福兵工厂于1959年研制的口径90毫米的便携式无坐力炮。60年代初至70年代中期为美军步兵连制式装备。用于在近距离上攻击中型坦克和其他装甲较薄的目标，也可攻击碉堡和掩体等防御工事。
",美国法兰克福兵工厂,NULL,NULL,2100米,火炮,1346毫米,美国,1959年
{'$oid': '5cc93342831b973d657f202f'},http://images.huanqiu.com/sarons/2013/11/9a1d81262f456c08468a477f16186b87.jpg,82毫米,175米/秒,无后坐炮,65式82毫米无后坐力炮,30千克,"
65式82毫米无后坐力炮于1967年设计定型并投入批量生产，该炮是一种连属火炮，现在仍有装备部队。
",NULL,1540毫米,破甲弹,1750米,火炮,1540毫米,中国,1967年
{'$oid': '5cc93342831b973d657f2030'},http://images.huanqiu.com/sarons/2014/03/1687b1fc3cfa8986f78d6ecfc3e38582.jpg,73毫米,435米/秒,无后坐炮,SPG-9式73毫米无坐力炮,63千克,"
苏联研制的口径73毫米的便携式无坐力炮。20世纪60年代研制，1969年装备苏军摩托化步兵营，1973年出口波兰、保加利亚和匈牙利等国军队。主要用于攻击装甲目标。其改进型为SPG-9D式，主要装备苏军空降部队。
",NULL,2110毫米,NULL,1000米,火炮,NULL,苏/俄,20世纪60年代研制
{'$oid': '5cc93343831b973d657f2031'},http://images.huanqiu.com/sarons/2014/01/90cf547fdc00186dd78aae31b2fee7d9.jpg,75毫米,310米/秒,无后坐炮,56-2式75毫米无后坐力炮,52千克,"
56-2式75毫米无后坐力炮于1968年定型并投入批量生产，现已退役。
",NULL,2124毫米,破甲弹,6500米,火炮,2124毫米,中国,NULL
{'$oid': '5cc93343831b973d657f2032'},http://images.huanqiu.com/sarons/2014/03/b18dd34daaa8c250cf38db2ab53acdb0.jpg,106毫米,500米/秒,无后坐炮,60式106毫米双管自行无坐力炮,8000千克,"
日本小松制作所研制的口径106毫米的双管自行式无坐力炮。20世纪50年代末研制，1960年装备日本陆上自卫队。用于攻击坦克，装甲车，亦可用于杀伤人员。
",日本小松制作所,3320毫米,NULL,7000米,火炮,NULL,日本,20世纪50年代末
