型宽,名称,鱼雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,制造厂,_id,图片,次型,满载排水量,活动范围,服役时间,前型,下水时间,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
12.5米,“凯旋”级弹道导弹核潜艇,NULL,舰船舰艇,96人,138米,NULL,400米,14335吨,瑟堡海军造船厂(Cherbourg Naval Dockyard),{'$oid': '5cc931e4831b973d657f176c'},http://images.huanqiu.com/sarons/2013/07/b20b2a6fbd3e8281d51eb8e1c47bc548.jpg,NULL,NULL,大西洋,1996年,NULL,NULL,法国,10000-50000吨,核潜艇,1988年2月,NULL,,25节,NULL,12640吨,NULL,NULL
24.6米,台风” (Typhoon)级(“鲨鱼”级，941型)弹道导弹核潜艇,NULL,舰船舰艇,180人,171.5米,NULL,400米,26500吨,NULL,{'$oid': '5cc931e4831b973d657f176d'},http://images.huanqiu.com/sarons/2013/07/c7f9980e6ec0e0a6e9b6eb9ecc8dbdb1.jpg,北风之神级,NULL,NULL,NULL,德尔塔IV级,NULL,苏/俄,10000-50000吨,核潜艇,1976年,6艘,"
“台风”级弹道导弹核潜艇（北约代号：台风级；英语：Typhoon class nuclear submarine.苏联代号：941，苏俄名称：Akula）是前苏联最大的弹道导弹潜艇，也是目前为止世界上人类建造的最大的潜艇。

该潜艇是典型的冷战时期的产物，由红宝石设计局设计完成。台风级核潜艇一共建造了6艘，苏联解体后，三艘已被拆解。剩下的三艘中，两艘计划2013年年底退役，最后将只有首艇“德米特里东斯科伊”号经现代化改造后，仍处于服役状态，主要用于武器试验。俄罗斯海军将以“北风之神”级战略核潜艇作为海军战略核威慑的替代。
",25节,NULL,18500吨,一艘服役中,NULL
9.8米,“特拉法尔加”（Trafalgar）级核动力攻击型潜艇,NULL,舰船舰艇,97人,85.4米,NULL,600米,5208吨,维克斯造船工程有限公司,{'$oid': '5cc931e4831b973d657f176e'},http://images.huanqiu.com/sarons/2013/07/9da4874075769b07e7f128fb7aa7bb11.jpg,“机敏”级,NULL,NULL,1983年至今,"""敏捷""级",NULL,英国,5000-10000吨,核潜艇,1977年–1986年,7艘,,32节,NULL,4740吨,NULL,NULL
12.8米,“前卫”级弹道导弹核潜艇,NULL,舰船舰艇,121人,149.9米,NULL,350米,15900吨,英国维克斯造船工程有限公司巴罗造船厂,{'$oid': '5cc931e4831b973d657f176f'},http://images.huanqiu.com/sarons/2013/07/f9251714db871cad2c7b831e70fdb98a.jpg,NULL,NULL,NULL,1993年8月14日,"""决心""级",1991年3月4日,英国,10000-50000吨,核潜艇,1986年9月3日,“前卫”号，“胜利”号，“警惕”号，“复仇”号,"
“前卫”级核潜艇是英国皇家海军一级弹道导弹核潜艇，是英国仿照美国海军的俄亥俄级核潜艇设计建造的核动力潜艇。在1986-1993年由维克斯公司建造，共建有4艘。第一艘“先锋”号核潜艇于1993年最早服役。其他3艘“前卫”级核动力潜艇分别是：“胜利”号、“警惕”号、“复仇”号。自1997年WE.177核弹从英国皇家空军退役后，它便成为英国军队现役唯一一种核打击平台。“前卫”级是英国海军核打击力量的主要组成部分，主要用于对敌方实施核威慑和做为水下核打击平台。
",25节,NULL,NULL,现役,NULL
7.6米,“红宝石”(Rubis)级攻击型核潜艇,NULL,舰船舰艇,NULL,73.6米,NULL,300米,2670吨,NULL,{'$oid': '5cc931e4831b973d657f1770'},http://images.huanqiu.com/sarons/2013/07/d1c61ab7a99380909bbcce10c9f248bf.jpg,NULL,NULL,NULL,1983年2月,NULL,NULL,法国,2000-5000吨,核潜艇,1976年,NULL,,25节,NULL,2410吨,NULL,NULL
10.6米,“不屈”级弹道导弹核潜艇,NULL,舰船舰艇,114人,128.7米,NULL,300米,8920吨,NULL,{'$oid': '5cc931e4831b973d657f1771'},http://images.huanqiu.com/sarons/2013/07/594b716a679ba11c8bf78bc8f829601b.jpg,NULL,NULL,大西洋,NULL,NULL,1967年3月,法国,5000-10000吨,核潜艇,1964年,NULL,“不屈”级弹道导弹核潜艇，是法国第二代核动力弹道导弹潜艇，与第一代“可畏”级相仿。该艇在总体性能、动力装置及导弹数量上没有很大的变动，只是增加了反应堆活性区的使用时间，加强了潜艇壳体的强度。,25节,NULL,8080吨,NULL,NULL
12米,“德尔塔”(Delta)Ⅳ级(“海豚”级，667BDRM型)弹道导弹核潜艇,NULL,舰船舰艇,114人,166米,NULL,450米,13500吨,NULL,{'$oid': '5cc931e5831b973d657f1772'},http://images.huanqiu.com/sarons/2013/07/ead7b732b72c7073bddefd87e10110a2.jpg,NULL,NULL,NULL,1984年底,NULL,NULL,苏/俄,10000-50000吨,核潜艇,1981年,NULL,,24节,NULL,10800吨,在役,NULL
18.2米,“奥斯卡”(Oscar)II级(“安提耶”级，949A型)巡航导弹核潜艇,NULL,舰船舰艇,107人,154米,NULL,600米,18300吨,北德文斯克造船厂(Severodvinsk),{'$oid': '5cc931e5831b973d657f1773'},http://images.huanqiu.com/sarons/2013/07/0f9aeff0878afebbd3d663368db2ed07.jpg,NULL,NULL,NULL,1986年,NULL,NULL,苏/俄,10000吨以上,核潜艇,1983年,NULL,"
奥斯卡II（949A型）级是目前全世界上火力最强大的攻击核潜艇之一。而在切洛梅设计局的P-1000型反舰巡航导弹成为泡影后，它和它的导弹成了苏联海军巡航导弹核潜艇的最后绝唱。在安静性方面据称它比阿库拉I要强，而比阿库拉II逊色。从1982年开始建造“奥斯卡II”（949A型），首艇则在1985年下水。与949艇相比，949A型艇增加了一个舱室，排水量有所增加，艇上武器和设备的内部布局得到了改善，从而既能保留原型艇的全部优点，又可以克服其不足，并具备可持续改进性。
",28节,NULL,13900吨,NULL,NULL
11.27米,“机敏”(Astute)级核动力攻击型潜艇,NULL,舰船舰艇,98人,97米,NULL,300米,7800吨,巴罗因弗内斯造船厂,{'$oid': '5cc931e5831b973d657f1774'},http://images.huanqiu.com/sarons/2013/07/1ddd120f0defcc7bde7e52be917b5ecd.jpg,NULL,NULL,NULL,2010年至今,特拉法加级,2007年8月,英国,5000-10000吨,核潜艇,2001年至今,NULL,,29节,NULL,6500吨,现役,NULL
10米,“汉”级(091型)核动力攻击型潜艇,NULL,舰船舰艇,75人,98米,NULL,200米,5550吨,渤海造船厂,{'$oid': '5cc931e5831b973d657f1775'},http://images.huanqiu.com/sarons/2013/07/459c4f8fd496a64591bc3e84d780e060.jpg,NULL,NULL,NULL,1974年8月1日,NULL,1970年4月,中国,2000-5000吨,核潜艇,1968年11月,NULL,,25节,NULL,4500吨,NULL,NULL
