_id,图片,口径,炮口初速,类型,名称,简介,研发单位,全长,研发时间,型号,最大射程,大类,炮管长度,编辑评分,产国,总重
{'$oid': '5cc93308831b973d657f1ede'},,152.4毫米,508米/秒,榴弹炮,54式152毫米榴弹炮,"
中国制造。1955年研制定型的152毫米牵引火炮，系仿制前苏D-1型152毫米榴弹炮（前苏军第二次世界大战后期至70年代中期以前的师级支援火炮）。
",NULL,NULL,NULL,NULL,12400米,火炮,7558毫米,NULL,中国,2500千克
{'$oid': '5cc93308831b973d657f1edf'},http://images.huanqiu.com/sarons/2014/03/89cf3b42c78ad396d9f66184669af502.jpg,75毫米,575米/秒,榴弹炮,M1897式75毫米野炮,"
法国施奈德公司生产的一种口径75毫米的牵引式野炮。又称75ABS1897式野炮。1897年研制成功，是世界上最早的弹性炮架火炮。其射速、射击精度和机动性能，比刚性炮架结构的同口径火炮有明显提高。用于为野战部队提供火力支援。此炮是第一次世界大战前性能最好的速射炮之一，各国很快竞相仿制，并在第一次世界大战中大量使用。
",法国施奈德公司,NULL,1897年,NULL,8000米,火炮,2700毫米,(1分),法国,1190千克
{'$oid': '5cc93308831b973d657f1ee0'},http://images.huanqiu.com/sarons/2013/11/6851761e67b4b289b530f8a22975075e.jpg,121.92毫米,335米/秒,榴弹炮,1909年式122毫米榴弹炮,"
沙皇统治时期的俄国扩张领土，殖民统治的需要。
",NULL,NULL,1909年,NULL,7600米,火炮,187.568毫米,NULL,苏/俄,1340千克
{'$oid': '5cc93308831b973d657f1ee1'},http://images.huanqiu.com/sarons/2013/11/bdae427b27fca2ad03461621fe1a1429.jpg,149.1毫米,NULL,榴弹炮,96式150毫米野战榴弹炮,"
九六式150mm野战榴弹炮具有压制射击用途，并且火炮精度极高，射程又远，被日军称做最完美的150mm口径榴弹炮。
",NULL,NULL,NULL,榴弹,11900米,火炮,3523毫米,NULL,日本,4140千克
{'$oid': '5cc93309831b973d657f1ee2'},,37毫米,450米/秒,榴弹炮,大正十一年式37毫米平射狙击炮,主要用于攻击机枪阵地与各种掩体，通常作战方式是在对方机枪有效射程外直瞄射击。对坚固掩体攻击时利用狙击镜瞄准射口发射杀伤榴弹，炮弹通过掩体射口直接射 入掩体内部，杀伤掩体内人员；对沙袋掩体与土木掩体等不坚固的掩体则发射穿甲爆破弹直接攻击，穿甲爆破弹穿透掩体后爆炸，必要时也可以发射穿甲爆破弹攻击装甲车与轻型坦克。,NULL,NULL,NULL,穿甲爆破弹,5000米,火炮,1034毫米,NULL,日本,89千克
{'$oid': '5cc93309831b973d657f1ee3'},,122毫米,618米/秒,榴弹炮,83式122毫米榴弹炮,,NULL,NULL,NULL,NULL,15600米,火炮,3634毫米,NULL,中国,2700千克
{'$oid': '5cc93309831b973d657f1ee4'},,121.92毫米,515米/秒,榴弹炮,54式122毫米牵引榴弹炮,"
中国制造，50年代初期研制定型的122毫米牵引火炮，50年代中后期装备部队，用以取代各种旧杂式榴／山炮。本炮系由苏式M－1938式改进而成，使用汽车牵引。是步兵师、军（集团军）属炮兵团基本火炮。每团2-3营（炮24-36门）。70年代开始逐步退役，为54-1式取代。已停产。
",NULL,5900毫米,NULL,杀伤爆破榴弹,11800米,火炮,2670毫米,NULL,中国,2450千克
{'$oid': '5cc93309831b973d657f1ee5'},,37毫米,780米/秒,榴弹炮,九四式37毫米速射炮,"
九四式37毫米速射炮为德国KWK36型37mm反坦克炮的仿制品，在KWK36型37mm反坦克炮设计阶段就签约购买了资料，1936年全炮制作完成。由于日本不使用被帽穿甲弹，所以94式速射炮在相同距离，穿甲能力比KWK36型37mm反坦克炮发射被帽穿甲弹低10mm左右。KWK36型37mm反坦克炮的炮管炮身还被日军95式轻战车选用，称做94式战车炮。
",NULL,NULL,1936年,穿甲爆破弹,5700米,火炮,1706.5毫米,NULL,德国,327千克
{'$oid': '5cc93309831b973d657f1ee6'},,122毫米,690米/秒,榴弹炮,86式122毫米榴弹炮,"
86式122毫米榴弹炮是参照苏联D-30型122毫米榴弹炮，根据现代战争的需要于1985年研制成功的师属榴弹炮，用于替代大量装备的老式的54式和 54-1或122毫米榴弹炮。
",NULL,NULL,NULL,NULL,18000米,火炮,4785毫米,NULL,中国,3290千克
{'$oid': '5cc93309831b973d657f1ee7'},http://images.huanqiu.com/sarons/2013/11/7a74a60bb88748f77896ae8f1733ef3b.jpg,121.92毫米,335米/秒,榴弹炮,1910年式122毫米榴弹炮,"
1910/1930年式122毫米榴弹炮是红军早期使用的较为广泛的中型火炮，在30年代初期，红军前线部队中曾大量装备该型火炮，德军入侵苏联早期缴获的这些火炮数量相当可观，经修复后分配编号LeFH 388(r)，有部分火炮还流落到芬兰陆军手中。
",NULL,NULL,1910年,NULL,7700米,火炮,1560.576毫米,NULL,苏/俄,1330千克
