_id,图片,乘员与载员,类型,诞生时间,名称,战斗全重,简介,最大行程,研发厂商,大类,宽度,最大速度,关注度,高度,产国,底盘类型,车长
{'$oid': '5cc932b0831b973d657f1cee'},http://images.huanqiu.com/sarons/2014/03/bd68b2489c6a900094725db42b225134.jpg,10人,步兵战车,2009年,ZBD-09式8X8轮式步兵战车,21000千克,"
ZBD-09式8X8轮式步兵战车是92式轮式步兵战车的替代者，又称VNI。新型8×8底盘承载能力更强，也有余地为人员提供更厚重的防护装甲。在解放军近年研发的新型支援车辆武器配置中逐步成为主流装备。新型8×8步兵战车还配备了猎歼火控系统，真正具备动对动射击能力和夜间作战能力。未来中国国产大型运输机研制成功后，09式车族依托空运将成为解放军快速部署型轻装甲部队的主力。
",800公里,中国的北方工业公司（NORINCO),坦克装甲车辆,3米,100公里/小时,(4.9分),2.1米,中国,轮式,8米
{'$oid': '5cc932b0831b973d657f1cef'},http://images.huanqiu.com/sarons/2013/11/fb677eeed5df24781378b791c1f4da76.jpg,7人,步兵战车,2000年,ZBD03空降战车,8000千克,"
ZBD03空降战车是中国人民解放军空降兵的主战兵器，旧称“ZBD-2000伞兵战车”或“ZLC-2000伞兵战车”，是我国研制的的一种伞兵用步兵战车，它首次公开亮相是在2005年的我国与俄罗斯联合举办的军事演习上，ZBD-03伞兵战车在2009年10月1日的中华人民共和国首都各界庆祝中华人民共和国成立60周年大会的分列式上也出现过，它排在装甲车方队的第7位，由中国人民解放军空降兵第15军第45师第134团8连（上甘岭特功八连）的成员驾驶。
",500公里,NULL,坦克装甲车辆,2.6米,68公里/小时,NULL,2.2米,中国,履带式,5.3米
{'$oid': '5cc932b1831b973d657f1cf0'},,9人,步兵战车,1985年,“达多”步兵战车,23000千克,"
经历风雨，终见彩虹的“达多”。该车体及炮塔由5083和7020型铝合金装甲板焊接而成，同时在车体前部及两侧采用了高硬度钢装甲板，并用螺栓紧固，钢装甲板厚度依据安装位置和铝合金装甲板倾斜度而有所不同。
",500公里,奥托·梅莱拉公司，依维柯·菲亚特公司,坦克装甲车辆,3.14米,70公里/小时,NULL,2.64米,意大利,履带式,6.705米
{'$oid': '5cc932b1831b973d657f1cf1'},http://images.huanqiu.com/sarons/2013/11/744c8aa8136a615e40d582f9f77587cf.jpg,10人,步兵战车,1980年,BVP M80A步兵战车,14000千克,"
该车是前南斯拉夫在M980机械化步兵战车的基础上发展起来的。相对于M-80，主要改进包括采用功率更大的发动机，略微提高了车速和单位功率。由南斯拉夫研制与生产。1984年在开罗国际装备展览会上首次展出，1980年正式投产，用以取代M980型。到1988年初，大约已生产了500多辆。
",500公里,NULL,坦克装甲车辆,2.995米,64公里/小时,NULL,2.67米,前南斯拉夫,NULL,6.42米
{'$oid': '5cc932b1831b973d657f1cf2'},http://images.huanqiu.com/sarons/2013/11/ec3c64d6b29610c3123238322140e0c6.jpg,10人,步兵战车,20年代90年代后期,ZBD-04式步兵战车,215000千克,"
ZBD04式履带式步兵战车是我国继后自主研制的第二代履带式步兵战车。ZBD-04型步兵战车采用我国自行研制的履带式底盘，发动机前置，中部为炮塔，后部为乘员舱，可搭载7名步兵。车体采用铝合金材料，为全焊接车体，全车质量较轻，流线型较好。车首装甲的倾斜角度较大，拥有较好的防弹外形。车体外形较为高大，车首前下方安装有大型防浪板，车尾门下方两侧具有两个喷水推进器喷口，具有较佳的浮渡性能。
",600公里,NULL,坦克装甲车辆,NULL,75公里/小时,(5分),NULL,中国,履带式,NULL
{'$oid': '5cc932b1831b973d657f1cf3'},http://images.huanqiu.com/sarons/2013/11/42d6c6406fa5f00db9ed0f7cd9e4f897.jpg,6人,步兵战车,1969年,“黄鼠狼”1A3步兵战车,33500千克,"
“黄鼠狼”1A3步兵战车是第二次世界大战后由西德研发的一款步兵战车，该车于20世纪60年代初开始研制，1969年4月正式批量生产，1970年进入西德陆军服役。
",500公里,莱茵钢铁公司，克鲁伯马克公司,坦克装甲车辆,3.38米,65公里/小时,NULL,1.9米,德国,履带式,6.88米
{'$oid': '5cc932b1831b973d657f1cf4'},http://images.huanqiu.com/sarons/2013/11/33a04c210bfcaf1b8643c78a11fb272f.jpg,13人,步兵战车,1955年,AMX VCI步兵战车,15000千克,"
该车是在法国霍奇基斯(Hotchkiss)公司的TT6和TT9装甲人员输送车被淘汰后，于50年代初为满足法军要求而研制的。当该厂开始生产AMX-30坦克后，该车随同整个AMX-13轻型坦克车族转到克勒索-卢瓦尔公司生产，一直延续到现在。
",350公里,罗昂制造厂 ,坦克装甲车辆,2.67米,60公里/小时,NULL,2.58米,法国,履带式,5.7米
{'$oid': '5cc932b1831b973d657f1cf5'},http://images.huanqiu.com/sarons/2013/11/5ba808cfb63df8ea68ae8fd96aef53af.jpg,7人,步兵战车,1994年,“鼬鼠”2空降装甲车,4100千克,"
“鼬鼠”2空降装甲车是一种设备齐全的多车辆武器系统，由6种不同配置的“鼬鼠”2轻型装甲车组成，包括前观车、连级指车、火控车、排级指挥车、前沿控制车和120毫米迫击炮，所有车辆均可用直升机、运输机空运。2006年法国萨托利防务展上，莱茵金属公司地面系统分部首次展出了这一新型网络化迫击炮系统。这种把轻型迫击炮与“鼬鼠”2装甲侦察车、C4I车辆相结合的创新性概念，是一种针对未来作战环境的网络化系统，可确保部队在网络化联合作战环境中的高机动性和优异的发射后迅速撤离能力，以此显著提高空降部队的作战效能。据称，从战略战术机动性、作战灵活性、侦察指挥能力和战场杀伤力等多方面来看。该系统完全适用于不断变化的现代军事任务需求。
",550公里,莱茵金属公司地面系统分部,坦克装甲车辆,1.852米,70公里/小时,NULL,2.11米,德国,履带式,4.2米
{'$oid': '5cc932b1831b973d657f1cf6'},http://images.huanqiu.com/sarons/2014/03/a015d9cceef065f3ba86f4a6c0288b98.jpg,11人,步兵战车,2005年,ZBD-05两栖突击车,26000千克,"
ZBD-05两栖步兵战车是目前全世界现役唯一的滑板结构两栖装甲车辆。是中国人民解放军海军陆战队的重要武器之一，它属于中国人民解放军的05式两栖装甲车族系列，ZBD-05两栖步兵战车一挺装备30mm机关炮，炮塔两边各外挂有一枚红箭-73A反坦克导弹。与中国人民解放军此前装备的相比，ZBD-05两栖步兵战车的水上运动速度有突破性提高，大大缩短了在抢滩登陆过程中暴露在敌人火力中的时间。
",NULL,NULL,坦克装甲车辆,NULL,40公里/小时,(3.8分),NULL,中国,履带式,NULL
{'$oid': '5cc932b1831b973d657f1cf7'},http://images.huanqiu.com/sarons/2013/11/e11fb7f587329ed8a72ee28298627410.jpg,11人,步兵战车,1965年,AMX-10P步兵战车,14500千克,"
该车是法国AMX制造厂于1965年按法国陆军要求研制的，用以取代老式的AMX VCI步兵战车。伊西莱穆利诺制造厂于1965年开始研发AMX-10P步兵战车，1968年完成首辆样车，1973年首批生产车型出厂。除装备本国军队外，还大量出口，采购最多的国家为沙特阿拉伯。到1985年初，该车及其各种变型车已生产了1630辆。
",500公里,罗昂制造厂,坦克装甲车辆,2.78米,65公里/小时,NULL,2.83米,法国,履带式,5.788米
