名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,内置武器,旋翼直径,退役时间,最大航程,关注度,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
贝尔OH-58侦察直升机,飞行器,226千米每小时,NULL,阿里逊T63-A-720发动机,1962年12月8日,单发,NULL,10.77米,NULL,572千米,NULL,{'$oid': '5cc9315f831b973d657f140d'},NULL,http://images.huanqiu.com/sarons/2013/07/cd43d81b6d8aee0bf265f13ceaa14555.jpg,2.87米,726千克,60年代,美国,亚音速,武装直升机,"
60年代初，美国贝尔公司研究出了基奥瓦系列的原型机206型直升机以满足军方关于轻型侦察直升机的要求。206的改进型206A被海军选中作为教练机，于1966年10月首飞。1968年206A作为第二代轻型侦察直升机被海军看中，军方代号为OH-58A，并且于1969年向军方交付了2200架，随后，OH-58基奥瓦直升机立即被部署到了越南战场上，主要用作轻型侦察直升机和情报支援。越战中，美军虽然战败，但轻型直升机的轻便灵活为美军提供的情报和部分火力支援却深受军方重视。
",美国贝尔直升机公司,单旋翼,5人,10.48米,1452千克
AS 665“虎”式多用途战斗直升机,飞行器,322千米每小时,NULL,两台MTU/罗尔斯-罗伊斯/透博梅卡公司的MTR 390涡轮轴发动机,1991年4月27日,双发,NULL,13米,NULL,800千米,NULL,{'$oid': '5cc9315f831b973d657f140e'},NULL,http://images.huanqiu.com/sarons/2013/07/ec8cf7690f5870b74512cdb6dff3f8bf.jpg,4.3米,3060千克,NULL,法国,亚音速,武装直升机,"
AS665“虎”是欧洲直升机法国公司于1991年研制成功的一款多用途战斗直升机，作战时可为特种部队提供支援。
",欧洲直升机法国公司,单旋翼,2人,15.8米,6000千克
AH-2A“石茶隼”,飞行器,309千米每小时,NULL,透博梅卡Makila 1 K2涡轮轴发动机,1990年,双发,NULL,15.6米,NULL,1335千米,NULL,{'$oid': '5cc9315f831b973d657f140f'},NULL,http://images.huanqiu.com/sarons/2013/11/a7a5d6e221c196154bc0696594fad2a2.jpg,5.2米,6500千克,1995年,南非,亚音速,武装直升机,由南非丹尼尔宇航公司开发研制的武装直升机，用于支援地面军事行动。这款由南非自己打造的武装直升机不仅对地火力全面，还能对空攻击，与美欧装备的先进直升机相比并不逊色。,丹尼尔宇航公司,单旋翼,2人,18.7米,8700千克
贝尔AH-1 双座攻击直升机,飞行器,276千米每小时,NULL,德事隆 - 莱康明T53- L-703发动机,1965年9月7日,双发,NULL,13.41米,2002年,574千米,NULL,{'$oid': '5cc9315f831b973d657f1410'},NULL,http://images.huanqiu.com/sarons/2013/07/1fda5347d1b5f4b3b436c1f5207d23fa.jpg,4.11米,2939千克,NULL,美国,亚音速,武装直升机,AH-1“眼镜蛇”直升机，是由贝尔直升机公司于60年代中期为美陆军研制的专用反坦克武装直升机，当时也是世界上第一种反坦克直升机。由于其飞行与作战性能好，火力强，被许多国家广泛使用，经久不衰，并几经改型。,美国贝尔公司,单旋翼,2人,13.59米,4536千克
直-9,飞行器,324千米每小时,NULL,透博梅卡公司“阿赫耶”1C涡轴发动机,1992年1月16日,双发,NULL,11.93米,NULL,1030千米,(3.5分),{'$oid': '5cc93160831b973d657f1411'},NULL,http://images.huanqiu.com/sarons/2014/01/74241a411bc148237ea2f0cb5cfc02d7.jpg,3.21米,1975千克,1983年,中国,亚音速,武装直升机,"


   用于人员运输、近海支援、海上救护、空中摄影、海上巡逻、鱼群观测、护林防火等，并可作为舰载机使用。军事用途包括侦察、近距火力支援、反坦克、搜索救护、反潜、侦察校炮及通讯。
",哈尔滨飞机制造公司,单旋翼,14人,13.46米,4000千克
RAH-66“科曼奇”,飞行器,324千米每小时,NULL,两台LHTEC T800 涡轮轴发动机，每个 1432 hp（1068 kW）,1995年8月,双发,NULL,12.2米,NULL,485千米,NULL,{'$oid': '5cc93160831b973d657f1412'},NULL,,3.4米,3605千克,NULL,美国,亚音速,武装直升机,RAH-66“科曼奇”(Comanche)，是波音公司为美军研制的下一代攻击侦察直升机，配备一门20毫米航炮、2.75英尺的航空火箭弹发射器和航空导弹。自从1983年立项并开始前期研究以来，五角大楼曾经为“科曼奇”项目作出了高达390亿美元的预算。美军当时希望能够开发一种双发动机双座、具有隐身效果和类似于现役“阿帕奇”武装直升机强大火力的新型武装侦察直升机，来替代陆军现役的OH-58D“基奥瓦”侦察直升机，并和“阿帕奇”一起组成美陆军航空兵未来的主力作战机群。,NULL,单旋翼,2人,14.3米,4990千克
贝尔UH-1Y 和 AH-1Z 双发战地直升机,飞行器,220千米每小时,NULL,两台通用电气T700-GE-401发动机,2001年12月20日,双发,NULL,14.6米,NULL,510千米,NULL,{'$oid': '5cc93160831b973d657f1413'},NULL,http://images.huanqiu.com/sarons/2013/07/80c380a900e81a1fd59710c7bf39ec66.jpg,4.4米,2365千克,NULL,美国,亚音速,武装直升机,"
UH-1N和AH-1W飞机是海军陆战队同时研制现代化的，目的是提高它们的通用性。这两种直升机最初使用了很多同样的组件，但是两套独立而又复杂的后勤训练使得每一种飞机各自都更加专业化。H-1计划使它们具有84%的共通性，这样就减少了购买成本、部件库存和训练周期。
",美国贝尔公司,单旋翼,4人,17.4米,4310千克
意大利A129 武装直升机,飞行器,294千米每小时,NULL,两台罗尔斯·罗伊斯Gem 1004(A 129机型)或LHTEC T800-LHT-800(A 129国际型）涡轮轴发动机,1983年9月11日,双发,NULL,11.9米,NULL,561千米,NULL,{'$oid': '5cc93160831b973d657f1414'},NULL,http://images.huanqiu.com/sarons/2013/08/09d085ae89dc0048f9bf3ec24b1c4855.jpg,3.35米,2350千克,1990年,意大利,亚音速,武装直升机,,意大利阿古斯塔公司,单旋翼,2人,14.3米,4600千克
直-10 ,飞行器,270千米每小时,NULL,两台WZ-9 涡轮轴发动机,2003年4月29日,双发,NULL,13米,现役,800千米,(4.8分),{'$oid': '5cc93160831b973d657f1415'},NULL,http://images.huanqiu.com/sarons/2013/08/8f81c06726fdf2db0e8058ad2bfdc760.jpg,3.85米,5540千克,2010年12月,中国,亚音速,武装直升机,,昌河飞机工业集团有限责任公司,单旋翼,2人,14.15米,7000千克
波音AH-64双座双发攻击直升机,飞行器,265千米每小时,NULL,两台通用电气T700-GE-701C发动机,1975年9月30日,双发,NULL,14.63米,NULL,480千米,NULL,{'$oid': '5cc93160831b973d657f1416'},NULL,http://images.huanqiu.com/sarons/2013/08/d5775cbebf32dfa625eaa1c065cff048.jpg,4.95米,5352千克,1986年4月,美国,亚音速,武装直升机,波音AH-64“阿帕奇”武装直升机是现美国陆军主力武装直升机，发展自美国陆军上个世纪七十年代初的先进武装直升机（Advanced Attack Helicopter，AAH）计划，以作为AH-1眼镜蛇攻击直升机后继机种。AH-64武装直升机现已被世界上13个国家和地区使用，包括日本、中国台湾和以色列。AH-64以其卓越的性能、优异的实战表现，自诞生之日起，一直是世界上武装直升机综合排行榜第一名。,美国波音公司,单旋翼,2人,17.73米,10433千克
A129“猫鼬”,飞行器,294千米每小时,NULL,两台罗尔斯-罗伊斯Gem 1004(A 129机型)或LHTEC T800-LHT-800(A 129国际型）涡轮轴发动机,1983年9月11日,双发,在国际机型的机头小塔上安置20毫米加农炮；挂载点,11.9米,NULL,561千米,NULL,{'$oid': '5cc93160831b973d657f1417'},NULL,http://images.huanqiu.com/sarons/2013/11/0d24ba74e35c712caf4bca8960252fac.jpg,3.35米,2350千克,1990年,意大利,亚音速,武装直升机,阿古斯塔·韦斯特兰A129武装直升机是意大利陆军航空兵的主战直升机，绰号“猫鼬”（Mangusta）。这是欧洲自主设计的第一种武装直升机，也是第一种经历过实战考验的欧洲国家的武装直升机。在2001年北京航展和2004年珠海航展上，阿古斯塔公司都特意带来了猫鼬的模型，引起了国内军事爱好者浓厚的兴趣。,意大利阿古斯塔公司,单旋翼,2人,14.3米,4600千克
