_id,装药类型,全重,图片,类型,名称,弹长,简介,研发单位,大类,弹径,制导系统,最大速度,动力装置,关注度,研制时间,产国
{'$oid': '5cc93454831b973d657f25de'},550千吨TNT当量,47200千克,,氢弹,俄罗斯洲际弹道导弹热核弹头,22700毫米,,NULL,爆炸物,1950毫米,惯性制导、格洛纳斯系统,15925千米/时,NULL,NULL,20世纪60年代,苏/俄
{'$oid': '5cc93454831b973d657f25df'},150千吨TNT当量,200千克,,氢弹,TN70/71潜地导弹热核弹头,NULL,,法国原子能委员会,爆炸物,NULL,NULL,NULL,NULL,NULL,1974年,法国
{'$oid': '5cc93454831b973d657f25e0'},10-80千吨TNT当量,NULL,,氢弹,TN90地地导弹热核战斗部,7500毫米,,法国原子能委员会,爆炸物,530毫米,NULL,NULL,NULL,NULL,1983年,法国
{'$oid': '5cc93454831b973d657f25e1'},200千吨TNT当量,1250千克,http://images.huanqiu.com/sarons/2014/03/0b2c7cc50f5ed55739cc79ab035f5277.jpg,氢弹,俄罗斯空射巡航导弹热核战斗部,6040毫米,,NULL,爆炸物,514毫米,惯性制导，地形匹配修正,940千米/时,涡扇发动机,NULL,20世纪60年代,苏/俄
{'$oid': '5cc93455831b973d657f25e2'},400千吨TNT当量,431千克,,氢弹,WE177热核炸弹,NULL,,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,NULL,英国
{'$oid': '5cc93455831b973d657f25e3'},100千吨TNT当量,40000千克,,氢弹,俄罗斯潜地弹道导弹热核弹头,14800毫米,,NULL,爆炸物,1900毫米,NULL,NULL,NULL,NULL,20世纪60年代中期,苏/俄
{'$oid': '5cc93455831b973d657f25e4'},300千吨TNT当量,NULL,,氢弹,TN80/81空地导弹热核战斗部,5380毫米,,法国原子能委员会,爆炸物,380毫米,NULL,NULL,NULL,NULL,1974年,法国
{'$oid': '5cc93455831b973d657f25e5'},150千吨TNT当量,NULL,,氢弹,TN75/76潜地导弹热核弹头,NULL,,法国原子能委员会,爆炸物,NULL,NULL,NULL,NULL,NULL,1987年,法国
{'$oid': '5cc93455831b973d657f25e6'},120万吨TNT当量,375千克,,氢弹,TN60/61潜地导弹热核弹头,1520毫米,,NULL,爆炸物,760毫米,NULL,NULL,NULL,(5分),1968年,法国
{'$oid': '5cc93456831b973d657f25e7'},100千吨TNT当量,200千克,,氢弹,“三叉戟”潜地导弹热核弹头,NULL,,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,1982年,英国
{'$oid': '5cc93456831b973d657f25e8'},1000千吨TNT当量,NULL,,氢弹,美国潜地弹道导弹热核弹头,10400毫米,,NULL,爆炸物,1800毫米,惯性导航系统,NULL,NULL,(5分),20世纪六七十年代,美国
{'$oid': '5cc93456831b973d657f25e9'},200千吨TNT当量,1700千克,http://images.huanqiu.com/sarons/2014/03/78f7eb2c6270198ee2552d37e9ea903d.jpg,氢弹,俄罗斯海射巡航导弹热核战斗部,8090毫米,,NULL,爆炸物,510毫米,惯性制导，地形匹配修正,720千米/时,NULL,NULL,1960年,苏/俄
{'$oid': '5cc93456831b973d657f25ea'},200千吨TNT当量,12000千克,,氢弹,美国巡航导弹热核战斗部,5560毫米,,NULL,爆炸物,527毫米,地形匹配系统辅助惯性导航系统,NULL,NULL,NULL,20世纪50年代,美国
{'$oid': '5cc93456831b973d657f25eb'},10000千吨TNT当量,NULL,,氢弹,“黄太阳”热核炸弹,2700毫米,,NULL,爆炸物,1200毫米,NULL,NULL,NULL,NULL,1958年,英国
{'$oid': '5cc93456831b973d657f25ec'},300千吨TNT当量,87500千克,,氢弹,美国洲际弹道导弹热核弹头,21600毫米,,NULL,爆炸物,2330毫米,惯性制导系统,NULL,NULL,NULL,20世纪50年代,美国
{'$oid': '5cc93456831b973d657f25ed'},200千吨TNT当量,NULL,,氢弹,“北极星”潜地导弹热核弹头,NULL,,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,1963年,英国
{'$oid': '5cc93457831b973d657f25ee'},340千吨TNT当量,325千克,,氢弹,美国Mk/B系列热核炸弹,3220毫米,,NULL,爆炸物,340毫米,NULL,NULL,NULL,NULL,20世纪50年代,美国
{'$oid': '5cc93457831b973d657f25ef'},1000千吨TNT当量,6800千克,,氢弹,“蓝剑”空地导弹热核战斗部,10067毫米,,NULL,爆炸物,1280毫米,惯性制导系统,1960千米/时,NULL,NULL,1962年,英国
