_id,图片,口径,炮口初速,类型,名称,总重,简介,全长,研发单位,型号,最大射程,大类,炮管长度,编辑评分,产国,研发时间
{'$oid': '5cc93325831b973d657f1f9d'},,107毫米,NULL,火箭炮,1985式107毫米单管火箭炮,23千克,"
107毫米1985式单管火箭炮用于破坏和压制部队宿营地、机场、港口、仓库以及有生力量。
",NULL,NULL,NULL,8500米,火炮,NULL,NULL,中国,1985年
{'$oid': '5cc93325831b973d657f1f9e'},,122毫米,NULL,火箭炮,90A式122亳米轮式自行火箭炮 ,20000千克,"
90A式122亳米轮式自行火箭炮，是我军最先进的122毫米自行火箭炮，它是将40管122毫米多管火箭发射架装在7.5吨级的铁马XC22006X6六轮越野卡车上而成。
",9250毫米,NULL, HE-30,32000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93326831b973d657f1f9f'},,320毫米,NULL,火箭炮,WS-1B式320毫米轮式自行火箭炮,505千克,"
WS-1B多管火箭系统，一个火箭连为一个作战单元，包括1辆射击指挥车、6~9辆火箭发射车和6~9辆运输装填车。
",NULL,NULL,NULL,80000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93326831b973d657f1fa0'},http://images.huanqiu.com/sarons/2013/11/4fd53fa1ec439c4bbd9964daed4a220b.jpg,380毫米,NULL,火箭炮,WS-2多管火箭炮,NULL,"
WS-2（卫士二号）多管火箭炮，以高机动轮式越野车为运载方式，采用六联装贮运发射箱，火箭弹可根据不同的战略战术要求，换用六种以上不同类型的战斗部。该系统的火箭发射车通常以连作为基本作战单元，任务是攻击敌方400里内纵深范围内的目标。
",NULL,NULL,NULL,360000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93326831b973d657f1fa1'},,122毫米,NULL,火箭炮,PHZ89式122毫米火箭炮,33000千克,"
PHZ89式122毫米火箭炮由武器系统和底盘组成，战斗全重约33吨，弹药携行量80发，乘员5人，主要装备陆军装甲(机械化)部队。
",NULL,NULL,NULL,30000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93326831b973d657f1fa2'},,400毫米,NULL,火箭炮,四式400mm重火箭,220千克,"
重型炮兵火箭，主要装备火箭炮兵联队，这种火箭可以直接放在木架子或地面斜坡上发射，使用情况与203毫米重火箭一样，当然，这种火箭的威力更大。
",NULL,NULL,NULL,3700米,火炮,3220毫米,NULL,日本,NULL
{'$oid': '5cc93326831b973d657f1fa3'},,273毫米,NULL,火箭炮,83式273mm履带式自行火箭炮,17541千克,"
该炮它是由钢板冲压后组焊而成，定向器四周用薄钢板封闭，在定向器床上还装压弹器和挡弹器，在发射时可气动操纵自动解脱。
",6190毫米,NULL,NULL,40000米,火炮,NULL,NULL,中国,1983年
{'$oid': '5cc93326831b973d657f1fa4'},http://images.huanqiu.com/sarons/2014/05/bae40b4c7bcbcbc00232891e42e095e7.jpg,300毫米,NULL,火箭炮,BM-30龙卷风式多管火箭炮,NULL,,NULL,合金精密仪表设计局,NULL,90米,火炮,NULL,(5分),苏/俄,1987年
{'$oid': '5cc93326831b973d657f1fa5'},,203毫米,NULL,火箭炮,四式203毫米重火箭,227.6千克,"
重型炮兵火箭，主要装备火箭炮兵联队，使用方便，日军在各个战场均有大量使用，为了争取火箭的精度，日军这种火箭的射程是不远的，主要用于近迫攻击。
",NULL,NULL,NULL,2400米,火炮,NULL,NULL,日本,NULL
{'$oid': '5cc93327831b973d657f1fa6'},,122毫米,NULL,火箭炮,90B122毫米多管火箭炮 ,NULL,"
中国90B122毫米多管火箭炮主要用于歼灭和压制敌纵深内的有生力量、火力设施、集结的摩托化步兵、坦克等。
",NULL,NULL,NULL,40000米,火炮,NULL,NULL,中国,1990年
{'$oid': '5cc93327831b973d657f1fa7'},http://images.huanqiu.com/sarons/2013/11/a6a3201f36e75cd9c90b7c0d331f340a.jpg,122毫米,NULL,火箭炮,88式122毫米单管火箭炮,137.65千克,"
88式122毫米单管火箭炮是81式122毫米40管火箭炮的一种变型，于1988定型。
",3000毫米,NULL,NULL,10200米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93327831b973d657f1fa8'},,273毫米,NULL,火箭炮,WM-80式273毫米火箭炮,505千克,"
WM-80式273毫米火箭炮系统是在83式基型273毫米火箭炮系统基础上发展的远程火箭炮系统，是中国新近研制成的多管火箭炮之一。
",NULL,NULL,NULL,80000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93327831b973d657f1fa9'},,130毫米,NULL,火箭炮,82式130毫米轮式自行火箭炮,8000千克,"
82式130毫米30管火箭炮是63式130毫米19管火箭炮的改进型，于1982年设计定型。
",6438毫米,NULL,NULL,10200米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93328831b973d657f1faa'},http://images.huanqiu.com/sarons/2013/11/f2ca1edc878e9662904a43c6e3a0a544.jpg,107毫米,NULL,火箭炮,63式107mm牵引式火箭炮,613千克,"
中国的63式107毫米火箭筒看起来有些简陋，粘上泥土后竟然分不清是兵器还是农具，和高科技、数字化更粘不上边。尽管其貌不扬，但在其服役期间的40年中，却屡屡创出另人难以置信的奇迹。至今，使用它的武装力量遍布世界各地。
",2600毫米,NULL,NULL,8500米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93328831b973d657f1fab'},,127毫米,NULL,火箭炮,“短尾雕”II式火箭炮,21500千克,"
“短尾雕”II式火箭炮是南非于1990年装备南非军队的一种127mm40管火箭炮。
",NULL,NULL,NULL,33000米,火炮,NULL,NULL,南非,NULL
{'$oid': '5cc93328831b973d657f1fac'},http://images.huanqiu.com/sarons/2013/11/961cb1c583fbf697fa6f29a55474f278.jpg,130毫米,NULL,火箭炮,70式130毫米履带式自行火箭炮,12800千克,"
70式130毫米火箭炮属于地面火箭炮兵的近程野战火箭武器，用以歼灭10千米内目标，并能在多种条件下执行各种战斗任务，以猛烈的火力打击敌人，支援各兵种战术行动。可两栖作战。
",5746毫米,NULL,NULL,10120米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93328831b973d657f1fad'},,51毫米,NULL,火箭炮,“菲洛斯”6式火箭炮 ,NULL,"
“菲洛斯”6式火箭炮是意大利于1977年开始研制的一种51mm48管自行火箭炮。可发射反坦克杀伤火箭弹、爆破燃烧火箭弹等。
",NULL,NULL,NULL,6550米,火炮,NULL,NULL,意大利,1977年
{'$oid': '5cc93328831b973d657f1fae'},http://images.huanqiu.com/sarons/2013/11/5c1d7c645678eef52f9834f4df0f3faf.jpg,122.4毫米,NULL,火箭炮,BM-21式火箭炮,48000千克,"
BM-21式火箭炮是前苏联研制的一种122毫米40管自行火箭炮。
",7350毫米,NULL,NULL,20380米,火炮,NULL,NULL,苏/俄,NULL
