_id,战斗射速,图片,参战情况,口径,类型,数量,名称,生产年限,简介,全枪重,有效射程,全枪长,制造商,大类,弹匣容弹量,关注度,发射性能,产国
{'$oid': '5cc9326e831b973d657f1b5b'},NULL,http://images.huanqiu.com/sarons/2013/11/7d0139d058eadc9eb94262774b88a087.jpg,越南战争、多次中东战争、苏联入侵阿富汗、两伊战争、波斯湾战争、索马里内战、两次车臣战争、墨西哥毒品战争、2001年阿富汗战争、伊拉克战争、2011年利比亚内战,85毫米,火箭筒,NULL,RPG-7火箭筒,1961年,,7千克,200米,950毫米,Bazalt,枪械与单兵,NULL,(5分),NULL,苏/俄
{'$oid': '5cc9326e831b973d657f1b5c'},NULL,,NULL,70毫米,火箭筒,NULL,79式70毫米微型反坦克火箭 ,NULL,,1.66千克,NULL,NULL,NULL,枪械与单兵,NULL,NULL,NULL,中国
{'$oid': '5cc9326e831b973d657f1b5d'},NULL,,NULL,40毫米,火箭筒,NULL,56式40毫米火箭筒,NULL,,4.55千克,100米,736毫米,NULL,枪械与单兵,NULL,NULL,NULL,中国
{'$oid': '5cc9326e831b973d657f1b5e'},NULL,,NULL,80毫米,火箭筒,NULL,PF89式80毫米反坦克火箭,NULL,"
PF89系列单兵火箭筒是一种一次性使用的便携式反坦克火箭发射系统，该系统最早是从1984年开始研制，于1989年设计定型，1993年生产定型，并开始批量装备部队。第一个型号被定型为“PF89式单兵反坦克火箭”，代号“PF89-80-1”，被俗称为“80单兵”。这种武器不占编制，作为附加装备配给步兵，以加强步兵的反坦克火力密度及对坦克的作战能力。在PF89反坦克火箭研制成功后不久，又在此基础上研制成功多用途火箭弹，成为一个新型号，被称为“PF89A式80mm单兵多用途火箭”。最近又研制成提高破甲深度的“PF89式单兵火箭1型破甲弹”。


",3.7千克,230米,900毫米,NULL,枪械与单兵,NULL,NULL,NULL,中国
{'$oid': '5cc9326e831b973d657f1b5f'},NULL,,NULL,83毫米,火箭筒,NULL,SMAW-D83mm火箭筒,20世纪70年代末，80年代初,,7.3千克,250米,1372毫米,美国麦克唐纳-道格拉斯公司；塔利防御系统公司,枪械与单兵,NULL,NULL,NULL,美国
{'$oid': '5cc9326e831b973d657f1b60'},NULL,http://images.huanqiu.com/sarons/2014/01/a61787147a01e8fef45c2b5d8e55cc8d.jpg,NULL,114毫米,火箭筒,NULL,“标枪”反坦克火箭筒,1979-1983年,“标枪”是英国肖特兄弟有限公司研制的一种单兵肩射近程防空导弹，它是在“吹管”导弹的基础上发展起来的。主要用于前沿战斗部队的低空近程防御，以对付飞机和武装直升飞机的袭击。“标枪”研制工作起始于1979年，1983年开始生产，1985年初装备部队。,22.7千克,2500米,120毫米,英国肖特兄弟有限公司 ,枪械与单兵,NULL,NULL,NULL,英国
{'$oid': '5cc9326e831b973d657f1b61'},NULL,,NULL,40毫米,火箭筒,NULL,69式40毫米火箭筒,NULL,"
56式40毫米火箭筒的批量服役为我军步兵火箭发展奠定了基础，但其破甲威力主要针对二战末期的坦克设计，面对战后发展的第一代主战坦克如T62、M60和＂豹＂1等威力不足。为此，我国又参考战后苏联发展的第一代反坦克火箭筒，即大名鼎鼎的RPG-7，研制成功了69式40毫米火箭筒。
",5.6千克,290米,910毫米,NULL,枪械与单兵,NULL,NULL,NULL,中国
{'$oid': '5cc9326f831b973d657f1b62'},NULL,,NULL,93毫米,火箭筒,NULL,PF97式93毫米云爆火箭,NULL,"
PF89式火箭筒的研制成功拉开了我国第二代步兵火箭武器登上历史舞台的序幕。为了增强步兵分队的攻坚火力，又一款新型步兵火箭武器-PF97式93毫米云爆弹火箭诞生了。与此前PF89式火箭土生土长的中国特色相比，PF97式火箭充满了十足的俄罗斯风情，其仿制原型即为苏联PRO-A式93毫米云爆弹火箭。
",12千克,200米,920毫米,NULL,枪械与单兵,NULL,NULL,NULL,中国
{'$oid': '5cc9326f831b973d657f1b63'},NULL,,NULL,62毫米,火箭筒,NULL,70式62毫米反坦克火箭,NULL,,10千克,150米,738毫米,NULL,枪械与单兵,NULL,NULL,NULL,中国
{'$oid': '5cc9326f831b973d657f1b64'},NULL,,NULL,90毫米,火箭筒,4800,51式90毫米火箭筒,1951年,,10千克,250米,1450毫米,NULL,枪械与单兵,NULL,NULL,非自动枪支,中国
