_id,装药类型,全重,图片,类型,名称,弹长,简介,研发单位,研制时间,尾翼装置,大类,弹径,制导系统,最大速度,关注度,动力装置,产国,引信装置
{'$oid': '5cc9342b831b973d657f24f5'},NULL,483.497千克,,炸弹,AGM-154“联合防区外武器”,4000毫米,"
美国海军和空军装备的一种无动力滑翔武器，是可从B-1、B-2、F-15E、F-16、F/A-18、AV-8B和F-117等多种战斗机和轰炸机上投放的空对地远射武器。
",NULL,NULL,NULL,爆炸物,330毫米,NULL,NULL,(5分),NULL,美国,NULL
{'$oid': '5cc9342b831b973d657f24f6'},NULL,225千克,http://images.huanqiu.com/sarons/2013/11/916cde6367a7c09a500f2291501f402b.jpg,炸弹,“宝石路”系列激光制导炸弹,3330毫米,,美国空军德克萨斯仪器公司,20世纪60年代,430毫米（闭合）1340毫米(展开）,爆炸物,273毫米,NULL,NULL,(5分),NULL,美国,弹头/弹尾引信
{'$oid': '5cc9342b831b973d657f24f7'},NULL,984千克,http://images.huanqiu.com/sarons/2014/03/881186f6a1e9c870bb704bd4d771821e.jpg,炸弹,GBU-27/28激光制导侵彻炸弹,4240毫米,"
GBU-27/28激光制导侵彻炸弹是由美国洛克希德·马丁公司于80年代在开始研制的，装备美国空军的F-15E、F-111、F-117A、B-1B、B-2等。1988年开始进入空军服役，1991年用于海湾战争，用来攻击伊拉克地下掩体、指挥中心等坚固目标的新型高效侵彻炸弹。
",洛克希德·马丁公司,20世纪80年代中期,720毫米(闭合）/1680毫米(展开）,爆炸物,370毫米,NULL,NULL,(5分),NULL,美国,FMU-143/B或FMU-143（D2）/B
{'$oid': '5cc9342b831b973d657f24f8'},NULL,1140千克,http://images.huanqiu.com/sarons/2014/03/f5da151a45319262b7b44aca7ab32085.jpg,炸弹,GBU-15模式制导滑翔炸弹,3940毫米,"
GBU-15模式制导滑翔炸弹是美国空军运用武器模式化途径，发展的一类新型制导炸弹。是罗克韦尔国际公司，休斯导弹系统公司1975年研制的。该炸弹装备美国海、空军的各型作战飞机。在1991年的海湾战争中F-111F投下了70颗GBU-15，主要是红外型。
",罗克韦尔国际公司，休斯导弹系统公司,1974年,1500毫米,爆炸物,460毫米,NULL,NULL,(5分),NULL,美国,FMU-124A/B
{'$oid': '5cc9342b831b973d657f24f9'},NULL,936千克,http://images.huanqiu.com/sarons/2014/03/93474d1ec866b0c934776edd493f3a8f.jpg,炸弹,B43核炸弹,3800毫米,"
B43核炸弹是美国50年代中期发展的战略、战术两用氢弹，装备美国战略战术攻击飞机。1955年开始研制，1960年投放生产，1961年服役，1970年停产，该弹总共生产1000颗，美国空/海军库存975颗。
",洛斯阿拉莫斯国家试验室,1955年,860毫米,爆炸物,457毫米,NULL,NULL,(5分),NULL,美国,主动雷达引信
{'$oid': '5cc9342c831b973d657f24fa'},NULL,281千克,,炸弹,马特拉200/SFA 减速炸弹,2121毫米,,马特拉公司,20世纪60年代初,锥形，翼展324.7毫米,爆炸物,324毫米,NULL,NULL,NULL,NULL,法国,弹头引信/弹尾引信
{'$oid': '5cc9342c831b973d657f24fb'},NULL,961千克,,炸弹,JDAM精确制导炸弹 ,3879毫米,,波音公司,1997年,NULL,爆炸物,NULL,全球定位系统/惯性导航系统,NULL,(5分),NULL,美国,NULL
{'$oid': '5cc9342c831b973d657f24fc'},NULL,NULL,,炸弹,雷霆-2激光制导炸弹(LT-2),3530毫米,,NULL,NULL,NULL,爆炸物,377毫米,NULL,NULL,(5分),NULL,中国,NULL
{'$oid': '5cc9342c831b973d657f24fd'},NULL,322千克,,炸弹,B61核炸弹,3598毫米,"
该弹是美国60年代初发展的多功能、轻型、小当量、反潜、反舰、对地、高速低空攻击的新一代战术核炸弹，装备美国空/海军的战斗机、海军反潜战飞机、战略轰炸机。1963年开始研制生产。现在依旧生产。
",洛斯阿拉莫斯国家试验室,20世纪60年代,580毫米,爆炸物,340毫米,NULL,NULL,(5分),NULL,美国,主动雷达引信
{'$oid': '5cc9342c831b973d657f24fe'},NULL,925千克,http://images.huanqiu.com/sarons/2014/03/eab58fb64ba71acf976445a1730a6623.jpg,炸弹,B28核炸弹,4320毫米,"
B28核炸弹是美国50年代初发展的战略、战术两用氢弹，装备美国战略、战术攻击飞机。1955年开始研制，1958年开始服役，1970年停产。80年代中期开始被新型核炸弹B61所取代。该弹共生产1200颗，美国空军库存1000颗。
",洛斯阿拉莫斯国家试验室,1955年,800毫米,爆炸物,500毫米,NULL,NULL,(5分),NULL,美国,主动雷达引信
