_id,图片,乘员与载员,类型,诞生时间,名称,战斗全重,简介,最大行程,车长,研发厂商,大类,宽度,最大速度,高度,产国,底盘类型
{'$oid': '5cc932da831b973d657f1de7'},,2人,特种坦克,1935年,一号指挥坦克,5000千克,"
为更好地协调装甲部队，德军在1935年将部分一号坦克底盘改造成为指挥坦克。
",145公里,4.42米,NULL,坦克装甲车辆,2.06米,40公里/小时,1.72米,德国,履带式
{'$oid': '5cc932da831b973d657f1de8'},,5人,特种坦克,1944-1945年,特4式内火艇（“卡次”）,16000千克,,200公里,11米,NULL,坦克装甲车辆,3.3米,20公里/小时,2.25米,日本,履带式
{'$oid': '5cc932da831b973d657f1de9'},,NULL,特种坦克,未服役  ,特5式内火艇(“陶库”),29.1千克,,NULL,10.8米,NULL,坦克装甲车辆,3米,32公里/小时,3.38米,日本,履带式
{'$oid': '5cc932db831b973d657f1dea'},,NULL,特种坦克,1942 年,试制特三型飞行战车,NULL,,NULL,NULL,NULL,坦克装甲车辆,NULL,NULL,NULL,日本,NULL
{'$oid': '5cc932db831b973d657f1deb'},http://images.huanqiu.com/sarons/2013/11/de047e916a28ba251f93a726fe83fe45.jpg,4人,特种坦克,1963年3月,63式轻型两栖坦克,18400千克,,370公里,8.435米,中国北方工业公司,坦克装甲车辆,3.2米,64公里/小时,3.122米,中国,NULL
{'$oid': '5cc932db831b973d657f1dec'},,6人,特种坦克,1942年,特二内火艇(“卡米”),12500千克,,140公里,7.5米,NULL,坦克装甲车辆,2.8米,37公里/小时,2.3米,日本,履带式
{'$oid': '5cc932db831b973d657f1ded'},,4人,特种坦克,二战前后（推测）,97式抢救战车,15千克,,210公里,5.516米,NULL,坦克装甲车辆,2.33米,38公里/小时,2.23米,日本,履带式
{'$oid': '5cc932db831b973d657f1dee'},,NULL,特种坦克,1941年,特1式内火艇（“卡米”）,NULL,,NULL,NULL,NULL,坦克装甲车辆,NULL,NULL,NULL,日本,履带式
{'$oid': '5cc932db831b973d657f1def'},,3人,特种坦克,1969年,蝎式轻型(侦察)坦克,8100千克,,644公里,4.794米,阿尔维斯有限公司 ,坦克装甲车辆,2.35米,79公里/小时,2.102米,英国,履带式
{'$oid': '5cc932db831b973d657f1df0'},http://images.huanqiu.com/sarons/2013/11/f596d2547a89f2dc8605ad6f5532a51a.jpg,3人,特种坦克,1950年,PT-76轻型两栖坦克,14600千克,"
该坦克是苏联二次大战后研制。1950年装备其陆军和海军陆战队的唯一轻型(水陆)坦克，主要用于侦察、警戒和指挥，也可作为登陆部队夺取滩头阵地时的火力支援。该车虽然重量轻，但因体积较大，不宜装备空降部队。
",370公里,7.625米,基洛夫工厂和伏尔加格勒拖拉机厂,坦克装甲车辆,3.14米,44公里/小时,2.255米,苏/俄,履带式
{'$oid': '5cc932db831b973d657f1df1'},,7人,特种坦克,1943-1945年,特3式内火艇(“卡其”),28800千克,,200公里,NULL,NULL,坦克装甲车辆,3米,32公里/小时,3.82米,日本,履带式
