_id,参战情况,图片,口径,类型,数量,名称,生产年限,简介,全枪重,有效射程,全枪长,制造商,弹匣容弹量,大类,发射性能,战斗射速,产国
{'$oid': '5cc9323c831b973d657f19f1'},两次车臣战争达吉斯坦冲突别斯兰人质危机2008年南奥塞梯战争,http://images.huanqiu.com/sarons/2013/08/8d25563d8db061f3debf8865553c79e9.jpg,9毫米,狙击枪,NULL,AS狙击步枪,1993年-,"
这款俄罗斯生产的微声狙击步枪有两种型号：AS和VSS，其中AS更常见，因为它是为特种部队研制的一款微声狙击步枪。VSS与AS类似，供秘密军事组织和警察部队使用，因此可拆卸并装入普通公文包中。
",2.5千克,300米,875毫米,图拉兵工厂,20发,枪械与单兵,自动枪支,NULL,苏/俄
{'$oid': '5cc9323d831b973d657f19f2'},NULL,http://images.huanqiu.com/sarons/2013/08/04623606f2eb986951d4ee2e9722ac94.jpg,7.62毫米,狙击枪,NULL,沙科TRG狙击步枪,1992年,"
TRG是一款专用狙击步枪，机匣由锻造钢制成，重型枪管也经过冷轧处理，并装配消焰器和制退器。枪机和枪管安装在铝制机匣上，后者与合成材料制成的枪托和下护手相连。制退器可更换为消声器。枪托可根据射击者左右手习惯进行调整。TRG21的口径为7.62毫米；而TRG41发射0.308英寸拉普阿马格努姆枪弹，其枪管长690毫米，弹匣容弹量为5发。
",4.7千克,800米,1150毫米,沙科有限公司,10发,枪械与单兵,NULL,NULL,芬兰
{'$oid': '5cc9323d831b973d657f19f3'},NULL,http://images.huanqiu.com/sarons/2013/08/261f9f3f63f43a43a32265770ca7ee39.jpg,7.62毫米,狙击枪,NULL,托卡M65-A308狙击步枪,1985年-1989年,,5.2千克,NULL,1210毫米,NULL,10发,枪械与单兵,NULL,NULL,芬兰
{'$oid': '5cc9323d831b973d657f19f4'},NULL,http://images.huanqiu.com/sarons/2013/08/938e2f41eaa5c875f8cf0b3b31c53892.jpg,12.7毫米,狙击枪,NULL,PG M赫式忒Ⅱ步枪,1988年,"
PGM公司以生产运动步枪而闻名于世，PGM赫式忒Ⅱ步枪是法国军队的现役重型狙击步枪，20世纪80年代末，该公司研制了一系列狙击步枪，被法国和其他欧洲国家的警察部队广泛使用。“赫式忒”步枪是Intervention阻击步枪的放大型，它采用传统的枪机回转后拉式。木制枪托和腮垫在搬运时可以拆下，下面有一只撑架，机匣下安装了两脚架和手枪握把。枪口制退器可很大程度上减少后坐力，也可将其更换为消声器。该枪装备法国陆军，在比利时称为FNEHRSTAL。
",13.5千克,1800米,1380毫米,法国PGM精密仪器公司,7发,枪械与单兵,NULL,NULL,法国
{'$oid': '5cc9323d831b973d657f19f5'},NULL,,7.62毫米,狙击枪,NULL,赫克勒-科赫MSG90自动步枪,1987年,"
德国MSG90自动步枪，简称MSG-90，是一款军用狙击步枪，实际上是一种质量更轻、价格更低的PSG-1，是PSG-1的升级版本，更加适合移动作战。MSG90的基本结构与PSG-1相同，但使用了加厚的重型枪管，所以全枪重量比较大。该枪是德国赫克勒－科赫有限公司按军用标准设计、于1987年推出的，目前正在生产。
",6.4千克,1000米,1165毫米,德国赫克勒-科赫有限公司,20发,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc9323d831b973d657f19f6'},NULL,http://images.huanqiu.com/sarons/2013/08/433c17db17b5fdbc4c4c72c10a3c80d0.jpg,12.7毫米,狙击枪,123,杰帕德M2／M2A1自动步枪,1994年,"
杰帕德（Gepard）是由匈牙利研制的一系列大口径重型狙击步枪。这里所提到的杰帕德M2步枪外形和M1类似，但它是一款采用长后坐系统的半自动步枪。M2A1是M2的短枪管型，旨在装备需要更紧凑武器的空降兵和特种部队。
",12千克,2000米,1570毫米,匈牙利杰帕德公司,10发,枪械与单兵,半自动步枪,NULL,匈牙利
{'$oid': '5cc9323d831b973d657f19f7'},NULL,http://images.huanqiu.com/sarons/2013/07/10d999a2a57e52405ddebc63facda1dd.jpg,7.62毫米,狙击枪,NULL,FN 30-11狙击步枪,1978年-1986年,,4.9千克,600米,1117毫米,比利时国营赫斯塔尔公司,10发,枪械与单兵,非自动枪支,NULL,比利时
{'$oid': '5cc9323d831b973d657f19f8'},NULL,http://images.huanqiu.com/sarons/2013/08/05dabebc1ae8403e079185715337ca85.jpg,7.62毫米,狙击枪,NULL,赫克勒-科赫PSG -1自动步枪, 1975年,赫克勒-科赫PSG-1是德国在G3系列突击步枪的基础上，以同时对付多名恐怖分子为目的而改进设计的狙击步枪，它号称是全世界最准确的半自动步枪，同时也是最昂贵的枪。,8.1千克,1000米,1208毫米,德国赫克勒-科赫公司（HK）,20发,枪械与单兵,半自动步枪,NULL,德国
{'$oid': '5cc9323d831b973d657f19f9'},NULL,http://images.huanqiu.com/sarons/2013/08/cd44f9ac6903b0ea699d4de48406da6d.jpg,7.62毫米,狙击枪,NULL,SR-99狙击步枪,1999年,"
新式半自动狙击步枪SR-99由以色列军事工业公司(IMI)在2000年11月23日公诸于众。该步枪设计以狙击兵战斗环境的独特操作需求为中心，能够迅速进入到开火装置，具有瞄准连续开火能力。
",5.1千克,800米,1120毫米,以色列军事工业（IMI）,25发,枪械与单兵,半自动步枪,NULL,以色列
{'$oid': '5cc9323d831b973d657f19fa'},NULL,,14.5毫米,狙击枪,NULL,杰帕德M3自动步枪,1995年,杰帕德M3自动步枪是杰帕德M2的增大型，但增加了液压气动后坐缓冲系统和更有效的膛口制退器以吸收部分射击振动。,20千克,914米,1880毫米,匈牙利杰帕徳公司,10发,枪械与单兵,自动步枪,NULL,匈牙利
