_id,运载火箭,图片,发射地点,类型,经度,名称,简介,中心直径,首次轨道发射,轨道,纬度,制造商,大类,产国,发射日期,长度
{'$oid': '5cc933cd831b973d657f232f'},M-V-7运载火箭,http://images.huanqiu.com/sarons/2013/11/f2c14391c617e8cabea6a4d87f9af9ee.jpg,日本，鹿儿岛，内之浦航天中心,科学卫星,NULL,日出（Hinode，Solar-B）太阳观测卫星,,NULL,NULL,674公里×695公里(420英里×435英里)，轨道倾角98.1°(太阳同步轨道),NULL,三菱电机株式会社,太空装备,美国,2009年9月23日,NULL
{'$oid': '5cc933ce831b973d657f2330'},丘比特c／朱诺1号,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,探索者1号（Explorer）地球轨道卫星,,NULL,NULL,360×2532公里(223×1572英里)，倾角33.3°,NULL,喷气推进实验室,太空装备,美国,1958年1月31日,NULL
{'$oid': '5cc933ce831b973d657f2331'},“发现者”号航天飞机(STS-31),http://images.huanqiu.com/sarons/2013/11/3206c1e1f94e7f5caab52f485a8f4751.jpg,佛罗里达，肯尼迪航天中心,科学卫星,NULL,哈勃太空望远镜,"
哈勃空间望远镜（Hubble Space Telescope，缩写为HST），是以天文学家爱德温·哈勃（Edwin Powell Hubble）为名，在轨道上环绕着地球的望远镜。它的位置在地球的大气层之上，因此获得了地基望远镜所没有的好处-影像不会受到大气湍流的扰动，视相度绝佳又没有大气散射造成的背景光，还能观测会被臭氧层吸收的紫外线。于1990年发射之后，已经成为天文史上最重要的仪器。它已经填补了地面观测的缺口，帮助天文学家解决了许多根本上的问题，对天文物理有更多的认识。哈勃的哈勃超深空视场是天文学家曾获得的最深入（最敏锐的）的光学影像。
",4.3米,1990年4月25日,613千米×620千米(381英里×385英里)，倾角28.5°,NULL,洛克希德公司,太空装备,美国,1990年4月25日,13.3米
{'$oid': '5cc933ce831b973d657f2332'},Ariane 44LP,http://images.huanqiu.com/sarons/2013/11/0db611235a94de044f6d709f31b330cc.jpg,法属圭亚那，库鲁,科学卫星,西经52度39分18.09秒,Hipparcos (欧洲航天局) ,"
Hipparcos卫星是有史以来第一次空间天体测量任务，致力于星体位置、距离和特有运动的精确测量。这颗卫星是在地球静止轨道运行的，但是由于固体燃料推进发动机点火失败，它被困在了椭圆形转移轨道。它不得不重复地穿越范阿伦辐射带，忍受重复出现的屏蔽期。它的工作时间还是一直延续到1993年8月，超出了最初的设计寿命。
",NULL,NULL,NULL,北纬5度9分34.92秒,英国宇航公司,太空装备,英国,NULL,NULL
{'$oid': '5cc933ce831b973d657f2333'},阿特拉斯—半人马座,,佛罗里达州，卡纳维拉尔角,科学卫星,80°37',金星先锋1号,"
“金星先锋1号”是一个分两部分进行的金星探测计划的一部分。它的任务是考察金星上厚重的云层和高层大气，并制作被云层所遮蔽的金星表面的第一张地图。1978年12月4日，在发射升空6个月之后，卫星进入了环绕金星的椭圆形高轨道。
",NULL,NULL,150公里×66889公里(93英里×41564英里)，倾角105°。,28°24',NULL,太空装备,美国,1978年5月20日,NULL
{'$oid': '5cc933ce831b973d657f2334'},德尔塔A 5920,,加利福尼亚州，范登堡,科学卫星,西经120度31分2.37秒,宇宙背景探测器（COBE）,"
宇宙背景探测器是以提供高精度的早期宇宙漫射辐射测量而开发的。它装备了三套设备-一套用来寻找宇宙红外线背景辐射，一套用来绘制各种不同的宇宙微波辐射，还有一套用来将背景辐射的光谱与精确的黑体(能吸收全部入射辐射的理论上的理想物体)进行比较。
",NULL,NULL,900公里（559英里，）倾角99°,北纬34度44分57.34秒 ,NASA戈达德航天飞行中心,太空装备,美国,1989年11月18日,NULL
{'$oid': '5cc933cf831b973d657f2335'},阿特拉斯II-AS,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,SOHO太阳／太阳风观测卫星,,NULL,NULL,L1平衡点晕轨道,NULL,EADS阿斯特厄姆公司,太空装备,美国,1995年12月2日,NULL
{'$oid': '5cc933cf831b973d657f2336'},联盟-Fregat(2),,拜科努尔，哈萨克斯坦,科学卫星,NULL,Cluster Ⅱ卫星,"
1996年，最初的Cluster任务随着“阿丽亚娜5号”运载火箭的发射失败而失败了。后来，4颗同样规格的ClusterII飞行器两个一对分两次发射，发射时间相隔1个月。它们被送到240公里×18000公里(149英里×11185英里)的停泊轨道，然后再通过机动进入它们的操作轨道。
",NULL,NULL,NULL,NULL,多尼尔卫星系统公司,太空装备,德国,2000年7月16日（FM7，FM6）；2000年8月9日（FM5，FM8）,NULL
{'$oid': '5cc933cf831b973d657f2337'},德尔塔3910,http://images.huanqiu.com/sarons/2013/11/5a13c7fe9189af66fa56d7daa1ca6c02.jpg,加利福尼亚州，范登堡,科学卫星,西经120度31分2.37秒,红外线天文卫星,"
红外线天文卫星 (IRAS)是在太空中的天文台，以红外线巡天，执行勘查整个天空的任务。红外线天文卫星是美国的NASA、荷兰的NIVR与英国的SERC联合执行的计划，于1983年1月25日发射升空，任务执行了10个月之久。
",0.57米,NULL,太阳同步轨道,北纬34度44分57.34秒,荷兰航空航天学会,太空装备,美国,1983年1月25日,NULL
{'$oid': '5cc933cf831b973d657f2338'},阿特拉斯—阿金纳B,http://images.huanqiu.com/sarons/2013/11/463ff60f77a87bc906b739b328afd1e5.jpg,佛罗里达州，卡纳维拉尔角,科学卫星,28°35'11.35N,流浪者7号 飞行器,"
美国流浪者7（Rangeer7）号由喷气推进实验室制造。于1964年7月28日在佛罗里达州，卡纳维拉尔角发射。其
",NULL,NULL,逃逸轨道 ,80°39'6.68W,喷气推进实验室,太空装备,美国,1964.年7月28日,NULL
