翼展,_id,图片,类型,名称,弹长,简介,弹重,研发单位,引信,大类,弹径,制导系统,最大速度,射程,研制时间,产国
2.4米,{'$oid': '5cc933a4831b973d657f226e'},,空舰导弹,鹰击601（C-601）反舰导弹,7.36米,"
国内称YJ-61（鹰击-61），北约代号""Kraken""。鹰击601（C-601）导弹可分为四大部分，即弹体、弹翼与尾翼，战斗部与引信组合，制导与控制系统，动力系统。导弹外形像小飞机，每一尾翼后缘都有一个操纵舵。对目标的捕捉率为98％，命中概率为90％以上。
",2440千克,NULL,NULL,导弹武器,0.76米,最大动力航程150公里,NULL,110千米,1970年,中国
NULL,{'$oid': '5cc933a4831b973d657f226f'},,空舰导弹,C-704KD空射反舰导弹,NULL,,NULL,中国航天科技集团,NULL,导弹武器,NULL,NULL,NULL,NULL,NULL,中国
1.3米,{'$oid': '5cc933a4831b973d657f2270'},,空舰导弹,Kh-59空地导弹,5.7米,,960千克,俄罗斯拉杜加设计局,NULL,导弹武器,0.38米,NULL,NULL,115千米,未知,苏/俄
NULL,{'$oid': '5cc933a4831b973d657f2271'},,空舰导弹,天龙10B(TL-10B)空舰导弹,2.5米,,105千克,洪都集团,NULL,导弹武器,0.18米,NULL,NULL,18千米,NULL,中国
NULL,{'$oid': '5cc933a4831b973d657f2272'},http://images.huanqiu.com/sarons/2013/11/e7b843a4d1f52ee3242e71ad99200391.jpg,空舰导弹,80式空舰导弹（ASM-1）,4米,,600千克,三菱重工业公司研制 ,NULL,导弹武器,0.35米,NULL,NULL,50千米,1972年,日本
0.4米,{'$oid': '5cc933a4831b973d657f2273'},,空舰导弹,鹰击-81空射型导弹,5.814米,,815千克,NULL,NULL,导弹武器,NULL,自控加自导,NULL,50千米,1976年,中国
1.19米,{'$oid': '5cc933a5831b973d657f2274'},,空舰导弹,91式空对舰导弹（ASM-1C）,3.98米,,510千克,三菱重工,NULL,导弹武器,0.35米,NULL,NULL,65千米,1986年,日本
1.19米,{'$oid': '5cc933a5831b973d657f2275'},http://images.huanqiu.com/sarons/2013/11/b444d72e3cda13f5a1be10a59f8e8d3c.jpg,空舰导弹,93式空对舰导弹（ASM-2）,4米,"
从1992年开始，日本航空自卫队使用了F-4EJ和T-2／F-1战机，分挂载飞行和实弹发射两个阶段进行了10枚导弹的试验。试验结果表明ASM-2空舰导弹在各个方面都达到了航空自卫队的要求。1993年，ASM-2完成定型试验，并进行小批量生产，当年航空自卫队就订购了25枚。1995年，ASM-2空舰导弹正式装备航空和海上自卫队，亦称“93式”空射反舰导弹。
",530千克,防卫厅技术研究本部,NULL,导弹武器,0.35米,NULL,1150千米/小时,170千米,1989年,日本
NULL,{'$oid': '5cc933a5831b973d657f2276'},http://images.huanqiu.com/sarons/2013/11/80f102358127d78823fec9519a175019.jpg,空舰导弹,CM-400AKG导弹,5.165米,,2000千克,中国航天科工集团,NULL,导弹武器,0.4米,NULL,1102.5千米/小时,240千米,NULL,中国
2.4米,{'$oid': '5cc933a5831b973d657f2277'},,空舰导弹,鹰击-61(YJ-6/C-611)空舰导弹,7.36米,,510千克,三、四、五机部、八机部总局和海军所属近60个单位,NULL,导弹武器,0.76米,液体火箭发动机,306千米/小时,200千米,1977年,中国
