_id,图片,口径,炮口初速,类型,名称,总重,简介,研发单位,全长,型号,最大射程,大类,炮管长度,编辑评分,产国,研发时间
{'$oid': '5cc93352831b973d657f208c'},,122毫米,NULL,自行火炮,PLZ89式122毫米自行榴弹炮,20000千克,,NULL,NULL,NULL,22000米,火炮,3660毫米,NULL,中国,20世纪80年代末
{'$oid': '5cc93353831b973d657f208d'},,203毫米,933米/秒,自行火炮,W90式203毫米自行榴弹炮,16396千克,,北方工业公司,NULL,NULL,40000米,火炮,9135毫米,NULL,中国,1985年
{'$oid': '5cc93353831b973d657f208e'},http://images.huanqiu.com/sarons/2014/03/12d7a5cce1116518651a9c6f1fc41c34.jpg,152毫米,670米/秒,自行火炮,2S3式加榴炮,27500千克,"
2S3式加榴炮是前苏联于20世纪60年代末研制的一种152mm自行加榴炮。装有炮口制退器和抽烟装置，由机械装填机装填弹药，车体封闭，三防能力强，可空运。
",NULL,NULL,榴弹,18500米,火炮,635毫米,(4.8分),苏/俄,20世纪60年代末
{'$oid': '5cc93353831b973d657f208f'},,105毫米,NULL,自行火炮,105毫米6X6轮式装甲突击炮,18000千克,,NULL,NULL,12.7毫米枪弹,5000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93353831b973d657f2090'},http://images.huanqiu.com/sarons/2013/11/15acd144e90e96189143c106d7854c2d.jpg,37毫米,1000米/秒,自行火炮,PGZ-88式双管37毫米自行高炮,35000千克,,NULL,NULL,杀伤爆破榴弹,8500米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93353831b973d657f2091'},http://images.huanqiu.com/sarons/2013/11/d57e1b40e103bb67d4a96137e3b8df08.jpg,30毫米,NULL,自行火炮,“飞虎”30毫米自行高炮 ,25000千克,"
“飞虎”（Flying Tiger；Biho）双管30毫米自行高炮是韩国自行研制的自行防空火炮。主要担负韩陆军低空防御任务。
",韩国大宇重工(现属于斗山集团),NULL,NULL,3000米,火炮,NULL,NULL,韩国,1983年
{'$oid': '5cc93353831b973d657f2092'},,155毫米,NULL,自行火炮,PLZ45式155毫米自行加榴炮,32000千克,,哈尔滨第一机械厂,NULL,NULL,24000米,火炮,6200毫米,NULL,中国,20世纪80年代
{'$oid': '5cc93354831b973d657f2093'},,100毫米,900米/秒,自行火炮,中国59式100毫米高射炮,9550千克,"
59式100毫米高射炮，系苏联KC-19M2式100毫米高射炮的仿制改进产品。用于对付高度在12000米以下的空中目标，也可对地面和水上目标进行射击。
",NULL,NULL,NULL,21000米,火炮,5350毫米,NULL,中国,1958年
{'$oid': '5cc93354831b973d657f2094'},,120毫米,NULL,自行火炮,PLL05式120毫米自行迫榴炮,16500千克,,北方工业公司,NULL,高爆榴弹,9500米,火炮,5400毫米,NULL,中国,NULL
{'$oid': '5cc93354831b973d657f2095'},,130毫米,930米/秒,自行火炮,59-1式130毫米自行加农炮,1800千克,"
59-1式130毫米自行加农炮是在59-1式130毫米加农炮的炮架前加装辅助推进装置组成，主要供外贸出口用。该辅助推进装置主要由一个中等功率的发动机和液压传动系统组成。具有传动效率高、重量轻、体积小、运转可靠、操作维修方便、适用于多种重型火炮等特点。
",NULL,NULL,NULL,38000米,火炮,NULL,NULL,中国,1970年
{'$oid': '5cc93354831b973d657f2096'},,152.4毫米,655米/秒,自行火炮,83式152毫米自行加榴炮,29500千克,这种自行加榴炮由火炮、炮塔和履带式底盘组成。火炮通过耳轴安装在炮塔上，炮塔则通过座圈与车体相连接。其主要用途是：以不间断的火力支援摩托化步兵和装甲兵的战斗行动；压制和歼灭敌有生力量及火器，破坏敌野战防御工事；与敌炮兵、坦克和装甲车辆作战。,中国北方工业总公司,NULL,分装式杀伤爆破榴弹,17200米,火炮,NULL,NULL,中国,1981年
{'$oid': '5cc93354831b973d657f2097'},,120毫米,1740米/秒,自行火炮,PTZ89式120毫米自行反坦克炮,30000千克,,NULL,8.6毫米,NULL,5000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93354831b973d657f2098'},http://images.huanqiu.com/sarons/2013/11/66539f79f492a36fc7994caeb0995104.jpg,155毫米,930米/秒,自行火炮,PLZ式05自行榴弹炮,45000千克,,NULL,NULL,底凹榴弹 ,50000米,火炮,8370毫米,NULL,中国,1996年
{'$oid': '5cc93355831b973d657f2099'},,57毫米,NULL,自行火炮,80式57毫米自行高炮,30000千克,,NULL,8408毫米,NULL,6000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93355831b973d657f209a'},http://images.huanqiu.com/sarons/2013/11/daeda4ef0cd1292bbbf1cb049eaf6097.jpg,155毫米,NULL,自行火炮,BHIM式榴弹炮,54000千克,,印度国营地面车辆(Bharat Earth Movers)公司,NULL,NULL,520000米,火炮,NULL,NULL,印度,1999年
{'$oid': '5cc93355831b973d657f209b'},,105毫米,NULL,自行火炮,105毫米8×8轮式自行突击炮,20000千克,,NULL,NULL,12.7毫米枪弹,5000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93355831b973d657f209c'},http://images.huanqiu.com/sarons/2013/11/69780bb7dbfe93e09a6e3e4efbc46177.jpg,30毫米,NULL,自行火炮,法国AMX13式高射炮,15200千克,,NULL,NULL,穿甲弹,10200米,火炮,NULL,NULL,法国,NULL
{'$oid': '5cc93355831b973d657f209d'},,155毫米,720米/秒,自行火炮,75式榴弹炮,25300千克,,日本制钢公司和三菱重工,7.79毫米,NULL,18500米,火炮,NULL,NULL,日本,1969年
{'$oid': '5cc93356831b973d657f209e'},,105毫米,NULL,自行火炮,“阿伯特”榴弹炮,16570千克,"
“阿伯特”榴弹炮是英国于1967年装备的一种105mm自行榴弹炮。该型榴弹炮战斗全重16570kg，发射榴弹时最大射程17km，最大射速12发/min。最大时速47.5km/h，最大公路行程389.3km。
",NULL,5709毫米,NULL,17000米,火炮,NULL,NULL,英国,1967年
{'$oid': '5cc93356831b973d657f209f'},http://images.huanqiu.com/sarons/2013/11/b8d91e749c1cd338da0c55b5547c4e98.jpg,120毫米,NULL,自行火炮,96式迫击炮,23500千克,,日立制作所,6.7毫米,NULL,8100米,火炮,NULL,NULL,日本,1993年
{'$oid': '5cc93356831b973d657f20a0'},http://images.huanqiu.com/sarons/2013/11/40632d77cfab07fbb5d0c8a8c3871eb3.jpg,105毫米,NULL,自行火炮,74式榴弹炮,16500千克,,小松制作所,5900毫米,NULL,11200米,火炮,NULL,NULL,日本,1964年
