_id,经度,图片,发射地点,类型,运载火箭,名称,处理器,简介,首次轨道发射,纬度,大类,制造商,产国,发射日期
{'$oid': '5cc933c0831b973d657f22f5'},东经167.73°,http://images.huanqiu.com/sarons/2013/11/afe355761685be13c74fc4f7527ec28c.jpg,奥麦利克的小岛,航天基地,NULL,卡瓦佳林（kawajalsin）发射场,NULL,"
卡瓦佳林环礁属于非洲南部的马绍尔群岛共和国。它的位置在夏威夷西南方3380公里(2100英里)和关岛东面2250公里(1400英里)的地方，它是美国唯一的赤道发射设施所在地。卡瓦佳林发射场也被称为“罗纳德·里根弹道导弹防御试验场”(简称“里根试验场”)，由美国陆军长期租用并管理。
",NULL,北纬9.28°,太空装备,NULL,美国,NULL
{'$oid': '5cc933c0831b973d657f22f6'},东经52.8°,http://images.huanqiu.com/sarons/2013/11/6c3806df3ec505202accbf366e8c8fe4.jpg,法属圭亚那的库鲁,航天基地, “欧罗巴2号​, “欧罗巴2号运载火箭的综合发射设施（ELA-1）,NULL,,NULL,北纬5.2°,太空装备,欧洲运载火箭研制组织 ,英国,1971年11月5日
{'$oid': '5cc933c0831b973d657f22f7'},东经80.2°,,印度南部海滨城市安得拉邦的东部海岸线上,航天基地,NULL,达万航天中心,固体火箭推进剂处理设施,,NULL,北纬13.7°,太空装备,印度空间研究组织,印度,1971年10月
{'$oid': '5cc933c0831b973d657f22f8'},东经l28.3°,,斯沃博德内18,航天基地,“天箭号”、“呼啸号”和“安加拉”,斯沃博德内航天中心,NULL,,NULL,北纬51.4°,太空装备,NULL,苏/俄,NULL
{'$oid': '5cc933c0831b973d657f22f9'},东经52.8°,,法属圭亚那中部的库鲁地区,航天基地,“钻石号“运载火箭,库鲁发射场（Centre Spatia1Guyanais，圭亚那太空中心）,NULL,,1970年3月,北纬5.2°,太空装备,NULL,法国,1968年4月
{'$oid': '5cc933c1831b973d657f22fa'},东经131.1°,http://images.huanqiu.com/sarons/2013/11/e7f126318137ccc6cfae8a2d179bc3d1.jpg,大隅半岛东部海岸的丘陵地带,航天基地,NULL,内之浦（Uchinoura）航天中心,NULL,,NULL,北纬31.2°,太空装备,NULL,日本,NULL
{'$oid': '5cc933c1831b973d657f22fb'},西经152.33°,,NULL,航天基地,NULL,阿拉斯加航天基地 ,NULL,"
阿拉斯加航天基地(科迪亚克航天发射场)坐落在科迪亚克岛的窄角，占地15平方公里(5.8平方英里)。该岛为海洋中的一个石灰岩尖角，遍布丘陵，几乎寸草不生，距离阿拉斯加南部海岸48.2公里。这个岛的位置被认为是全球进行极轨道发射最好的位置之一，它提供了广阔的方位角和太平洋上空沿着火箭发射方向畅通无阻的飞行路线，能够避免经过居民区。
",NULL,北纬57.43°,太空装备,阿拉斯加州议会,美国,NULL
{'$oid': '5cc933c1831b973d657f22fc'},东经40.3°,http://images.huanqiu.com/sarons/2013/11/60a4c7d49bc553102fdb4d9887b1966d.jpg,Emtsa河以北方大量湖泊中相对平坦的西伯利亚针叶林地带,航天基地,“东方2号”,普列谢茨克航天发射基地（Plesetsk）,NULL,,NULL,北纬62.7°,太空装备,NULL,苏/俄,NULL
{'$oid': '5cc933c1831b973d657f22fd'},西经154度,http://images.huanqiu.com/sarons/2013/11/194fc485483e93d152ba0a552656d418.jpg,美国加利福尼亚州州长长滩的母港,航天基地,“天顶号”,奥德赛海上发射平台,NULL,,NULL,北纬0°,太空装备,美国、俄罗斯、乌克兰和挪威4个国家联合参股组建的公司,美国,1999年3月27日
{'$oid': '5cc933c1831b973d657f22fe'},西经107°,http://images.huanqiu.com/sarons/2013/11/dd5b4f12c7275e2b9a51dce9621eae82.jpg,阿哈姆,航天基地,NULL,美国太空港（Spaceport America，原名西南部太空港）,NULL,,NULL,北纬33°,太空装备,维珍银河公司与新墨西哥州联合投资,美国,2006年9月25日
{'$oid': '5cc933c1831b973d657f22ff'},东经131.0°,http://images.huanqiu.com/sarons/2013/11/48ea64afc69f1f36f30473991acc94e8.jpg,种子岛的东南角，在九州南部海岸线外50公里（31.1英里），东京西面1050公里（650英里）,航天基地,NULL,种子岛航天中心,NULL,,1975年9月9日,北纬30.4°,太空装备,日本,日本,NULL
