_id,图片,口径,炮口初速,类型,名称,总重,简介,研发单位,全长,型号,最大射程,大类,炮管长度,产国,研发时间
{'$oid': '5cc93347831b973d657f204c'},,NULL,NULL,航空炮,CEM-1系列通用武器吊舱,NULL,"
该系列吊舱由法国原马塞尔·达索-布雷盖飞机制造公司、现达索飞机制造公司研制。分为训练型和作战型两类，也可用于其他作战飞机。该吊舱已投产、服役。
",马塞尔·达索-布雷盖飞机制造公司,NULL,NULL,NULL,火炮,NULL,法国,NULL
{'$oid': '5cc93347831b973d657f204d'},http://images.huanqiu.com/sarons/2014/04/7e0f8cf155f4ca0f2927de69798a652e.jpg,20毫米,1030米/秒,航空炮,M197航空机炮,66千克,"
该炮是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，于1967年在“火神”6管 M61A1炮基础上发展的3管轻型炮，专门用于武装直升机和轻型固定翼飞机。1969年10月投产，到1987年生产数目超过1700，1993年仍在生产。
",美国通用电气公司,NULL,M50标准系列电发火炮弹,NULL,火炮,1892毫米,美国,1967年
{'$oid': '5cc93348831b973d657f204e'},http://images.huanqiu.com/sarons/2014/03/2aede0ae86dcf567c115ee1c3df3f809.jpg,12.7毫米,884米/秒,航空炮,GAU-19/A(GECAL50)12.7mm航空机枪,29.9千克,"
该枪是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，为了装备新研制的V-22“鱼鹰”倾转旋翼飞机，于1982年在“米尼冈”GAU-2A/M134航空机枪基础上发展的12.7mm口径3管/6管航空机枪，装备美国陆、海、空三军的武装直升机和轻型固定翼飞机，用于空空、空地、地空攻击。基本型为GAU-19/A(GECAL50)3管航空机枪，改进型为GAU-19/A(GECAL50)6管航空机枪。
",美国通用电气公司,NULL,北约组织的12.7mm标准弹药,NULL,火炮,1384毫米,美国,1982年
{'$oid': '5cc93348831b973d657f204f'},,NULL,NULL,航空炮,GAU-8A航炮,NULL,,NULL,NULL,NULL,NULL,火炮,NULL,美国,NULL
{'$oid': '5cc93348831b973d657f2050'},,30毫米,30米/秒,航空炮,奥利康（Oerlikon）KCA型航空机炮,136千克,"
奥利康（Oerlikon）KCA型航空机炮是瑞士原奥利康-比尔公司、现奥利康-康特拉夫斯公司(Oerlikon-Contraves)在第二次世界大战后研制的“奥利康”302RK/304RK型航空机炮的基础上，发展的新型航空机炮。目前，该炮已经停止生产，但仍在瑞典皇家空军服役。
",奥利康-比尔公司机床厂,NULL,30mm口径标准弹药,2000米,火炮,2691毫米,瑞士,第二次世界大战后
{'$oid': '5cc93348831b973d657f2051'},,NULL,NULL,航空炮,ADEN机炮吊舱,364千克,"
该吊舱是由瑞典FFV航空技术公司为为战斗机、攻击机研制的通用机炮吊舱，既可用于空战、也可用于对地攻击。为利于外销出口，该吊舱按北约组织通用的MIL-A-8591E设计规范进行设计，既采用符合北约组织355.6和762mm标准间距的双吊耳，也采用道格拉斯T形吊耳，适用于带北约组织标准挂架的各型战术攻击飞机。
",NULL,3150毫米,NULL,NULL,火炮,NULL,瑞典,NULL
{'$oid': '5cc93348831b973d657f2052'},,12.7毫米,1250米/秒,航空炮,特龙德(Tround)12.7mm机枪,54千克,"
该炮是美国的特龙德国际公司于80年代开始研制的、采用“特龙德”原理的新型航空机枪。该原理由大卫达迪克(David Dardick)在60年代初发明，并在其设计的手枪中首次应用，但未能投产使用。该手枪采用的子弹形状独特，不是传统的圆形截面弹药，而是三角形截面弹药(Triangular-section round,Tround)，故称之为“特龙德”弹药，系三角形截面弹药的英文缩写(Tround)的音译。

1986年特龙德国际公司研制出采用外部动力驱动的12.7mm口径单管航空机枪，在美国加州中国湖海军航空试验中心进行首次试射，目前仍在研制之中，拟装备美国海军的武装直升机，并在此基础上，进一步研制“特龙德”20mm口径航空机炮，拟装备美国海军的F/A-18B攻击机。
",美国特龙德国际公司,NULL,12.7mm“特龙德”弹药,NULL,火炮,NULL,美国,20世纪80年代
{'$oid': '5cc93348831b973d657f2053'},,25毫米,1525米/秒,航空炮,阿格特(AGT)航空机炮,102千克,"
该炮是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，于1984年根据美国空军的“先进机炮技术”(Advanced Gun Technology,AGT)计划，在同ARES公司竟争并中标之后开始研制的新型航空机炮。其名称“阿格特”，系空军该项计划的英文缩写(AGT)的音译。
",美国通用电气公司,NULL,CTA弹药,NULL,火炮,2350毫米,美国,1984年
{'$oid': '5cc93349831b973d657f2054'},,25毫米,1050米/秒,航空炮,25mm阿顿（ADEN）航空机炮,92千克,"
25mm阿顿（ADEN）航空机炮是由原皇家轻武器工厂、现为英国宇航皇家军械公司，于80年代初研制的新一代航空机炮。1980年开始大量发射实验，1985年开始生产机炮。
",皇家轻武器工厂,NULL,25mm口径北约标准弹药,NULL,火炮,2470毫米,英国,80年代初
{'$oid': '5cc93349831b973d657f2055'},,小口径炮,NULL,航空炮,SUU-16/A 火神 机炮吊舱,780千克,,美国通用电器公司,NULL,炮弹重/备弹量250克/1200发,NULL,火炮,5050毫米,美国,NULL
{'$oid': '5cc93349831b973d657f2056'},http://images.huanqiu.com/sarons/2014/03/e8f692ad7b7acbef42c8b985a5e806af.jpg,小口径炮,NULL,航空炮,SUU-23/A 火神 机炮吊舱,780千克,,美国通用电气公司,NULL,炮弹重/备弹量250克/1200发,NULL,火炮,5050毫米,美国,NULL
{'$oid': '5cc93349831b973d657f2057'},,NULL,NULL,航空炮,UTMG通用双机枪吊舱,86.2千克,"
该机枪吊舱是由英国原皇家航空航天研究院、现国防鉴定与研究局根据国防部WE286号要求，80年代末为英国皇家海/空军研制的，配用2挺比利时的FN7.62mm口径机枪的、通用型机枪吊舱。该机枪吊舱装备智利。塞浦路斯和印度等国的直升机和轻型固定翼作战飞机，但英国海/空军是否装备，还一直未见报道。
",皇家航空航天研究院，扑茨茅斯航空公司,NULL,NULL,NULL,火炮,1845毫米,英国,80年代末
{'$oid': '5cc93349831b973d657f2058'},,154毫米,NULL,航空炮,HMP/MRL70组合式吊舱,182千克,"
该吊舱是由比利时的FN赫斯特尔公司为使通用飞机、教练机以及直升机获得对地攻击能力而研制的重型通用机枪/火箭吊舱。该吊舱的HMP吊舱部分，于70年代开始研制，1984年投产，随后服役，并大量出口。
",FN赫斯特尔公司,1720毫米,NULL,NULL,火炮,NULL,比利时,70年代
{'$oid': '5cc9334a831b973d657f2059'},http://images.huanqiu.com/sarons/2014/03/78f3922ca736ed0c86c10fe3b30a780a.jpg,30毫米,820米/秒,航空炮,30mm德发（DEFA）航空机炮,85千克,"
30mm德发（DEFA）航空机炮是在第二次世界大战结束后，由法国原军械研制局、现法国武器工业集团，在缴获的法西期德国1944年设计的“毛塞”MG-213C转膛炮基础上研制的。其名称“德发”，系法国军械研制局的法文缩写(DEFA)的音译。研制工作于40年代末开始，1951年其预生产型进入现役，1953年，研制出第一个改进型“德发”551，1954年进一步改进，投入生产后将其编号为“德发”552，1971年，研制出改进型“德发”552A。该系列机炮除广泛装备法国陆、海、空三军外，还大量外销出口，装备25个国家武装部队使用。
",军械研制局,NULL,30mm口径标准弹药,NULL,火炮,2012毫米,法国,第二次世界大战结束后
{'$oid': '5cc9334a831b973d657f205a'},http://images.huanqiu.com/sarons/2014/03/bb3dc641c4aeb01f726a1c44530c443a.jpg,小口径炮,NULL,航空炮,СППУ(SPPU)-6 机炮吊舱,525千克,,全俄防务出口总公司（VOGED),NULL,备弹量500发,NULL,火炮,5000毫米,苏/俄,NULL
{'$oid': '5cc9334a831b973d657f205b'},,7.62毫米,862米/秒,航空炮,EX-34链式(Chain)航空机枪,13.2千克,"
EX-34式7.62mm机枪是链式枪炮系列中口径最小的，主要装在装甲车或直升机上作同轴武器使用。该枪目前已经准备装在英国主战坦克和所有未来战斗车辆上，也装在HGS－55式直升机上。此外，加拿大、肯尼亚和哥伦比亚也有少量装备。
",美国休斯直升机公司,NULL,北约组织7.62mm标准弹药,900米,火炮,889毫米,美国,NULL
{'$oid': '5cc9334a831b973d657f205c'},,NULL,NULL,航空炮,SUU-11B/A米尼冈 机枪吊舱,147千克,,美国通用电器公司,NULL,枪弹重/备弹量375克/1000发,NULL,火炮,2159毫米,美国,60年代
{'$oid': '5cc9334a831b973d657f205d'},,23毫米,680米/秒,航空炮,23mm 23-1/2型 航空机炮,39千克,,中国昆仑机械厂,NULL,23毫米标准弹药,NULL,火炮,NULL,中国,NULL
{'$oid': '5cc9334a831b973d657f205e'},,23毫米,820米/秒,航空炮,23mm 623型 航空机炮,115千克,,中国昆仑机械厂,NULL,23毫米标准弹药,NULL,火炮,NULL,中国,NULL
{'$oid': '5cc9334a831b973d657f205f'},,20毫米,1100米/秒,航空炮,MK20Rh202航空机炮,75千克,"
MK20Rh202航空机炮是联邦德国在第二次世界大战后研制成功的轻型机炮，由莱因金属公司为主承包商，主要是为前联邦德国的陆军和海军研制，已生产8000门，大量用作陆军的防空和车载武器以及海军的舰载武器。80年代中期，为装备联邦德国的BO105武装直升机，研制HBS202刚性炮架，用于安装MK20Rh202机炮，现已进入BO105武装直升机服役。
",莱因金属公司,NULL,20mm口径北约标准弹药,NULL,火炮,NULL,德国,第二次世界大战后
{'$oid': '5cc9334b831b973d657f2060'},,30毫米,850米/秒,航空炮,ГШ-6-30航空机炮,150千克,,努德尔曼-卡拉什尼科夫机械制造设计局,NULL,杀伤燃烧曳光弹，穿甲燃烧弹,NULL,火炮,2040毫米,苏/俄,20世纪六七十年代
{'$oid': '5cc9334b831b973d657f2061'},,NULL,NULL,航空炮,MK4/MK5机炮吊舱,NULL,"
该机炮及其吊舱均由原皇家轻武器工厂、现英国宇航皇家军械部研制，有两种类型。通用吊舱适用于各种战斗机、攻击机。并大量出口。
",皇家轻武器工厂,NULL,NULL,NULL,火炮,NULL,英国,NULL
