_id,图片,类型,产国,名称,弹长,简介,研发单位,弹重,引信,大类,弹径,制导系统,最大速度,关注度,射程,研制时间,翼展
{'$oid': '5cc933ad831b973d657f2297'},http://images.huanqiu.com/sarons/2014/03/3a23cf7720827a70cfbafed088e70814.jpg,舰舰导弹,印度,“布拉莫斯”超声速反舰导弹,8.1米,,俄印合资公司,NULL,NULL,导弹武器,0.67米,惯性制导+主/被动雷达导引头,NULL,(4.9分),300千米,1995年12月,1.7米
{'$oid': '5cc933ad831b973d657f2298'},,舰舰导弹,中国,上游-2反舰导弹,6米,"
1975年12月，根据海军的要求，我国开始在“上游”-1的基础上研制固体燃料的“上游”-2舰舰导弹。从外形上看“上游”-2比“上游”-1在垂尾根部多出一对小翼面。“上游‘-2可以与“上游”-1／“上游”-1甲通用发射平台，这意味着中国海军大量早期建造的导弹艇与护卫舰仅需要非常小的改动，就可以大幅地提高对海攻击能力。“上游”-2的弹径和重量都有所降低，带来的好处便是射程由“上游”-1／“上游”-1甲的30千米延伸到50米，巡航速度达到0.9马赫，其出口型号为“飞龙”-2。
",NULL,1720千克,NULL,导弹武器,0.54米,NULL,NULL,NULL,50千米,1975年,NULL
{'$oid': '5cc933ae831b973d657f2299'},http://images.huanqiu.com/sarons/2013/11/40279552e0dd36fe17d47c7e30c3f275.jpg,舰舰导弹,中国,海鹰-1(HY-1）反舰导弹,6.6米,"
""海鹰""-1反舰导弹（HY-1），出口型号名称飞龙-3（FL-3），是我国20世纪60年代至20世纪80年代研制服役的反舰导弹。
",南昌飞机制造厂,2658千克,NULL,导弹武器,0.76米,NULL,NULL,NULL,70千米,1974年,2.4米
{'$oid': '5cc933ae831b973d657f229a'},http://images.huanqiu.com/sarons/2013/11/a2999d9f83b224ba424cbf0ec14c92b1.jpg,舰舰导弹,中国,海鹰－1J(HY-1J）反舰导弹,NULL,"
1967年3月，作为051驱逐舰的配套工程，我国下达改“海鹰”-1为舰舰导弹的任务，最初的”海鹰“-1舰舰导弹称为“海鹰”-1J。1975年12月，“海鹰”-1J导弹定型。1976年由海军提出要求，我国还对“海鹰”-1J进行了舰、岸通用化改造，1978年之后生产的”海鹰“-1已全部实现通用化，因此后来也就不再存在‘海鹰”-1J的叫法。
",NULL,NULL,NULL,导弹武器,NULL,NULL,NULL,NULL,近程导弹,1975年,NULL
{'$oid': '5cc933ae831b973d657f229b'},,舰舰导弹,中国,鹰击1(YJ-1/C-101)舰载反舰导弹,7.5米,"
鹰击101即C-101超音速反舰导弹，北约代号CSSC-5""Saples""，是原为配备“水轰-5”而研制空舰导弹，后改为舰载反舰导弹，是一种超低空、超音速、多用途反舰导弹，该弹采用液体冲压发动机作主动力，配两台固体助推器。
",NULL,1850千克,NULL,导弹武器,0.54米,NULL,816千米/小时,NULL,49千米,1970年,1.62米
{'$oid': '5cc933af831b973d657f229c'},http://images.huanqiu.com/sarons/2013/11/ad46826e0fb81801469bb3d1b861a638.jpg,舰舰导弹,中国,“上游”-1/“上游”-1甲舰舰导弹,NULL,"
“上游”-1即SY-1岸基反舰导弹，北约代号""Silkworm""（蚕），海射版CSS-N-1""Scrubbrush""。最初的“上游”-1导弹沿用了早期膜盒式气压高度表以及圆锥扫描雷达，前者的高度控制误差很大，在导弹飞行中常常出现严重的掉高度现象，而后者则存在抗电子干扰和抗海浪性能差的问题，1973年10月，我国针对这两点缺陷，为“上游”-1换装了固体化单脉冲小型雷达，并用无线电高度表替换了原来的膜盒式高度表及垂直速度传感器。1974年7月，当时的国防公办正式下达了＂上游＂-1改型的研制任务，并命名为“上游”-1甲舰舰导弹，1983年12月批准定型。

从外形看。“上游”-1与“上游”-1甲完全一样，我们只能粗略的说1984年之前生产的为“上游”-1，1984年后生产的为“上游”-1甲。
",NULL,NULL,NULL,导弹武器,NULL,NULL,NULL,NULL,30千米,NULL,NULL
{'$oid': '5cc933af831b973d657f229d'},http://images.huanqiu.com/sarons/2013/11/beed69de170df8eeedeec3b512ac371e.jpg,舰舰导弹,中国,海鹰-2乙（HY-2B）反舰导弹,7.46米,"
为提高“海鹰”-2突防能力，我国对“海鹰”-2的控制、控制回路中的高度支路进行了大改，采用了单脉冲体制的雷达导引头，并改装了高精度低空型无线电高度表，新型号称为“海鹰”-2乙（HY-2B）。
",七机部三院,514千克,NULL,导弹武器,0.76米,自主式控制加自动导引地面火控系统,1013千米/小时,NULL,100千米,1967年,2.4米
{'$oid': '5cc933af831b973d657f229e'},http://images.huanqiu.com/sarons/2013/11/a41c230aa63909225e45314e96c5d700.jpg,舰舰导弹,中国,鹰击301（C-301）反舰导弹,9.85米,"
鹰击301（C-301）是中国的二种超音速反舰导弹。这种反舰导弹都是在1970年代开始发展，1980年代后期定型生产的海军武器，性能比较好。这种反舰导弹都采用冲压发动机和固体火箭助推器为动力装置，导弹飞行速度均超过音速二倍。这种导弹在接近攻击目标时能够做不规则飞行，导弹本身还有隐身功能，突防能力比较强，是中国海军的利器。
",NULL,3400千克,NULL,导弹武器,NULL,NULL,2815千米/小时,NULL,180千米,1970年,NULL
{'$oid': '5cc933af831b973d657f229f'},http://images.huanqiu.com/sarons/2013/11/876b18f9767779cbf47130ae3e75c366.jpg,舰舰导弹,中国,鹰击-83（YJ-83/C-803）反舰导弹,6.86米,"
鹰击-83 （YJ-83）导弹又称为C-803，是一种低超音速掠海反舰导弹，被称为“海上屠夫”，由解放军海防导弹研究院在1999年10月1日50周年国庆阅兵大典前研制成功，并在国庆阅兵时以实体亮相。它也被解放军称为是“争气弹”。国防专家说，YJ-83还有在飞行中接受目标信息的能力。詹姆斯基金会中国军事专家费舍说，YJ-83新导弹将装备到JH-7a改进型战斗轰炸机上。费舍说，该导弹有250公里的射程，解放军可以在美国海军防空导弹标准SM-2火力范围之外发射。
",NULL,NULL,NULL,导弹武器,0.36米,制导雷达采用其频率捷变技术,NULL,NULL,285千米,1997年,NULL
{'$oid': '5cc933b0831b973d657f22a0'},http://images.huanqiu.com/sarons/2013/11/a7cfbcb82611cb31dd8dec574c3365d4.jpg,舰舰导弹,中国,鹰击-8A（YJ-8A/C-801）反舰导弹,NULL,"
鹰击-8A（YJ-8A）是鹰击-8基础上改进的增程型，采用固体火箭发动机，弹翼可折叠，助推器尾翼可折迭，在体积重量基本不变的情况下射程增加至70公里，是鹰击8系列中第1种大量装备的舰对舰型号，与鹰击8相比鹰击8-A的导弹发射箱也明显发生了变化，去掉了加强筋，外形看较老式发射箱简洁。
",NULL,845千克,NULL,导弹武器,NULL,NULL,50千米/小时,NULL,70千米,1981年,0.4米
