高度,_id,图片,乘员与载员,类型,诞生时间,名称,战斗全重,简介,最大行程,车长,大类,宽度,最大速度,研发厂商,产国,底盘类型
1.72米,{'$oid': '5cc932fb831b973d657f1e9e'},http://images.huanqiu.com/sarons/2013/11/46efef592fa943576915438ce1a6d1a7.jpg,9人,越野车,20世纪70年代初,RAM轻型装甲战车族,5400千克,"
该车族由以色列飞机工业(Israel Aircraft Industries)公司的子公司拉姆塔结构与系统公司研制，1979年6月在巴黎航空展览会(Paris Air Show)上公开展出。RAM已发展RAMV-1和RAMV-2两种基本型。V-1型的结构基本与早期的RBY MK1轻型侦察车相同，敞顶式，轮胎直径加大，动力装置为柴油机和自动变速箱，车前有拉力为35.6kN(3629kgf)的科宁(Koening)EC-100绞盘。该车有长短两种类型。V-2型的载员舱为封闭的，也有长短两种类型。
",800公里,5.02米,坦克装甲车辆,2.03米,96公里/小时,拉姆塔结构与系统公司,以色列,轮式
0.963米,{'$oid': '5cc932fb831b973d657f1e9f'},http://images.huanqiu.com/sarons/2013/11/9f573c522c6f95ecb67f50291276fdaa.jpg,2人,越野车,1995年,“胡狼”轻型伞兵车,NULL,“胡狼”(Jackal)轻型伞兵车为四驱多用途车辆，由南非联合汽车公司建造，专为空降部队设计。该车外观像一辆小型吉普车，采用常规设计，发动机装于车体前方，驾驶员和一名乘员位于车体中央；座椅后面空间十分有限。该车是由标准的常用汽车部件和发动机组装而成的。,200公里,2.408米,坦克装甲车辆,1.211米,60公里/小时,阿姆斯科公司,南非,NULL
1.9米,{'$oid': '5cc932fc831b973d657f1ea0'},http://images.huanqiu.com/sarons/2013/11/5a05330100ff0a962da6327bb6cd1d1c.jpg,3人,越野车,1994年6月,奥维兰德A3F型快速攻击车,2510千克,指挥型奥维兰德A3F型机动车A3F的尺寸使它可被装载到NH 90直升机内运输，法国军方定购有NH 90直升机并计划于2001年开始交付。A3F也可以进行空投。法国军队已经对长轴距的A3F SL车型进行了空投测试。,700公里,3.4米,坦克装甲车辆,1.58米,130公里/小时,NULL,法国,轮式
0.89米,{'$oid': '5cc932fc831b973d657f1ea1'},,7人,越野车,1995年,MM-1型多用途全地形车,2650千克,ENISA公司生产的MM-1型多用途全地形车(MATC)是一款轻型四驱车，该车可以用作人员输送车、补给运输车或是轻型牵引车使用。一架C-130运输机可以在货仓堆放该车多达12辆而且可以一次空投6辆，空投时允许每辆车载有400千克负载。该车也可以通过直升机吊挂运输。,NULL,2.64米,坦克装甲车辆,1.78米,65公里/小时,ENISA公司,西班牙,轮式
1.79米,{'$oid': '5cc932fc831b973d657f1ea2'},http://images.huanqiu.com/sarons/2013/11/a6f40f61db74ee472b82f55fbad61d84.jpg,6人,越野车,未知,VLA可空载轻型车,2250千克,服役于荷兰皇家陆军，VLA被称为Luchtmobiel Speciaal Voertuig(意为空便特殊车辆)或LSV。,700公里,3.36米,坦克装甲车辆,1.72米,NULL,NULL,法国,轮式
1.8米,{'$oid': '5cc932fd831b973d657f1ea3'},,5人,越野车,NULL,BAT特种部队多用途车,NULL,麦奇姆BAT轻量型，可空投特种部队多用途车是基于一款民用轻量级陆地车辆设计的，并且安装有数个标准商用配件。,500公里,3.1米,坦克装甲车辆,1.8米,120公里/小时,麦奇姆公司(南非，希威尔顿),南非,轮式
2.02米,{'$oid': '5cc932fd831b973d657f1ea4'},http://images.huanqiu.com/sarons/2013/11/663a0058f2eb21f739a2e539f372d0cb.jpg,NULL,越野车,1990年,M-240“风暴”多用途车（MMV),NULL,M-240“风暴”(storm)多用途车(MMV)的设计旨在集几种军事功能于一身，包括一般用途、巡逻、侦查、指挥以及作为反坦克武器车使用。,600公里,4.5米,坦克装甲车辆,1.676米,NULL,NULL,以色列,轮式
1.18米,{'$oid': '5cc932fd831b973d657f1ea5'},http://images.huanqiu.com/sarons/2013/11/0e62167a869954b91271a889c09babed.jpg,1人,越野车,未知,洛尔Fardier FL500和FL501轻型车,NULL,该系列轻型可空载的车辆是由素弗拉格(SOFRAMAG)公司(后来的洛尔公司，现在的索弗拉姆公司)为空降部队研制的。一架C-130或是C-160“协同”(Transall)运输机可以运载六辆做好空投准备的FL500或是12辆以货物形式存放的FL500。SA330美洲豹直升机可以运载一辆FL500和一门120毫米的迫击炮。该车可以拖挂一辆拖车或是如120毫米TDA迫击炮之类的武器，最大载重为500千克。,200公里,2.41米,坦克装甲车辆,1.5米,80公里/小时,索弗拉姆公司(法国，Hangenbieten),法国,轮式
1.9米,{'$oid': '5cc932fd831b973d657f1ea6'},http://images.huanqiu.com/sarons/2013/11/910be4553ba2a75f81ecdcb87c55bca9.jpg,3人,越野车,NULL,“飞鸟”轻型攻击车,2400千克,"
新加坡技术动力有限公司制造的4×4驱动型的新加坡“飞鸟”轻型攻击车，用于新加坡武装部队。
",525公里,4.5米,坦克装甲车辆,2.03米,110公里/小时,新加坡技术动力有限公司,新加坡,轮式
2.05米,{'$oid': '5cc932fd831b973d657f1ea7'},http://images.huanqiu.com/sarons/2013/11/bfb1d7b0c4f2d54d74f2fe89850b8ee5.jpg,5人,越野车,2001年,依维柯轻型多用途车,7000千克,"
依维柯轻型多用途车，标准设备包括动力转向装置、辅助加温器、空气调节系统、前置绞盘和前风挡加温玻璃。该车目前根据轴距不同有两种版本，即3.2米版和3.5米版，有效载荷分别为2300千克和2500千克。
",500公里,4.812米,坦克装甲车辆,2.42米,130公里/小时,NULL,意大利,轮式
2.008米,{'$oid': '5cc932fd831b973d657f1ea8'},http://images.huanqiu.com/sarons/2013/11/460ebf76931d5f56ac837bc9b1b55f7c.jpg,8人,越野车,NULL,桑塔纳109型军用轻型车,3150千克,,NULL,4.546米,坦克装甲车辆,1.574米,NULL,桑塔纳汽车公司,西班牙,轮式
