名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
SB2A“海盗”侦察轰炸机,飞行器,441千米每小时,14.33米,莱特R-2600-8“旋风”发动机,1941年6月17日,单发,NULL,NULL,2696千米,{'$oid': '5cc930c3831b973d657f10a1'},NULL,,4.7米,4501千克,NULL,美国,亚音速,轰炸机,"
SB2A“海盗”是二战时期少有的获准生产的成功机型，它实质上是布鲁斯特公司的SBA／SBN的加大版。
",布鲁斯特公司,平直翼,2人,11.94米,6481千克
A3D/A-3“空中战士”,飞行器,982千米每小时,22.1米,两台普-惠J57-P-10发动机,1952年10月28日,单发,1991年9月27日,(3分),3220千米,{'$oid': '5cc930c3831b973d657f10a2'},道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/d6e03607b0262e5dd4dbe1b8a9fcf40d.jpg,6.99米,17875千克,1956年,美国,亚音速,轰炸机,,NULL,后掠翼,3人,21.1米,37195千克
寇蒂斯H-12/16,飞行器,152千米每小时,28.97米,两台自由12发动机, 1917年初,单发,NULL,NULL,604.8千米,{'$oid': '5cc930c3831b973d657f10a3'},NULL,http://images.huanqiu.com/sarons/2013/08/6ed806c3c8b35b0a942a4fce413f174d.jpg,5.44米,3357千克,NULL,美国,亚音速,轰炸机,,寇蒂斯公司,平直翼,4人,14.06米,4944千克
波音B-17单翼重型轰炸机,飞行器,462千米每小时,31.62米,四台莱特R-1820-97“旋风”发动机,1935年7月28日,四发,NULL,NULL,3219千米,{'$oid': '5cc930c4831b973d657f10a4'},NULL,http://images.huanqiu.com/sarons/2013/08/15e9fffba14cc9169b38e64bb584281a.jpg,5.82米,16391千克,NULL,美国,亚音速,轰炸机,"
B-17“空中堡垒” 是波音公司研制的第一架四发轰炸机，速度和高空性能不仅深深打动了美国陆军航空部队，更是吸引了美国军界足够的注意力。为了研制B17（波音公司自称299型），波音公司承担了巨大的财务风险。一经面世，参加首飞试验的记者们便给它起了一个绰号“空中堡垒”。
",波音公司,平直翼,10人,22.66米,29710千克
图-22M“逆火 MRA轰炸机和电子战飞机,飞行器,2327千米每小时,34.3米,两具库兹涅佐夫NK-25涡扇发动机,1969年8月30日,双发,NULL,NULL,7000千米,{'$oid': '5cc930c4831b973d657f10a5'},NULL,http://images.huanqiu.com/sarons/2013/07/3f4b28f5f94a883cb9686554c8a3a0f0.jpg,11米,58000千克,1972年,苏/俄,超音速,轰炸机,"
图-22M，北约代号：Backfire，是苏联图波列夫设计局研制的一款超音速可变后掠翼长程战略轰炸机。于1972年开始量产，目前俄罗斯仍有162架图-22M3正在服役中。
",图波列夫设计局,变后掠翼,4人,42.4米,126000千克
寇蒂斯R系列鱼雷轰炸机,飞行器,160千米每小时,17.41米,自由12A发动机,1916年末,单发,NULL,NULL,904千米,{'$oid': '5cc930c4831b973d657f10a6'},NULL,http://images.huanqiu.com/sarons/2013/07/2c6a2f664c511e3b9d0f51b7f50afd53.jpg,4.32米,1508千克,NULL,美国,亚音速,轰炸机,,寇蒂斯公司,双翼,2人,10.21米,2041千克
图-95/图-142“熊” 远程轰炸机和海上侦察攻击机,飞行器,925千米每小时,51.1米,四具库兹涅佐夫NK-12MV型涡轮螺旋桨发动机,1952年11月12日,四发,NULL,NULL,15000千米,{'$oid': '5cc930c4831b973d657f10a7'},NULL,http://images.huanqiu.com/sarons/2013/07/7644b85f03b55d4151126603abda0cfc.jpg,13.3米,90000千克,1952年,苏/俄,亚音速,轰炸机,,图波列夫设计局,后掠翼,7人,49.5米,188000千克
B-52H远程轰炸机,飞行器,957千米每小时,56.4米,8具普惠TF33-P-3/103型涡扇发动机,1952年,八发 ,NULL,NULL,16093千米,{'$oid': '5cc930c4831b973d657f10a8'},NULL,http://images.huanqiu.com/sarons/2013/11/58ff9727c07b8c4ccc993f8919715737.jpg,12.4米,83.25千克,1955年,美国,亚音速,轰炸机,,美国波音飞机公司,后掠翼,5人,49米,220千克
波音B-29“超级空中堡垒”,飞行器,576千米每小时,43.05米,四台莱特R-0350-23“旋风”发动机,1942年9月21日,四发,NULL,NULL,5230千米,{'$oid': '5cc930c4831b973d657f10a9'},NULL,http://images.huanqiu.com/sarons/2013/08/a90e175e3d4882e2e210e6197472b39a.jpg,9.02米,31815千克,NULL,美国,亚音速,轰炸机,"
B-29是20世纪30年代末期，继B-17“空中堡垒”之后，美国波音公司应美国陆军航空部队的需求，研发出的一款新型远程战略轰炸机。波音B-29运用了在当时不可思议的先进技术，诸如座舱增压、前三点式起落架、高翼载和遥控机枪炮塔等，被誉为“超级空中堡垒”。
",波音公司,平直翼,11人,30.18米,56245千克
波音B-9单翼轰炸机,飞行器,303千米每小时,23.42米,两台普-惠R-1860-11“大黄蜂”发动机,1931年4月13日,单发,NULL,NULL,1984千米,{'$oid': '5cc930c4831b973d657f10aa'},NULL,http://images.huanqiu.com/sarons/2013/07/d4318d0b1811e668e3f3d0d413e8aabb.jpg,3.66米,4056千克,NULL,美国,亚音速,轰炸机,"
B-9轰炸机，是美国波音公司于1930年自担风险，研制出的一款全金属外壳的单翼轰炸机。
",波音公司,平直翼,5人,17.77米,6496千克
