名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量,挂载点
C-130/KC-130/EC-130“大力神”运输机 ,飞行器,620千米每小时,40.41米,四台阿里逊T56-A-15发动机,1954年8月23日,四发,NULL,NULL,NULL,7870千米,{'$oid': '5cc9310f831b973d657f1257'},美国洛克希德公司,http://images.huanqiu.com/sarons/2013/08/2cb90dc4c5c28f921a8c521eb127bbb8.jpg,11.66米,34685千克,NULL,美国,亚音速,运输机,"
C-130是美国最成功、最长寿和生产最多的现役运输机，在美国战术空运力量中占有核心的地位，同时也是美战略空运中重要的辅助力量。在世界各国空军使用的飞机中，没有比洛克希德公司的C-130“大力神”（Hercules）更重要的了。自1955年开始生产以来，这种飞机不断地改进以满足不同的要求，但它的基本设计非常合理，以至现在的生产型飞机与原型机外型几乎没有差别。这种飞机是按照美国空军的要求制造的一种能在简易机场起降，以涡轮螺旋桨发动机为动力的战术运输机。
",NULL,平直翼,92人,29.79米,79380千克,NULL
洛克希德-马丁C-130J“大力神” 95座四发战术运输机,飞行器,645千米每小时,40.71米,四台阿里逊AE2100D3发动机,1996年4月5日,四发,NULL,NULL,NULL,5247千米,{'$oid': '5cc9310f831b973d657f1258'},美国洛克希德公司,http://images.huanqiu.com/sarons/2013/08/9d1ba3ff8f2e91053c5bf2f39dc50205.jpg,11.81米,34274千克,1999年1月,美国,亚音速,运输机,"
C-130J“大力神”迄今为止最令人印象深刻的升级版，它有着堪称完美的带有多功能显示设备的驾驶舱、用新一代阿里逊/劳斯莱斯涡轮螺旋桨发动机驱动六桨叶螺旋桨，对系统进行了多处改进以减少人工操作，降低了成本和维护费用，与早期的C-130相比，节省了生命周期成本。在性能方面，J型爬升得更快更高，能以更高的巡航速度飞得更远，可以在比早先的“大力神”更短的距离内起降。C-130J是洛克希德公司自担经费发展的，原型机在1996年4月完成了首飞，1999年1月，美国空军接收了第一架C-130J。
",NULL,平直翼,92人,29.79米,79379千克,NULL
AT-7/11/C-45和JRB/SNB单翼轻型运输机／教练机,飞行器,346千米每小时,14.5米,两台普-惠R-985-AN-1“小黄蜂”发动机,1937年1月15日(C-45),单发,NULL,NULL,NULL,1368千米,{'$oid': '5cc9310f831b973d657f1259'},NULL,http://images.huanqiu.com/sarons/2013/08/49526b2c50ddbb7d0b20ceb219a4e471.jpg,2.95米,2801千克,NULL,美国,亚音速,运输机,C-45，原名比奇18，是20世纪30年代末期美国比奇公司针对国内民用航空市场而设计的运输机。1940年，被美国陆军航空部队买走用于人员运输，比奇18被命名为C-45。之后又被租借给英国、加拿大等国，根据编制和用途的不同，又有诸多变种。国民党政府败退台湾之后，也曾使用AT-11型教练机进行飞行训练。,比奇飞机公司,平直翼,8人,10.4米,3959千克,NULL
运-9运输机,飞行器,570千米每小时,38米,4具WJ-6C型涡桨发动机,NULL,四发,NULL,NULL,(4.1分),7800千米,{'$oid': '5cc9310f831b973d657f125a'},NULL,http://images.huanqiu.com/sarons/2014/05/35ba5e7306012f31fb2d613f44ce4b28.jpg,11.16米,NULL,NULL,中国,亚音速,运输机,"
运-9是由陕西飞机工业（集团）有限公司开发中的中型中程多用途运输机，载重为20吨级。陕飞生产的运-8飞机自1975年首飞上天以来，作为中国国产的唯一中程中型运输机，已经研制了近30种改型。运-9将改变这一历史。(运-9运输机其实是61吨运-8F-200运输机的放大版，仿制俄罗斯安-12运输机，与美国的C-130运输机相似。)

运-9原是指中国第一个大型运输机项目。该项目于1969年上马，后来由于种种原因被放弃。目前没有关于该机的更多信息。现在所说的运-9多是指由运-8运输机改进而来的一种新型运输机，通常被认为是空警-200、高新6号的飞机平台。“运-9”的编号最早于2005年北京航展上出现，但中国官方到目前仍未正式采用此编号。
",陕西飞机工业(集团)有限公司,平直翼,4人,34米,65千克,NULL
洛克希德C-69“星座”运输机,飞行器,0.517千米每小时,37.49米,四台莱特R-3350-34发动机,1943年1月9日,四发,NULL,1982年,NULL,7405千米,{'$oid': '5cc9310f831b973d657f125b'},NULL,http://images.huanqiu.com/sarons/2013/07/31afbabb40ba92dc3e8c1a6d41842ad1.jpg,8米,36275千克,NULL,美国,亚音速,运输机,"
外形宏伟的“星座”，在第一架生产型飞机被美国陆军航空部队作为战略运输机时，它涂装的是草绿色而不是客机用的红色或白色，这些飞机被命名为C-69。尽管只征用了22架，但是它们表现的非常出色，给美国空军留下了非常深刻的印象。
",环球航空公司,后掠翼,93人,35.41米,64620千克,NULL
C/UC-12“休伦,飞行器,289千米每小时,16.61米,两台普-惠“加拿大”PT6A-42,1972年10月,双发,NULL,NULL,NULL,2075千米,{'$oid': '5cc9310f831b973d657f125c'},比奇飞机公司,http://images.huanqiu.com/sarons/2013/07/2bce9b2a3e89f2d5c9ce7545247bfeec.jpg,4.57米,3520千克,1972年,美国,亚音速,运输机,"C-12""休伦“是十座双发兵员运输机，也是比奇公司的“超级空中国王”的军用版，四大军种都选用了它主要用于各海军航空站间的人员和货物运输。1974年，C-12被选作陆军、海军、海军陆战队和空军的兵员运输机，今天，大约140余架“休伦”仍在美国军队中服役。",NULL,平直翼,13人,13.34米,5670千克,NULL
C-2“灰狗”运输机,飞行器,575千米每小时,24.56米,两台阿里逊T56-A-425发动机,1964年11月18日,双发,NULL,1987年（由C-2A型接替）,NULL,2890千米,{'$oid': '5cc9310f831b973d657f125d'},格鲁曼公司,http://images.huanqiu.com/sarons/2013/08/af19b04c1ba3c52fb8898f8d45977a39.jpg,4.84米,16485千克,1966年,美国,亚音速,运输机,"格鲁曼C-2“灰狗式”运输机（Grumman C-2 ""Greyhound""）是一款美国海军使用的双引擎舰载运输机，主要用于航舰舰上运输（Carrier onboard delivery, COD）任务，提供航空母舰舰队关键的后勤支援（包括人员、货物及邮件的运输）。",NULL,后掠翼,42人,17.32米,26080千克,NULL
TA-1单翼运输机,飞行器,186千米每小时,19.33米,三台莱特J-5发动机,1926年年末,单发,NULL,NULL,NULL,736千米,{'$oid': '5cc9310f831b973d657f125e'},NULL,http://images.huanqiu.com/sarons/2013/07/926fe10dc400249d2c91403f288e9d76.jpg,4.08米,2449千克,1926年,美国,亚音速,运输机,,大西洋飞机公司,平直翼,10人,14.96米,4082千克,NULL
勃德RB-1“大篷车”单翼运输机,飞行器,315千米每小时,30.48米,两台普-惠R-1830-92“双黄蜂”发动机,1943年10月31日,双发,NULL,1945年初,NULL,2587千米,{'$oid': '5cc93110831b973d657f125f'},NULL,http://images.huanqiu.com/sarons/2013/07/bbad5e9ca2d6e8139f5189e9c20899eb.jpg,9.66米,9150千克,1944年3月,美国,亚音速,运输机,"
RB-1“大篷车” 是1942年年初，勃德公司按照美国政府的鼓励所设计的一款完全使用不锈钢制造的单翼运输机。
",勃德公司,平直翼,28人,20.72米,15354千克,NULL
运-20,飞行器,700千米每小时,45米,试飞使用4台俄罗斯D-30KU发动机，中国媒体报道称之后可能换装中国自产的涡扇发动机，如CJ-1000和WS-18,2013年1月26日,四发,NULL,NULL,(5分),7800千米,{'$oid': '5cc93110831b973d657f1260'},NULL,http://images.huanqiu.com/sarons/2013/11/d8f2d3cb3713027c100d9c72188d796b.jpg,15米,NULL,NULL,中国,亚音速,运输机,"
运-20(Y-20)重型运输机，代号鲲鹏，是中国自主研发的新一代重型军用运输机，由中航工业西安飞机工业集团研发并制造。该机参考俄罗斯伊尔-76的气动外形和机体结构，并融合了美国C-17的部分特点。与中国空军现役伊尔-76比较，运-20的发动机和电子设备有了很大的改进，载重也有提高。2013年1月26日下午14时整，运-20在阎良基地顺利升空，首飞圆满成功。运-20的成功首飞，标志着中国航空工业的一次重大突破，中国拥有了属于自己的大型运输机，是中国空军建设战略空军的一座里程碑。
",中航工业西安飞机公司,后掠翼,3人,47米,220000千克,NULL
