_id,参战情况,图片,类型,名称,生产年限,简介,大类,制造商,关注度,产国
{'$oid': '5cc9328b831b973d657f1c0a'},NULL,,迷彩服,三款非制式迷彩服,2005年,"
    2005年和平使命演习中，中国人民解放军空降兵部队史无前例地同时配发了05空军迷彩、荒漠迷彩及蓝色城市迷彩等三款非制式迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328b831b973d657f1c0b'},NULL,,迷彩服,非制式迷彩服,20世纪90年代以后,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328b831b973d657f1c0c'},NULL,,迷彩服,雪地迷彩服,20世纪90年代,"
    在上世纪90年代以前，中国人民解放军仅有纯白色的披风供士兵在雪地环境作伪装。进入00年代后，中国人民解放军参考外军同类迷彩，先后设计出几款雪地迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328b831b973d657f1c0d'},NULL,,迷彩服,03式荒漠迷彩,2003年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328b831b973d657f1c0e'},NULL,,迷彩服,海洋迷彩夏装,2000年,"
    2000-2007年，海军陆战队小规模配发了一款海洋迷彩夏装，迷彩图案呈横向水波纹，斑块及色彩与87式海洋迷彩有很大差异。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328c831b973d657f1c0f'},NULL,,迷彩服,三色沙漠迷彩服（DCU）,1991-2005年,,枪械与单兵,NULL,(5分),美国
{'$oid': '5cc9328c831b973d657f1c10'},NULL,,迷彩服,11式迷彩服,2011年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328c831b973d657f1c11'},NULL,,迷彩服,“马刀”袋子,NULL,,枪械与单兵,Hawkmoor公司/Karrimor SF公司  ,NULL,英国
{'$oid': '5cc9328c831b973d657f1c12'},NULL,,迷彩服,新型阻燃特战服,2012年初,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328c831b973d657f1c13'},NULL,,迷彩服,05式特战服,2005年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328c831b973d657f1c14'},NULL,,迷彩服,06式林地迷彩服,2006年,"
    2006年，总参将“04式林地迷彩服”改版后推出了“06式林地迷彩服”，其迷彩图案及色调作了一些修改，胸前口袋改为带盖的明袋，上衣袖口袋改在右臂，迷彩圆边帽换成了带帽檐迷彩作训帽。在06-09年被定为特种部队的制式迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328c831b973d657f1c15'},NULL,,迷彩服,林地斑点迷彩,2000年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328d831b973d657f1c16'},NULL,,迷彩服,07式迷彩服,2008年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328d831b973d657f1c17'},NULL,,迷彩服,07式特战迷彩服,NULL,"
随着07式数码迷彩系列的全面装备，中国人民解放军又在2009年推出了“07式特战迷彩服”。虽然有很多人称其为数码猎人迷彩，但实际上只是在06式林地迷彩的基础上，将色块圆滑的边缘改成锯齿状而已。

从2010年到2012年，中国人民解放军对“07式特战迷彩服”作了多次改版，在迷彩图案、布料及做工等多方面作了改良完善，使“07式特战迷彩服”的防近红外线侦察、防静电和阻燃等效果有了很大的提升。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328d831b973d657f1c18'},NULL,,迷彩服,04数码迷彩,2004年,"
    2004年，中国人民解放军将“新型迷彩夏作训”改良后推出“04数码迷彩”，迷彩模式基本上是像素缩小25%的MARPAT，配发量很少，主要供测试使用。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328d831b973d657f1c19'},NULL,http://images.huanqiu.com/sarons/2014/01/8857267ea6ac51ab038d4102db8f9f50.jpg,迷彩服,05系列夏迷彩服,2005年,2005年，武警部队军需研究所研制推出了05系列夏迷彩服，该款迷彩由橄榄绿、浅绿、棕、黑四种色块组成。从远距离看，各色块轮廓明显（与87式迷彩属同一类型），在近距离看，各色块作了晶格化处理，锯齿状的边缘打乱色块的连续排列规律，提高了视觉隐蔽效果；同时，特别染料使迷彩图服具备防近红外侦视功能。,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328d831b973d657f1c1a'},NULL,,迷彩服,仿制美式三色沙漠迷彩服,2003年,"
  2003年，仿制美式三色沙漠迷彩服，供特种部队士兵训练使用。
",枪械与单兵,NULL,NULL,中国
