名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
比奇1900双发涡轮螺旋桨短程通勤飞机,飞行器,524千米每小时,17.64米,2台加拿大普惠PT6A-67D,1982年9月3日,双发,NULL,NULL,2306千米,{'$oid': '5cc93125831b973d657f12d5'},NULL,,4.72米,4732千克,1984年2月,美国,亚音速,通用飞机,,比奇公司,平直翼,19人,17.62米,7764千克
EMB-110先锋双发涡轮螺旋桨短程通勤客机,飞行器,459千米每小时,15.33米,2×加拿大普惠PT6A-34，每台559 kW (750 shp),1972年8月9日,双发,NULL,NULL,1964千米,{'$oid': '5cc93125831b973d657f12d6'},巴西航空工业,http://images.huanqiu.com/sarons/2013/12/383173814181d4d03ec19e61cf1070f4.jpg,4.92米,3393千克,1973年4月16日,巴西,亚音速,通用飞机,"
EMB-110“先锋”（Embraer-110）是由巴西航空工业研发的双引擎螺旋桨飞机，最高载客量为21人，同时也设有军用版本。不过EMB-110很快被EMB-120所取代。EMB-110机型由巴西航空工业公司制造，第一架“先锋”飞机装载PT6A-20发动机，于1972年8月9日首飞，1973年4月16日在巴西Transbrasil航空公司开始了它的经营性国内航线服务。包括军用机型在内，EMB-110共计交付494架。
",NULL,平直翼,21人,15.1米,5900千克
运-12Ⅲ型飞机,飞行器,328千米每小时,17.24米,PT6A-10涡桨发动机，后改用PT6A-11涡桨发动机,NULL,双发,NULL,NULL,1400千米,{'$oid': '5cc93125831b973d657f12d7'},中国哈尔滨飞机制造公司,http://images.huanqiu.com/sarons/2013/11/f64c4f6ba77ded72a8fa8f005ce05fe1.jpg,5.58米,3000千克,NULL,中国,亚音速,通用飞机,,中国哈尔滨飞机制造公司,平直翼,18人,14.86米,5000千克
EMB-120巴西利亚双发涡轮螺旋桨短程通勤客机,飞行器,608千米每小时,19.78米,2×加拿大普惠PW118/118A/118B,1983年7月27日,双发,NULL,NULL,1750千米,{'$oid': '5cc93125831b973d657f12d8'},巴西航空工业公司,http://images.huanqiu.com/sarons/2013/12/684ee630a05a670bc743da46438700af.jpg,6.35米,7070千克,1985年10月,巴西,亚音速,通用飞机,"
EMB-120（Embraer-120）是由巴西航空工业作为“先锋”机型的增压版研制的双引擎螺旋桨飞机，最高载客量达30人，是巴西航空工业最成功的螺旋桨飞机。除了加长机身，EMB-120与“先锋”机型外观上最大的区别是采用了新的T型尾翼。该机型于1983年7月27日首飞，1985年10月第一架生产型飞机开始服役。共计交付352架。
",NULL,后掠翼,32人,20米,11500千克
中航工业哈飞 运-12 支线客机,飞行器,328千米每小时,17.24米,PT6A-10涡桨发动机，后改用PT6A-11涡桨发动机,1982年7月14日,双发,NULL,(3.5分),1400千米,{'$oid': '5cc93125831b973d657f12d9'},NULL,http://images.huanqiu.com/sarons/2013/12/e900c18519b5b47fb3070e70e129364a.jpg,5.58米,3000千克,1986年,中国,亚音速,通用飞机,,中航工业哈飞,平直翼,18人,14.86米,5000千克
仙童多尼尔328JET双发涡轮风扇支线客机,飞行器,750千米每小时,21米,2台加拿大普惠PW306BL,1991年 ,双发,NULL,NULL,3705千米,{'$oid': '5cc93125831b973d657f12da'},多尼尔公司,http://images.huanqiu.com/sarons/2013/12/5a66daa6baee0509653bf48475ecde31.jpg,7.24米,13070千克,NULL,美国,亚音速,通用飞机,"
仙童多尼尔328（Fairchild-Dornier 328）是由德国多尼尔公司所研发的可分别采用涡桨及涡扇引擎的支线客机，在1991年首航，1992年取得适航证；但后来基于资金不足问题，生产权一度转移甚至中断，直至2005年停产。Do 328是唯一一款同时拥有涡桨和涡扇发动机型号的飞机。
",NULL,平直翼,34人,21.28米,15660千克
Jetstream31双发涡轮螺旋桨短程通勤飞机,飞行器,488千米每小时,15.85米,2台盖瑞特TPE331-10UG,1980年3月28日,双发,NULL,NULL,1260千米,{'$oid': '5cc93125831b973d657f12db'},NULL,http://images.huanqiu.com/sarons/2013/12/471d36c44091540464e3f3d96f3d3e35.jpg,5.32米,4360千克,1982年12月15日,英国,亚音速,通用飞机,,英国BAE系统公司,平直翼,21人,14.37米,6950千克
运-12IV型飞机,飞行器,328千米每小时,17.24米,PT6A-10涡桨发动机，后改用PT6A-11涡桨发动机,1993年,双发,NULL,NULL,1400千米,{'$oid': '5cc93125831b973d657f12dc'},NULL,http://images.huanqiu.com/sarons/2013/11/ec8cf9274c39f2b1e8560b8c5419f598.jpg,5.58米,3000千克,NULL,中国,亚音速,通用飞机,"
运-12IV型飞机是哈飞航空工业股份有限公司研制和发展的一种轻型多用途飞机，运-12IV使用简单，机动灵活，可在简易跑道上起飞和着陆。它可在白天和夜间按目视飞行和仪表飞行规则使用。选装机翼、尾翼除冰装置，可在结冰条件下飞行。
",中国哈尔滨飞机制造公司,平直翼,18人,14.86米,5000千克
运-12II型飞机,飞行器,328千米每小时,17.24米,PT6A-27涡轮螺旋桨发动机,1984年,双发,NULL,NULL,1340千米,{'$oid': '5cc93126831b973d657f12dd'},NULL,http://images.huanqiu.com/sarons/2013/11/5e024def8d301f5a8296afa959278501.jpg,5.58米,3000千克,NULL,中国,亚音速,通用飞机,"
运-12II型飞机为运-12系列的首批量产型飞机。改型机于1984年5月首飞成功，该机为17座客机，并有其它专用型号，如VIP飞机，通勤飞机，小型货运飞机，森林防护，空中测量，海上巡逻，地质勘探，救护和跳伞等。
",中国哈尔滨飞机制造公司,平直翼,17人,14.86米,5000千克
运-12F轻型多用途飞机,飞行器,482千米每小时,19.89米,PT6A-65B涡浆发动机,2010年,双发,NULL,NULL,1540千米,{'$oid': '5cc93126831b973d657f12de'},哈尔滨飞机制造公司,http://images.huanqiu.com/sarons/2013/11/bfd675abca998788ddf319702c21a356.jpg,5.922米,2700千克,NULL,中国,亚音速,通用飞机,"
Y12F飞机是哈飞采用先进技术研发的新一代通用/支线涡桨飞机，能够乘坐19名旅客并满足散装装载，可用于海洋监测、航拍航测、遥感、物探、空投、空降等长航时通航作业。该机拥有大容量的机身设计和良好的短距起降性能。使用成本低，具有较强的市场竞争力。
",哈尔滨飞机制造公司,平直翼,19人,16.47米,8400千克
