_id,参战情况,图片,口径,类型,数量,名称,生产年限,简介,全枪重,全枪长,制造商,弹匣容弹量,大类,发射性能,产国
{'$oid': '5cc9326a831b973d657f1b41'},NULL,,NULL,霰弹枪,NULL,莫斯伯格M9200A1式霰弹枪,1982年-2002年,"
该枪是一款导气式半自动霰弹枪并采用独特的工作原理，因其取得的巨大成功而被美国特种部队用于中美洲的禁毒行动，因此俗称“丛林枪械”。M9200A1是民用型的M9200的军用型，对机械系统做了改进，可在不调整机械系统的情况下发射各种枪弹，从最重的枪弹到非致命性枪弹。该枪可能使用固定枪托和折叠式枪托，有些枪型没有枪托而只有手枪握把。
",3.1千克,1000毫米,莫斯伯格父子公司,6发,枪械与单兵,NULL,美国
{'$oid': '5cc9326a831b973d657f1b42'},2001年阿富汗战争，伊拉克战争,http://images.huanqiu.com/sarons/2013/08/d1bea7d5324d4fb9a14d07c6e99ea3c3.jpg,NULL,霰弹枪,NULL,C-MORE轻型霰弹枪系统,2002年,"
虽然步枪和夹式霰弹枪组合的效果不错，但操控起来比较复杂。因此C-MORE轻型霰弹枪系统（LSS）将霰弹枪部件设计地更简单、更轻便。除挂到M16系列步枪下外，LSS还可作为独立的轻型武器，并安装M16系列伸缩式枪托和扳机机构等标准部件。无论是哪种形式，LSS都采用手动枪机，并使用容弹量为2或3发的盒式弹匣，但也可使用容量更大的弹匣。由于其枪管较短，因此必须安装相当大的消焰器。C-MORE LSS只是这类特殊霰弹枪中的一款，柯尔特等其他公司也生产类似的系统。
",1.4千克,559毫米,C-More Systems,3发,枪械与单兵,NULL,美国
{'$oid': '5cc9326b831b973d657f1b43'},NULL,http://images.huanqiu.com/sarons/2013/08/0eabcc51fcabc44b00854a4f8d7a5601.jpg,大口径,霰弹枪,NULL,Protecta转轮式霰弹枪,约1980年-1990年,"
Protecta 12铅径紧凑霰弹枪实际上是一款双动转轮手枪，因为其旋转弹匣实际上是12个弹巢，可通过用力扣动扳机进行调整。枪弹通过机匣右侧的进弹口进入旋转式枪膛，并自动抛出弹壳。枪弹上膛后，后拉枪管右侧的拉机柄可进入待击状态。该枪最初是一款护院武器，保险装置完备。它配有击锤卡笋，可防止打开手动保险后走火；除非刻意扣动扳机，否则不会发射。该枪配有可折叠枪托，而""牛头犬""型因没有采用这种枪托，枪管长只有171毫米。
",4.2千克,800毫米,NULL,12发,枪械与单兵,转轮枪支,南非
{'$oid': '5cc9326b831b973d657f1b44'},越战，2001年阿富汗战争，伊拉克战争，墨西哥毒品战争,http://images.huanqiu.com/sarons/2013/08/b707707ea822699ef5bf85fdfe6c8fd5.jpg,NULL,霰弹枪,NULL,雷明顿M870P霰弹枪,1950年,"
雷明顿M870P可能是制造数量最多、使用最广泛的美国霰弹枪，从20世纪50年代早期一直生产到现在，旨在满足竞技领域和执法人员的需求。由于生产数量巨大，可能遇到各种形状和枪管长度的雷明顿M870P霰弹枪，因为其基本滑动枪机很容易改进；有的雷明顿M870P霰弹枪还有刺刀座。该枪采用传统的滑动(泵动)枪机，但制作精良，性能可靠。多年来制造了各种枪托和手枪握把，还曾尝试过使用盒式弹匣，但这样的型号很难见到。全球有很多民用霰弹枪都是根据M870P直接仿制的。
",3.6千克,972毫米,雷明顿兵工厂,9发,枪械与单兵,NULL,美国
{'$oid': '5cc9326b831b973d657f1b45'},NULL,,NULL,霰弹枪,NULL,尼奥斯戴德霰弹枪,2001年,"
尼奥斯戴德是一款真正的滑动(泵动)枪机战斗霰弹枪。与其他霰弹枪相比，它更短、更紧凑、更简洁。该枪采用独特的枪机，通过前拉而不是后拉前托装填枪弹。两个管状弹匣分布在枪管两侧，每个弹匣装有6颗枪弹，因此可根据弹匣选择器的位置从任何一边供弹。加上枪膛中的一颗枪弹后，共有13颗枪弹可供发射。弹匣选择器、保险卡笋和前托卡笋可使用任何一只手操作，弹壳向下抛出。枪身外形平滑，由高强度聚合材料制成。装填和退弹简单、快捷，以常规方式扳开枪管后，便可对任何一个弹匣装弹或退弹。弹匣管上的开口让使用者能够知道枪弹剩余量。
",3.9千克,690毫米,南非特维洛兵工厂,13发,枪械与单兵,NULL,南非
{'$oid': '5cc9326b831b973d657f1b46'},NULL,http://images.huanqiu.com/sarons/2013/08/70d084552e1d2a14fb7e5b5bdcb20a90.jpg,NULL,霰弹枪,NULL,伯奈利M3可变式／M3T霰弹枪,1994年,"
M3可变式（M3 CONVERTIBLE）霰弹枪是专为军队和警察设计的。伯奈利M3可变式战术霰弹枪有两种操作方式。发射常规威力枪弹时，枪机为半自动；转动弹簧环可将枪机变为手动滑动式，这种模式用于发射非致命性低威力枪弹。M3可变式采用固定枪托，而M3T采用折叠式枪托以缩短携带时长度。另外，M3T的弹匣容弹量更高，为6或7发，还有1发枪弹已上膛；而M3可变式的弹匣容弹量为5发，还有1发枪弹已上膛。
",3.3千克,1041毫米,伯奈利公司,6发,枪械与单兵,NULL,意大利
{'$oid': '5cc9326b831b973d657f1b47'},NULL,http://images.huanqiu.com/sarons/2013/08/214f6fbf32b67e2f4c8af922d4cb25a4.jpg,NULL,霰弹枪,NULL,伯奈利M1战术／战术M霰弹枪,1995年,"
伯奈利M1系列霰弹枪是专门为军队和警察研制的，采用后坐式自动方式。该系列枪采用铝合金弹匣，轻便但坚固耐用，通过旋转枪栓闭锁枪机。这两种型号的基本工作原理相同，M1战术(上)采用步枪式枪托，而战术M(下)采用手枪握把，枪托外形平滑。战术M还配有大型缺口照门。另外，还有M1突入(Entry)型，其枪管更短，只有356毫米。
",3.2千克,1009毫米,伯奈利公司,6发,枪械与单兵,NULL,意大利
{'$oid': '5cc9326b831b973d657f1b48'},NULL,,NULL,霰弹枪,NULL,弗兰基PA7、PA8E、PA8I式霰弹枪,1990年,"
这三款滑动式(泵动式)枪机战术霰弹枪基本上相同，唯一的差别是枪托。基本型PA7式采用涂有黑漆的步枪式枪托；PA8E式配有硬塑料手枪握把，枪托外形更简洁；而PA8I式采用折叠式枪托。通常情况下，弹匣容弹量为5发，但在民用市场销售时，可在管状弹匣中插入一个插栓，将容弹量降低为3发。也可选用容弹量为7发的扩展弹匣。枪管长610毫米或475毫米，可通过套袖安装各种枪管收束器。
",3.1千克,1020毫米,NULL,6发,枪械与单兵,NULL,意大利
{'$oid': '5cc9326b831b973d657f1b49'},NULL,http://images.huanqiu.com/sarons/2013/08/e7b1680d07a0c3b829c2b2c2e50d5fc7.jpg,NULL,霰弹枪,NULL,FN警用霰弹枪,1995年,"
FN是一支由比利时枪械公司国营赫斯塔尔研制及生产的军警两用泵动式战术霰弹枪，发射12号口径霰弹。主要供执法人员使用，但由于采用回转式枪机闭锁，手动速度快，因此也被广泛用于军事领域。用于常规用途时，枪管长度通常为457毫米，但也有使用356毫米枪管的型号。标准型号的管状弹匣容量为7发，同时枪膛中还有1发，而短枪管型号的弹匣容量为4发，同时枪膛中还有1发。可安装各种收束器以发射不同的枪弹。该枪装备机械瞄具，并可在机匣上方安装光学瞄准镜或反射式瞄准镜。针对美国市场开发的战术警用型号使用伸缩式M16型枪托和手枪握把，机匣上方有皮卡汀尼导轨，枪口上有导气孔可降低后坐力。
",2.9千克,984毫米,国营赫斯塔尔（Fabrique Nationale de Herstal，FN）,8发,枪械与单兵,NULL,比利时
{'$oid': '5cc9326b831b973d657f1b4a'},2001年阿富汗战争，2003年伊拉克战争，2011年利比亚内战,http://images.huanqiu.com/sarons/2013/08/ff907d783d61f9480bab2e184e1d3806.jpg,NULL,霰弹枪,NULL,伯奈利M4超级90霰弹枪,1998年,,3.8千克,1011毫米,伯奈利公司,7发,枪械与单兵,半自动枪支,意大利
{'$oid': '5cc9326b831b973d657f1b4b'},NULL,http://images.huanqiu.com/sarons/2013/08/69ca3a21202aea54a72163a3cf91624c.jpg,NULL,霰弹枪,NULL,温彻斯特防卫者1300式霰弹枪,1975年,"
该枪是基于大获成功的1200式防暴枪设计的，而后者的历史可追溯到一战。该枪的购买者极其广泛，因此有很多外形、枪管长度和弹匣容弹量各不相同的型号。还有使用20铅径霰弹的型号，供包括女士在内的身材矮小者使用。其传统滑动式枪机最初是约翰·布朗在19世纪90年代设计的。欧洲的很多温彻斯特防卫者1300式霰弹枪刻有FN铭文，因为比利时曾获得该枪的特许生产权。
",3.3千克,1003毫米,美国速射武器公司,8发,枪械与单兵,NULL,美国
{'$oid': '5cc9326b831b973d657f1b4c'},NULL,,NULL,霰弹枪,NULL,Ceiner Ultimate,1989年,"
Ceiner Ultimate融常规军用步枪和霰弹枪功能于一身，其中的霰弹枪通常发射非致命性枪弹，用于防暴或类似情况，而步枪只在真正需要时才用。霰弹枪部件还提供极具价值的近距离防卫功能。Ceiner Uitmate的步枪部分属于M16步枪系列：基本上是将雷明顿M870P霰弹枪的机匣和枪管安装在M16步枪枪管的下方，而步枪枪管的枪口有用于安装刺刀的凸耳；霰弹枪部分的填装和发射方式与雷明顿M870P霰弹枪完全相同。生产的组合很多，还有很多变型枪。
",NULL,NULL,NULL,NULL,枪械与单兵,NULL,美国
{'$oid': '5cc9326c831b973d657f1b4d'},NULL,http://images.huanqiu.com/sarons/2013/11/eebece17b5b56ccefe5af6f56a80538e.jpg,大口径,霰弹枪,NULL,北方工业98式霰弹枪,1998年,"
北方工业98式霰弹枪是50年代初期问世的美制雷明顿870的翻版。870是有史以来最受欢迎的压动式枪机霰弹枪之一，在越战期间，870立下了辉煌的战绩。上世纪90年代，北方工业开始制造中国版的870，并重新将其命名为北方工业98式。
",3.178千克,965毫米,中国北方工业公司,8发,枪械与单兵,非自动枪支,中国
{'$oid': '5cc9326c831b973d657f1b4e'},NULL,,大口径,霰弹枪,64855,温彻斯特M1887霰弹枪,1887年,,3.6千克,997毫米,温彻斯特连发武器公司,6发,枪械与单兵,NULL,美国
{'$oid': '5cc9326c831b973d657f1b4f'},NULL,http://images.huanqiu.com/sarons/2013/11/69ce0c65acc56d21fcc1ae9a72771afb.jpg,大口径,霰弹枪,NULL,97式霰弹枪(HAWK-12),1997年,,3.1千克,670毫米,黑龙江雄鹰警用器材厂,5发,枪械与单兵,NULL,中国
{'$oid': '5cc9326c831b973d657f1b50'},NULL,http://images.huanqiu.com/sarons/2013/11/a9f91da09613fee598bae5b3cd22f094.jpg,大口径,霰弹枪,NULL,saiga-12 霰弹枪,1990年-现在,,3.6千克,1145毫米,伊茨玛希工厂,12发,枪械与单兵,NULL,苏/俄
{'$oid': '5cc9326c831b973d657f1b51'},NULL,,23毫米,霰弹枪,NULL,KS-23/KS-23M“特种卡宾枪,1970年,,3.85千克,1040毫米,中央精密机械工程研究院，前苏联精密机械工程研究院,NULL,枪械与单兵,NULL,苏/俄
{'$oid': '5cc9326c831b973d657f1b52'},NULL,http://images.huanqiu.com/sarons/2013/08/1c980c4a71f1246be4fdf9c4e87b2a8f.jpg,NULL,霰弹枪,NULL,KS-23、KS-23M霰弹枪,1998年,"
KS-23（俄语：Карабин Специальный 23 мм，意为：“23 毫米特种卡宾枪”，简称：КС-23）是一款由苏联中央精密机械工程研究院（TsNIITochMash）于1970年代研制的防暴用泵动式霰弹枪，为当今为止口径和杀伤力最大的霰弹枪，发射23 毫米口径枪弹。这种霰弹枪的研制始于1970年代，当时苏联内务部要寻找一种用于控制监狱暴动的防暴武器，经过反复研究后，决定用接近4号口径的霰弹枪，可以把催泪弹准确地投掷至100-150米远。为了达到预期的精度，还决定使用线膛枪管。按照这样的要求，TSNII TochMash（中央科研精密机械设备建设研究所）在1981年设计出了23毫米口径的KS-23（俄语КС-23）。
",3.5千克,650毫米,图拉兵工厂,3发,枪械与单兵,NULL,苏/俄
{'$oid': '5cc9326c831b973d657f1b53'},NULL,http://images.huanqiu.com/sarons/2013/08/d3454a41b2ba42118f1da20d8105e4b0.jpg,NULL,霰弹枪,NULL,弗兰基SPAS15式霰弹枪,1985年,"
SPAS-15（英语：SpecialPurposeAutomaticShotgun，意为“特殊用途自动型霰弹枪”）是一支由意大利路易吉·弗兰基设计和生产的可半自动可泵动及弹匣供弹式霰弹枪（战斗霰弹枪），发射12号口径霰弹。被包括意大利陆军在内的众多军队采用。它有两种操作模式。在自动模式下，采用导气式工作原理，旋转枪机在枪机框上运动；发射非致命性低威力枪弹或防暴枪弹时，前托锁定前面。按住枪托下方的按钮并稍微后拉可切换到滑动(泵动)式操作模式。拉机柄位于机匣上方、提把下方，提把上还装有机械瞄具。该枪使用容弹量为3或6发的盒式弹匣供弹，提供两个独立的保险装置。发射最后一颗枪弹后，枪栓将保持打开状态，插入新弹匣后将自动将枪弹上膛，这在紧急情况下可极大地提高射击速度。
",4.1千克,1000毫米,NULL,7发,枪械与单兵,半自动枪支,意大利
{'$oid': '5cc9326c831b973d657f1b54'},NULL,http://images.huanqiu.com/sarons/2013/08/2ddf2b68cab0ce40e1b373fa48709fcc.jpg,NULL,霰弹枪,NULL,SAlGA-410霰弹枪,1995年,"
半自动SAIGA-410由俄罗斯IZMASH联合股份公司为安全部队和民用市场研发，它结合使用了卡拉什尼科夫导气式系统和0.410枪弹。Saiga-410霰弹枪与的Saiga-12和Saiga-20霰弹枪一起研制，这些霰弹枪结构相同，都是基于AK突击步枪的设计。Saiga-410发射.410口径霰弹或独头弹，虽说适用于狩猎或居家防卫，但这么小威力的霰弹一般也就适合打鸟、松鼠等小型动物。
",3.4千克,1080毫米,伊热夫斯克机器制造厂(IZHMASH),10发,枪械与单兵,半自动枪支,苏/俄
