名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,最大航程,关注度,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,机长,最大起飞重量,乘员
E-2鹰眼预警机,飞行器,648千米每小时,24.56米, 2×艾利森或劳斯莱斯T56-A-427A 涡轮螺旋桨发动机， 5100 轴马力（3800 千瓦）,1960年,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc930f0831b973d657f11a2'},诺斯罗普·格鲁门公司,http://images.huanqiu.com/sarons/2013/11/ef14369b5c5c794221655e99d358a60f.jpg,5.58米,19536千克,1964年1月,美国,亚音速,预警机,,格鲁门飞机公司,平直翼,17.6米,26083千克,NULL
运-8J海上警戒机,飞行器,650千米每小时,38米,WJ6型涡轮螺桨发动机,1998年,四发,NULL,NULL,5615千米,(4.3分),{'$oid': '5cc930f0831b973d657f11a3'},NULL,http://images.huanqiu.com/sarons/2014/03/68916bd7fea9aa37179e5eee668cd918.jpg,11.6米,35490千克,NULL,中国,亚音速,预警机,"
 
",陕西飞机工业（集团）有限公司,后掠翼,34.02米,61000千克,NULL
空警200型早期预警机,飞行器,622千米每小时,38米,涡桨-6(WJ-6)涡轮螺旋桨发动机,2005年1月14日,四发,4.5米,NULL,5620千米,NULL,{'$oid': '5cc930f1831b973d657f11a4'},NULL,http://images.huanqiu.com/sarons/2013/11/4f166a5c93f6a7f3cdf56744cbd57d80.jpg,11.16米,35488千克,NULL,中国,亚音速,预警机,,陕西飞机制造公司,平直翼,34.02米,61000千克,NULL
E-6B“水星”TACAMOⅡ 通信中继飞机,飞行器,981千米每小时,45.2米,4× CFMI CFM-56-2A-2高涵道涡扇发动机,1987年6月1日,四发,NULL,NULL,6600千米,NULL,{'$oid': '5cc930f1831b973d657f11a5'},NULL,http://images.huanqiu.com/sarons/2014/01/701b9948aac9fba27d3adfee9ba17057.jpg,12.9米,NULL,NULL,美国,亚音速,预警机,,波音,后掠翼,45.8米,154400千克,25人
空警一号,飞行器,558千米每小时,43.05米,原机装Ash-73TK螺桨发动机。换装涡桨六涡桨发动机4台，单台功率4250马力。,1971年6月10日,四发,7米,NULL,5100千米,NULL,{'$oid': '5cc930f1831b973d657f11a6'},NULL,,9.22米,NULL,NULL,中国,亚音速,预警机,,NULL,平直翼,30米,54500千克,12人
Y8J空中警戒机,飞行器,622千米每小时,38米,涡桨-6(WJ-6)涡轮螺旋桨发动机,1974年12月,四发,4.5米,NULL,5620千米,NULL,{'$oid': '5cc930f1831b973d657f11a7'},NULL,,11.16米,35488千克,NULL,中国,亚音速,预警机,,陕西飞机工业（集团）有限公司,平直翼,34.02米,61000千克,NULL
C-295中程预警机,飞行器,480千米每小时,25.81米,两台2645马力的PW127G发动机,2011年6月7日,双发,NULL,NULL,5278千米,NULL,{'$oid': '5cc930f1831b973d657f11a8'},西班牙卡萨（CASA）公司,http://images.huanqiu.com/sarons/2013/11/9fa2a095bc34caaf0c4137f770e3c38f.jpg,8.6米,NULL,NULL,西班牙,亚音速,预警机,,西班牙卡萨（CASA）公司,平直翼,24.45米,23200千克,2人
波音737 AEW＆C空中预警和控制飞机,飞行器,923.32千米每小时,35.8米,NULL,2004年5月20日,双发,NULL,NULL,11084千米,NULL,{'$oid': '5cc930f1831b973d657f11a9'},NULL,http://images.huanqiu.com/sarons/2014/01/375e16d9339779fa9b5290a6db745c55.jpg,12.6米,NULL,2008年底之前,美国,亚音速,预警机,,波音公司,后掠翼,33.6米,NULL,17人
E-3“望楼”AWACS空中预警和控制飞机,飞行器,855千米每小时,44.4米,×Pratt and Whitney TF33-PW-100A引擎 turbofan,1972年2月5日,四发,NULL,1992年停产,7400千米,NULL,{'$oid': '5cc930f1831b973d657f11aa'},NULL,http://images.huanqiu.com/sarons/2014/01/ddbb38e621b54299a784fd0439d49f55.jpg,12.7米,73480千克,1977年,美国,亚音速,预警机,,NULL,后掠翼,46.6米,156000千克,23人
ZDK-03型预警机,飞行器,NULL,NULL,国产涡桨-6C发动机,2007年,四发,NULL,NULL,NULL,NULL,{'$oid': '5cc930f1831b973d657f11ab'},NULL,http://images.huanqiu.com/sarons/2013/11/cbe93b4f0af0a210f9fbf0fe060e015d.jpg,NULL,NULL,NULL,中国,亚音速,预警机,"
ZDK-03型预警机是中国首台出口的预警机。2007年，有海外媒介报道中国ZDK-03型预警机抵达巴基斯坦空军基地进行实地测试，该机以中国运-8F-400运输机为平台，采用了圆盘式天线罩，经过多次测试和改进，最终获得了巴基斯坦空军的认可，双方签署了采购4架该型预警机的合同。根据海外报道，巴国空军采购4架ZDK-03的价格还不到3亿美元，即便考虑到ZDK-03采用的是机械扫描雷达，这仍然是一个非常优惠的价格，显现双方深厚的友谊关系。
",中国陕西飞机制造公司出厂,平直翼,36米,NULL,NULL
E-4/VC-25,飞行器,969千米每小时,59.64米,四台通用电气F103-GE-100发动机,1969年2月9日,四发,NULL,NULL,12600千米,NULL,{'$oid': '5cc930f2831b973d657f11ac'},波音公司,http://images.huanqiu.com/sarons/2013/08/79659c3e382d48a30a909bebac05e4e1.jpg,19.33米,172730千克,1974年,美国,亚音速,预警机,,NULL,后掠翼,70.51米,360千克,94人
A-50空中预警机,飞行器,785千米每小时,50.5米,4台D-30KP涡扇发动机(4×117.6千牛),1978年,四发,NULL,NULL,5100千米,NULL,{'$oid': '5cc930f2831b973d657f11ad'},NULL,,14.8米,75000千克,1984年,苏/俄,亚音速,预警机,,NULL,后掠翼,46.6米,190000千克,15人
G550预警机,飞行器,592千米每小时,28.5米,喷气发动机,2006年,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc930f2831b973d657f11ae'},NULL,http://images.huanqiu.com/sarons/2014/01/f50fb80788219f0363197722e70c0bde.jpg,7.9米,21909千克,NULL,以色列,亚音速,预警机,,航空航天工业公司,平直翼,29.4米,24721千克,NULL
E-2D高级鹰眼,飞行器,626千米每小时,24.56米,2台罗尔斯·罗伊斯T56-A-427A 涡轮发动机,1960年,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc930f2831b973d657f11af'},格鲁门公司,http://images.huanqiu.com/sarons/2014/01/468a1ce2272e702345054d15f2b5fab6.jpg,5.58米,18363千克,1964年1月,美国,亚音速,预警机,"
E-2D“先进鹰眼”预警机是美国海军的一种新型预警机，该型预警机是在E-2C“鹰眼2000”预警机基础上改进而来，但与后者有着根本的不同。

E-2D的任务系统是全新的：为适应新的雷达、天线、操作台、显示器以及驾驶舱，诺斯洛普·格鲁门公司对E-2D预警机的任务系统进行了重新打造。
",NULL,平直翼,17.6米,25850千克,5人
ASP预警机,飞行器,450千米每小时,31.23米,罗尔斯 罗伊斯“标枪”RDa.7 MK536-2发动机,1999年,双发,NULL,NULL,2630千米,NULL,{'$oid': '5cc930f3831b973d657f11b0'},NULL,,7.57米,13200千克,NULL,印度,亚音速,预警机,,印度HAL公司,平直翼,20.42米,23890千克,NULL
瑞典爱立眼预警机,飞行器,NULL,NULL,NULL,1994年7月（SAAB SF340飞机）,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc930f3831b973d657f11b1'},NULL,http://images.huanqiu.com/sarons/2014/01/662c3052528c6c0cf061a9c1d6b06655.jpg,NULL,NULL,1997年,瑞典,亚音速,预警机,"
 
",爱立眼集团微波系统公司,后掠翼,NULL,NULL,3人
EMB-145（R-99）监视飞机,飞行器,833千米每小时,20米,2× 劳斯莱斯AE 3007涡轮风扇,1995年11月17日,双发,NULL,NULL,2963千米,NULL,{'$oid': '5cc930f3831b973d657f11b2'},NULL,http://images.huanqiu.com/sarons/2014/01/938b08583ad186cd2c7bdb0d4b1212bc.jpg,6.8米,11740千克,NULL,巴西,亚音速,预警机,,巴西航空工业公司,后掠翼,28.45米,21100千克,3人
E-767 AWACS/KC-767加油机AWACS和加油机,飞行器,805千米每小时,47.6米,2× 通用电气的CF6-80C2 涡扇发动机,1994年10月10日,双发,NULL,NULL,9260千米,NULL,{'$oid': '5cc930f3831b973d657f11b3'},NULL,http://images.huanqiu.com/sarons/2014/01/25313d32a1044e3bab635fc091ac589a.jpg,15.8米,85595千克,NULL,美国,亚音速,预警机,,波音,后掠翼,48.5米,175000千克,2人
楔尾预警机,飞行器,NULL,NULL,NULL,2004年,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc930f3831b973d657f11b4'},NULL,http://images.huanqiu.com/sarons/2014/01/16ed2c0b257b78b669b143106d8a8231.jpg,NULL,NULL,NULL,美国,亚音速,预警机,,美国波音公司,后掠翼,NULL,NULL,NULL
费尔康707预警机,飞行器,880千米每小时,44.42米,NULL,1993年,四发,NULL,NULL,8500千米,NULL,{'$oid': '5cc930f3831b973d657f11b5'},NULL,http://images.huanqiu.com/sarons/2014/01/4d9445bdf7d6de94bc757790ba77ebae.jpg,12.93米,80000千克,NULL,以色列,亚音速,预警机,,以色列航空工业公司,后掠翼,48.41米,150000千克,17人
BN-2 防御者小型双发预警机,飞行器,280千米每小时,10.7米,两台莱康明IO-540-K1B5发动机,1984年5月12日,双发,NULL,NULL,1965千米,NULL,{'$oid': '5cc930f3831b973d657f11b6'},NULL,http://images.huanqiu.com/sarons/2014/01/327053bc3750d451bcb68260682e6f8c.jpg,4.2米,1900千克,NULL,英国,亚音速,预警机,,皮拉蒂斯·布里顿－诺曼公司,平直翼,15米,3860千克,2人
E-8“联合星”地面监视/作战管理飞机,飞行器,945.84千米每小时,44.4米,4台JT-3D型涡扇发动机,1988年12月22日,四发,NULL,NULL,NULL,NULL,{'$oid': '5cc930f3831b973d657f11b7'},NULL,http://images.huanqiu.com/sarons/2014/01/7d48af21b9b54ed01059efe3113bd298.jpg,12.9米,NULL,NULL,美国,亚音速,预警机,,诺斯罗普·格鲁曼(波音),后掠翼,46.6米,152400千克,22人
IAI(波音)Phalcon 707预警飞机,飞行器,780千米每小时,44.4米,NULL,1993年5月12日,双发,NULL,NULL,8500千米,NULL,{'$oid': '5cc930f4831b973d657f11b8'},NULL,http://images.huanqiu.com/sarons/2014/01/3a4523bc4e0670ae64fd0b24b7ed73a3.jpg,12.9米,80000千克,1995年,智利,亚音速,预警机,,NULL,后掠翼,48.4米,150000千克,17人
E-2C“鹰眼”(美国) 空中预警和控制飞机,飞行器,626千米每小时,28米,NULL,1971年1月20日,双发,NULL,NULL,2854千米,NULL,{'$oid': '5cc930f4831b973d657f11b9'},NULL,http://images.huanqiu.com/sarons/2014/01/905cf57ca0e9c8bb63f9e1610992cccc.jpg,5.6米,18090千克,NULL,美国,亚音速,预警机,,诺斯罗普·格鲁曼,平直翼,17.6米,23850千克,5人
空警2000型预警指挥机,飞行器,850千米每小时,50.5米,NULL,2003年11月,四发,NULL,NULL,5500千米,NULL,{'$oid': '5cc930f4831b973d657f11ba'},NULL,http://images.huanqiu.com/sarons/2014/05/63babb3abb9d2b6397c082e1a565fa08.jpg,14.76米,60000千克,NULL,中国,亚音速,预警机,"
空警－2000型预警指挥机是一项集全国之力的“国字号工程”。是继“两弹一星”、“载人航天”工程之后，我国新时期国防科技领域一项具有里程碑意义的重大工 程。2007年，经过重重艰辛磨砺，空警2000最终完成设计定型并交付部队。2008年空警2000获得国防科学技术奖特等奖，2010年更荣获了国家科技进步奖特等奖。
",中国电子科技集团公司 中国陕西飞机制造公司,平直翼,46.59米,19000千克,15人
