_id,图片,口径,炮口初速,类型,名称,总重,简介,全长,研发单位,型号,最大射程,大类,炮管长度,产国,研发时间
{'$oid': '5cc9332d831b973d657f1fc7'},http://images.huanqiu.com/sarons/2013/11/eae3f67ea0eae2bf2e1365deae295b12.jpg,57毫米,1000米/秒,高射炮,59式57毫米高射炮,4750千克,"
59式57毫米高射炮是前苏联C-60式57毫米高射炮的仿制产品，1965年定型投入大批量生产，现已逐步退役。该炮采用单筒式身管、纵动旋转闭锁式炮闩、液压节制杆式制退机、弹簧式复进机、冲击式炮口制退机；火炮开闩、抽筒、压弹、关闩等动作均利用炮身后坐能量自动完成；炮车由变截面矩形断面十字梁、前后车体、行军战斗转换器和手/气刹车装置组成，十字梁各端部装有螺杆式手摇杠起千斤顶，用于火炮放列时调平。该炮配用6型指挥仪和瞄9型雷达，另配有自动E-18型向量瞄准具，可用于对空和对地瞄准；火炮具有全天候作战能力，有自动、半自动、手摇对针、手动四种瞄准方式。
",NULL,NULL,NULL,12000米,火炮,4110毫米,中国,NULL
{'$oid': '5cc9332d831b973d657f1fc8'},,37毫米,866米/秒,高射炮,65式37毫米双管高射炮,2650千克,"
65式37毫米双管高射炮是在55式37毫米高射炮的基础上发展的，用于取代55式37毫米高射炮，1965年设计定型并投入大批量生产，装备部队。
",6475毫米,NULL,NULL,8500米,火炮,2315毫米,中国,NULL
{'$oid': '5cc9332d831b973d657f1fc9'},,57毫米,1000米/秒,高射炮,59式57毫米高射炮,4750千克,"
59式57毫米高射炮是前苏联C-60式57毫米高射炮的仿制产品，1965年定型投入大批量生产，现已逐步退役。该炮配用6型指挥仪和瞄9型雷达，另配有自动E-18型向量瞄准具，可用于对空和对地瞄准；火炮具有全天候作战能力，有自动、半自动、手摇对针、手动四种瞄准方式。
",8600毫米,NULL,NULL,NULL,火炮,4368毫米,中国,NULL
{'$oid': '5cc9332e831b973d657f1fca'},,149.1毫米,NULL,高射炮,五式150mm高射炮,NULL,,NULL,NULL,NULL,NULL,火炮,9000毫米,日本,NULL
{'$oid': '5cc9332e831b973d657f1fcb'},http://images.huanqiu.com/sarons/2013/11/09e984d77e8949a711aff4debc087349.jpg,23毫米,970米/秒,高射炮,85式23毫米双管高射炮 ,950千克,"
85式23毫米双管高射炮是前苏联3Y-23-2式23毫米双管高射炮的仿制产品，1985年通过工厂鉴定，1986年设计定型。整个火炮由2套23毫米自动机和炮架组成，身管以前后两个支点分别安装在摇架的左右两侧，另外身管还固定在摇架前部可开合的卡箍内；火炮由弹链供弹，每个弹箱容量为50发炮弹；炮架主要由摇架、上架和炮车组成，采用大耳轴结构，上架两侧的弹箱及弹箱支架随摇架同时俯仰，推式平衡机装在上架正后方，手动式高低机和方向机分别装在上架左侧和上架后部，方向机有两种转速，一名炮手可同时操作高低机和方向机；击发以脚踏为主，手动击发为辅；炮车采用双轮实心轮胎，装有独立扭杆缓冲装置和专用弹簧液压缓冲器，弹簧液压缓冲器可使火炮在转为战斗状态时平稳落地和助力抬起火炮。火炮装有WPO12型瞄准具；使用WBO44P式曳光燃烧榴弹和WB148P式曳光穿甲燃烧弹。
",4570毫米,NULL,NULL,NULL,火炮,1880毫米,中国,NULL
{'$oid': '5cc9332e831b973d657f1fcc'},http://images.huanqiu.com/sarons/2013/11/a14ccaaef35f596709d2f061a5b19894.jpg,小口径炮,NULL,高射炮,55式37毫米高炮 ,NULL,"
55式37毫米高射炮于1955年定型，该炮是仿制前苏联高炮的产品，现已被双管37毫米高射炮所代替。
",NULL,NULL,NULL,NULL,火炮,NULL,中国,NULL
{'$oid': '5cc9332e831b973d657f1fcd'},,75毫米,NULL,高射炮,大正十一年式75毫米高射炮,NULL,"
用于野战防空，要地防空，是日本陆军第一种高射炮，战争爆发时已经过时，难以对付当时的飞机，战场上经常是当作压制火炮使用，炮击地面目标。
",NULL,NULL,NULL,10900米,火炮,2562毫米,日本,NULL
{'$oid': '5cc9332e831b973d657f1fce'},,37毫米,1000米/秒,高射炮,JP113式37毫米双管高射炮,9400千克,"
JP113式37毫米双管高射炮是在76A式37双管舰炮的基础上研制的一种全自动高射炮。
",6900毫米,NULL,NULL,9400米,火炮,1880毫米,中国,NULL
{'$oid': '5cc9332e831b973d657f1fcf'},,37毫米,NULL,高射炮,74SD式37毫米双管高射炮,3100千克,"
74SD式37毫米双管高射炮是在74式37毫米双管高射炮的基础上研制的，1981年设计定型投入批量生产，并供出口。该炮取消了74式37毫米双管高射炮的电随动系统和电击发装置，变全自动为手动；增加了左右防盾板，防盾板上部可折叠放低；高低机增装射角指示分划盘，采用差动机构；方向机增装方位角指示分划盘；增设两个储弹箱，每个储弹40发；另配有漏斗两个，共容30发弹。
",6451毫米,NULL,NULL,8500米,火炮,NULL,中国,NULL
{'$oid': '5cc9332f831b973d657f1fd0'},http://images.huanqiu.com/sarons/2013/11/eeac18632604450d2423a621ef873138.jpg,25毫米,NULL,高射炮,96式三联装25毫米高射机关炮,NULL,"
96式25mm高射机关炮的三联装型，由于设计与炮手配置不合理，这种高射炮只在第1个齐射有较大火力密度，连续射击时与单装炮火力密度无差别。
",NULL,NULL,NULL,NULL,火炮,NULL,日本,NULL
