_id,装药类型,全重,图片,类型,名称,弹长,简介,研发单位,大类,弹径,最大速度,制导系统,动力装置,关注度,研制时间,产国,引信装置
{'$oid': '5cc93442831b973d657f257f'},铝末混合炸药,1490千克,http://images.huanqiu.com/sarons/2014/01/769da0ceb27afc3b91c44697344a3e57.jpg,鱼雷,Mk 14型鱼雷,6248.8毫米,"
1
",军械局,爆炸物,530毫米,85千米/时,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc93443831b973d657f2580'},NULL,NULL,,鱼雷,鱼-6型鱼雷,533毫米,"
鱼六型鱼雷，代号YU-6（H/YZQ-006型热动力声线联导反潜鱼雷），是中国首次采用模块化设计和开放式软件构架设计的鱼雷。
",舰船研究院705所,爆炸物,NULL,120.38千米/时,NULL,NULL,NULL,1980年,中国,NULL
{'$oid': '5cc93443831b973d657f2581'},NULL,2000千克,,鱼雷,鱼-1型鱼雷,7800毫米,"
鱼一型鱼雷是中国海军第一种自制大型反舰鱼雷，代号YU-1。该型鱼雷虽技术颇为陈旧，但目前仍是潜艇和鱼雷快艇的主要反舰装备之一。
",舰船研究院705所,爆炸物,533毫米,92.6千米/时,NULL,NULL,NULL,50年代后期,中国,NULL
{'$oid': '5cc93443831b973d657f2582'},TNT、黑索今、铝粉混合炸药,1320千克,,鱼雷,F17线导鱼雷,5900毫米,,法国海军装备技术局,爆炸物,533毫米,65千米/时,线导加被动声自导,单转电机,NULL,20世纪60年代末,法国,触发引信加电磁引信
{'$oid': '5cc93443831b973d657f2583'},NULL,1755千克,http://images.huanqiu.com/sarons/2013/11/1b5f701c22254f3437e7133cdc27b8d8.jpg,鱼雷,鱼-4型鱼雷,7748毫米,"
鱼四型鱼雷是中国海军装备的第一种自制大型潜艇声导反舰鱼雷，代号YU-4。鱼四型是以苏制SAET-60型电动声导鱼雷为基础仿制改良而成。50年代后期，中国海军从苏联引进了样雷和图纸以便进行仿制。60年代初，中国决定集中力量首先研制鱼一型鱼雷，因此延迟了电动声导反舰鱼雷研制。最初，负责导引系统研制的东风仪表厂和西北工业大学分别提出不同的方案。最后决定两个方案同时采用，前者为被动声导型，命名为鱼四甲型，代号YU-4A；后者为主被动联合声导型，命名为鱼四乙型，代号YU-4B。鱼雷总体设计制造和全雷总装协调，则由平阳机械厂承担。
",西北工程大学和东风制造厂（研发），平阳机械厂（制造）,爆炸物,553毫米,55.56千米/时,NULL,NULL,NULL,1966年,中国,NULL
{'$oid': '5cc93443831b973d657f2584'},NULL,2100千克,,鱼雷,53-65KE反舰鱼雷,7945毫米,,NULL,爆炸物,533毫米,45千米/时,NULL,NULL,NULL,1960年,中国,NULL
{'$oid': '5cc93443831b973d657f2585'},NULL,NULL,http://images.huanqiu.com/sarons/2013/11/95633062a9f6a1d6e0fda5e53a209935.jpg,鱼雷,鱼-5型鱼雷,7800毫米,"
鱼五型鱼雷是中国海军第一种自制热动力声线联导反潜鱼雷，代号为YU-5。目前，该型鱼雷装备在中国海军最新型039型柴电潜艇上。可以说鱼五型的研制成功，使得中国海军常规潜艇第一次具备了反潜作战能力。
",NULL,爆炸物,553毫米,NULL,NULL,NULL,NULL,20世纪60年代初,中国,NULL
{'$oid': '5cc93443831b973d657f2586'},TR8870型炸药,1420千克,,鱼雷,SUT线导鱼雷,6150毫米,,德国STN阿特拉斯电子公司,爆炸物,533毫米,65千米/时,线导加主动、被动复合声自导,双转子直流串激式电动机,NULL,20世纪70年代,德国,触发引信
{'$oid': '5cc93443831b973d657f2587'},NULL,1340千克,,鱼雷,鱼-3型鱼雷,6600毫米,"
鱼-3反潜鱼雷，是中国海军的第一种自制大型声导深水反潜鱼雷，代号YU-3。它采用声-自导引和电动推进，能交战高速、深-潜核潜艇。由舰船研究院705所设计，并且在1980年中期进入海军服役。
",舰船研究院705所,爆炸物,533毫米,64.82千米/时,NULL,NULL,NULL,1966年3月,中国,NULL
{'$oid': '5cc93443831b973d657f2588'},NULL,310千克,,鱼雷,TP45线导鱼雷,2800毫米,,瑞典博福斯公司,爆炸物,400毫米,74千米/时,线导加声自导,单转直流电机,(3分),20世纪80年代,瑞典,触发引信和水声引信
{'$oid': '5cc93444831b973d657f2589'},NULL,627千克,http://images.huanqiu.com/sarons/2013/11/efb94d40eaae0ec0ed3727401d99d486.jpg,鱼雷,鱼-2型鱼雷,4000毫米,"
作为中国海军第一钟自制空投反舰鱼雷，它是在1960年苏联撤走了全部在华专家，中国鱼雷工业面临严峻的考验背景下研制成功的。
",374厂，705所,爆炸物,450毫米,70千米/时,NULL,NULL,NULL,1958年,中国,NULL
{'$oid': '5cc93444831b973d657f258a'},NULL,235千克,,鱼雷,鱼-7反潜鱼雷（美版MK46),2600毫米,,西安精密机械研究所，西北工业大学,爆炸物,NULL,NULL,NULL,NULL,NULL,1982年,中国,NULL
{'$oid': '5cc93444831b973d657f258b'},常规炸药,1370千克,,鱼雷,DM2A3线导鱼雷,6600毫米,,德国STN阿特拉斯电子公司和意大利塞莱尼亚公司,爆炸物,533毫米,65千米/时,线导加主动、被动复合声自导,双转电机,NULL,20世纪80年代,德国,触发引信和电磁引信
{'$oid': '5cc93444831b973d657f258c'},TNT、黑索今、铝粉混合炸药,767千克,,鱼雷,Mk37-1线导鱼雷,4090毫米,,NULL,爆炸物,482毫米,44千米/时,线导加主被动声自导,电动机,NULL,1958年,美国,触发引信
{'$oid': '5cc93445831b973d657f258d'},猛炸药,750千克,,鱼雷,NT37F-2线导鱼雷,4500毫米,,美国联合技术系统公司,爆炸物,485毫米,60千米/时,线导加主被动声自导,活塞式凸轮机,NULL,20世纪90年代初,美国,触发引信和近炸引信
{'$oid': '5cc93445831b973d657f258e'},205公斤炸药,1820千克,,鱼雷,TEST-71反潜鱼雷,8.2毫米,,NULL,爆炸物,533毫米,NULL,NULL,NULL,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93445831b973d657f258f'},TNT、黑索今、铝粉混合炸药,1860千克,,鱼雷,TP617线导鱼雷,6890毫米,,瑞典博福斯公司,爆炸物,533毫米,111千米/时,线导加声自导,活塞式蒸汽发动机,NULL,20世纪70年代,瑞典,触发引信和计算机控制的声引信
{'$oid': '5cc93445831b973d657f2590'},高聚物粘结炸药,1850千克,,鱼雷,“矛鱼”线导鱼雷,6000毫米,,英国马可尼水下系统有限公司,爆炸物,533毫米,130千米/时,线导加主被动声自导,涡轮发动机,NULL,20世纪70年代末,英国,触发引信
{'$oid': '5cc93445831b973d657f2591'},NULL,2100千克,http://images.huanqiu.com/sarons/2013/11/b2bb9a9b9f1dab13ae0c9e0bfc8a7a34.jpg,鱼雷,53-65KE反舰鱼雷,7945毫米,,NULL,爆炸物,533毫米,1.2千米/时,潜艇发射,NULL,NULL,1965年,苏/俄,NULL
{'$oid': '5cc93446831b973d657f2592'},TNT、黑索今、铝粉混合炸药,1265千克,,鱼雷,A184线导鱼雷,6000毫米,,意大利白头公司,爆炸物,533毫米,67千米/时,线导加主动声自导、被动声自导和主被动复合声自导,双转5对极直流串激式电动机,NULL,20世纪70年代,意大利,惯性触发引信和声引信
{'$oid': '5cc93446831b973d657f2593'},NULL,NULL,,鱼雷,89式线导鱼雷,7000毫米,,日本三菱重工业公司,爆炸物,533毫米,102千米/时,线导加主动、被动声自导,活塞式蒸汽主机,NULL,20世纪70年代初,日本,NULL
{'$oid': '5cc93446831b973d657f2594'},NULL,800千克,,鱼雷,“米拉斯”舰潜导弹,6000毫米,,意大利奥托·梅莱拉公司，法国马特拉公司,爆炸物,460毫米,NULL,捷联式惯导加指令修正制导,1台涡轮喷气主发动机和2台固体火箭助推器,NULL,1986年,法国,NULL
{'$oid': '5cc93446831b973d657f2595'},NULL,235千克,,鱼雷,ET-52鱼雷,2600毫米,,西安精密机械研究所,爆炸物,324毫米,55.56千米/时,NULL,NULL,NULL,1987年,中国,NULL
{'$oid': '5cc93446831b973d657f2596'},NULL,1500千克,,鱼雷,“玛拉丰”舰潜导弹,650毫米,"
法国航空工业公司研制的近程、亚音速巡航式舰潜导弹。亦称“玛拉丰”火箭助飞鱼雷。1956年开始研制，1965年交付使用。装备法国的“絮弗伦”级、“絮库夫”级和“图尔维尔”级驱逐舰和T-47型和T-56型护卫舰等大型水面舰艇。用以攻击水下航速小雨20节的潜艇，也由于攻击水面舰艇。
",法国航空工业公司,爆炸物,6150毫米,833千米/时,无线电指令制导,2台“金星”“固体火箭发动机,NULL,1956年,法国,NULL
{'$oid': '5cc93446831b973d657f2597'},托儿派克斯炸药,1550千克,,鱼雷,Mk24线导鱼雷,6460毫米,,英国马可尼水下系统有限公司,爆炸物,533毫米,65千米/时,线导加声自导,串激双转直流电动机,NULL,1969年,英国,触发引信和电磁引信
{'$oid': '5cc93447831b973d657f2598'},NULL,230千克,http://images.huanqiu.com/sarons/2014/04/dee9364541e46ae9e5e1aa89f7bf4715.jpg,鱼雷, MK46反潜鱼雷,2590毫米,"
该鱼雷是美国在第二次世界大战后研制的第三代轻小型通用反潜鱼雷，是世界上第一种轻小型燃气动力。声自导反潜鱼雷，可供水面舰艇、固定翼飞机、直升飞机使用，也可作为火箭助飞鱼雷的有效载荷使用。
",航空喷气电子系统公司，霍尼韦尔防务系统公司,爆炸物,324毫米,40千米/时,主/被动声自导,燃气发动机,NULL,二战后,美国,NULL
{'$oid': '5cc93447831b973d657f2599'},NULL,235千克,,鱼雷,Mk-46鱼雷,2590毫米,,霍尼韦尔公司,爆炸物,342毫米,NULL,NULL,NULL,NULL,50年代,美国,NULL
{'$oid': '5cc93447831b973d657f259a'},NULL,272千克,,鱼雷,MK7/12/13/21/24/25/32航空鱼雷,NULL,"
MK7/12/13/21/24/25/32航空鱼雷，是美国海军纳入其装备系列，构成MKI-MK50完整鱼雷系列中的机载反舰鱼雷，是航空鱼雷系列中的早期型号。MK7/13/24各型鱼雷曾装备美国海军固定翼反舰/反潜飞机。
",海军水中武器站，通用电气公司，西屋电气公司,爆炸物,482毫米,14千米/时,被动声自导,电动机,NULL,NULL,美国,NULL
{'$oid': '5cc93447831b973d657f259b'},PBXN-102炸药,1582千克,,鱼雷,Mk48线导鱼雷,5850毫米,,NULL,爆炸物,533毫米,111千米/时,线导加主动、被动声自导,活塞式斜盘机,NULL,20世纪60年代,美国,触发引信和近炸引信
{'$oid': '5cc93447831b973d657f259c'},NULL,230千克,,鱼雷,MK42/43反潜鱼雷,2450毫米,"
该鱼雷是美国在第二次世界大战之后研制的第一代小型通用反潜鱼雷，曾装备美国海军反潜飞机。50年代开始研制，50年代中期开始服役。
",通用电气公司,爆炸物,324毫米,30千米/时,主/被动声自导,电动机,NULL,二战后,美国,NULL
{'$oid': '5cc93448831b973d657f259d'},NULL,360千克,http://images.huanqiu.com/sarons/2014/04/647578ec085228f0a69ea4fd6fd7bafe.jpg,鱼雷,MK50反潜鱼雷,2890毫米,"
该鱼雷是美国在第二次世界大战之后研制的第四代小型通用反潜鱼雷，既可空投、也可由水面舰艇投放，既可反潜又可攻击水面舰艇。装备美国海军反潜飞机。
",霍尼韦尔防务系统公司，加雷特公司,爆炸物,324毫米,50千米/时,主/被动声自导,汽轮发动机,NULL,二战后,美国,NULL
{'$oid': '5cc93448831b973d657f259e'},NULL,524千克,,鱼雷, MK34/41航空反潜鱼雷,3120毫米,"
MK34/41鱼雷是美国在第二次世界大战后研制的第一代重型航空反潜鱼雷，属于直径400mm为界分类的、重型反潜鱼雷之列。由于该重型鱼雷对载机弹量和弹舱容积有较高的要求，加上自身航速慢、潜深小，不能满足对战后新出现的高速潜艇的攻击要求，二战后研制的第一代小型反潜鱼雷—MK43通用反潜鱼雷所取代。
",美国机械铸造公司，通用公司,爆炸物,482毫米,12千米/时,被动声自导,电动机,NULL,二战后,美国,NULL
{'$oid': '5cc93448831b973d657f259f'},常规装药,1414千克,,鱼雷,SST-4线导鱼雷,6080毫米,,联邦德国STN阿特拉斯电子公司,爆炸物,533毫米,65千米/时,线导加主动、被动声自导,电动机,NULL,20世纪70年代,德国,触发引信
{'$oid': '5cc93448831b973d657f25a0'},NULL,230千克,,鱼雷,哈特托普操练鱼雷,2600毫米,"
该操练鱼雷由霍尼韦尔防务系统公司、现阿里扬技术系统公司为美国海军海军研制的低成本、低风险的训练鱼雷。该鱼雷该操雷装备美国海军和其他国家海军。
",霍尼韦尔防务系统公司,爆炸物,325毫米,NULL,无,无,NULL,NULL,美国,NULL
{'$oid': '5cc93449831b973d657f25a1'},高聚物粘结炸药,296千克,,鱼雷,A290线导鱼雷,2750毫米,,意大利白头公司,爆炸物,324毫米,105千米/时,线导加主动、被动复合声自导,单转直流电机,NULL,1984年,意大利,NULL
{'$oid': '5cc93449831b973d657f25a2'},NULL,550千克,,鱼雷,“伊卡拉”M1舰潜导弹,3430毫米,,澳大利亚航空航天技术公司,爆炸物,NULL,NULL,无线电指令制导,1台“姆拉瓦”助推-巡航组合式固体火箭发动机,NULL,1959年,澳大利亚,NULL
{'$oid': '5cc93449831b973d657f25a3'},聚能炸药,295千克,,鱼雷,NTL90自导鱼雷,2960毫米,,法国海军技术装备局,爆炸物,324毫米,99千米/时,主动、被动声自导,永磁电机,NULL,1982年,法国,NULL
{'$oid': '5cc93449831b973d657f25a4'},NULL,330千克,,鱼雷,TP43反潜鱼雷,2850毫米,"
TP43反潜鱼雷系瑞典在第二次世界大战后研制的第三代通用反潜鱼雷，以取代其于1976年开始服役的、直径400mm级的TP42第二代通用反潜鱼雷，仍由瑞典原法伦多纳公司、现博福斯水下系统公司(Bofors Underwater Systems)于1984年开始研制，1987年开始进入瑞典皇家海军服役，装备瑞典海军的固定翼反潜飞机、反潜直升机、水面舰艇和潜艇。
",法伦多纳公司,爆炸物,400毫米,NULL,线导/被动声自导,电动机,NULL,1984年,瑞典,NULL
{'$oid': '5cc93449831b973d657f25a5'},NULL,265千克,,鱼雷,虹鱼反潜鱼雷,2600毫米,"
该鱼雷是为了替换MK46反潜鱼雷，由原马可尼空间防务公司水下武器系统部、现马可尼水下系统公司1977年研制的。1986年开始进入英国皇家海军/空军服役，装备水面舰艇、固定翼飞机和反潜直升机。
",马可尼空间防务公司水下武器系统部,爆炸物,324毫米,45千米/时,主/被动声自导,带喷水式推进器的电动机,NULL,1977年,英国,NULL
{'$oid': '5cc9344a831b973d657f25a6'},NULL,525千克,,鱼雷,L-4反潜鱼雷,3130毫米,"
该鱼雷是法国在第二次世界大战后采用法西斯德国的鱼雷技术研制的一系列鱼雷武器中唯一幸存下来的航空反潜鱼雷。50年代末开始研制，1964年开始进入法国海军服役，装备固定翼反潜飞机和反潜直升机，同时还可用作舰载“马拉丰”反潜导弹的战斗部。
",法国国防部舰艇制造局，法国国防部舰艇武器制造局,爆炸物,533.4毫米,30千米/时,主/被动声自导,电动机,NULL,20世纪50年代末,法国,NULL
{'$oid': '5cc9344a831b973d657f25a7'},NULL,NULL,,鱼雷,G-RX-4航空反潜鱼雷,NULL,"
该鱼雷是日本在第二次世界大战后研制的新一代航空反潜鱼雷，以取代G-RX-3航空反潜鱼雷。1987年三菱重工业公司开始为日本海上自卫队研制G-RX-4，1989年进行试验，目前该鱼雷仍在研制中。
",三菱重工业公司,爆炸物,324毫米,NULL,NULL,NULL,NULL,1987年,日本,NULL
{'$oid': '5cc9344a831b973d657f25a8'},NULL,220千克,,鱼雷,A-244/A-290反潜鱼雷,2700毫米,"
A-244鱼雷是意大利在第二次世界大战后研制的轻小型通用反潜鱼雷，拟取代引进美国的MK44鱼雷，该鱼雷由白头公司60年代开始研制的，1971年服役，1980年停产，装备意大利海军的反潜飞机和反潜直升机，以及水面舰艇，并向多个国家出口。A-290因未能投入生产而未能装备使用。
",白头公司,爆炸物,324毫米,NULL,主/被动声自导,电动机,NULL,20世纪60年代,意大利,NULL
{'$oid': '5cc9344a831b973d657f25a9'},NULL,330千克,,鱼雷,TP45反潜鱼雷,2800毫米,"
TP45反潜鱼雷系瑞典在第二次世界大战后研制的第四代通用反潜鱼雷，以取代其于1987年开始服役的、直径400mm级的TP43第三代通用反潜鱼雷，由瑞典原法伦多纳公司、现博福斯水下系统公司(Bofors Underwater Systems)于1989年开始研制，装备瑞典海军的固定翼反潜飞机、反潜直升机、水面舰艇和潜艇。
",法伦多纳公司,爆炸物,400毫米,NULL,线导/被动声自导,电动机,NULL,1989年,瑞典,NULL
{'$oid': '5cc9344a831b973d657f25aa'},NULL,575千克,,鱼雷,“阿波尔”-2Э航空反潜鱼雷,3700毫米,"
АПР-2Э(APR-2E)是俄罗斯的新一代轻型航空反潜鱼雷，1992年首次在法国巴黎航展上露面，装备反潜飞机和直升机，攻击现代高速潜艇。
",全俄防务出口公司,爆炸物,350毫米,62千米/时,水声(带水声相位修正),1台固体火箭发动机,NULL,1992年,苏/俄,NULL
{'$oid': '5cc9344b831b973d657f25ab'},聚能炸药,275千克,http://images.huanqiu.com/sarons/2014/04/354f8a790720d187686ec68d64d43596.jpg,鱼雷,MU-90反潜鱼雷,3000毫米,"
MU90是由法国和意大利两国联合组建的欧洲鱼雷公司研制的一种性能更长、能满足未来反潜战要求的、新一代轻小型通用反潜鱼雷。该雷可供水面舰艇、反潜直升机、固定翼飞机使用，用于对付能快速机动、有隐身能力、使用主/被动对抗器材的各种核动力潜艇和常规潜艇。目前还处于研制中。
",欧洲鱼雷GIE公司,爆炸物,324毫米,NULL,惯性制导，主动声制导,电动机,NULL,1992年,法国,NULL
