_id,装药类型,全重,图片,类型,名称,弹长,简介,研发单位,大类,弹径,关注度,研制时间,产国
{'$oid': '5cc93450831b973d657f25ca'},10-25千吨TNT当量,500千克,,原子弹,AN51/52型核弹,1500毫米,,NULL,爆炸物,650毫米,NULL,1971年,法国
{'$oid': '5cc93450831b973d657f25cb'},钚-239，20千吨TNT当量,NULL,,原子弹,“蓝色多瑙河”核炸弹,7000毫米,,英国皇家飞机署,爆炸物,NULL,NULL,1952年,英国
{'$oid': '5cc93450831b973d657f25cc'},NULL,4903千克,,原子弹,Mk 4原子弹,3251.2毫米,"
MK4型核炸弹是一款内爆型原子弹，以和MK3相同的基本核裂变原理为基础。它装有比MK3-1型武器更好的引信和点火电路，并使用与MK3-0型相同的基本电路。
",洛斯阿拉莫斯实验室,爆炸物,1524毫米,NULL,NULL,美国
{'$oid': '5cc93450831b973d657f25cd'},60千吨TNT当量,1500千克,,原子弹,AN11/22型核炸弹,NULL,,NULL,爆炸物,NULL,NULL,1962年,法国
{'$oid': '5cc93451831b973d657f25ce'},铀-235，400千吨TNT当量,NULL,,原子弹,PДC-6C型核炸弹,NULL,,NULL,爆炸物,NULL,(5分),1953年,苏/俄
{'$oid': '5cc93451831b973d657f25cf'},铀-235，15-20千吨TNT当量,1490千克,,原子弹,Mk8/11钻地核炸弹,2950毫米,,NULL,爆炸物,370毫米,NULL,1948年,美国
{'$oid': '5cc93451831b973d657f25d0'},铀-235，1-2千吨TNT当量,231千克,,原子弹,Mk57战术核炸弹,3020毫米,,洛斯·阿拉莫斯国家研究所,爆炸物,380毫米,NULL,1957年,美国
{'$oid': '5cc93451831b973d657f25d1'},铀-235，15千吨TNT当量,364千克,,原子弹,Mk系列核炮弹,1380毫米,,NULL,爆炸物,280毫米,(5分),1950年,美国
{'$oid': '5cc93451831b973d657f25d2'},铀-235和钚-239组合，60-80千吨TNT当量,1440千克,,原子弹,Mk5核炸弹,3350毫米,,NULL,爆炸物,1110毫米,NULL,1948年,美国
{'$oid': '5cc93452831b973d657f25d3'},钚-239，22千吨TNT当量,4700千克,,原子弹,PДC-1/2/3型原子弹,3300毫米,,NULL,爆炸物,1500毫米,NULL,1949年,苏/俄
{'$oid': '5cc93452831b973d657f25d4'},铀-235，10-20千吨TNT当量,544千克,,原子弹,Mk12核炸弹,3430毫米,,NULL,爆炸物,560毫米,NULL,1951年,美国
{'$oid': '5cc93452831b973d657f25d5'},高浓铀，500千吨TNT当量,700千克,,原子弹,MR41型潜地导弹核弹头,NULL,,NULL,爆炸物,NULL,NULL,1966年,法国
{'$oid': '5cc93452831b973d657f25d6'},1.5千吨TNT当量,99千克,,原子弹,W25核战斗部,NULL,,洛斯·阿拉莫斯国家研究所,爆炸物,NULL,NULL,1954年,美国
{'$oid': '5cc93453831b973d657f25d7'},15千吨TNT当量,NULL,,原子弹,W34多用途核战斗部,NULL,,洛斯·阿拉莫斯国家研究所,爆炸物,NULL,NULL,1954年,美国
{'$oid': '5cc93453831b973d657f25d8'},15千吨TNT当量,4000千克,,原子弹,“小男孩”核炸弹,3000毫米,,NULL,爆炸物,710毫米,NULL,1945年,美国
{'$oid': '5cc93453831b973d657f25d9'},21千吨TNT当量,4672千克,,原子弹,“胖子”核炸弹,3200毫米,,NULL,爆炸物,1520毫米,NULL,1945年,美国
{'$oid': '5cc93453831b973d657f25da'},0.1千吨TNT当量,58千克,,原子弹,W48核炮弹,860毫米,,洛斯·阿拉莫斯国家研究所,爆炸物,155毫米,NULL,1957年,美国
{'$oid': '5cc93453831b973d657f25db'},1千吨TNT当量,127千克,,原子弹,W44鱼雷核战斗部,NULL,,洛斯·阿拉莫斯国家研究所,爆炸物,NULL,NULL,1955年,美国
{'$oid': '5cc93453831b973d657f25dc'},0.5千吨TNT当量,127千克,,原子弹,W30多用途核战斗部,1780毫米,,洛斯·阿拉莫斯国家研究所,爆炸物,560毫米,NULL,1951年,美国
{'$oid': '5cc93453831b973d657f25dd'},5-20千吨TNT当量,746千克,,原子弹,“红须”核炸弹,3600毫米,,英国原子武器研究院,爆炸物,910毫米,NULL,1954年,英国
