国家,生产厂商
美国,费城海军造船厂
NULL,NULL
法国,法国布勒斯特海军船厂
法国,法国太平洋船厂，布雷斯特船厂
英国,维克斯公司
法国,布雷斯特海军造船厂
新加坡,共和国工程公司
希腊,希腊船厂
韩国,韩进重工业公司
美国,英格尔斯造船公司
日本,三井重工玉野造船厂
美国,洛克希德造船公司
美国,美国费城海军造船厂
荷兰,荷兰皇家须尔德造船厂
英国,维克斯造船与工程有限公司
美国,英格尔斯船厂
美国,诺斯罗普·格鲁曼公司
中国,长沙船舶厂
中国,海军舰艇研究院708所
中国,长沙造船厂
中国,上海中华造船厂
中国,9308厂
中国,上海沪东造船厂和大连造船厂
中国,708所
中国,大连造船厂
西班牙,纳凡蒂亚
中国,上海求新造船厂
中国,广船国际
中国,广州造船厂
中国,黄埔造船厂
中国,Komandram Fedko级AOR，乌克兰Kherson船厂
中国,沪东造船厂
中国,上海沪东造船厂
中国,中华造船厂
中国,708所4室设计，桂江造船厂（449厂）
中国,中国沪东中华造船集团
中国,广州造船厂，芜湖造船厂
中国,江南造船厂
中国,武昌造船厂
中国,渤海造船厂
中国,江西江新造船厂
中国,芜湖造船厂
中国,中国船舶工业总公司芜湖造船厂
中国,桂江造船厂
中国,江南造船（集团）有限责任公司
中国,中船集团所属433厂
阿联酋,酋长国海事技术公司(Emirates Marine Technologies)(阿拉伯联合酋长国)
克罗地亚,斯普利特造船厂(克罗地亚，斯普利特)
美国,可能为诺斯洛普格鲁门公司(美国)
美国,Uniflite(美国)
美国,诺斯洛普格鲁门公司（美国）
加拿大,卡尔顿生命维护科技公司（Carleton Life Support T echnologies Ltd，加拿大）
伊朗,未知（伊朗，阿巴斯港口）
英国,Divex Ltd（英国）
英国,Divex Ltd（英国，阿伯丁）
美国,通用动力公司电船分公司(美国)，诺斯洛普格鲁门公司(
印度,苏拉特的ABG造船厂
印度,ABG造船厂
德国,德国吕森造船厂
英国,霍尔·罗素造船厂
中国,大连造船厂、黄埔造船厂
苏/俄,苏联阿尔玛造船厂
中国,联合造船厂
澳大利亚,奥斯塔(Austal)船厂
中国,芜湖造船厂、上海求新造船厂
挪威,挪威卑尔根机械工厂
中国,上海江南造船厂
芬兰,芬兰赫尔辛基船厂
芬兰,阿克(Aker)芬兰船厂下属的老马船厂
以色列,以色列拉姆塔公司
丹麦,丹麦造船公司
挪威,瑞典卡尔斯克鲁纳造船厂
中国,上海求新船厂
英国,英国沃斯帕桑尼克洛伏特
德国,吕尔森船厂
以色列,以色列海法造船厂
新加坡,新加坡科技工程有限公司
以色列,科伦坡船坞有限公司 
挪威,乌莫曼达尔船厂
法国,维伦纽夫-LA-嘎瑞（SFCN）船厂，洛里昂海军造船厂
德国,吕尔森公司
德国,吕尔森船厂和克勒格尔船厂
美国,美国彼得森建筑公司
中国,中国中华造船厂、中国江西造船厂
美国,本德尔海事公司(BenderMarine)(美国)
法国,诺曼底造船厂
中国,求新造船厂
瑞典,Storebro Royal Cruiser(瑞典)
中国,中国中华造船厂，中国江西造船厂
中国,西江造船厂
中国,天津新港造船厂
中国,台湾国际造船股份有限公司
巴基斯坦,卡拉奇船厂
日本,横须贺海军造船厂
英国,维克斯造船有限公司
日本,长崎三菱造船厂
苏/俄,苏联尼古拉耶夫造船厂
日本,三菱长崎造船厂
日本,横须贺海军船厂
日本,佐世保海军造船厂
日本,三菱长崎造船所
日本,吴海军工厂
日本,神户川崎造船厂
日本,浦贺造船厂
日本,佐世保工厂
日本, 佐世保海军工厂
日本,横滨船渠
日本,佐世保海军工厂
日本,吴海军造船厂
日本,横须贺海军工厂
日本,横须贺造船厂
日本,法国滨海拉塞讷地中海冶金造船厂
日本,佐世保海军工厂 
日本,神户川崎造船所
日本,横须贺海军工厂 
日本,浦贺船渠建造所
日本,川崎造船所
日本,日本三菱重工长崎船厂
日本,日本吴海军工厂
苏/俄,列宁格勒日丹诺夫造船厂
日本,英国阿姆斯特朗船厂
日本,横须贺海军造船所
苏/俄,海军上将造船厂
苏/俄,泽但诺夫船厂
苏/俄,日丹诺夫造船厂
日本,三菱造船长崎造船所 
中国,英国阿姆斯特朗公司
英国,克莱德班克 约翰·布朗船厂 
英国,查特汉姆船厂(Chatham)
中国,德国伏尔铿造船厂
英国,苏格兰克莱德班克 
德国,布洛姆与福斯船厂
英国,坎贝尔.莱德船厂
中国,中国清朝福州船政局
德国,威廉港战争海军造船厂
中国,英国朴茨茅斯造船厂
中国,德国伏尔铿船厂
德国,汉堡市布洛姆与福斯船厂
中国,马尾造船所
挪威,挪威船厂
意大利,芬坎泰里(Fincantieri)造船公司旗下的斯佩齐亚（Muggiano）船厂
英国,霍氏克罗夫特造船厂
英国,新加坡霍氏（Vosper PTY）公司丹戎禺（Tanjong Rhu )船厂
英国,英国霍尔罗素船厂
美国,布林船厂
意大利,里瓦特里戈索船厂
芬兰,Alutech ltd
日本,日本海上保安厅
英国,霍氏桑尼克罗夫特造船厂，墨西哥海军船厂 
伊朗,伊朗船舶工业公司(IRI MarineIndustries，伊朗)
德国,吕尔森造船厂
法国,Simmonneau
南非,黄貂鱼海事公司(南非)
荷兰,达门船舶有限公司
瑞典,Dockstavarvet and Gotlands Varv（瑞典）
德国,克莱珀皮船(klepper Kayaks，德国，罗森海姆)
法国,Simmonneau(法国)
英国,美洲豹海事公司
新加坡,SBEC公司(新加坡)
瑞典,Muller AG(瑞士，施皮茨)
英国,KSA(水下)有限公司
英国,罗托克公司
美国,崔奈提海事工程公司(美国)
美国,Halter Marine Equitable shipyard(美国，新奥尔良)
中国,黄埔造船长洲厂
中国,中国海监北海总队
中国,武汉武昌造船厂
中国,重庆东升船厂
中国,湖南太阳鸟游艇制造有限公司
中国,武昌船舶重工有限责任公司
美国,阿冯达造船厂
缅甸,缅甸海军造船厂
印度,果阿造船有限公司
中国,江南造船厂和武昌造船厂
德国,哈德威造船厂（HDW）
德国,哈德威造船厂（HDW ）
德国,德国哈德威造船厂（HDW）
苏/俄,红宝石设计局
澳大利亚,澳大利亚工业部
英国,英国维克斯造船与工程有限公司（VSEL）
法国,法国DCNS公司与西班牙Navantia公司（IZAR）
中国,Wilton-Fyenood造船厂
瑞典,瑞典考库姆公司
日本,日本三菱重工业神户造船所，川崎造船神户工场
日本,日本三菱重工业神户造船所和川崎造船神戸工场
荷兰,鹿特丹干船坞公司
日本,日本三菱重工业神户造船所，川崎重工神户造船厂
瑞典,英国考库姆公司
瑞典,瑞典考库姆造船公司
意大利,意大利芬坎特里造船公司蒙法尔科内造船厂
意大利,Cosmos Spa(意大利，里窝那)
意大利,Cosmos SpA(意大利，里窝那)(巴基斯坦特许生产)
意大利,Cosmcs SpA(意人利，里窝那)
德国, 霍瓦特-德意志造船厂(德国)
朝鲜,新浦(朝鲜)
意大利,Cosmos SpA(意大利，里窝那)
中国,武昌造船厂，江南造船厂
中国,武昌制造厂，江南制造厂
朝鲜,Yukdaesu-ri shipyard(朝鲜)
苏/俄,共青城造船厂
中国,武汉造船厂，江南造船厂
苏/俄,阿穆尔共青城北德文斯克
法国,DCNS公司
苏/俄,红色索尔莫沃工厂，黑海造船厂，波罗的海工厂，共青城
法国,法国DCNS公司
苏/俄,北德文斯克的402造船厂（列宁共青团号）
苏/俄,孔雀石设计局
意大利,意大利芬坎特里造船公司
苏/俄,高尔基造船厂，望江造船厂，武昌造船厂，广州造船厂，江南造船厂，葫芦岛造船厂。
以色列,德国基尔的哈德威造船厂
瑞典,瑞典考库姆公司设计制造
美国,美国Portsmouth造船厂
德国,挪威康斯堡公司
加拿大,维克斯造船与工程有限公司
德国,船舶建设工程局
德国,U2501-2531（第一批次，建造厂布洛姆·福斯汉堡船厂）
美国,美国费城铁箍造船(厂)公司
日本,三菱重工神户造船厂（苍龙号）
美国,纽波特纽斯造船厂 
德国,德国伏尔铿造船厂 
苏/俄,朴茨茅斯造船厂
美国,纽波特纽斯造船厂
日本,吴县海军造船厂
苏/俄,苏联第四设计局
日本,长崎市三菱造船所
美国,克雷普父子造船厂
美国,霍河造船厂
美国,费城造船厂
美国,布鲁克林造船厂
美国,纽约造船厂
美国,布鲁克林造船厂 
美国,费城海军船厂
美国,纽约海军造船厂
美国,纽约造船厂 
美国,克雷普父子造船厂（William Cramp & Sons Ship & Engine Building Co.）
美国,联合钢铁造船厂
意大利,迪斯塔比亚造船厂
美国,克雷普父子造船厂 
美国,莫兰兄弟造船厂 
美国,霍河造船厂 
意大利,拉斯佩齐亚船厂
美国,旧金山联合钢铁造船厂
美国,诺福克造船厂
美国,马尔岛海军造船厂
日本,吴海军工厂(扶桑号)
日本,吴市吴海军工厂（长门号）
日本,英国维克斯船厂（金刚号战列舰）
日本,川崎重工业神户造船所
日本,川崎重工神户造船所(伊势号战列舰）
美国,巴斯钢铁厂
日本,吴市吴海军工厂（大和号）
日本,三菱重工长崎造船所
日本,吴海军工厂造船船坞
日本,神户市川崎造船所
意大利,亚德里亚海联合造船厂
日本,横须贺工厂
德国,德国伏尔铿造船厂
英国,维克斯·阿姆斯特朗船厂（英王乔治五世号）
意大利,奥德罗造船厂
德国,汉堡布洛姆·福斯船厂
法国,布雷斯特船厂，洛里昂船厂，圣纳泽尔船厂
意大利,奥德罗船厂
中国,中国造船公司高雄厂
美国,美国洛克希德造船与结构公司
中国,上海沪东中华造船厂， 广州黄埔造船有限公司
比利时,英国科克尔船厂
西班牙,卡塔赫纳船厂
加拿大,圣约翰造船有限公司
德国,原联邦德国霍瓦兹造船公司
丹麦,丹麦爱尔堡造船厂（Aalborg Yard Ltd）
中国,上海沪东中华造船厂
荷兰,皇家斯凯尔德造船厂
荷兰,荷兰达门斯海尔德海军造船厂
法国,DCNS造船厂
英国,BAE系统公司苏格吐温造船厂
