图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/07/24fb11f49994fdebc04461b923a69579.jpg,NULL,中国台湾仍有服役,8450吨,NULL,费城海军造船厂,14/15节航速下航程14250英里,NULL,NULL,21.2米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,168.2米,美国,NULL,20节,NULL,“新港” (Newport)级两栖人员登陆舰/坦克登陆舰,1966年,{'$oid': '5cc931de831b973d657f1740'},NULL,1968年,5000-10000吨,1969年
NULL,072型两栖登陆舰,NULL,20000吨,"
071型大型船坞登陆舰，北约称为玉统级，是中国第一款自主设计的船坞登陆舰，首舰于2006年6月开工，2006年12月20日下水，2008年服役于南海舰队，命名为998昆仑山号。二号舰于2010年11月18日下水，命名为999井冈山号，2012年春节前服役于南海舰队。第三艘于2011年9月26日下水。第四艘于2012年农历春节之际在上海沪东造船厂下水。
",NULL,11000公里,NULL,NULL,28米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,210米,中国,NULL,22节,NULL,071型船坞登陆舰,2006年6月,{'$oid': '5cc931de831b973d657f1741'},(4分),2006年12月20日,10000-50000吨,2007年11月30日
http://images.huanqiu.com/sarons/2013/07/10911b6ec7f6b401144d3c81f9b09981.jpg,NULL,NULL,12400吨,"
“闪电”级用于装甲部队登陆和支援，使法国海军能够迅速部署一支军事力量。两艘“闪电”级全部在位于布雷思特(Brest)法国舰艇建造局（DCN）海军造船厂建造，分配到法国战斗海军土伦（Toulon）基地地中海司令部。
",法国布勒斯特海军船厂,15节航速下11000英里,NULL,NULL,23.5米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,168米,法国,NULL,21节,NULL,“闪电”(Foudre)(TCD90型)级船坞登陆舰,1986年,{'$oid': '5cc931df831b973d657f1742'},NULL,NULL,10000-50000吨,1990年
http://images.huanqiu.com/sarons/2013/07/2bf6224faa4d30caca3679f67154a133.jpg,NULL,NULL,12150吨,NULL,NULL,18节航速下10000英里,NULL,NULL,25.6米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,155.5米,法国,NULL,22.5节,NULL,‘塞阿拉”（Ceara）（“托马斯顿”）级船坞登陆舰,1953年－1956年,{'$oid': '5cc931df831b973d657f1743'},NULL,NULL,10000-50000吨,1954年－1990年
http://images.huanqiu.com/sarons/2013/07/646102732400e455fe5df03b37404fee.jpg,Foudre级,3艘服役中，4艘计划中,21500吨,NULL,法国太平洋船厂，布雷斯特船厂,15节航速下11000英里,NULL,NULL,32米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,199米,法国,NULL,19节,NULL,“西北风”(Mistral)级两栖攻击舰／多用途两柄舰,2003年,{'$oid': '5cc931df831b973d657f1744'},(4.9分),2004年,10000-50000吨,2005年
http://images.huanqiu.com/sarons/2013/07/8b08eda8ed739ea2858f1537bec21623.jpg,NULL,服役中,18500吨,NULL,维克斯公司,15节航速时航程8000英里,NULL,NULL,28.9米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,176米,英国,NULL,18节,“堡垒”号(L 15),海神之子”(Albion)级船坞式两栖运输舰,1998年5月22日,{'$oid': '5cc931df831b973d657f1745'},NULL,2001年3月,10000-50000吨,2003年3月
http://images.huanqiu.com/sarons/2013/07/fef44ce5f9ad256ee44d13bd7afbe8f6.jpg,NULL,NULL,8500吨,"“暴风”级是法国于1962年开始建造的第一代两栖船坞式登陆舰。该级舰包括""暴风""和""暴风雨""两艘，由布雷斯特海军造船厂建造，分别于1965年和1968年建成服役。该级登陆舰集货船、运输舰、浮力船坞、登陆艇母舰及指挥舰等两栖登陆作战功能于一身，主要任务是装运登陆艇和兵员，实施大规模两栖登陆作战或远洋快速登陆作战。""暴风""号主要在法国本土与塔西提岛之间运输物资；""暴风雨""号则在南太平洋那努瓦环礁的核试验场参与试验。",布雷斯特海军造船厂,15节航速下9000英里,NULL,NULL,23米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,149米,法国,NULL,17节,“暴风”号(L9021)，“暴风雨”号(L 9022),“暴风”（Ouragan）级船坞登陆舰,1962年,{'$oid': '5cc931df831b973d657f1746'},NULL,NULL,5000-10000吨,1965年
NULL,NULL,NULL,1950吨,"
90年代东西两德合并后，德国把原东德海军的舰艇大量抛售，几乎被印尼全包。近20艘“蛙”级坦克登陆舰被出售，排水量过千吨，航速18节，不过威力实在太小，只能对付小型舰艇，对大中型主战舰艇几乎起不了作用。
",NULL,不详,NULL,NULL,11.1米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,98米,德国,NULL,18节,NULL,“蛙”(Frosch)l级(108型)中型登陆舰(LSM),未知,{'$oid': '5cc931df831b973d657f1747'},NULL,NULL,500-2000吨,1975年-1990年
http://images.huanqiu.com/sarons/2013/07/2e3dfb5cf4d3b892ad1dfb81af93381e.jpg,NULL,NULL,8500吨,NULL,共和国工程公司,12节航速时航程10 400英里,NULL,NULL,21米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,141米,新加坡,NULL,15节,3艘,“坚韧”(Endurance)级船坞式两栖运输舰,1997年,{'$oid': '5cc931df831b973d657f1748'},NULL,1998年3月14日,5000-10000吨,1999年
http://images.huanqiu.com/sarons/2013/07/250a171354d18e649f76624bebc858f6.jpg,NULL,现役,4400吨,NULL,希腊船厂,未知,NULL,NULL,15.3米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,116米,希腊,NULL,16节,NULL,“杰森”(Jason)级坦克登陆舰,1993年-2000年,{'$oid': '5cc931df831b973d657f1749'},NULL,NULL,2000-5000吨,1994年至今
