大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,关注度,宽度,简介,最大速度,战斗全重
坦克装甲车辆,主战坦克,AMX-13轻型坦克,1948年,克勒索-卢瓦尔工业公司 ,2.35米,{'$oid': '5cc932c1831b973d657f1d3d'},http://images.huanqiu.com/sarons/2013/11/c481a79972e768d4c0abc8d2d2908cda.jpg,法国,履带式,3人,6.36米,400公里,NULL,2.51米,"
AMX-13轻型坦克是第二次世界大战结束后不久，法国陆军提出装备三种新型装甲战车的其中一种，为新式轻型坦克，随后由伊希莱姆利诺制造厂研制并定名为AMX-13。至20世纪40年代后期完成了第一批样车的制造，于1952年正式在罗昂制造厂投产。AMX-13轻型坦克作为法国二战后第一代轻型坦克，首创了自动装弹机，成为第一款可以自动填装炮弹的坦克。
",60公里/小时,15000千克
坦克装甲车辆,主战坦克,74式主战坦克,1962年,三菱重工业公司,2.48米,{'$oid': '5cc932c1831b973d657f1d3e'},http://images.huanqiu.com/sarons/2013/11/21360680861c71ee9cb80f529bc86b9f.jpg,日本,履带式,4人,9.42米,400公里,NULL,3.18米,"
74式坦克是日本陆上自卫队的一款主战坦克，设计与生产皆由三菱重工业完成，用以取代早期的61式坦克，并与美国的M60巴顿和德国的豹-I型坦克齐名，和它们一样，该车也搭载了口径105毫米的L7A1坦克炮。
",60公里/小时,38000千克
坦克装甲车辆,主战坦克,T-54/T-55主战坦克,1945年,莫洛佐夫设计局，OKB-520设计局,2.4米,{'$oid': '5cc932c2831b973d657f1d3f'},http://images.huanqiu.com/sarons/2013/11/8a28da1fa26ca70b9a8c5a1cab4ac3bd.jpg,苏/俄,履带式,4人,9米,510公里,NULL,3.27米,T-54/T-55主战坦克是由原苏联设计的主战坦克。其原型于二战结束前的1945年3月问世，量产则开始于1947年。其后，T-54/55型坦克迅速成为苏联及华约国家的装甲主力，并被输出到众多国家（主要是社会主义各国和第三世界国家）。因而，T-54/55型坦克几乎参加了20世纪后半叶的几乎所有武装冲突。T-54/55系列坦克也是有史以来产量最大的坦克，其总数据估计高达86000-100000辆。T-54/55系列坦克主要在中东战争中与西方坦克交手，这一型号的装备促成了美国第一种主战坦克——M60的诞生。,50公里/小时,36000千克
坦克装甲车辆,主战坦克,OF-40主战坦克 ,1980年,奥托·梅拉拉公司，菲亚特公司（OTO Melara SPA、FIAT SPA，IT）,2.68米,{'$oid': '5cc932c2831b973d657f1d40'},http://images.huanqiu.com/sarons/2013/11/08966a99061c6521f424ebd0193eecbc.jpg,意大利,履带式,4人,9.222米,600公里,NULL,3.51米,    OF-40，是奥托·梅莱拉公司1977年专门为开发国外市场而自行投资研制的。主要针对发展中国家，尤其是中东国家的需要。因为这些国家需要新坦克，但又感到像M1、豹-II和挑战者等先进坦克过于昂贵。该坦克是在豹-I主战坦克基础上改进而成，第一个型号OF 40MK1坦克的第一辆样车于1980年制成，其部件类似于后期生产的豹-IA4坦克。坦克型号的含义是，OF代表两家公司的第一个字母，40表示该坦克的战斗全重约40吨。,60公里/小时,45500千克
坦克装甲车辆,主战坦克,MBT-2000“哈立德”主战坦克,1992年,巴基斯坦塔克希拉兵工厂，中国北方工业公司,2.3米,{'$oid': '5cc932c2831b973d657f1d41'},http://images.huanqiu.com/sarons/2013/11/1fbe34bbb2f8833cef19f35fa5547599.jpg,中国,履带式,3人,10.07米,430公里,NULL,3.4米,"
“哈利德”(Khalid)，又名MBT 2000，是巴基斯坦与中国北方工业公司于1988年签署协议后合作研制的。该协议包括改进现役的59式主战坦克以及在巴基斯坦国内生产69-II式、85式和“哈利德”主战坦克系列。经过对样车实验后，在批量生产前，第一批预生产车型坦克已经完成生产。
",70公里/小时,48000千克
坦克装甲车辆,主战坦克,AMX-56主战坦克,1986年,GIAT工业,2.53米,{'$oid': '5cc932c2831b973d657f1d42'},http://images.huanqiu.com/sarons/2013/11/dd39f71fd9ab1349b5fdef8b84ca145d.jpg,法国,履带式,3人,9.87米,550公里,NULL,3.71米,"
AMX-56勒克莱尔(AMX-56 Leclerc，又名雷克勒)主战坦克是由法国制造厂GIAT工业(GIAT Industries)研制，它取代了旧有的AMX-30主力战车。勒克莱尔之名是为了纪念法国名将菲利浦·勒克莱尔元帅(1902~1947)，他在解放巴黎时是进入巴黎的自由法国第二装甲师师长。
",72公里/小时,56500千克
坦克装甲车辆,主战坦克,69式主战坦克,1980年,中国北方工业公司,2.807米,{'$oid': '5cc932c2831b973d657f1d43'},http://images.huanqiu.com/sarons/2014/05/80cffbf3aacb933040bcff4bf0c7e265.jpg,中国,履带式,4人,8.859米,440公里,NULL,3.307米,"
69式主战坦克是中国首次独立设计的主战坦克。该车于六十年代开始研制，七十年代初设计定型。以后经过几次改进，其型号不断扩展，从而形成了69式坦克车族。69式的研制为中国培养了一批坦克设计人才，这对中国的坦克发展有着重要意义。
",50公里/小时,36700千克
坦克装甲车辆,主战坦克,TAM坦克,1974年（阿根廷1979年）,德国Thyssen Henschel公司(2000年与莱茵金属合并),2.43米,{'$oid': '5cc932c2831b973d657f1d44'},http://images.huanqiu.com/sarons/2013/11/15eaaef6f792714bdd6f05c9683712d1.jpg,阿根廷,履带式,4人,8.23米,940公里,NULL,3.29米,"
TAM的全名是Tanque Argentino Mediano(即阿根廷中型坦克)目前服役于阿根廷陆军，在缺乏坦克制造经验与资源的情形下，阿根廷国防部发包给德国Thyssen Henschel公司(2000年与莱茵金属合并)。车体是由德国与阿根廷的工程师团队共同研发，其底盘是以德国貂鼠式步兵战车为基础。
",75公里/小时,30千克
坦克装甲车辆,主战坦克,M1A1/M1A2“艾布拉姆斯”,1979年,克莱斯勒汽车公司防务部门,2.375米,{'$oid': '5cc932c2831b973d657f1d45'},http://images.huanqiu.com/sarons/2013/11/377d5ced16383a223da2573adfdfe71b.jpg,美国,履带式,4人,9.83米,426公里,(4.9分),3.657米,"
美国陆军于1979年推出了M1“艾布拉布斯”系列主战坦克。当时这种新型坦克集高速、敏捷、火力和先进装甲于一体，曾盛极一时。1984年，M1A1坦克定型，1985年开始生产，1986年正式装备。

M1A2坦克是M1A1的第二阶段改进产品，首辆于1992年出厂，1993年开始装备部队。经反复实弹射击试验证明，其装甲防护能力尤为突出。这种装甲防护与惊人的快速性和机动性、核生化防护、自动灭火以及弹药舱相结合，能够保证乘员绝对安全。它的支援能力、杀伤力和作战性能堪称为空前绝后的地面作战系统。
",67.6公里/小时,63086千克
坦克装甲车辆,主战坦克,C-1“公羊”主战坦克,1986年,奥托·梅莱拉公司，依维柯公司 ，菲亚特公司，塞克尔公司,2.5米,{'$oid': '5cc932c2831b973d657f1d46'},http://images.huanqiu.com/sarons/2013/11/aac20aef602ffe2de6e554053fef0eee.jpg,意大利,履带式,4人,9.669米,550公里,NULL,3.601米,意大利公羊主战坦克，也称为C-1“公羊”主战坦克，是意大利军方20世纪90年代研制成功的第3代主战坦克。新的主战坦克的原型车被命名为Ariete公羊（意大利语)，“公羊”坦克作为意大利装甲部队最为重要的组成部分，于1986年设计完成。1988年与其他的战车一起通过了意大利军队的全面测试。“公羊”坦克采用复合装甲，并可挂装反应式装甲，炮塔正面倾斜角度较大，外形很像美国的M1A1主战坦克。,65公里/小时,54000千克
坦克装甲车辆,主战坦克,M60A3主战坦克 ,1979年5月,通用动力公司地面系统分部,3.27米,{'$oid': '5cc932c2831b973d657f1d47'},http://images.huanqiu.com/sarons/2013/11/7ed2a0761c44a8284fa185d68e9b2fe2.jpg,美国,履带式,4人,9.436米,480公里,(4.2分),3.631米,"
   M60A3是美国M60“巴顿”系列中的终极改进型主战坦克，号称“终极巴顿”，1971年开始研制，其研制代号为M60A1E3。它安装了可靠性得到提高的发动机和被动观瞄仪，1978年又做了安装新的测距仪、弹道计算机、M240高射机枪和M239烟幕弹发射器等4项改进。首批M60A3坦克于 1978年2月在底特律坦克厂下线，1979年5月首批M60A3坦克交付驻联邦德国的美国第五军第一装甲师装备。
",48.28公里/小时,52617千克
坦克装甲车辆,主战坦克,T-62主战坦克,20世纪60年代初,前捷克斯洛伐克、朝鲜和俄罗斯的国营军工企业,2.395米,{'$oid': '5cc932c2831b973d657f1d48'},http://images.huanqiu.com/sarons/2013/11/6265056b9ed08f6161a0a27cad3ed444.jpg,苏/俄,履带式,4人,9.935米,450公里,NULL,3.3米,T-62是前苏联研制的主战坦克，是在T-55型主战坦克基础上发展而来的。其115毫米滑膛炮是世界上第一种实用的滑膛坦克炮。但该坦克大量用于1973年中东战争，从实战中暴露出射击速度慢、火炮俯角小、115毫米滑膛炮及其火控系统不如以色列105毫米线膛炮等缺点和问题，有待改进和发展。,50公里/小时,40000千克
