飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/25ea0dd8d7e5fd17c74b1e9806fdfef5.jpg,埃隆卡公司,2人,埃隆卡O-58“蚱蜢”，是第二次世界大战末期，埃隆卡公司为美国陆军设计制造的一款用于军事观察或联络的轻型飞机。战争期间被大量制造，主要用于情报侦察和联络运输，是美国陆军航空队成立之初使用的飞机，同时也是埃隆卡公司最成功的产品之一。,350千米,大陆O-170-3发动机,NULL,单发,飞行器,侦察机,美国,NULL,379千克,10.67米,139千米每小时,埃隆卡O-58“蚱蜢”轻型观察机,{'$oid': '5cc930f4831b973d657f11bb'},1941年,NULL,2.34米,1941年,590千克,平直翼,6.4米
亚音速,http://images.huanqiu.com/sarons/2013/07/7d8b162b3dc0b9029f3b4f451edf5dd4.jpg,伯林纳·乔伊斯（Berliner Joyce）公司,2人,"
柏林纳-乔伊斯OJ-2侦察机，是1929年伯林纳-乔伊斯公司应美国海军航空航天局的公开招标，研发分一种可以在奥马哈级巡洋舰上使用的轻型飞机，最大起飞重量不超过1700千克。
",816千米,普-惠R-985-A“小黄蜂”发动机,NULL,单发,飞行器,侦察机,美国,NULL,1143千克,10.3米,242千米每小时,柏林纳-乔伊斯OJ-2侦察机,{'$oid': '5cc930f4831b973d657f11bc'},1931年年初,NULL,3.41米,NULL,1646千克,平直翼,7.86米
亚音速,http://images.huanqiu.com/sarons/2013/08/7fe4f0cc41b234a525d04ab95f8feafc.jpg,NULL,7人,P-2海王星巡逻机（英文：P-2 Neptune）是美国洛克希德公司设计生产的一种海上巡逻机，被世界许多国家所采用，主要用途为海上巡逻、侦察和反潜作战，该机可以外加2具喷气引擎达成螺旋桨和喷气双引擎模式，低速巡航时可以只启动螺旋桨系统，高速时则同时启动4具引擎。,6288千米,两台莱特R-3350-26发动机,洛克希德公司,双发,飞行器,侦察机,美国,NULL,15833千克,30.48米,539千米每小时,P2V/P-2“海王星”,{'$oid': '5cc930f5831b973d657f11bd'},1945年5月17日,NULL,18.58米,1947年4月,29075千克,平直翼,23.7米
亚音速,NULL,比奇飞机公司,1人,"
比奇U/QU-22是一种单座单发电子侦察机，U-22是从商用的“富豪（Bonanza）”36型发展而来的，被美国空军购买，作为“铺路鹰（PaveEagle）”项目的一部分，在越南用作无人驾驶的电子情报收集机。
",1568千米,大陆IO-520-B,NULL,单发,飞行器,侦察机,美国,NULL,1050千克,9.78米,318千米每小时,U/QU-22,{'$oid': '5cc930f5831b973d657f11be'},1959年9月14日,NULL,2.59米,1959年,1633千克,平直翼,8.04米
亚音速,NULL,寇蒂斯公司,4人,"
1918年问世的F-5L型飞机是在英格兰建造和测试原型的设计，然后在费城海军飞机厂进行了进一步的修改，以满足在战时条件下的生产方法。 美国制造的版本叫寇蒂斯F-5L，寇蒂斯F-5L是四座双发双翼水上巡逻机。
",1328千米,两台自由12A发动机,NULL,单发,飞行器,侦察机,美国,NULL,3955千克,31.67米,144千米每小时,F-5L巡逻机,{'$oid': '5cc930f5831b973d657f11bf'}, 1918年初,NULL,5.76米,NULL,6169千克,平直翼,15.04米
亚音速,http://images.huanqiu.com/sarons/2013/08/89fa0206ea6cce27ce5c6906a4f3d47a.jpg,美国洛克希德公司,6人,NULL,640千米,人陆IO-3600发动机,NULL,单发,飞行器,侦察机,美国,NULL,1420千克,17.37米,179千米每小时,YO-3A侦察机,{'$oid': '5cc930f5831b973d657f11c0'},1969年,NULL,2.8米,NULL,1724千克,平直翼,9.14米
亚音速,http://images.huanqiu.com/sarons/2013/07/75dabc0411278da784a7b714493c9fd8.jpg,比奇飞机公司,11人,1963年5月，比奇公司开始了配备两台普-惠PT6A-6涡轮螺旋桨发动机的“空中女王（QueenAir）”试飞。第二年年初，该公司发布了新的65-90型“空中女王”，与1963年的独特的PT6A驱动的“空中女王”相比，它换用了其他发动机。1966年10月，美国陆军选中新机型进入生产，这种非增压的比奇飞机被命名为U-21A“犹他人（Ute）”。,1536千米,两台普-惠PT6A-20,NULL,双发,飞行器,侦察机,美国,NULL,1275千克,13.74米,397千米每小时,U-21“犹他人”和T-44“飞马”,{'$oid': '5cc930f5831b973d657f11c1'},1967年3月,NULL,4.32米,NULL,4377千克,平直翼,10.85米
亚音速,http://images.huanqiu.com/sarons/2013/08/8f0146183a798ae0f658e7dc993c7a68.jpg,格鲁曼公司,2人,"
OV-l“莫霍克”是回应美国陆军对于专门的战场观察平台的招标而制造的。令该机引以为荣的是它的短场起降能力、机组装甲和使它在遭受小火力攻击后仍能继续飞行的系统冗余，事实证明，“莫霍克”是理想的观察平台。
",1980千米,两台莱康明T53-L-15发动机,NULL,单发,飞行器,侦察机,美国,NULL,5020千克,14.63米,478千米每小时,OV-1“莫霍克”,{'$oid': '5cc930f6831b973d657f11c2'},1959年4月14日,NULL,3.86米,1961年2月,8722千克,NULL,12.5米
NULL,http://images.huanqiu.com/sarons/2013/08/bbeafe8e230a46c61547583672a6ce90.jpg,格伦·马丁公司,16人,"
P4M“莫卡托”，是1946年由格伦·马丁公司建造的一款海上侦察飞机。P4M“莫卡托” 是美国远程海上巡逻轰炸机项目的竞争失败者。其不同寻常之处在于，它采用了活塞与涡轮喷气双动力。
",5000千米,两台普-惠“黄蜂长”R-4360-20A发动机、两台阿里逊J-33-10A发动机,NULL,双发,飞行器,侦察机,美国,1960年5月,19695千克,34.75米,661千米每小时,P4M“莫卡托”,{'$oid': '5cc930f6831b973d657f11c3'},1946年9月20日,NULL,9.07米,1950年6月,37820千克,后掠翼,25.98米
亚音速,http://images.huanqiu.com/sarons/2013/07/a1cf8039f61d177145a10519fa533c3a.jpg,比奇飞行器,4人,NULL,805千米,普-惠R-985-AN-1“小黄蜂”发动机,NULL,单发,飞行器,侦察机,美国,1948年,1399千克,9.75米,319千米每小时,YC-43“旅行家”联络机,{'$oid': '5cc930f6831b973d657f11c4'},1932年11月4日,NULL,3.12米,1939,2123千克,双翼,7.98米
