图片,现状,满载排水量,简介,制造厂,续航距离,水上排水量,型宽,水雷,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,名称,建造时间,_id,枪械,下水时间,满排吨位,服役时间
NULL,NULL,2.4吨,"
瓦德亚级截击艇主要是在曼达帕姆杜以及地戈林基地的指挥下执行保克海峡和马纳尔湾区域内的紧急任务。
",NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,其他,NULL,NULL,印度,保克海峡和马纳尔湾,NULL,瓦德亚级 截击艇,NULL,{'$oid': '5cc93221831b973d657f1918'},NULL,NULL,2000-5000吨,1988年
NULL,NULL,NULL,"
4级和5级LRSC均装有艇载电脑、有效距离150米(492英尺)的声纳、回声测距器、GPS和导航协助装备。两种运载艇定员均为两人。
",酋长国海事技术公司(Emirates Marine Technologies)(阿拉伯联合酋长国),无,3吨,NULL,NULL,50米,舰船舰艇,其他,2人,9.1米,阿联酋,亚洲,6节,4级和5级远程可潜水运载工具（LRSC）,未知,{'$oid': '5cc93221831b973d657f1919'},NULL,NULL,500吨以内,NULL
NULL,NULL,NULL,NULL,斯普利特造船厂(克罗地亚，斯普利特),23海里,1吨,1.4米,NULL,NULL,舰船舰艇,其他,NULL,4.9米,克罗地亚,欧洲,NULL,R-2Mala级潜水员输送载具（SDV）,NULL,{'$oid': '5cc93221831b973d657f191a'},NULL,NULL,NULL,NULL
NULL,NULL,NULL,"
美国海军拥有十艘SDV；英国皇家特别舟艇队在1999年收到三艘该艇。在这两个国家中，该艇都取代了老化了的Mk 8Mod O型SDV。新型SDV的航程(在最大9节的速度下，67公里或36英里)是老款SDV的两倍。这些全电气化的Mod1型艇在其水下的藏室内可装载六名全副装备的蛙人。
",可能为诺斯洛普格鲁门公司(美国),124.084千米,NULL,NULL,NULL,NULL,舰船舰艇,其他,6人,6.7米,美国,北美洲，欧洲,9节,Mk Ⅷ Mod1型海豹输送艇（SDV）,未知,{'$oid': '5cc93222831b973d657f191b'},NULL,NULL,NULL,NULL
NULL,NULL,113吨,由Uniflite(美国)制造，主要用于埃及海军战斗蛙人的一款运送艇。,Uniflite(美国),200英里,NULL,3米,NULL,NULL,舰船舰艇,其他,3人,11米,美国,NULL,NULL,“长尾鲛”级潜蛙人运送艇,未知,{'$oid': '5cc93222831b973d657f191c'},两挺12.7毫米机枪；两挺7.62毫米机枪。,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/11/c64398b3d8f7d997bb18a9e80137df58.jpg,NULL,55吨,"
这防水并可潜水小艇，能够完成从母潜艇到敌方海岸的部署任务。该艇安装有光学通信潜望镜和一个小的声纳。它可以通过C-5或C-17运输机或放置在潜艇的平台上运输。
",诺斯洛普格鲁门公司（美国）,125英里，8节,NULL,3米,NULL,NULL,舰船舰艇,其他,10人,20米,美国,北美洲,8节,先进海豹输送系统（ASDS）,NULL,{'$oid': '5cc93222831b973d657f191d'},NULL,NULL,500吨以内,NULL
NULL,NULL,NULL,"
S-10是一款胸挂再生式氧气呼吸潜水设备，专为特殊兵种和执法机构在浅水区工作设计。它是一款闭合回路的纯氧再生呼吸设备，适用于8米的水深。在明确了用户条例和有氧潜水的规则后，即可使用S-10，经过短暂的适应后还可潜入更深的水中。
",卡尔顿生命维护科技公司（Carleton Life Support T echnologies Ltd，加拿大）,NULL,NULL,NULL,NULL,NULL,舰船舰艇,其他,NULL,NULL,加拿大,NULL,NULL,S-10再生式氧气呼吸系统潜承装备,NULL,{'$oid': '5cc93222831b973d657f191e'},NULL,NULL,NULL,NULL
NULL,NULL,NULL,"
2000年8月29日，伊朗制造的首款SDV A1 Sabehat在阿巴斯港下水。这艘8米（26.2英尺）长的小艇可以装载两名乘员并能运载三名额外的潜水员。它非常适合海岸侦查、特种部队运输、港口与泊船处布雷（可装载14枚水下爆破弹）任务，但不适合开阔水域任务。
",未知（伊朗，阿巴斯港口）,未知,NULL,NULL,NULL,NULL,舰船舰艇,其他,5人,8米,伊朗,亚洲,NULL,潜水员输送载具（SDV）,未知,{'$oid': '5cc93223831b973d657f191f'},NULL,2000年8月29日,NULL,NULL
NULL,NULL,NULL,"
Oxymax3是一款紧凑的氧气呼吸设备，在深达10米（33英尺）的水下可持续工作多达3个小时，还受其他条件影响。该设备在设计时是无磁性的（对于特殊订单也设定为是完全无磁性的），并且其特色是工作时噪音很小。
",Divex Ltd（英国）,NULL,NULL,NULL,NULL,NULL,舰船舰艇,其他,NULL,NULL,英国,欧洲,NULL,Oxymax闭路氧气潜水设备,未知,{'$oid': '5cc93223831b973d657f1920'},NULL,NULL,NULL,NULL
NULL,NULL,NULL,"
Divex闭路混合气体的循环呼吸器这个系统是为了满足爆炸物处理、特种部队以及对新材料和微处理能力以及最新型水下呼吸装备的要求而设计。Divex再呼吸装备是一款电子控制的闭合回路混合气体系统，为军事性潜水提供了两种选择。
",Divex Ltd（英国，阿伯丁）,NULL,NULL,NULL,NULL,100米,舰船舰艇,其他,NULL,NULL,英国,欧洲,NULL,Stealth Divex循环式呼吸潜水装备,NULL,{'$oid': '5cc93223831b973d657f1921'},NULL,NULL,NULL,NULL
