制造商,类型,大类,轨道,名称,长度,发射日期,_id,图片,产国,发射地点,运载火箭,关注度,简介,处理器,首次轨道发射
洛克希德空间系统,军事卫星,太空装备,210公里×415公里(131英里×258英里)，倾角82.9°,“科罗娜”卫星,NULL,1959年2月28日,{'$oid': '5cc933c7831b973d657f231a'},http://images.huanqiu.com/sarons/2013/11/84e79bd37c173e4c707ea422cbb12d32.jpg,美国,加利福尼亚州，范登堡,雷声—阿金纳A,NULL,"
“科罗娜”是美国第一个空间摄影侦察卫星计划的代号。这个计划于1958年2月由艾森豪威尔总统签署，其目标是拍摄前苏联为首的社会主义国家的秘密设施和军事基地。科罗娜的第一次发射作为一个名为“发现者”的空间技术计划而被隐藏了起来。
",NULL,NULL
俄罗斯宇航公司NPO拉夫契金设计局,军事卫星,太空装备,1506公里×1774公里(935英里×1102英里)，倾角63.5°,Araks侦察卫星,9.75米,2002年7月25日,{'$oid': '5cc933c8831b973d657f231b'},NULL,苏/俄,哈萨克斯坦，拜科努尔发射场,质子K／布洛克DM,NULL,NULL,NULL,NULL
以色列航天工业公司,军事卫星,太空装备,340公里×575公里,地平线（Ofeq）卫星系统,NULL,2007年6月10日,{'$oid': '5cc933c8831b973d657f231c'},NULL,以色列,以色列，帕勒马希姆发射场,沙维特2号,NULL,"
“地平线(Ofeq，也称Ofek)”是以色列自主开发的光学侦察卫星项目。第一颗“地平线”卫星于1988年9月19日发射。从那以后，已经有5次成功发射和两次失败发射。卫星都朝西向发射，以免落入相邻的国家内。定位在倾角38°的东西向的轨道，能为中东地区提供最好的日光覆盖范围。
",NULL,NULL
诺斯洛普·格鲁曼公司,军事卫星,太空装备,GEO,国防支援计划（DSP）,NULL,2007年11月10日,{'$oid': '5cc933c8831b973d657f231d'},http://images.huanqiu.com/sarons/2013/11/714b700920b8557947fec346e22bfeb3.jpg,美国,佛罗里达州，卡纳维拉尔角,德尔塔Ⅳ—重型,NULL,NULL,NULL,NULL
意大利泰利斯·阿莱尼亚空间公司,军事卫星,太空装备,620公里（385公里），轨道倾角97.86°（太阳同步轨道）,COSMO-SkyMed,9.75米,2007年6月7日,{'$oid': '5cc933c8831b973d657f231e'},NULL,意大利,加利福尼亚州，范登堡,德尔塔2号7420,NULL,NULL,NULL,NULL
洛克希德·马丁公司,军事卫星,太空装备,846×850公里(526×528英里)，轨道倾角98.8°(太阳同步轨道),DMSP国防气象卫星,NULL,2006年11月4日,{'$oid': '5cc933c8831b973d657f231f'},NULL,美国,加利福尼亚，范登堡,德尔塔Ⅳ-中型,NULL,NULL,NULL,NULL
洛克希德·马丁公司太空系统分部,军事卫星,太空装备,地球静止转移轨道(GEO),先进极高频AEHF,0.75米,NULL,{'$oid': '5cc933c9831b973d657f2320'},NULL,美国,佛罗里达州，卡纳维拉尔角,德尔塔Ⅳ或者阿特拉斯V,NULL,NULL,交联EHF／SHF通信,NULL
休斯飞机公司,军事卫星,太空装备,西经107°，地球静止轨道(GEO),TACSCATI卫星,NULL,1969年2月9日,{'$oid': '5cc933c9831b973d657f2321'},NULL,美国,佛罗里达州，卡纳维拉尔角,巨人IIIC,NULL,"
美国休斯飞机公司制造的TACSCATI是当时最大、性能最强的通信卫星，它是在美国空军空间和导弹系统组织的指导下，为美国国防部而设计的。发射于1969年2月9日在佛罗里达州，卡纳维拉尔角。
",NULL,NULL
约翰·霍普金斯大学应用物理实验室,军事卫星,太空装备,908公里，轨道倾角99.6°(接近太阳同步轨道),MSX中途空间试验卫星,NULL,1996年4月24日,{'$oid': '5cc933c9831b973d657f2322'},NULL,美国,加利福尼亚州，范登堡,德尔塔Ⅱ 7920,NULL,NULL,NULL,NULL
洛克希德·马丁公司,军事卫星,太空装备,85°W(GFO),国防卫星通信系统（DSCS） ,NULL,2003年9月29日,{'$oid': '5cc933c9831b973d657f2323'},NULL,美国,佛罗里达州，卡纳维拉尔角,德尔塔Ⅳ-中型,NULL,NULL,NULL,NULL
