制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,全枪重,关注度,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
奥地利斯太尔-曼利夏有限公司,1934年-1939年,冲锋枪,斯太尔-苏罗通MP34冲锋枪,枪械与单兵,500米,NULL,{'$oid': '5cc93234831b973d657f19ab'},http://images.huanqiu.com/sarons/2013/07/172b52e6b1239af7e2271028dc22d655.jpg,奥地利,4.4千克,NULL,500发/分,第二次世界大战 ,NULL,自动枪支,9毫米,32发,808毫米
利思戈轻武器工厂,1963年-1987年,冲锋枪,F1冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93234831b973d657f19ac'},http://images.huanqiu.com/sarons/2013/07/b0c1387cd7ea6f2f98e5c149d08ff409.jpg,澳大利亚,3.3千克,NULL,600发/分,NULL,NULL,自动枪支,9毫米,34发,715毫米
保加利亚阿森纳公司,1996年至今,冲锋枪,阿森纳石普卡冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93234831b973d657f19ad'},http://images.huanqiu.com/sarons/2013/07/005b9782326b81579d0943e5179f251b.jpg,保加利亚,2.2千克,NULL,700发/分,NULL,NULL,自动枪支,9毫米,32发,625毫米
比利时列日精密仪器公司,1952年—1962年,冲锋枪,维涅龙冲锋枪,枪械与单兵,50米,NULL,{'$oid': '5cc93234831b973d657f19ae'},http://images.huanqiu.com/sarons/2013/07/64514e4796ef1098385e7d4520be7482.jpg,比利时,3.3千克,NULL,600发/分,NULL,NULL,自动枪支,9毫米,32发,872毫米
智利国营轻武器工厂,1996年至今,冲锋枪,SAF冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93234831b973d657f19af'},http://images.huanqiu.com/sarons/2013/07/e84978c6edab87d6cf45a4935c4f375e.jpg,智利,2.9千克,NULL,1200发/分,NULL,"
智利的国营轻武器工厂（FAMAE）从1993年开始以SG540为基础研制了一种9毫米口径的冲锋枪，命名为S.A.F.。该枪不仅装备了智利的军队和警察，并出口到国外。目前巴西和葡萄牙的军警也有装备该型冲锋枪。
",自动枪支,9毫米,30发,640毫米
奥地利斯泰尔-曼利夏（Steyr Mannlicher）公司,1978年至今,冲锋枪,斯太尔AUG伞兵用冲锋枪,枪械与单兵,450米,NULL,{'$oid': '5cc93234831b973d657f19b0'},http://images.huanqiu.com/sarons/2013/07/bae9deeaa302752942a16998da507440.jpg,奥地利,3.3千克,NULL,700发/分,阿富汗战争 (2001年)、伊拉克战争、2011年叙利亚内战、墨西哥毒品战争,NULL,自动枪支,5.56毫米,32发,665毫米
奥地利斯太尔-曼利夏有限公司,1993年至今,冲锋枪,斯太尔TMP冲锋枪,枪械与单兵,50米,NULL,{'$oid': '5cc93235831b973d657f19b1'},NULL,奥地利,1.3千克,NULL,900发/分,NULL,NULL,自动枪支,9毫米,25发,270毫米
奥地利斯泰尔·曼利夏公司,1969年-1980年,冲锋枪,斯太尔MPi69冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93235831b973d657f19b2'},http://images.huanqiu.com/sarons/2013/07/2063a4d9c195d6310e06d1fe17858c2d.jpg,奥地利,3.13千克,NULL,100发/分,NULL,NULL,自动枪支,9毫米,32发,670毫米
346厂,1983年,冲锋枪,79式冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93235831b973d657f19b3'},NULL,中国,1.9千克,(4.8分),650发/分,中越战争,"
中国79式7.62毫米轻型冲锋枪是我国设计制造的第一种轻型冲锋枪,79式7.62毫米轻型冲锋枪是我军80年代侦察兵、现今武警部队、公安干警的单兵自动化武器。它设计定型已20多年，到当今已生产了近30万支，广泛装备部队、武警、公安。
",NULL,7.62毫米,20发,740毫米
中国北方工业公司,1966年-,冲锋枪,64式冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93235831b973d657f19b4'},NULL,中国,3.4千克,NULL,1300发/分,NULL,64式7.62毫米微声冲锋枪是我国设计制造的第一种微声冲锋枪，1964年设计定型。64式微声冲锋枪结构紧凑，便于携带和使用。配用专门设计的64式7.62毫米微声冲锋枪弹，具有良好的“三微”（微声、微光、微烟）效果和射击精度，能杀伤200米内具有轻型防护的有生目标。必要时也可发射51式7.62毫米手枪弹。,NULL,7.62毫米,30发,850毫米
