制造商,类型,生产年限,名称,大类,_id,图片,产国,刀锋长度,简介,刀重,刀锋宽度,刀长
SOG特种刀具和工具公司(SOG Speciality Knives and Tools Inc)(美国，华盛顿),刀具,NULL,S37海豹突击队Knife2000匕首,枪械与单兵,{'$oid': '5cc93289831b973d657f1bff'},NULL,美国,178毫米,NULL,362.8克,6.096毫米,314毫米
SOG特种刀具和工具公司(美国，华盛顿),刀具,NULL,SOG RFB81 X-42 Recondo,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c00'},http://images.huanqiu.com/sarons/2014/01/21b524d0429d12de13891a08cb89cc8e.jpg,美国,135毫米,NULL,178.6克,4.06毫米,267毫米
威京逊公司(英国，伦敦),刀具,NULL,费尔班-赛克斯格斗匕首,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c01'},NULL,英国,178毫米,NULL,240.9克,NULL,295毫米
德国艾克洪索尼根公司,刀具,NULL,艾克洪索尼根马克3格斗匕首,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c02'},NULL,德国,167毫米,NULL,250克,2.2毫米,295毫米
A Eickhorn GmbH ard Co,刀具,NULL,KCB77艾克洪索尼根刺刀,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c03'},NULL,德国,176毫米,"
KCB77艾克洪索尼根刺刀被很多人认为是目前刺刀中的巅峰之作。为世界范围的特种部队所用。
",300克,3.6毫米,302毫米
俄罗斯图拉兵工厂,刀具,NULL,NRS侦察匕首,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c04'},NULL,苏/俄,162毫米,NULL,350克,3.5毫米,284毫米
BCB国际有限公司,刀具,NULL,安普吉特费尔班匕首,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c05'},NULL,英国,85毫米,NULL,160克,2毫米,256毫米
BCB国际有限公司,刀具,NULL,BCB弯刀,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c06'},NULL,英国,330毫米,NULL,NULL,6毫米,400毫米
SOG特种刀具和工具公司(美国，华盛顿),刀具,1964年,SOG Scuba/Demo SSD99,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c07'},http://images.huanqiu.com/sarons/2014/01/a7b069b61d47de7ca51bf170ef63209d.jpg,美国,196毫米,NULL,362.8克,5.84毫米,314毫米
德国艾克洪索尼根公司,刀具,NULL,艾克洪索尼根Cyprus SF II高级格斗匕首,枪械与单兵,{'$oid': '5cc9328a831b973d657f1c08'},NULL,德国,173毫米,NULL,265克,3.7毫米,308毫米
德国艾克洪索尼根公司,刀具,NULL,艾克洪索尼根USM7刺刀,枪械与单兵,{'$oid': '5cc9328b831b973d657f1c09'},NULL,德国,167毫米,NULL,280克,2.2毫米,285毫米
