大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,加农榴弹炮,PLL01型155毫米牵引式加农榴弹炮,7046毫米,39000米,{'$oid': '5cc93318831b973d657f1f48'},NULL,中国,NULL,NULL,低阻远程全膛榴弹,903米/秒,"
我国于80年代初，在充分吸收了国际上大口径火炮的先进技术后，采用先进的火炮设计理念，本着“自力更生”的方针，研制成功PLL01型牵引式155毫米加农榴弹炮，使我国大口径火炮的研制和生产水平达到了一个新的高度。
",155毫米,NULL,12000千克
火炮,加农榴弹炮,150毫米K18加榴炮,8.195毫米,24500米,{'$oid': '5cc93318831b973d657f1f49'},http://images.huanqiu.com/sarons/2013/11/8f399b6705cf7a7065b2e490c86da1b3.jpg,德国,NULL,8200毫米,NULL,865米/秒,NULL,150毫米,1933年,18600千克
火炮,加农榴弹炮,17cm K18加榴炮,NULL,29600米,{'$oid': '5cc93318831b973d657f1f4a'},NULL,德国,NULL,12800毫米,NULL,925米/秒,"
K18是二战时德军的重型火炮，它和Mrs1821CM火炮使用同样的炮架，担负同样的任务，并于1942年后完全替代了后者。
",170毫米,NULL,NULL
火炮,加农榴弹炮,105mm S. K18加榴炮,5.46毫米,19066米,{'$oid': '5cc93318831b973d657f1f4b'},NULL,德国,NULL,5460毫米,NULL,835米/秒,NULL,105毫米,NULL,1120千克
火炮,加农榴弹炮,128毫米K44加榴炮,7.023毫米,24410米,{'$oid': '5cc93319831b973d657f1f4c'},http://images.huanqiu.com/sarons/2013/11/0ad00a0b8d1c2e27a0f6b2de700f50c9.jpg,德国,NULL,7020毫米,NULL,935米/秒,NULL,128毫米,NULL,10160千克
火炮,加农榴弹炮,210毫米K39/40加榴炮,9.53毫米,33000米,{'$oid': '5cc93319831b973d657f1f4d'},NULL,捷克,NULL,9.53毫米,NULL,860米/秒,"
210mm K39/40加榴炮是捷克设计德军在第二次世界大战中所使用的重枪。
",210毫米,NULL,39800千克
火炮,加农榴弹炮,GM-45式155毫米牵引加榴炮,NULL,39000米,{'$oid': '5cc93319831b973d657f1f4e'},NULL,中国,NULL,12000毫米,NULL,897米/秒,中国制造，80年代研制定型的155毫米牵引火炮，未装备部队，用以外贸出口。其实这种加榴炮就是把WA021的炮管放在59-I或66式榴炮的上面，内弹道性能、精度、配用弹种与WA021式相同，可装备外军军或集团军以上炮兵部队。,155毫米,NULL,8900千克
火炮,加农榴弹炮,66式152毫米加榴炮,4240毫米,17200米,{'$oid': '5cc93319831b973d657f1f4f'},http://images.huanqiu.com/sarons/2013/11/3e0bf8af49c0219f7380e3315b208ecc.jpg,中国,NULL,NULL,药筒分装式炮弹,655米/秒,"
66式152毫米加农榴弹炮是根据前苏联D-20式152毫米加农榴弹炮仿制而成，1966年生产定型，大量装备部队，是目前我军的主力加农榴弹炮。
",152.4毫米,NULL,5650千克
火炮,加农榴弹炮,150mm K39加榴炮,8.195毫米,24700米,{'$oid': '5cc93319831b973d657f1f50'},NULL,德国,克虏伯公司,8550毫米,NULL,865米/秒,NULL,150毫米,NULL,18282千克
火炮,加农榴弹炮,240毫米K3加榴炮,13.102毫米,37000米,{'$oid': '5cc93319831b973d657f1f51'},NULL,德国,莱茵金属公司,17260毫米,NULL,970米/秒,NULL,240毫米,NULL,54866千克
火炮,加农榴弹炮,W88式155毫米牵引加榴炮,NULL,39000米,{'$oid': '5cc93319831b973d657f1f52'},NULL,中国,NULL,9068毫米,155毫米牵引加榴炮,903米/秒,NULL,155毫米,1985年,12000千克
火炮,加农榴弹炮,PI-20式加榴炮,NULL,17400米,{'$oid': '5cc9331a831b973d657f1f53'},NULL,苏/俄,NULL,NULL,NULL,NULL,"
PI-20式加榴炮是前苏联研制的一种152mm牵引加榴炮。
",NULL,NULL,5600千克
火炮,加农榴弹炮,“巴黎”炮,NULL,129000米,{'$oid': '5cc9331a831b973d657f1f54'},NULL,德国,德国克虏伯公司,35700毫米,NULL,1700米/秒,德国克虏伯公司研制的一种口径为209.8毫米的重型加农炮。1918年制造，最初以制造公司总裁贝尔塔·克虏伯夫人的名字命名为“贝尔塔”炮。1918年3月23日开始用于炮击法国首都巴黎，后被称为“巴黎”炮。,210.13毫米,1918年,120千克
火炮,加农榴弹炮,1A式155毫米自行加农炮,7750毫米,25600米,{'$oid': '5cc9331a831b973d657f1f55'},http://images.huanqiu.com/sarons/2014/03/158b08fda56c2c60df99f8fa87c858dc.jpg,瑞典,瑞典博福斯公司,NULL,NULL,865米/秒,"
瑞典博福斯公司研制的口径155毫米的自行加农炮。用于直接火力支援和全般火力支援。20世纪50年代后期开始研制，1966年生产，1967年装备瑞典陆军炮兵师。由于体积与重量大，射界有限，使用欠灵活、结构复杂和造价昂贵等缺点，在瑞典陆军少量装备后即停产。
",155毫米,20世纪50年代后期,NULL
