大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,加农炮,明治四十五年式150毫米加农炮,71515毫米,22600米,{'$oid': '5cc93315831b973d657f1f34'},NULL,日本,NULL,NULL,NULL,875米/秒,"
海岸防御与压制射击用途。这种大炮装备陆军第7师团函馆重炮兵联队，步兵第1师团横须贺重炮兵联队，步兵第20师团马山重炮兵联队等要塞炮兵联队，这几个师团有80门这种大炮，这种大炮还有改良式分别是大正7年式150毫米重加农炮，90式150毫米重加农炮，机动性比45式150毫米好，野战发射底盘可以随炮机动。这种火炮战争中只在中国战场上使用过。
",149.1毫米,NULL,8000千克
火炮,加农炮,大正十四年式105毫米野战加农炮,3590毫米,15300米,{'$oid': '5cc93315831b973d657f1f35'},http://images.huanqiu.com/sarons/2013/11/f35d5ff9c709c3635a502537b723b5db.jpg,日本,NULL,NULL,榴弹,NULL,"
用于野战防空，要地防空，太平洋战争爆发后，这种高射炮对大多数型号的美军重轰炸机仍有一定威胁。
",105毫米,NULL,3115千克
火炮,加农炮,83式152毫米加农炮,8060毫米,30000米,{'$oid': '5cc93315831b973d657f1f36'},http://images.huanqiu.com/sarons/2013/11/b5b6d08ebc448348a4cc6fb7b0de09c2.jpg,中国,NULL,9600毫米,常规弹药,955米/秒,NULL,152毫米,NULL,10500千克
火炮,加农炮,56式85毫米加农炮,4685毫米,6666米,{'$oid': '5cc93315831b973d657f1f37'},NULL,中国,NULL,8450毫米,NULL,NULL,"
56式85毫米加农炮是前苏联D-44式85毫米加农炮的改进产品，1956年定型并投入批量生产，装备部队，主要用于反坦克。 该炮采用带大侧孔冲击式炮口制退器的单筒身管、半自动立楔式炮闩、筒后坐液压节制杆式制退机和液体气压式复进机；炮架部分由筒形摇架、拐脖式上架、下架、防盾、管式大架和滚轮组成；采用蜗杆式方向机、蜗轮自锁单齿弧外啮合式高低机，平衡机为气压式；采用海绵橡胶车轮和半轴扭杆式缓冲器。
",85毫米,NULL,1725千克
火炮,加农炮,96式150毫米重加农炮,7860毫米,26200米,{'$oid': '5cc93315831b973d657f1f38'},NULL,日本,NULL,NULL,NULL,860米/秒,"
海岸防御与压制射击用途，是89式150mm野战加农炮的改进型。只装备常设师团的重炮兵联队，日军的重炮机动力一般不强，通常只在遇到坚固防线时才会调动重炮兵部队前往炮击，96式重加分机动式与要塞式两种，但都能整炮牵引机动。
",149.1毫米,NULL,24314千克
火炮,加农炮,60式122毫米加农炮,5690毫米,23900米,{'$oid': '5cc93316831b973d657f1f39'},NULL,中国,NULL,9900毫米,爆破榴弹,885米/秒,"
60式122毫米加农炮是根据前苏联D-74式122毫米加农炮仿制而成，1960年生产定型，现在仍有装备部队。
",121.92毫米,NULL,5620千克
火炮,加农炮,95式75毫米野炮,2280毫米,10970米,{'$oid': '5cc93316831b973d657f1f3a'},NULL,日本,NULL,NULL,榴弹,NULL,"
九五式75mm野炮压制射击用途，射程较远，重量轻，身管寿命长。主要装备日军步兵旅团以上单位的野战部队的炮兵部队。
",75毫米,NULL,1105千克
火炮,加农炮,59式130毫米加农炮,6850毫米,38000米,{'$oid': '5cc93316831b973d657f1f3b'},http://images.huanqiu.com/sarons/2014/01/c6a0fa420a54edb880cb5c1e38229b7f.jpg,中国,NULL,11730毫米,NULL,930米/秒,NULL,130毫米,NULL,7700千克
火炮,加农炮,92式105毫米野战加农炮,4725毫米,18200米,{'$oid': '5cc93316831b973d657f1f3c'},http://images.huanqiu.com/sarons/2013/11/2984e9c78284fe5f9349c9fd26bec0a9.jpg,日本,NULL,NULL,NULL,765米/秒,"
压制射击用途。这种炮精度高，射程远，非常有威力，是当时世界上射程最远的陆军4英寸大炮。
",105毫米,NULL,3730千克
火炮,加农炮,A-19式122毫米加农炮,5.6毫米,20400米,{'$oid': '5cc93316831b973d657f1f3d'},NULL,苏/俄,NULL,NULL,NULL,806米/秒,"
A-19系列包含两大型号及A-19/M-1931型和后来的改进型A-19/M-1931/37型。
",122毫米,1927年,7907千克
火炮,加农炮,89式150毫米野战加农炮,5963毫米,18100米,{'$oid': '5cc93316831b973d657f1f3e'},http://images.huanqiu.com/sarons/2013/11/62d0e62348647320316e74292a4ed8a0.jpg,日本,NULL,NULL,NULL,734米/秒,"
压制射击用途。这种炮射程远，而且弹丸威力比日军的150毫米野战榴弹炮的弹丸更大，这种火炮在918事变后开始曾大量用于中国战场。
",149.1毫米,NULL,10422千克
火炮,加农炮,86式152毫米加农炮,8060毫米,30000米,{'$oid': '5cc93316831b973d657f1f3f'},http://images.huanqiu.com/sarons/2013/11/26c036ac003fd4e56e9634c0f89caddb.jpg,中国,NULL,9600毫米,榴弹炮,955米/秒,"
86式152毫米加农炮是我国自行设计的第一种大口径远射程加农炮，1986年设计定型。主要性能方面与西方45倍口径155毫米榴弹炮相当，某些方面还稍强一些，在使用的可靠性及炮弹地面散布精度等方面均受到了用户的好评。而且该炮及弹药的成本只有西方155毫米榴弹炮的一半左右，称得上是物美价廉。
",152毫米,NULL,9700千克
