大类,类型,名称,_id,图片,产国,研制时间,弹长,研发单位,全重,关注度,简介,弹径,装药类型
爆炸物,原子弹,AN51/52型核弹,{'$oid': '5cc93450831b973d657f25ca'},NULL,法国,1971年,1500毫米,NULL,500千克,NULL,NULL,650毫米,10-25千吨TNT当量
爆炸物,原子弹,“蓝色多瑙河”核炸弹,{'$oid': '5cc93450831b973d657f25cb'},NULL,英国,1952年,7000毫米,英国皇家飞机署,NULL,NULL,NULL,NULL,钚-239，20千吨TNT当量
爆炸物,原子弹,Mk 4原子弹,{'$oid': '5cc93450831b973d657f25cc'},NULL,美国,NULL,3251.2毫米,洛斯阿拉莫斯实验室,4903千克,NULL,"
MK4型核炸弹是一款内爆型原子弹，以和MK3相同的基本核裂变原理为基础。它装有比MK3-1型武器更好的引信和点火电路，并使用与MK3-0型相同的基本电路。
",1524毫米,NULL
爆炸物,原子弹,AN11/22型核炸弹,{'$oid': '5cc93450831b973d657f25cd'},NULL,法国,1962年,NULL,NULL,1500千克,NULL,NULL,NULL,60千吨TNT当量
爆炸物,原子弹,PДC-6C型核炸弹,{'$oid': '5cc93451831b973d657f25ce'},NULL,苏/俄,1953年,NULL,NULL,NULL,(5分),NULL,NULL,铀-235，400千吨TNT当量
爆炸物,原子弹,Mk8/11钻地核炸弹,{'$oid': '5cc93451831b973d657f25cf'},NULL,美国,1948年,2950毫米,NULL,1490千克,NULL,NULL,370毫米,铀-235，15-20千吨TNT当量
爆炸物,原子弹,Mk57战术核炸弹,{'$oid': '5cc93451831b973d657f25d0'},NULL,美国,1957年,3020毫米,洛斯·阿拉莫斯国家研究所,231千克,NULL,NULL,380毫米,铀-235，1-2千吨TNT当量
爆炸物,原子弹,Mk系列核炮弹,{'$oid': '5cc93451831b973d657f25d1'},NULL,美国,1950年,1380毫米,NULL,364千克,(5分),NULL,280毫米,铀-235，15千吨TNT当量
爆炸物,原子弹,Mk5核炸弹,{'$oid': '5cc93451831b973d657f25d2'},NULL,美国,1948年,3350毫米,NULL,1440千克,NULL,NULL,1110毫米,铀-235和钚-239组合，60-80千吨TNT当量
爆炸物,原子弹,PДC-1/2/3型原子弹,{'$oid': '5cc93452831b973d657f25d3'},NULL,苏/俄,1949年,3300毫米,NULL,4700千克,NULL,NULL,1500毫米,钚-239，22千吨TNT当量
爆炸物,原子弹,Mk12核炸弹,{'$oid': '5cc93452831b973d657f25d4'},NULL,美国,1951年,3430毫米,NULL,544千克,NULL,NULL,560毫米,铀-235，10-20千吨TNT当量
爆炸物,原子弹,MR41型潜地导弹核弹头,{'$oid': '5cc93452831b973d657f25d5'},NULL,法国,1966年,NULL,NULL,700千克,NULL,NULL,NULL,高浓铀，500千吨TNT当量
爆炸物,原子弹,W25核战斗部,{'$oid': '5cc93452831b973d657f25d6'},NULL,美国,1954年,NULL,洛斯·阿拉莫斯国家研究所,99千克,NULL,NULL,NULL,1.5千吨TNT当量
爆炸物,原子弹,W34多用途核战斗部,{'$oid': '5cc93453831b973d657f25d7'},NULL,美国,1954年,NULL,洛斯·阿拉莫斯国家研究所,NULL,NULL,NULL,NULL,15千吨TNT当量
爆炸物,原子弹,“小男孩”核炸弹,{'$oid': '5cc93453831b973d657f25d8'},NULL,美国,1945年,3000毫米,NULL,4000千克,NULL,NULL,710毫米,15千吨TNT当量
爆炸物,原子弹,“胖子”核炸弹,{'$oid': '5cc93453831b973d657f25d9'},NULL,美国,1945年,3200毫米,NULL,4672千克,NULL,NULL,1520毫米,21千吨TNT当量
爆炸物,原子弹,W48核炮弹,{'$oid': '5cc93453831b973d657f25da'},NULL,美国,1957年,860毫米,洛斯·阿拉莫斯国家研究所,58千克,NULL,NULL,155毫米,0.1千吨TNT当量
爆炸物,原子弹,W44鱼雷核战斗部,{'$oid': '5cc93453831b973d657f25db'},NULL,美国,1955年,NULL,洛斯·阿拉莫斯国家研究所,127千克,NULL,NULL,NULL,1千吨TNT当量
爆炸物,原子弹,W30多用途核战斗部,{'$oid': '5cc93453831b973d657f25dc'},NULL,美国,1951年,1780毫米,洛斯·阿拉莫斯国家研究所,127千克,NULL,NULL,560毫米,0.5千吨TNT当量
爆炸物,原子弹,“红须”核炸弹,{'$oid': '5cc93453831b973d657f25dd'},NULL,英国,1954年,3600毫米,英国原子武器研究院,746千克,NULL,NULL,910毫米,5-20千吨TNT当量
