大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,反坦克炮,PaK 36反坦克炮,1660毫米,5484米,{'$oid': '5cc9333d831b973d657f2013'},http://images.huanqiu.com/sarons/2014/01/bb31a3082f8e1b299f4ad902665f68ea.jpg,德国,莱茵金属公司,NULL,Pzgr 40,762米/秒,NULL,37毫米,20世纪30年代初,450千克
火炮,反坦克炮,M1930 (1-K)37毫米反坦克炮,1650毫米,5700米,{'$oid': '5cc9333d831b973d657f2014'},NULL,苏/俄,NULL,NULL,NULL,825米/秒,"
M1930型37毫米反坦克炮，1930年初，苏联从德国引进Pak 36型37毫米反坦克炮。在取得了德国莱茵公司的生产许可证后，苏联开始对其进行仿制并定型为M1930型。
",37毫米,NULL,335千克
火炮,反坦克炮,1986式100毫米反坦克炮,9520毫米,13705米,{'$oid': '5cc9333e831b973d657f2015'},NULL,中国,中国北方工业总公司,NULL,NULL,900米/秒,NULL,中口径炮,20世纪80年代初期,3610千克
火炮,反坦克炮,中国73式100毫米滑膛反坦克炮,5450毫米,13705米,{'$oid': '5cc9333e831b973d657f2016'},NULL,中国,NULL,9520毫米,穿甲弹,1505米/秒,NULL,100毫米,1973年,3630千克
火炮,反坦克炮,试制二式57mm速射炮,3255毫米,NULL,{'$oid': '5cc9333e831b973d657f2017'},NULL,日本,NULL,NULL,NULL,NULL,"
试制二式57毫米速射炮主要用来射击装甲目标，1941年研制，但该炮样品在1942-1943年经过广泛测试，发现与1式47毫米速射炮穿甲能力差距不大，所以没有大量投产装备部队。
",57毫米,NULL,1540千克
火炮,反坦克炮,M1943 (ZiS-2)57毫米反坦克炮,4.16毫米,8400米,{'$oid': '5cc9333e831b973d657f2018'},http://images.huanqiu.com/sarons/2013/11/a95341e4765dbb991cffe2ce1ea5532b.jpg,苏/俄,NULL,7030毫米,NULL,1000米/秒,NULL,57毫米,NULL,1250千克
火炮,反坦克炮,M1942 (M-42)45毫米反坦克炮,NULL,4550米,{'$oid': '5cc9333e831b973d657f2019'},http://images.huanqiu.com/sarons/2013/11/b60b217689216520cb126e34da2fd73b.jpg,苏/俄,NULL,NULL,NULL,870米/秒,"
M1942是M1937的升级型，炮管被加长，炮弹更为强劲，防盾也加厚（从4.5毫米到7毫米）。为了加快生产也做了一些小改动。
",45毫米,NULL,NULL
火炮,反坦克炮,M1937 (53-K) 45毫米反坦克炮,NULL,4400米,{'$oid': '5cc9333e831b973d657f201a'},http://images.huanqiu.com/sarons/2013/11/e67993f19021a65d465aa10adbd1d8ea.jpg,苏/俄,NULL,NULL,NULL,760米/秒,NULL,45毫米,NULL,NULL
火炮,反坦克炮,M3反坦克炮,2100毫米,6900米,{'$oid': '5cc9333f831b973d657f201b'},http://images.huanqiu.com/sarons/2014/01/1d477e36772b4c411d8fc9a08acb79ad.jpg,美国,NULL,3920毫米,NULL,884米/秒,NULL,37毫米,1938年,413千克
火炮,反坦克炮,一式47毫米速射炮,2526.5毫米,6900米,{'$oid': '5cc9333f831b973d657f201c'},http://images.huanqiu.com/sarons/2013/11/4c5d6556ebbd46f344fdc0205b084058.jpg,日本,NULL,NULL,穿甲爆破弹,830米/秒,"
一式47mm速射炮主要用来射击装甲目标，该炮为根据偌门坎事件中缴获的苏联45mm反坦克炮发展而来，威力更大，并被97改中战车采用，称为1式47mm战车炮。
",47毫米,1941年,800千克
