飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/f835070667e94e6d8ece6bc61913e6a5.jpg,格鲁曼公司,4人,"
由于第二次世界大战中为盟军生产了大量的JRF“鹅式（Goose）”飞机，格鲁曼公司获得了制造两栖机的宝贵经验，公司决定着手研究全新的后继机，以取代早期生产的犁号，这种新飞机在尺寸上是它的前辈的三倍。这一研究结果就是G-64“信天翁”，它们继承了早期格鲁曼两栖机的特色，有着悬壁式高翼、主起落架可收入机身两侧。命名为UF-1／2（后来又重新命名为U-16）。
",4587千米,两台莱特R-1820-76A发动机,NULL,双发,飞行器,反潜机,美国,NULL,10380千克,29.46米,379千米每小时,UF-1/2和U-16“信天翁”反潜机,{'$oid': '5cc930ff831b973d657f11f9'},1947年10月24日,NULL,7.87米,1949年7月,16194千克,平直翼,18.68米
亚音速,NULL,格鲁曼公司,3人,"
传奇般的海军飞机制造商格鲁曼飞机制造厂设计的第一种两栖机“鸭子”深受该公司先前的机型FF-1影响。格鲁曼飞机制造厂也借鉴了美国海军当时的两栖机“郎宁（Leoning）”OL-9，以及格鲁曼自己制造两栖飞艇的经验。1933年4月24日完成首飞任务。
",1255千米,莱特R-1850-54“旋风”发动机,格鲁曼公司,单发,飞行器,反潜机,美国,NULL,2470千克,11.89米,303千米每小时,JF/J2F“鸭子”,{'$oid': '5cc930ff831b973d657f11fa'},1933年4月24日,NULL,4.6米,NULL,3493千克,双翼,10.36米
亚音速,http://images.huanqiu.com/sarons/2013/08/ba89fa18cb0c833e22df08cb14381bfb.jpg,郎宁航空工程公司,2人,NULL,960千米,自由V-1650-1发动机,NULL,单发,飞行器,反潜机,美国,NULL,1560千克,13.72米,192千米每小时,朗宁OA/OL,{'$oid': '5cc930ff831b973d657f11fb'},1923年（XCOA-1）,NULL,3.89米,NULL,2273千克,平直翼,10.4米
亚音速,http://images.huanqiu.com/sarons/2013/08/3e16d35321f676d0f9c1d845e4824dd9.jpg,美国洛克希德公司,4人,NULL,6085千米,两台通用电气TF34-GE-400B发动机,NULL,双发,飞行器,反潜机,美国,NULL,12088千克,20.93米,833千米每小时,S-3“维京”反潜机,{'$oid': '5cc93100831b973d657f11fc'},1972年1月21日,NULL,6.93米,1974年7月,23832千克,后掠翼,15.06米
亚音速,http://images.huanqiu.com/sarons/2013/08/2f1829e109500855880ea5b9de960516.jpg,美国洛克希德公司,4人,"
“郝德逊” 飞机由上世纪30年代末，洛克希德公司代号为14的“超级莱克伊特（SuperElectra）”飞机发展而来。主要用于反潜巡逻和训练领航员。1941年-1942年，美国陆军航空部队也收到了几百架本来为英国生产的“郝德逊”，给它们命名为A-28／29。美国陆军也拿到217架带有炮塔的“郝德逊”，命名为AT-18，用作飞机炮手教练机和靶机，另有83架无炮塔的AT-18A被用来训练领航员。
",2494千米,两台莱特GR-1820-87“旋风”9发动机,NULL,双发,飞行器,反潜机,美国,NULL,5817千克,19.96米,407千米每小时,A-28／29／AT-18和PBO“郝德逊”海上巡逻轰炸机,{'$oid': '5cc93100831b973d657f11fd'},1938年10月10日（郝德逊）,NULL,3.63米,NULL,9299千克,平直翼,13.51米
亚音速,http://images.huanqiu.com/sarons/2014/04/772df422bdc5af2169783b6cc8d4187a.jpg,美国波音公司,11人,NULL,2222千米,CFM56-7B 涡轮扇发动机,美国波音公司,双发,飞行器,反潜机,美国,NULL,62730千克,37.64米,907千米每小时,P-8“海神”反潜巡逻机,{'$oid': '5cc93100831b973d657f11fe'},2009年,(4.8分),12.83米,2013年,85820千克,后掠翼,39.47米
亚音速,NULL,寇蒂斯公司,2人,"
寇蒂斯公司的XSO3C-1是为取代寇蒂斯SOC“海鸥”而设计的，它的原型机于1939年年底打败了沃特公司的XSO2U-1，赢得了美国海军的合同。尽管算是成功的设计，这种飞机还是有一些严重的不稳定问题，只能通过采用可以往上翻的翼尖和加大尾翼面积来解决。这些问题阻碍了生产，直到1942年7月，生产型才得以交付。
",1851千米,Ranger SGV-770-8发动机,NULL,单发,飞行器,反潜机,美国,NULL,1943千克,11.58米,277千米每小时,SO3C“海鸥”,{'$oid': '5cc93100831b973d657f11ff'},1939年,NULL,4.57米,1942年,2599千克,平直翼,11.23米
亚音速,http://images.huanqiu.com/sarons/2013/08/cd4175c9dfabf44efa976ea4092661b2.jpg,寇蒂斯公司,2人,NULL,827千米,一台自由12发动机,NULL,单发,飞行器,反潜机,美国,NULL,1950千克,22.57米,132千米每小时,寇蒂斯HS系列,{'$oid': '5cc93100831b973d657f1200'},1917年 年初,NULL,4.48米,NULL,2918千克,双翼,11.88米
亚音速,http://images.huanqiu.com/sarons/2013/08/3620d54ea5a6595323871f8f27d8c806.jpg,NULL,10人,"
P-3是美国洛克希德公司应美国海军的要求研制的海上巡逻和反潜飞机。该机是在“依列克特拉”民航机的基础上设计的，1957年开始设计，1958年中标，同年8月9日气动力原型机首飞，装全部设备的YP-3A于次年11月25日试飞，1961年4月以后开始交付。该机为正常式布局，悬臂式下单翼，传统铝合金结构，按破损安全原则设计，增压机舱，乘员10名。
",8945千米,四台阿里逊T56-A-14发动机,美国洛克希德公司,四发,飞行器,反潜机,美国,NULL,35000千克,30.37米,761千米每小时,P-3“猎户座” 海上巡逻和反潜战飞机,{'$oid': '5cc93100831b973d657f1201'},1959年11月25日,(4.2分),10.27米,1962年,64400千克,后掠翼,35.61米
亚音速,http://images.huanqiu.com/sarons/2013/08/46c298defe0ca65ea1713fbdf17765f6.jpg,美国格鲁曼公司,5人,"
“野鸭”飞机，是上世纪40年代美国格鲁曼公司为美国海军和海岸警卫队生产的一款两栖型反潜水上飞机。它是当时民用市场上的成功机型“鹅式（Goose）”两栖飞机的小型版，美国海岸警卫队称之为J4F。
",1481千米,两台兰格L-440C-5发动机,NULL,单发,飞行器,反潜机,美国,NULL,1447千克,12.19米,246千米每小时,OA-14/J4F“野鸭”,{'$oid': '5cc93100831b973d657f1202'},1940年6月28日,NULL,3.48米,NULL,2041千克,平直翼,9.47米
