大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,研制时间,关注度,弹长,研发单位,简介,最大速度,弹径,弹重
导弹武器,地地导弹,NULL,东风-21号（DF-21）中程地地战略导弹,NULL,1800千米,NULL,{'$oid': '5cc93367831b973d657f20fb'},http://images.huanqiu.com/sarons/2013/11/8ed0fd50c09ac99bc99ffab07e776eb5.jpg,中国,1985年,(4.9分),10.7米,NULL,东风-21号中程地地战略导弹中国在巨浪-1号潜地导弹基础上发展的第二代中程地地战略导弹。1985年5月20日试射成功，1989年定型。,NULL,1.4米,NULL
导弹武器,地地导弹,NULL,东风-1号（DF-1）近程地地战略导弹,NULL,600千米,NULL,{'$oid': '5cc93367831b973d657f20fc'},NULL,中国,1958年4月,NULL,17.68米,国防部第五研究院,东风-1号（DF-1）近程地地战略导弹是中国根据苏联P-2导弹仿制的近程地地战略导弹。该导弹没有实战部署过。但是中国通过彷制P-2导弹建立了导弹研究体系，培养了一批导弹专家。,NULL,1.65米,20400千克
导弹武器,地地导弹,NULL,东风-25(DF-25)地地导弹,NULL,3200千米,联合惯性/全球定位制导系统,{'$oid': '5cc93367831b973d657f20fd'},NULL,中国,2006年,NULL,NULL,NULL,东风-25是在DF-21基础上改进的中程导弹，改进了推进剂，固体火箭发动机。东风二十五的弹头舱能够携带三枚分导式核弹头，它是目前世界上唯一能够携带多枚弹头的中程导弹。东风-25型导弹，代号DF-25，它是中国研制的第二代战略导弹，是一种先进的中程地地战略导弹，它是在原东风-21基础上改进而成。 它以机动发射，可带常规弹头，也可带核弹头和分导弹头，导弹命中准确而且战场存活系数高。,NULL,NULL,NULL
导弹武器,地地导弹,NULL,B611“枕木”短程战术弹道导弹,NULL,150千米,NULL,{'$oid': '5cc93367831b973d657f20fe'},NULL,中国,1998年,NULL,6.75米,中国航天科工集团第二研究院,"
B611短程弹道导弹是中国航天科工集团第二研究院开发研制的一种固体近程战术地地导弹武器系统。早期型号为一车一弹，采用导轨式发射。重达24吨的6轮运输安装发射车直到2003年才完成。2004年珠海国际航空航天展上，首次亮相的国产B611型短程战术弹道导弹系统引起了人们的广泛关注。据参展方称，这型外号为“枕木”的导弹主要用于外销出口。
",NULL,0.6米,380千克
导弹武器,地地导弹,NULL,红箭8反坦克导弹,NULL,3千米,有线传输指令,{'$oid': '5cc93367831b973d657f20ff'},http://images.huanqiu.com/sarons/2014/03/8046ed6b9bcfa234ac52e30c993c2e18.jpg,中国,NULL,(5分),0.875米,NULL,"
红箭8型反坦克导弹是我国自行研制的第二代反坦克导弹，1984年定型。 导弹采用光学瞄准跟踪，红外半自动制导、有线传输指令。控制方式为燃气扰流片，管式发射。导弹采用多种发射平台，可由步兵携带、履带和轮式发射车、直升机等多种方式发射。
",NULL,0.12米,11.2千克
导弹武器,地地导弹,NULL,东风-4号（DF-4）远程地地战略导弹,NULL,4750千米,NULL,{'$oid': '5cc93367831b973d657f2100'},NULL,中国,1965年3月,NULL,28米,NULL,东风-4是中国第一种两级火箭（使用东风-3作为第一级火箭），北约代号CSS-3。其研制工作要求实现一系列技术突破（如发动机可靠性、性能更好的耐高温材料及改进型制导系统等）。该型导弹是一种采用液氢燃料和捷联式惯性制导系统的中程弹道导弹（IRBM）。东风-4原设计射程超过4000公里，以美军驻关岛的B-52轰炸机基地为目标。此后其射程增至5000公里以上，以将莫斯科及其他苏联西部城市纳入射程范围。,NULL,2.4米,82000千克
导弹武器,地地导弹,NULL,东风-31（DF-31）准洲际弹道导弹,NULL,12000千米,惯性制导激光制导北斗导航,{'$oid': '5cc93367831b973d657f2101'},http://images.huanqiu.com/sarons/2013/11/1928390a5b968670b101aeb62e634f9e.jpg,中国,1978年,NULL,13米,NULL,"
东风-31（DF-31，北约代号CSS-10）是中国的一种三段固体推进剂洲际弹道导弹。也是中国首种远程固体弹道导弹，作为中国第二代战略武器，应用了许多新技术。与其前辈东风5洲际弹道导弹相比，东风31在体积、打击精度、生存性能和突防能力等方面均有明显突破。
",NULL,2.25米,42000千克
导弹武器,地地导弹,NULL,M-7（8610/CSS-8）短程弹道导弹 ,NULL,150千米,NULL,{'$oid': '5cc93367831b973d657f2102'},NULL,中国,1986年,NULL,10.8米,NULL,"
M-7导弹是M族战术弹道导弹当中唯一以倾斜方式发射的导弹，其他的M族导弹均采取垂直发射的方式。M-7倾斜发射的原因是红旗-2防空导弹采用倾斜发射方式，而M-7弹道导弹是从红旗-2防空导弹改造而来的，改造名字叫做8610工程，工程从1986年开始。
",NULL,0.65米,2650千克
导弹武器,地地导弹,NULL,9K79地地战术弹道导弹,NULL,185千米,NULL,{'$oid': '5cc93368831b973d657f2103'},NULL,苏/俄,1970年,(4.9分),6.4米,NULL,"
SS-21地地战术弹道导弹（前苏军称它为""圆点""或""托契卡""导弹）是前苏联陆军于20世纪70年代装备的近程地地战术导弹。北约代号:SS-21“圣甲虫”。 
",NULL,0.65米,1800千克
导弹武器,地地导弹,NULL,东风-3号（DF-3）中程地地战略导弹,NULL,2650千米,惯性陀螺积分仪,{'$oid': '5cc93368831b973d657f2104'},NULL,中国,1965年,NULL,24米,NULL,东风-3是中国第一种中程弹道导弹，也是中国完全自行设计的第一种战略导弹。采用机动发射、单级、液体燃料。东风-3最大射程2700千米，4000公里（东风-3A）。可携带1枚威力为200万吨TNT当量的核弹头，或3枚威力为5-10万吨TNT当量分导核弹头（东风-3A），命中精度1500-3000米。 东风-3北约代号CSS-2。,NULL,2.25米,6400千克
导弹武器,地地导弹,NULL,“白杨”-M/SS-27洲际弹道导弹,NULL,10000千米,NULL,{'$oid': '5cc93368831b973d657f2105'},http://images.huanqiu.com/sarons/2013/11/d3327ad71d67c919baaf15961657853f.jpg,苏/俄,1990年,(4.9分),22.7米,NULL,"
白杨-M洲际弹道导弹（俄语：РТ-2ПМ2 «Тополь-М»，北约代号SS-27），是俄罗斯的一种洲际弹道导弹，可携带多枚分导弹头，射程超过1万公里。它飞行速度快，并能作变轨机动飞行，具有很强的突防能力 。 这种导弹是在白杨（北约代SS-25）的基础上研发出来的。
",NULL,1.85米,1.2千克
导弹武器,地地导弹,NULL,“大浦洞” 弹道导弹,NULL,2500千米,NULL,{'$oid': '5cc93368831b973d657f2106'},NULL,朝鲜,1990年,(4.1分),27米,NULL,"
大浦洞1号导弹（대포동 1호，Taepodong-1），是中程、液体动力、单弹头导弹。朝鲜称白头山1号导弹，共三级，也可用作卫星运载火箭，曾在1998年8月31日发射光明星1号卫星。可携带核弹头，最大射程是2000公里。“大浦洞一号”由美国最早在朝鲜大浦洞地区发现，因此命名为“大浦洞”。



大浦洞2号导弹（대포동 2호，Taepodong-2），是北朝鲜在大浦洞1号上进一步开发的弹道导弹。射程更远，可达3500公里。据称可以携带核弹头。
",NULL,1.36米,21700千克
导弹武器,地地导弹,NULL,东风-5号（DF-5）洲际地地战略导弹,NULL,15000千米,NULL,{'$oid': '5cc93368831b973d657f2107'},NULL,中国,1964年,NULL,32.6米,NULL,东风-5洲际弹道导弹是一种储存在固定的发射井中洲际弹道导弹。1971年9月首次试验，1981年服役。在1983年，该型导弹经过改进，进一步提高了射程（13000千米），换装了更精确的制导系统，命名为东风-5A。1986年进行了分导弹头试验。东风-5是中国威慑美国的主要战略武器。,NULL,3.35米,183000千克
导弹武器,地地导弹,NULL,“昆吾”反坦克导弹,NULL,3千米,光学跟踪、手控有线指令,{'$oid': '5cc93368831b973d657f2108'},http://images.huanqiu.com/sarons/2013/11/5a089f5d5d6cc6549878a829399e884a.jpg,中国,1973年,NULL,0.88米,NULL,"
1973年我国台湾仿苏联“萨格尔-AT3”式，自行研制的反坦克导弹，1978年开始试生产。该导弹与原装备的美制“陶”式导弹相比，性能稍有提高，具有体积小、重量轻、便于携带的特点。80年代后期开始装备当地部队。
",NULL,0.119米,11.3千克
