大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,研发单位,研制时间,关注度,弹长,简介,最大速度,弹径,弹重
导弹武器,地空导弹,NULL,东风-11号（DF-11/M-11）近程地地战术导弹,NULL,300千米,惯性制导+终点雷达制导,{'$oid': '5cc9337b831b973d657f216c'},http://images.huanqiu.com/sarons/2014/03/339ea4fd931bcaa9b4a359e2cbee7898.jpg,中国,中国航天科工集团公司（CASIC）三江（Sanjiang）空间集团,1985年,(4.8分),11.25米,DF-11（外销名称: M-11；北约代号：CSS-7）是一种道路-机动近程弹道导弹（SRBM），由位于湖北省的中国航天科工集团公司（CASIC）三江（Sanjiang）空间集团（也即是航空宇宙066基地）发展的系统。导弹和它的8轮运输-架设-发射（TEL）车辆与俄国SS-1C Scud-B相似。,NULL,0.86米,3800千克
导弹武器,地空导弹,NULL,红旗-16(HQ-16)中程防空导弹系统,NULL,70千米,采用主动单脉冲雷达制导,{'$oid': '5cc9337b831b973d657f216d'},NULL,中国,NULL,1999年,NULL,5.5米,红旗-16(HQ-16)舰空导弹是人民海军装备的第一种国产中近程区域防空导弹，1999年7月立项，2007年底首次进行舰上实弹发射试验，2008年进行定型试验。装备大中型驱护舰，用于中近程区域防空和自卫反导作战，主要拦截反舰导弹和飞机类目标。采用模块化设计，可根据舰艇实际情况灵活配置火力道数，具有良好的装载适应能力，采用垂直热发射技术，具备全方位快速拦截多目标能力，可拦截超音速反舰导弹和亚音速反舰导弹。,NULL,0.4米,700千克
导弹武器,地空导弹,NULL,飞腾-2000（FT-2000）反辐射地空导弹系统,NULL,30千米,被动雷达制导,{'$oid': '5cc9337b831b973d657f216e'},NULL,中国,NULL,1998年,NULL,6.8米,中国自行研制的反辐射地空导弹系统，1998年末中国精密机械进出口公司对外展示。该系统由搜索雷达、导弹、4联装发射车、制导站等组成。导弹采用垂直发射方式，主动雷达寻的制导，弹长6.8米，弹径0.466米，起飞重量1300公斤，射程12-100千米，射高23-20千米，可对电子干扰机和预警机进行远距离攻击。,NULL,0.466米,1300千克
导弹武器,地空导弹,NULL,动能-2（DN-2）型高轨反卫星导弹,NULL,远程导弹,NULL,{'$oid': '5cc9337b831b973d657f216f'},NULL,中国,NULL,NULL,NULL,NULL,"
美国情报机构9月份和本月的情报报告称，中国DongNing-2(DN-2)导弹是一种高轨道拦截弹，可以高速直接撞毁卫星。
",NULL,NULL,NULL
导弹武器,地空导弹,NULL,“红缨”-5(HN-5)便携式防空导弹,NULL,4.4千米,被动红导引,{'$oid': '5cc9337c831b973d657f2170'},NULL,中国,NULL,1978年,NULL,1.508米,"

",NULL,0.072米,15千克
导弹武器,地空导弹,NULL,红旗-9(HQ-9)远程防空导弹系统,NULL,200千米,惯性导引+末端主动雷达,{'$oid': '5cc9337c831b973d657f2171'},http://images.huanqiu.com/sarons/2013/11/c927a562031790d1053a0981b92b8627.jpg,中国,中国航天科工集团第二研究院,1980年,(4.8分),6.8米,"
红旗9远程地空导弹简称HQ-9，工程代号10号工程，是辅助S-300PMU1(15号工程/红旗15)的产物。是中国第一种区域防空导弹。2012年入围土耳其防空系统竞标。反辐射导弹
",4729.2千米/小时,NULL,1300千克
导弹武器,地空导弹,NULL,红旗-15(HQ-15)中远程防空导弹 ,NULL,90千米,惯性制导+主动雷达末端制导,{'$oid': '5cc9337c831b973d657f2172'},NULL,中国,NULL,1970年,NULL,7.825米,从1992年开始，中国先后引进了S-300PMU、S-300PMU1型，并开始生产S-300PMU1型，命名为红旗-15号。S-300PMU1型地空导弹系统由指挥中心、目标搜索雷达、制导站、48N6E型导弹及4联装发射车等组成，以营为建制单位，包括12辆发射车、48枚导弹和1个制导站，能同时拦截6个目标。,NULL,0.508米,1000千克
导弹武器,地空导弹,NULL,红旗-7（FM-90/FM-80）低空防空导弹 ,NULL,12千米,红外、电视、雷达复合制导，无线电指令制导,{'$oid': '5cc9337c831b973d657f2173'},http://images.huanqiu.com/sarons/2013/11/7ec0f4444226c8b06123db650db1b6cd.jpg,中国,NULL,1988年,NULL,3米,"
红旗-7型是在法制“响尾蛇”导弹基础上仿制的一种全天候、低空、超低空防空导弹，1988年设计定型，现已装备野战部队，用于替换红旗-61甲型地空导弹。出口编号“飞蠓”-8 0(FM-80)。FM-90是FM-80系列的最新改良型，由于改良幅度很大，因此中国精密进出口公司赋于它新的型号。
",NULL,0.156米,84.5千克
导弹武器,地空导弹,NULL,萨姆-20防空导弹,NULL,150千米,无线电指令＋TVM＋惯性制导  ,{'$oid': '5cc9337c831b973d657f2174'},NULL,苏/俄,NULL,NULL,(4.5分),7.5米,NULL,NULL,0.515米,1800千克
导弹武器,地空导弹,NULL,红旗-18(HQ-18)多功能防空系统,NULL,NULL,NULL,{'$oid': '5cc9337c831b973d657f2175'},NULL,中国,NULL,NULL,NULL,NULL,"
在1997年8月26日至9月4日中俄国防工业部门讨论引进S-300V（SA-12)生产线的技术细节。若谈判进展顺利，第一套中国版s-300v将在2001年出厂，生产型号被定为“红旗18”，届时中国将第一次拥有生产反弹道导弹的能力，与红旗15、红旗16、红旗17一起组成完整的高低空防御火网。
",NULL,NULL,NULL
