大类,类型,名称,引信装置,_id,图片,产国,研制时间,关注度,弹长,全重,研发单位,简介,弹径,装药类型
爆炸物,地雷,72式金属壳反坦克地雷 ,NULL,{'$oid': '5cc93401831b973d657f242b'},NULL,中国,70年代,(5分),NULL,8千克,NULL,NULL,279毫米,TNT/黑索金(各50%)
爆炸物,地雷,72式塑料壳反坦克地雷 ,NULL,{'$oid': '5cc93401831b973d657f242c'},NULL,中国,NULL,NULL,NULL,6千克,NULL,NULL,270毫米,TNT/黑索金(各50%)
爆炸物,地雷,M18A1阔刀地雷,NULL,{'$oid': '5cc93401831b973d657f242d'},http://images.huanqiu.com/sarons/2013/11/c315dbc04c40086446644bf350d8d5c1.jpg,美国,1960年,NULL,0.04毫米,1.6千克,NULL,"
克莱莫人员杀伤地雷（M18A1 Claymore，又称指向性地雷或阔刀地雷）是一种由美军于1960年代越战时期所研发制作的定向人员杀伤地雷（亦称反步兵地雷），其前身为朝鲜战争时期的M18 Claymore。
",0.22毫米,约700粒的钢珠以及约1.5磅的C-4塑性炸药
爆炸物,地雷,GLD220反车底雷,NULL,{'$oid': '5cc93401831b973d657f242e'},NULL,中国,1984年,NULL,200毫米,3.1千克,NULL,"
GLD220反车底雷是中国于1984年成功研制的反坦克车底地雷。由火箭车布雷车设。对雷电、无线电波、弹片等产生的磁场，具有较好的抗干扰能力。
",114毫米,NULL
爆炸物,地雷,58式反步兵地雷,NULL,{'$oid': '5cc93402831b973d657f242f'},http://images.huanqiu.com/sarons/2013/11/93ac25778130d58d3be2e68b390bcfc1.jpg,中国,1958年,NULL,NULL,0.6千克,NULL,NULL,NULL,200克梯恩梯炸药
爆炸物,地雷,GLD260反坦克雷,NULL,{'$oid': '5cc93402831b973d657f2430'},NULL,中国,1995年,NULL,110毫米,5.1千克,NULL,NULL,230毫米,NULL
爆炸物,地雷,66式反步兵定向地雷,NULL,{'$oid': '5cc93402831b973d657f2431'},NULL,中国,20世纪60年代,NULL,216毫米,NULL,NULL,NULL,NULL,NULL
爆炸物,地雷,72式反步兵跳雷,NULL,{'$oid': '5cc93402831b973d657f2432'},NULL,中国,1972年,NULL,NULL,NULL,NULL,NULL,NULL,NULL
爆炸物,地雷,69式反步兵跳雷,NULL,{'$oid': '5cc93402831b973d657f2433'},NULL,中国,1969年,NULL,NULL,NULL,NULL,"
这种地雷是设计在地面以上爆破的杀伤性跳雷，其结构紧凑，重量轻，构造简单；布设简便；可单独布放，亦可串联布放。以其破片杀伤行进中的步兵。
",61毫米,NULL
爆炸物,地雷,59式反步兵地雷,NULL,{'$oid': '5cc93403831b973d657f2434'},http://images.huanqiu.com/sarons/2013/11/98b989fb7200961cf43ffd4ec32640a5.jpg,中国,20世纪50年代,NULL,NULL,2千克,NULL,NULL,NULL,TNT
爆炸物,地雷,TMK－2反车底雷,NULL,{'$oid': '5cc93403831b973d657f2435'},NULL,苏/俄,NULL,(2分),NULL,12千克,NULL,"
苏联研制的一种反坦克车底地雷，人共布设。能击穿坦克车底形成破片流杀伤车内乘员和破坏车内设备。该雷于1955年装备苏军。
",307毫米,NULL
爆炸物,地雷,M67防步兵地雷,NULL,{'$oid': '5cc93403831b973d657f2436'},NULL,美国,1976年,NULL,95毫米,0.45千克,NULL,NULL,NULL,NULL
爆炸物,地雷,GLD214反履带雷,全保险型多次与复次耐爆复合引信,{'$oid': '5cc93403831b973d657f2437'},NULL,中国,1981年,NULL,100毫米,6.5千克,NULL,NULL,271毫米,NULL
爆炸物,地雷,MAHF1反侧甲雷,IRMAH红外引信,{'$oid': '5cc93404831b973d657f2438'},NULL,法国,20世纪70年代初,NULL,260毫米,12千克,法国地面兵器工业集团,"
法国地面兵器工业集团于20世纪70年代初研制成功的反坦克侧甲地雷。亦称MiacahF1反坦克地雷，人工布投。主要用于封锁道路、隘口，也可用于封锁小河道、沼泽地。
",200毫米,NULL
爆炸物,地雷,M14地雷,NULL,{'$oid': '5cc93404831b973d657f2439'},NULL,美国,20世纪50年代,NULL,NULL,NULL,NULL,"
M14地雷（M14 Mine）是美国在1950年代制造小型反人员地雷，为盘形弹簧结构，在引信向下受压后弹出破片来杀伤敌人。由于是塑胶制造，M14地雷在布置后难以发现，后期被改为钢制底盘以便于排除。
",56毫米,四硝基炸药
爆炸物,地雷,M72防步兵布雷,NULL,{'$oid': '5cc93404831b973d657f243a'},NULL,美国,20世纪70年代,NULL,95毫米,0.45千克,NULL,NULL,NULL,NULL
爆炸物,地雷,战区定向防御地雷 ,NULL,{'$oid': '5cc93404831b973d657f243b'},NULL,英国,NULL,NULL,205毫米,1.26千克,NULL,NULL,NULL,NULL
爆炸物,地雷,MON-200反人员地雷,NULL,{'$oid': '5cc93404831b973d657f243c'},NULL,苏/俄,NULL,NULL,NULL,25千克,NULL,NULL,434毫米,NULL
爆炸物,地雷,MON-100地雷,NULL,{'$oid': '5cc93404831b973d657f243d'},http://images.huanqiu.com/sarons/2014/01/b31bdd8b3b4e530d381e9420813c8fce.jpg,苏/俄,NULL,NULL,220毫米,NULL,NULL,NULL,NULL,塑性炸药
爆炸物,地雷,HPDF1反坦克两用雷,NULL,{'$oid': '5cc93405831b973d657f243e'},NULL,法国,1970年,NULL,280毫米,6千克,法国工业研究和制造中心,"
法国工业研究和制造中心于1970年研制成功的反坦克履带车底地雷。由专用的HPD型自动布雷车布投。雷车布设。塑料雷壳，由电源，震-磁感应复合引信，抛土装药和自锻弹丸装药。还可配置定时自毁或定时自失效装置。该雷于1974年装备法军。
",NULL,NULL
爆炸物,地雷,“突击队员”防步兵地雷,NULL,{'$oid': '5cc93405831b973d657f243f'},NULL,美国,20世纪70年代,NULL,1500毫米,630千克,皇家军械研究发展中心,NULL,NULL,NULL
