图片,前型,现状,满载排水量,简介,制造厂,导弹,续航距离,自持力,型宽,次型,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,下水时间,枪械,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/07/2368b24f66d4835721582fc9aa33f3b0.jpg,NULL,在役,259吨,NULL,德国吕森造船厂,NULL,16节航速下1600英里,NULL,7米,NULL,舰船舰艇,导弹艇,NULL,44.9米,德国,NULL,38节,NULL,TNC 45级通用快速巡逻舰,20世纪60年代,{'$oid': '5cc931fd831b973d657f1825'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/555ddc059d32f54a4948bb847cfdbac6.jpg,NULL,退役或被转售,1260吨,NULL,霍尔·罗素造船厂,NULL,12节航速下7000英里,NULL,11米,NULL,舰船舰艇,导弹艇,NULL,59.5米,英国,大西洋印度洋,16.5节,NULL,“岛”(Island)级近岸巡逻舰,20世纪70年代,{'$oid': '5cc931fd831b973d657f1826'},NULL,NULL,500-2000吨,NULL
http://images.huanqiu.com/sarons/2013/07/a8d7f76ff183de7a912f29fc4091f900.jpg,01Ⅱ型护卫舰,在役,392吨,NULL,大连造船厂、黄埔造船厂,NULL,15节航速下1300英里,NULL,7.2米,NULL,舰船舰艇,导弹艇,NULL,58.8米,中国,NULL,30.5节,26艘,“海南”(Hainan)级(037型)通用巡逻舰,1962年8月7日,{'$oid': '5cc931fd831b973d657f1827'},1963年12月17日,NULL,500吨以内,1964年11月16日
http://images.huanqiu.com/sarons/2013/07/2334baa56ba858dd8b9ce9b7080811f8.jpg,科马尔级导弹快艇,在役,209吨,"
Moskit （北约命名：奥萨）是20世纪50年代苏联海军开发的一种快速导弹巡逻舰。至1962年被列为大型鱼雷艇。奥萨类是有史以来建造最多的导弹艇，1960-1973年间有超过400艘的快艇建造并广泛服役于苏联海军和其和出口盟国。
",NULL,NULL,34节航速下400英里,NULL,7.6米,"""毒蜘蛛“级护卫舰",舰船舰艇,导弹艇,NULL,36.6米,苏/俄,NULL,35节,400余艘,“奥沙”(Osa)I级(205型)快速导弹巡逻舰,20世纪50年代,{'$oid': '5cc931fe831b973d657f1828'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/df4223dbcb676372fd2d3ee8d1b3a785.jpg,“奥沙”级,在役,253吨,NULL,苏联阿尔玛造船厂,NULL,24节航速下800英里,NULL,7.9米,NULL,舰船舰艇,导弹艇,NULL,39.4米,苏/俄,NULL,37节,114余艘,“斯登卡”（Stenka) (205P型)级通用快速巡逻舰,20世纪50年代,{'$oid': '5cc931fe831b973d657f1829'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/cca6c0f032d661b729d24d1281aba61f.jpg,NULL,现役,250吨,NULL,NULL,NULL,16节航速下2000英里,NULL,7.1米,NULL,舰船舰艇,导弹艇,NULL,48米,法国,地中海,20节,NULL,“比塞大”级通用巡逻舰,20世纪70年代初,{'$oid': '5cc931fe831b973d657f182a'},1974年3月22日,NULL,500吨以内,1974年8月10日
http://images.huanqiu.com/sarons/2014/01/b966cd3f1fc1c5c90e8c026b1a9d1061.jpg,NULL,现役,720吨,NULL,联合造船厂,NULL,7686公里/20节,NULL,9.5米,NULL,舰船舰艇,导弹艇,NULL,61.4米,中国,NULL,25.1节,NULL,锦江级导弹艇,NULL,{'$oid': '5cc931fe831b973d657f182b'},NULL,NULL,500-2000吨,1994年
http://images.huanqiu.com/sarons/2013/07/3fc99eb9cfbaf3a8a83d41e9bd9cb359.jpg,"""弗里曼""舰艇",在役,270吨,NULL,奥斯塔(Austal)船厂,NULL,12节航速下3 000英里,NULL,9米,NULL,舰船舰艇,导弹艇,NULL,56.8米,澳大利亚,NULL,25节,共14艘,“阿米代尔”(Armidale)级巡逻舰,2004年5月,{'$oid': '5cc931fe831b973d657f182c'},2005年1月5日,NULL,500吨以内,2005年6月24日
http://images.huanqiu.com/sarons/2013/07/b9bfb263a8291739c607f3fcd967f967.jpg,攻击级巡逻艇,退役,245吨,“弗里曼特尔”级巡逻艇在1979至2007年服役于澳大利亚皇家海军。它以自身更强大功能代替了之前的前攻击级巡逻艇。“弗里曼特尔”级在2001年宣布退役，并在2004年皇家海军出台了其退役时间表。从2005年5月开始，更为先进的“阿米代尔级” 巡逻艇逐渐取代“弗里曼特尔”。,NULL,NULL,30节航速下1450英里,NULL,7.1米,阿米代尔级巡逻艇,舰船舰艇,导弹艇,NULL,41.8米,英国,NULL,30节,共15艘,“弗里曼特尔”(Fremantle)级通用巡逻舰,1977年10月,{'$oid': '5cc931fe831b973d657f182d'},1979年2月16日,NULL,500吨以内,1980年3月18日
http://images.huanqiu.com/sarons/2013/07/3de7f3ecd733b3e138e4c3a08ecb3d71.jpg,NULL,在役,311吨,NULL,NULL,NULL,15节航速下1800英里,NULL,7.1米,“斗士”III级,舰船舰艇,导弹艇,NULL,47米,法国,NULL,39节,德国148型虎级快速攻击艇，“里克尔梅”级，“沃特西斯”级，“卡曼”级，“佩尔达纳”级,“斗士”II/IIA级快速导弹巡逻舰,20世纪70年代,{'$oid': '5cc931fe831b973d657f182e'},NULL,NULL,500吨以内,1977年
